14. ЖЕНЩИНЫ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА ПО ВОЗРАСТНЫМ												
ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС												
												
	Всего	из них									Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин, указавших число рожденных детей)
в том числе в возрасте, лет:												
15 – 17	51.0	49.0	1.0	-	-	-	-	-	-	1.0	1.0	20.0
18 – 19	15.0	11.0	4.0	-	-	-	-	-	-	-	4.0	267.0
20 – 29	97.0	39.0	44.0	12.0	2.0	-	-	-	-	-	74.0	763.0
30 – 39	107.0	5.0	26.0	39.0	23.0	10.0	2.0	1.0	-	1.0	229.0	2160.0
40 – 49	115.0	10.0	16.0	41.0	22.0	14.0	6.0	3.0	2.0	1.0	286.0	2509.0
50 – 59	43.0	5.0	3.0	16.0	9.0	3.0	4.0	1.0	2.0	-	116.0	2698.0
60 – 69	38.0	5.0	4.0	10.0	7.0	3.0	6.0	1.0	2.0	-	108.0	2842.0
70 и более	31.0	2.0	1.0	6.0	3.0	4.0	5.0	3.0	7.0	-	134.0	4323.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Амурская область												
Женщины в возрасте 15 лет и более	450.0	126.0	78.0	103.0	52.0	43.0	19.0	10.0	4.0	15.0	800.0	1839.0
в том числе в возрасте, лет:												
15 – 17	39.0	37.0	-	-	-	-	-	-	-	2.0	-	0.0
18 – 19	27.0	20.0	6.0	-	-	-	-	-	-	1.0	6.0	231.0
20 – 29	103.0	42.0	34.0	17.0	3.0	-	-	1.0	-	6.0	83.0	856.0
30 – 39	105.0	9.0	22.0	43.0	15.0	11.0	1.0	-	1.0	3.0	210.0	2059.0
40 – 49	95.0	8.0	7.0	28.0	19.0	18.0	9.0	4.0	1.0	1.0	268.0	2851.0
50 – 59	39.0	5.0	4.0	10.0	8.0	7.0	2.0	1.0	-	2.0	92.0	2486.0
60 – 69	29.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	-	96.0	3310.0
70 и более	13.0	1.0	1.0	1.0	3.0	3.0	3.0	1.0	-	-	45.0	3462.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Читинская область												
Женщины в возрасте 15 лет и более	360.0	63.0	77.0	74.0	57.0	31.0	19.0	7.0	5.0	27.0	694.0	2084.0
в том числе в возрасте, лет:												
15 – 17	41.0	32.0	-	-	-	-	-	-	-	9.0	-	0.0
18 – 19	16.0	11.0	5.0	-	-	-	-	-	-	-	5.0	313.0
20 – 29	83.0	12.0	39.0	17.0	6.0	1.0	1.0	-	1.0	6.0	107.0	1390.0
30 – 39	73.0	2.0	12.0	26.0	14.0	11.0	2.0	2.0	-	4.0	172.0	2493.0
40 – 49	69.0	-	6.0	13.0	20.0	14.0	8.0	2.0	1.0	5.0	207.0	3234.0
50 – 59	35.0	3.0	8.0	7.0	9.0	2.0	2.0	3.0	1.0	-	93.0	2657.0
60 – 69	38.0	3.0	7.0	10.0	8.0	3.0	3.0	-	2.0	2.0	93.0	2583.0
70 и более	5.0	-	-	1.0	-	-	3.0	-	-	1.0	17.0	4250.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Иркутская область												
Женщины в возрасте 15 лет и более	312.0	83.0	51.0	62.0	36.0	27.0	15.0	7.0	11.0	20.0	592.0	2027.0
в том числе в возрасте, лет:												
15 – 17	39.0	35.0	1.0	-	-	-	-	-	-	3.0	1.0	28.0
18 – 19	9.0	9.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	57.0	18.0	20.0	7.0	5.0	2.0	2.0	-	-	3.0	67.0	1241.0
30 – 39	69.0	11.0	15.0	25.0	7.0	3.0	1.0	1.0	1.0	5.0	116.0	1813.0
40 – 49	77.0	6.0	10.0	17.0	15.0	13.0	5.0	1.0	4.0	6.0	202.0	2845.0
50 – 59	17.0	2.0	2.0	5.0	3.0	1.0	3.0	1.0	-	-	46.0	2706.0
60 – 69	22.0	1.0	2.0	2.0	3.0	6.0	2.0	-	4.0	2.0	79.0	3950.0
70 и более	22.0	1.0	1.0	6.0	3.0	2.0	2.0	4.0	2.0	1.0	81.0	3857.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Сахалинская область 												
Женщины в возрасте 15 лет и более	94.0	17.0	29.0	25.0	13.0	6.0	2.0	1.0	1.0	-	165.0	1755.0
в том числе в возрасте, лет:												
15 – 17	4.0	4.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	3.0	3.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	21.0	7.0	12.0	2.0	-	-	-	-	-	-	16.0	762.0
30 – 39	22.0	-	10.0	5.0	5.0	2.0	-	-	-	-	43.0	1955.0
40 – 49	23.0	2.0	3.0	12.0	4.0	1.0	-	1.0	-	-	49.0	2130.0
50 – 59	14.0	1.0	3.0	5.0	3.0	1.0	-	-	1.0	-	33.0	2357.0
60 – 69	4.0	-	1.0	1.0	-	1.0	1.0	-	-	-	12.0	3000.0
70 и более	3.0	-	-	-	1.0	1.0	1.0	-	-	-	12.0	4000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Томская область												
Женщины в возрасте 15 лет и более	35.0	11.0	3.0	11.0	3.0	4.0	2.0	-	1.0	-	67.0	1914.0
в том числе в возрасте, лет:												
15 – 17	3.0	3.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 29	9.0	5.0	2.0	2.0	-	-	-	-	-	-	6.0	667.0
30 – 39	7.0	-	-	5.0	1.0	-	1.0	-	-	-	18.0	2571.0
40 – 49	7.0	1.0	-	3.0	1.0	1.0	-	-	1.0	-	20.0	2857.0
50 – 59	5.0	-	1.0	1.0	-	3.0	-	-	-	-	15.0	3000.0
60 – 69	1.0	-	-	-	-	-	1.0	-	-	-	5.0	5000.0
70 и более	3.0	2.0	-	-	1.0	-	-	-	-	-	3.0	1000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Тюменская область												
Женщины в возрасте 15 лет и более	27.0	5.0	3.0	10.0	4.0	2.0	1.0	1.0	1.0	-	61.0	2259.0
в том числе в возрасте, лет:												
15 – 17	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 29	6.0	2.0	1.0	2.0	-	1.0	-	-	-	-	9.0	1500.0
30 – 39	7.0	-	-	4.0	3.0	-	-	-	-	-	17.0	2429.0
40 – 49	4.0	-	2.0	1.0	1.0	-	-	-	-	-	7.0	1750.0
50 – 59	6.0	-	-	3.0	-	1.0	1.0	-	1.0	-	22.0	3667.0
60 – 69	-	-	-	-	-	-	-	-	-	-	-	-
70 и более	2.0	1.0	-	-	-	-	-	1.0	-	-	6.0	3000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЭВЕНЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	4941.0	1074.0	1005.0	1014.0	704.0	417.0	261.0	135.0	236.0	95.0	10932.0	2256.0
в том числе в возрасте, лет:												
15 – 17	455.0	412.0	20.0	4.0	-	-	-	-	-	19.0	28.0	64.0
18 – 19	173.0	130.0	32.0	3.0	-	-	-	-	-	8.0	38.0	230.0
20 – 29	1104.0	286.0	440.0	239.0	90.0	13.0	8.0	1.0	2.0	25.0	1300.0	1205.0
30 – 39	1064.0	86.0	234.0	328.0	221.0	112.0	41.0	21.0	9.0	12.0	2402.0	2283.0
40 – 49	1021.0	70.0	173.0	248.0	223.0	132.0	87.0	37.0	39.0	12.0	2827.0	2802.0
50 – 59	531.0	44.0	54.0	108.0	97.0	81.0	59.0	33.0	46.0	9.0	1748.0	3349.0
60 – 69	371.0	24.0	35.0	54.0	52.0	57.0	43.0	25.0	74.0	7.0	1545.0	4245.0
70 и более	222.0	22.0	17.0	30.0	21.0	22.0	23.0	18.0	66.0	3.0	1044.0	4767.0
Женщины, не указавшие возраст	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Республика Саха (Якутия) 												
Женщины в возрасте 15 лет и более	2575.0	579.0	476.0	475.0	363.0	231.0	173.0	92.0	153.0	33.0	6190.0	2435.0
в том числе в возрасте, лет:												
15 – 17	247.0	224.0	13.0	3.0	-	-	-	-	-	7.0	19.0	79.0
18 – 19	92.0	74.0	13.0	1.0	-	-	-	-	-	4.0	15.0	170.0
20 – 29	582.0	149.0	224.0	134.0	49.0	10.0	6.0	1.0	2.0	7.0	729.0	1268.0
30 – 39	538.0	45.0	104.0	148.0	122.0	67.0	27.0	14.0	8.0	3.0	1316.0	2460.0
40 – 49	507.0	41.0	73.0	95.0	110.0	77.0	59.0	26.0	21.0	5.0	1517.0	3022.0
50 – 59	279.0	25.0	24.0	51.0	44.0	41.0	39.0	23.0	29.0	3.0	991.0	3591.0
60 – 69	211.0	12.0	17.0	31.0	29.0	25.0	27.0	17.0	50.0	3.0	951.0	4572.0
70 и более	119.0	9.0	8.0	12.0	9.0	11.0	15.0	11.0	43.0	1.0	652.0	5525.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Магаданская область												
Женщины в возрасте 15 лет и более	824.0	177.0	215.0	180.0	106.0	65.0	29.0	10.0	39.0	3.0	1669.0	2033.0
в том числе в возрасте, лет:												
15 – 17	63.0	61.0	2.0	-	-	-	-	-	-	-	2.0	32.0
18 – 19	25.0	17.0	7.0	1.0	-	-	-	-	-	-	9.0	360.0
20 – 29	188.0	57.0	82.0	30.0	15.0	1.0	1.0	-	-	2.0	196.0	1054.0
30 – 39	187.0	17.0	53.0	65.0	32.0	14.0	4.0	1.0	-	1.0	361.0	1941.0
40 – 49	171.0	9.0	40.0	58.0	28.0	17.0	9.0	2.0	8.0	-	423.0	2474.0
50 – 59	91.0	9.0	20.0	15.0	17.0	15.0	6.0	2.0	7.0	-	258.0	2835.0
60 – 69	60.0	4.0	7.0	6.0	9.0	13.0	6.0	1.0	14.0	-	256.0	4267.0
70 и более	39.0	3.0	4.0	5.0	5.0	5.0	3.0	4.0	10.0	-	164.0	4205.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Камчатская область 												
Женщины в возрасте 15 лет и более	589.0	121.0	136.0	128.0	103.0	50.0	21.0	10.0	16.0	4.0	1192.0	2038.0
в том числе в возрасте, лет:												
15 – 17	53.0	50.0	3.0	-	-	-	-	-	-	-	3.0	57.0
18 – 19	15.0	8.0	7.0	-	-	-	-	-	-	-	7.0	467.0
20 – 29	110.0	27.0	56.0	15.0	8.0	2.0	-	-	-	2.0	118.0	1093.0
30 – 39	136.0	11.0	39.0	42.0	27.0	12.0	1.0	2.0	1.0	1.0	276.0	2044.0
40 – 49	152.0	11.0	25.0	41.0	46.0	13.0	9.0	3.0	3.0	1.0	383.0	2536.0
50 – 59	59.0	3.0	3.0	15.0	14.0	11.0	8.0	2.0	3.0	-	194.0	3288.0
60 – 69	35.0	4.0	2.0	7.0	4.0	11.0	2.0	2.0	3.0	-	117.0	3343.0
70 и более	29.0	7.0	1.0	8.0	4.0	1.0	1.0	1.0	6.0	-	94.0	3241.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Корякский автономный округ												
Женщины в возрасте 15 лет и более	294.0	62.0	67.0	73.0	52.0	21.0	8.0	4.0	4.0	3.0	553.0	1900.0
в том числе в возрасте, лет:												
15 – 17	26.0	26.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	7.0	2.0	5.0	-	-	-	-	-	-	-	5.0	714.0
20 – 29	45.0	10.0	22.0	8.0	4.0	-	-	-	-	1.0	50.0	1136.0
30 – 39	69.0	8.0	22.0	24.0	10.0	3.0	1.0	-	-	1.0	117.0	1721.0
40 – 49	80.0	6.0	15.0	24.0	25.0	5.0	3.0	-	1.0	1.0	180.0	2278.0
50 – 59	32.0	1.0	-	8.0	10.0	7.0	3.0	2.0	1.0	-	110.0	3438.0
60 – 69	16.0	4.0	2.0	3.0	-	5.0	-	1.0	1.0	-	42.0	2625.0
70 и более	19.0	5.0	1.0	6.0	3.0	1.0	1.0	1.0	1.0	-	49.0	2579.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Чукотский автономный округ												
Женщины в возрасте 15 лет и более	530.0	108.0	96.0	125.0	74.0	45.0	17.0	8.0	14.0	43.0	999.0	2051.0
в том числе в возрасте, лет:												
15 – 17	58.0	45.0	1.0	1.0	-	-	-	-	-	11.0	3.0	64.0
18 – 19	23.0	16.0	3.0	-	-	-	-	-	-	4.0	3.0	158.0
20 – 29	128.0	26.0	51.0	30.0	8.0	-	1.0	-	-	12.0	140.0	1207.0
30 – 39	113.0	8.0	17.0	41.0	25.0	12.0	4.0	1.0	-	5.0	248.0	2296.0
40 – 49	100.0	5.0	19.0	30.0	19.0	15.0	4.0	2.0	2.0	4.0	247.0	2573.0
50 – 59	67.0	4.0	4.0	15.0	17.0	10.0	3.0	4.0	6.0	4.0	213.0	3381.0
60 – 69	29.0	3.0	1.0	5.0	3.0	7.0	4.0	1.0	4.0	1.0	108.0	3857.0
70 и более	12.0	1.0	-	3.0	2.0	1.0	1.0	-	2.0	2.0	37.0	3700.0
Женщины, не указавшие возраст	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Хабаровский край												
Женщины в возрасте 15 лет и более	423.0	89.0	82.0	106.0	58.0	26.0	21.0	15.0	14.0	12.0	882.0	2146.0
в том числе в возрасте, лет:												
15 – 17	34.0	32.0	1.0	-	-	-	-	-	-	1.0	1.0	30.0
18 – 19	18.0	15.0	2.0	1.0	-	-	-	-	-	-	4.0	222.0
20 – 29	96.0	27.0	27.0	30.0	10.0	-	-	-	-	2.0	117.0	1245.0
30 – 39	90.0	5.0	21.0	32.0	15.0	7.0	5.0	3.0	-	2.0	201.0	2284.0
40 – 49	91.0	4.0	16.0	24.0	20.0	10.0	6.0	4.0	5.0	2.0	257.0	2888.0
50 – 59	35.0	3.0	3.0	12.0	5.0	4.0	3.0	2.0	1.0	2.0	92.0	2788.0
60 – 69	36.0	1.0	8.0	5.0	7.0	1.0	4.0	4.0	3.0	3.0	113.0	3424.0
70 и более	23.0	2.0	4.0	2.0	1.0	4.0	3.0	2.0	5.0	-	97.0	4217.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЭНЦЫ												
Таймырский (Долгано-Ненецкий) автономный округ												
Женщины в возрасте 15 лет и более	74.0	20.0	23.0	9.0	5.0	6.0	7.0	2.0	2.0	-	142.0	1919.0
в том числе в возрасте, лет:												
15 – 17	13.0	8.0	5.0	-	-	-	-	-	-	-	5.0	385.0
18 – 19	5.0	2.0	3.0	-	-	-	-	-	-	-	3.0	600.0
20 – 29	17.0	7.0	7.0	2.0	-	1.0	-	-	-	-	15.0	882.0
30 – 39	12.0	-	2.0	3.0	1.0	2.0	2.0	1.0	1.0	-	43.0	3583.0
40 – 49	14.0	1.0	5.0	2.0	3.0	1.0	2.0	-	-	-	32.0	2286.0
50 – 59	9.0	2.0	1.0	1.0	-	2.0	3.0	-	-	-	26.0	2889.0
60 – 69	3.0	-	-	1.0	1.0	-	-	1.0	-	-	11.0	3667.0
70 и более	1.0	-	-	-	-	-	-	-	1.0	-	7.0	7000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЭСКИМОСЫ												
Чукотский автономный округ												
Женщины в возрасте 15 лет и более	580.0	122.0	120.0	141.0	76.0	39.0	25.0	13.0	12.0	32.0	1092.0	1993.0
в том числе в возрасте, лет:												
15 – 17	56.0	40.0	2.0	-	-	-	-	-	-	14.0	2.0	48.0
18 – 19	32.0	28.0	3.0	-	-	-	-	-	-	1.0	3.0	97.0
20 – 29	140.0	38.0	54.0	29.0	8.0	2.0	-	-	1.0	8.0	151.0	1144.0
30 – 39	121.0	7.0	31.0	46.0	25.0	8.0	2.0	1.0	-	1.0	246.0	2050.0
40 – 49	122.0	4.0	24.0	40.0	27.0	17.0	4.0	2.0	1.0	3.0	294.0	2471.0
50 – 59	59.0	2.0	5.0	14.0	9.0	11.0	8.0	3.0	3.0	4.0	188.0	3418.0
60 – 69	36.0	2.0	1.0	10.0	5.0	-	9.0	6.0	2.0	1.0	134.0	3829.0
70 и более	14.0	1.0	-	2.0	2.0	1.0	2.0	1.0	5.0	-	74.0	5286.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ЮКАГИРЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	263.0	59.0	52.0	56.0	33.0	18.0	18.0	9.0	15.0	3.0	592.0	2277.0
в том числе в возрасте, лет:												
15 – 17	29.0	28.0	-	-	-	-	-	-	-	1.0	-	0.0
18 – 19	7.0	6.0	1.0	-	-	-	-	-	-	-	1.0	143.0
20 – 29	51.0	10.0	26.0	9.0	4.0	1.0	-	-	-	1.0	60.0	1200.0
30 – 39	48.0	4.0	9.0	16.0	9.0	7.0	1.0	2.0	-	-	113.0	2354.0
40 – 49	57.0	6.0	6.0	19.0	10.0	5.0	8.0	1.0	1.0	1.0	147.0	2625.0
50 – 59	39.0	2.0	8.0	8.0	7.0	4.0	4.0	3.0	3.0	-	120.0	3077.0
60 – 69	17.0	2.0	-	2.0	3.0	1.0	4.0	-	5.0	-	79.0	4647.0
70 и более	15.0	1.0	2.0	2.0	-	-	1.0	3.0	6.0	-	72.0	4800.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Саха (Якутия)												
Женщины в возрасте 15 лет и более	244.0	55.0	48.0	49.0	31.0	17.0	18.0	9.0	14.0	3.0	557.0	2311.0
в том числе в возрасте, лет:												
15 – 17	27.0	26.0	-	-	-	-	-	-	-	1.0	-	0.0
18 – 19	6.0	5.0	1.0	-	-	-	-	-	-	-	1.0	167.0
20 – 29	47.0	10.0	24.0	7.0	4.0	1.0	-	-	-	1.0	54.0	1174.0
30 – 39	45.0	4.0	8.0	15.0	8.0	7.0	1.0	2.0	-	-	107.0	2378.0
40 – 49	52.0	6.0	5.0	17.0	9.0	4.0	8.0	1.0	1.0	1.0	135.0	2647.0
50 – 59	38.0	2.0	8.0	8.0	7.0	4.0	4.0	3.0	2.0	-	113.0	2974.0
60 – 69	15.0	1.0	-	1.0	3.0	1.0	4.0	-	5.0	-	77.0	5133.0
70 и более	14.0	1.0	2.0	1.0	-	-	1.0	3.0	6.0	-	70.0	5000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Магаданская область												
Женщины в возрасте 15 лет и более	19.0	4.0	4.0	7.0	2.0	1.0	-	-	1.0	-	35.0	1842.0
в том числе в возрасте, лет:												
15 – 17	2.0	2.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	4.0	-	2.0	2.0	-	-	-	-	-	-	6.0	1500.0
30 – 39	3.0	-	1.0	1.0	1.0	-	-	-	-	-	6.0	2000.0
40 – 49	5.0	-	1.0	2.0	1.0	1.0	-	-	-	-	12.0	2400.0
50 – 59	1.0	-	-	-	-	-	-	-	1.0	-	7.0	7000.0
60 – 69	2.0	1.0	-	1.0	-	-	-	-	-	-	2.0	1000.0
70 и более	1.0	-	-	1.0	-	-	-	-	-	-	2.0	2000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
