4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ  ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Всего	Имеющие образование								Не имеющие начального общего образования	Не указавшие уровень образования
из них:											
учащиеся	17.0	-	-	3.0	-	2.0	9.0	2.0	1.0	-	-
Экономически неактивные	2242.0	-	60.0	25.0	336.0	154.0	421.0	956.0	264.0	26.0	-
Иркутская область											
Городское и сельское  население	1787533.0	4478.0	272301.0	59198.0	539134.0	222034.0	343689.0	271259.0	61655.0	6147.0	7638.0
Экономически активные	1194442.0	3849.0	234003.0	37818.0	427241.0	163534.0	207019.0	103526.0	15843.0	811.0	798.0
в том числе:											
занятые в экономике	1041054.0	3697.0	222620.0	32407.0	385241.0	138219.0	170106.0	76514.0	11222.0	589.0	439.0
из них:											
учащиеся	47415.0	204.0	3706.0	11855.0	13058.0	3067.0	13929.0	1495.0	98.0	1.0	2.0
безработные	153388.0	152.0	11383.0	5411.0	42000.0	25315.0	36913.0	27012.0	4621.0	222.0	359.0
из них:											
учащиеся	17377.0	21.0	290.0	3058.0	1859.0	696.0	7817.0	3152.0	484.0	-	-
Экономически неактивные	583022.0	626.0	37884.0	21186.0	110779.0	58054.0	135410.0	165783.0	45249.0	5223.0	2828.0
Городское население	1445079.0	4329.0	248262.0	54697.0	464640.0	157848.0	282542.0	186774.0	35283.0	3180.0	7524.0
Экономически активные	992524.0	3738.0	214235.0	34808.0	371713.0	119440.0	169332.0	69156.0	8859.0	470.0	773.0
в том числе:											
занятые в экономике	876364.0	3586.0	203986.0	29831.0	336864.0	102486.0	140470.0	52045.0	6322.0	359.0	415.0
из них:											
учащиеся	43744.0	196.0	3460.0	11095.0	11776.0	2799.0	12998.0	1326.0	91.0	1.0	2.0
безработные	116160.0	152.0	10249.0	4977.0	34849.0	16954.0	28862.0	17111.0	2537.0	111.0	358.0
из них:											
учащиеся	15970.0	21.0	276.0	2921.0	1741.0	631.0	7462.0	2561.0	357.0	-	-
Экономически неактивные	444050.0	588.0	33665.0	19706.0	92078.0	38144.0	112231.0	116238.0	26033.0	2615.0	2752.0
Сельское население	342454.0	149.0	24039.0	4501.0	74494.0	64186.0	61147.0	84485.0	26372.0	2967.0	114.0
Экономически активные	201918.0	111.0	19768.0	3010.0	55528.0	44094.0	37687.0	34370.0	6984.0	341.0	25.0
в том числе:											
занятые в экономике	164690.0	111.0	18634.0	2576.0	48377.0	35733.0	29636.0	24469.0	4900.0	230.0	24.0
из них:											
учащиеся	3671.0	8.0	246.0	760.0	1282.0	268.0	931.0	169.0	7.0	-	-
безработные	37228.0	-	1134.0	434.0	7151.0	8361.0	8051.0	9901.0	2084.0	111.0	1.0
из них:											
учащиеся	1407.0	-	14.0	137.0	118.0	65.0	355.0	591.0	127.0	-	-
Экономически неактивные	138972.0	38.0	4219.0	1480.0	18701.0	19910.0	23179.0	49545.0	19216.0	2608.0	76.0
Усть-Ордынский Бурятский автономный округ											
Сельское население	85143.0	41.0	8994.0	1501.0	18472.0	13925.0	17628.0	18729.0	5005.0	774.0	74.0
Экономически активные	48794.0	34.0	7335.0	1001.0	13509.0	9430.0	9947.0	6128.0	1307.0	89.0	14.0
в том числе:											
занятые в экономике	41434.0	34.0	6926.0	869.0	12031.0	7702.0	8053.0	4698.0	1032.0	76.0	13.0
из них:											
учащиеся	1402.0	2.0	136.0	327.0	559.0	63.0	269.0	44.0	2.0	-	-
безработные	7360.0	-	409.0	132.0	1478.0	1728.0	1894.0	1430.0	275.0	13.0	1.0
из них:											
учащиеся	224.0	-	6.0	42.0	32.0	11.0	74.0	56.0	3.0	-	-
Экономически неактивные	36217.0	7.0	1650.0	499.0	4945.0	4491.0	7668.0	12546.0	3676.0	678.0	57.0
Кемеровская область											
Городское и сельское  население	2016679.0	3811.0	270265.0	54004.0	644033.0	340644.0	353386.0	275807.0	67739.0	5006.0	1984.0
Экономически активные	1377203.0	3350.0	236381.0	35662.0	517076.0	257970.0	212452.0	95972.0	17619.0	507.0	214.0
в том числе:											
занятые в экономике	1200097.0	3167.0	223100.0	30655.0	464178.0	220127.0	175391.0	70427.0	12667.0	302.0	83.0
из них:											
учащиеся	60697.0	208.0	4394.0	11797.0	18597.0	5808.0	17577.0	2201.0	115.0	-	-
безработные	177106.0	183.0	13281.0	5007.0	52898.0	37843.0	37061.0	25545.0	4952.0	205.0	131.0
из них:											
учащиеся	18394.0	10.0	385.0	2761.0	2306.0	1074.0	7687.0	3811.0	356.0	4.0	-
Экономически неактивные	638005.0	461.0	33880.0	18339.0	126952.0	82674.0	140929.0	179818.0	50114.0	4499.0	339.0
Городское население	1761984.0	3652.0	255056.0	51153.0	585189.0	286819.0	306399.0	219632.0	48745.0	3377.0	1962.0
Экономически активные	1223454.0	3222.0	223820.0	33710.0	473513.0	219960.0	183260.0	72896.0	12523.0	341.0	209.0
в том числе:											
занятые в экономике	1073195.0	3057.0	211443.0	29002.0	426077.0	188828.0	151773.0	53613.0	9116.0	203.0	83.0
из них:											
учащиеся	57331.0	206.0	4253.0	11320.0	17472.0	5435.0	16524.0	2019.0	102.0	-	-
безработные	150259.0	165.0	12377.0	4708.0	47436.0	31132.0	31487.0	19283.0	3407.0	138.0	126.0
из них:											
учащиеся	17277.0	10.0	382.0	2667.0	2176.0	987.0	7319.0	3439.0	293.0	4.0	-
Экономически неактивные	537073.0	430.0	31234.0	17440.0	111672.0	66859.0	123136.0	146725.0	36219.0	3036.0	322.0
Сельское население	254695.0	159.0	15209.0	2851.0	58844.0	53825.0	46987.0	56175.0	18994.0	1629.0	22.0
Экономически активные	153749.0	128.0	12561.0	1952.0	43563.0	38010.0	29192.0	23076.0	5096.0	166.0	5.0
в том числе:											
занятые в экономике	126902.0	110.0	11657.0	1653.0	38101.0	31299.0	23618.0	16814.0	3551.0	99.0	-
из них:											
учащиеся	3366.0	2.0	141.0	477.0	1125.0	373.0	1053.0	182.0	13.0	-	-
безработные	26847.0	18.0	904.0	299.0	5462.0	6711.0	5574.0	6262.0	1545.0	67.0	5.0
из них:											
учащиеся	1117.0	-	3.0	94.0	130.0	87.0	368.0	372.0	63.0	-	-
Экономически неактивные	100932.0	31.0	2646.0	899.0	15280.0	15815.0	17793.0	33093.0	13895.0	1463.0	17.0
Новосибирская область											
Городское и сельское  население	1881911.0	6642.0	339824.0	75627.0	549366.0	261543.0	328567.0	251915.0	62973.0	5438.0	16.0
Экономически активные	1279156.0	5864.0	292720.0	47119.0	432559.0	197728.0	190124.0	95044.0	17280.0	710.0	8.0
в том числе:											
занятые в экономике	1159467.0	5702.0	279152.0	40290.0	398422.0	178339.0	164130.0	78669.0	14189.0	568.0	6.0
из них:											
учащиеся	62917.0	357.0	5247.0	18845.0	15593.0	4177.0	16783.0	1832.0	83.0	-	-
безработные	119689.0	162.0	13568.0	6829.0	34137.0	19389.0	25994.0	16375.0	3091.0	142.0	2.0
из них:											
учащиеся	18717.0	16.0	420.0	4884.0	1938.0	803.0	8077.0	2327.0	252.0	-	-
Экономически неактивные	602712.0	778.0	47104.0	28504.0	116796.0	63815.0	138443.0	156851.0	45685.0	4728.0	8.0
Городское население	1441507.0	6350.0	311190.0	69540.0	444957.0	171667.0	250447.0	156357.0	28645.0	2338.0	16.0
Экономически активные	1004486.0	5647.0	268820.0	42862.0	353874.0	131839.0	138562.0	54330.0	8167.0	377.0	8.0
в том числе:											
занятые в экономике	913208.0	5489.0	256144.0	36423.0	326077.0	118934.0	118453.0	44684.0	6695.0	303.0	6.0
из них:											
учащиеся	55644.0	354.0	5004.0	17210.0	13122.0	3530.0	14853.0	1517.0	54.0	-	-
безработные	91278.0	158.0	12676.0	6439.0	27797.0	12905.0	20109.0	9646.0	1472.0	74.0	2.0
из них:											
учащиеся	17173.0	16.0	412.0	4702.0	1727.0	718.0	7652.0	1817.0	129.0	-	-
Экономически неактивные	437006.0	703.0	42370.0	26674.0	91072.0	39828.0	111885.0	102027.0	20478.0	1961.0	8.0
Сельское население	440404.0	292.0	28634.0	6087.0	104409.0	89876.0	78120.0	95558.0	34328.0	3100.0	-
Экономически активные	274670.0	217.0	23900.0	4257.0	78685.0	65889.0	51562.0	40714.0	9113.0	333.0	-
в том числе:											
занятые в экономике	246259.0	213.0	23008.0	3867.0	72345.0	59405.0	45677.0	33985.0	7494.0	265.0	-
из них:											
учащиеся	7273.0	3.0	243.0	1635.0	2471.0	647.0	1930.0	315.0	29.0	-	-
безработные	28411.0	4.0	892.0	390.0	6340.0	6484.0	5885.0	6729.0	1619.0	68.0	-
из них:											
учащиеся	1544.0	-	8.0	182.0	211.0	85.0	425.0	510.0	123.0	-	-
Экономически неактивные	165706.0	75.0	4734.0	1830.0	25724.0	23987.0	26558.0	54824.0	25207.0	2767.0	-
Омская область											
Городское и сельское  население	1444489.0	2864.0	221074.0	42067.0	429696.0	212101.0	278258.0	201542.0	50457.0	5428.0	1002.0
Экономически активные	932437.0	2506.0	187419.0	24373.0	330796.0	155360.0	153665.0	66020.0	11766.0	468.0	64.0
в том числе:											
занятые в экономике	827109.0	2405.0	178095.0	20463.0	300758.0	135552.0	128895.0	51564.0	9000.0	337.0	40.0
из них:											
учащиеся	32120.0	104.0	2122.0	8367.0	9555.0	2128.0	8895.0	914.0	35.0	-	-
безработные	105328.0	101.0	9324.0	3910.0	30038.0	19808.0	24770.0	14456.0	2766.0	131.0	24.0
из них:											
учащиеся	11578.0	2.0	100.0	2319.0	1267.0	452.0	5484.0	1826.0	128.0	-	-
Экономически неактивные	511349.0	358.0	33653.0	17694.0	98896.0	56741.0	124589.0	135510.0	38687.0	4960.0	261.0
Городское население	1015398.0	2724.0	194331.0	37927.0	334143.0	122596.0	194578.0	107740.0	18446.0	1925.0	988.0
Экономически активные	680720.0	2390.0	165321.0	21648.0	260984.0	92666.0	102999.0	30354.0	4127.0	170.0	61.0
в том числе:											
занятые в экономике	610547.0	2310.0	157143.0	18065.0	238424.0	81800.0	86089.0	23394.0	3154.0	131.0	37.0
из них:											
учащиеся	27802.0	104.0	1960.0	7588.0	7880.0	1773.0	7794.0	686.0	17.0	-	-
безработные	70173.0	80.0	8178.0	3583.0	22560.0	10866.0	16910.0	6960.0	973.0	39.0	24.0
из них:											
учащиеся	10267.0	2.0	100.0	2239.0	1093.0	373.0	5064.0	1348.0	48.0	-	-
Экономически неактивные	333995.0	334.0	29008.0	16279.0	73155.0	29930.0	91575.0	77386.0	14319.0	1755.0	254.0
Сельское население	429091.0	140.0	26743.0	4140.0	95553.0	89505.0	83680.0	93802.0	32011.0	3503.0	14.0
Экономически активные	251717.0	116.0	22098.0	2725.0	69812.0	62694.0	50666.0	35666.0	7639.0	298.0	3.0
в том числе:											
занятые в экономике	216562.0	95.0	20952.0	2398.0	62334.0	53752.0	42806.0	28170.0	5846.0	206.0	3.0
из них:											
учащиеся	4318.0	-	162.0	779.0	1675.0	355.0	1101.0	228.0	18.0	-	-
безработные	35155.0	21.0	1146.0	327.0	7478.0	8942.0	7860.0	7496.0	1793.0	92.0	-
из них:											
учащиеся	1311.0	-	-	80.0	174.0	79.0	420.0	478.0	80.0	-	-
Экономически неактивные	177354.0	24.0	4645.0	1415.0	25741.0	26811.0	33014.0	58124.0	24368.0	3205.0	7.0
Томская область											
Городское и сельское  население	754587.0	3046.0	132348.0	43819.0	218947.0	94403.0	147076.0	91761.0	21546.0	1624.0	17.0
Экономически активные	495641.0	2722.0	116112.0	22546.0	174527.0	70368.0	71302.0	32097.0	5782.0	180.0	5.0
в том числе:											
занятые в экономике	430823.0	2648.0	110546.0	18830.0	156684.0	58387.0	57037.0	22722.0	3849.0	116.0	4.0
из них:											
учащиеся	27362.0	212.0	2816.0	8465.0	6393.0	1757.0	7093.0	596.0	30.0	-	-
безработные	64818.0	74.0	5566.0	3716.0	17843.0	11981.0	14265.0	9375.0	1933.0	64.0	1.0
из них:											
учащиеся	10178.0	8.0	256.0	2748.0	942.0	481.0	4546.0	1071.0	126.0	-	-
Экономически неактивные	258946.0	324.0	16236.0	21273.0	44420.0	24035.0	75774.0	59664.0	15764.0	1444.0	12.0
Городское население	524941.0	2844.0	113244.0	39662.0	152986.0	49803.0	110080.0	47899.0	7895.0	512.0	16.0
Экономически активные	350969.0	2551.0	99862.0	19783.0	124096.0	38562.0	48444.0	15473.0	2123.0	71.0	4.0
в том числе:											
занятые в экономике	316193.0	2487.0	95275.0	16418.0	113938.0	34075.0	40075.0	12208.0	1652.0	62.0	3.0
из них:											
учащиеся	23416.0	197.0	2567.0	7565.0	5053.0	1414.0	6126.0	474.0	20.0	-	-
безработные	34776.0	64.0	4587.0	3365.0	10158.0	4487.0	8369.0	3265.0	471.0	9.0	1.0
из них:											
учащиеся	9077.0	7.0	243.0	2631.0	809.0	409.0	4158.0	730.0	90.0	-	-
Экономически неактивные	173972.0	293.0	13382.0	19879.0	28890.0	11241.0	61636.0	32426.0	5772.0	441.0	12.0
Сельское население	229646.0	202.0	19104.0	4157.0	65961.0	44600.0	36996.0	43862.0	13651.0	1112.0	1.0
Экономически активные	144672.0	171.0	16250.0	2763.0	50431.0	31806.0	22858.0	16624.0	3659.0	109.0	1.0
в том числе:											
занятые в экономике	114630.0	161.0	15271.0	2412.0	42746.0	24312.0	16962.0	10514.0	2197.0	54.0	1.0
из них:											
учащиеся	3946.0	15.0	249.0	900.0	1340.0	343.0	967.0	122.0	10.0	-	-
безработные	30042.0	10.0	979.0	351.0	7685.0	7494.0	5896.0	6110.0	1462.0	55.0	-
из них:											
учащиеся	1101.0	1.0	13.0	117.0	133.0	72.0	388.0	341.0	36.0	-	-
Экономически неактивные	84974.0	31.0	2854.0	1394.0	15530.0	12794.0	14138.0	27238.0	9992.0	1003.0	-
Читинская область											
Городское и сельское  население	772390.0	1275.0	94294.0	18889.0	210731.0	95016.0	166699.0	141721.0	38391.0	3319.0	2055.0
Экономически активные	498231.0	1103.0	81586.0	12191.0	164420.0	68787.0	103349.0	55914.0	10186.0	381.0	314.0
в том числе:											
занятые в экономике	410344.0	1063.0	77489.0	10474.0	144035.0	54363.0	79746.0	36673.0	6191.0	186.0	124.0
из них:											
учащиеся	22124.0	74.0	2067.0	4830.0	7026.0	1461.0	6031.0	604.0	29.0	1.0	1.0
безработные	87887.0	40.0	4097.0	1717.0	20385.0	14424.0	23603.0	19241.0	3995.0	195.0	190.0
из них:											
учащиеся	5662.0	-	136.0	983.0	664.0	270.0	2340.0	1070.0	195.0	1.0	3.0
Экономически неактивные	265563.0	172.0	12461.0	6607.0	45282.0	25738.0	62146.0	82660.0	26995.0	2833.0	669.0
Городское население	503947.0	1177.0	77233.0	15987.0	152683.0	55208.0	109921.0	73640.0	15069.0	1174.0	1855.0
Экономически активные	338858.0	1020.0	67006.0	10140.0	120606.0	41505.0	67068.0	27239.0	3911.0	114.0	249.0
в том числе:											
занятые в экономике	291177.0	982.0	63839.0	8715.0	107564.0	34379.0	54052.0	18981.0	2501.0	79.0	85.0
из них:											
учащиеся	18255.0	71.0	1804.0	4070.0	5688.0	1178.0	4946.0	482.0	14.0	1.0	1.0
безработные	47681.0	38.0	3167.0	1425.0	13042.0	7126.0	13016.0	8258.0	1410.0	35.0	164.0
из них:											
учащиеся	4557.0	-	121.0	880.0	530.0	203.0	1982.0	711.0	129.0	1.0	-
Экономически неактивные	159993.0	157.0	10061.0	5797.0	31382.0	13412.0	42051.0	44820.0	10694.0	1016.0	603.0
Сельское население	268443.0	98.0	17061.0	2902.0	58048.0	39808.0	56778.0	68081.0	23322.0	2145.0	200.0
Экономически активные	159373.0	83.0	14580.0	2051.0	43814.0	27282.0	36281.0	28675.0	6275.0	267.0	65.0
в том числе:											
занятые в экономике	119167.0	81.0	13650.0	1759.0	36471.0	19984.0	25694.0	17692.0	3690.0	107.0	39.0
из них:											
учащиеся	3869.0	3.0	263.0	760.0	1338.0	283.0	1085.0	122.0	15.0	-	-
безработные	40206.0	2.0	930.0	292.0	7343.0	7298.0	10587.0	10983.0	2585.0	160.0	26.0
из них:											
учащиеся	1105.0	-	15.0	103.0	134.0	67.0	358.0	359.0	66.0	-	3.0
Экономически неактивные	105570.0	15.0	2400.0	810.0	13900.0	12326.0	20095.0	37840.0	16301.0	1817.0	66.0
Агинский Бурятский автономный округ											
Городское и сельское  население	46342.0	31.0	6207.0	1266.0	9630.0	4030.0	13947.0	8977.0	1943.0	303.0	8.0
Экономически активные	27501.0	30.0	5287.0	886.0	7164.0	2705.0	8320.0	2705.0	385.0	15.0	4.0
в том числе:											
занятые в экономике	20965.0	30.0	4890.0	718.0	5845.0	1938.0	5667.0	1652.0	214.0	8.0	3.0
из них:											
учащиеся	1408.0	2.0	191.0	470.0	401.0	50.0	285.0	8.0	1.0	-	-
безработные	6536.0	-	397.0	168.0	1319.0	767.0	2653.0	1053.0	171.0	7.0	1.0
из них:											
учащиеся	366.0	-	14.0	91.0	59.0	15.0	153.0	31.0	3.0	-	-
Экономически неактивные	18731.0	1.0	914.0	379.0	2453.0	1323.0	5605.0	6221.0	1547.0	284.0	4.0
Городское население	16956.0	27.0	3089.0	637.0	4221.0	1251.0	4123.0	3036.0	516.0	52.0	4.0
Экономически активные	10816.0	27.0	2727.0	456.0	3257.0	880.0	2456.0	908.0	100.0	3.0	2.0
в том числе:											
занятые в экономике	8645.0	27.0	2554.0	379.0	2698.0	632.0	1761.0	534.0	58.0	1.0	1.0
из них:											
учащиеся	737.0	1.0	132.0	262.0	202.0	17.0	118.0	5.0	-	-	-
безработные	2171.0	-	173.0	77.0	559.0	248.0	695.0	374.0	42.0	2.0	1.0
из них:											
учащиеся	173.0	-	8.0	49.0	29.0	5.0	68.0	11.0	3.0	-	-
Экономически неактивные	6097.0	-	360.0	180.0	958.0	369.0	1660.0	2109.0	411.0	48.0	2.0
Сельское население	29386.0	4.0	3118.0	629.0	5409.0	2779.0	9824.0	5941.0	1427.0	251.0	4.0
Экономически активные	16685.0	3.0	2560.0	430.0	3907.0	1825.0	5864.0	1797.0	285.0	12.0	2.0
в том числе:											
занятые в экономике	12320.0	3.0	2336.0	339.0	3147.0	1306.0	3906.0	1118.0	156.0	7.0	2.0
из них:											
учащиеся	671.0	1.0	59.0	208.0	199.0	33.0	167.0	3.0	1.0	-	-
безработные	4365.0	-	224.0	91.0	760.0	519.0	1958.0	679.0	129.0	5.0	-
из них:											
учащиеся	193.0	-	6.0	42.0	30.0	10.0	85.0	20.0	-	-	-
Экономически неактивные	12634.0	1.0	554.0	199.0	1495.0	954.0	3945.0	4112.0	1136.0	236.0	2.0
Дальневосточный федеральный округ											
Городское и сельское  население	4757757.0	10778.0	779360.0	151209.0	1487523.0	635217.0	896677.0	621739.0	119850.0	8201.0	47203.0
Экономически активные	3267438.0	9525.0	681133.0	96521.0	1194511.0	479932.0	538402.0	229297.0	32761.0	1012.0	4344.0
в том числе:											
занятые в экономике	2869370.0	9187.0	648530.0	83343.0	1081621.0	407283.0	442967.0	168733.0	23459.0	784.0	3463.0
из них:											
учащиеся	144182.0	654.0	11587.0	31820.0	44252.0	11486.0	39888.0	4302.0	177.0	2.0	14.0
безработные	398068.0	338.0	32603.0	13178.0	112890.0	72649.0	95435.0	60564.0	9302.0	228.0	881.0
из них:											
учащиеся	39405.0	14.0	811.0	7367.0	4898.0	2040.0	17966.0	5804.0	490.0	1.0	14.0
Экономически неактивные	1415705.0	1201.0	95892.0	53335.0	286235.0	152748.0	350813.0	380641.0	83888.0	7000.0	3952.0
Городское население	3685777.0	9821.0	680428.0	134030.0	1209567.0	440513.0	686292.0	411659.0	63781.0	3908.0	45778.0
Экономически активные	2574761.0	8707.0	595099.0	84466.0	976974.0	339411.0	403420.0	144774.0	17665.0	589.0	3656.0
в том числе:											
занятые в экономике	2302843.0	8442.0	567081.0	72872.0	892305.0	295610.0	337977.0	111630.0	13553.0	508.0	2865.0
из них:											
учащиеся	123916.0	621.0	10302.0	28399.0	37021.0	9533.0	34239.0	3652.0	135.0	1.0	13.0
безработные	271918.0	265.0	28018.0	11594.0	84669.0	43801.0	65443.0	33144.0	4112.0	81.0	791.0
из них:											
учащиеся	34680.0	13.0	772.0	6860.0	4262.0	1710.0	16078.0	4653.0	317.0	1.0	14.0
Экономически неактивные	1046350.0	1077.0	83368.0	48311.0	227023.0	99503.0	276805.0	259197.0	44299.0	3222.0	3545.0
Сельское население	1071980.0	957.0	98932.0	17179.0	277956.0	194704.0	210385.0	210080.0	56069.0	4293.0	1425.0
Экономически активные	692677.0	818.0	86034.0	12055.0	217537.0	140521.0	134982.0	84523.0	15096.0	423.0	688.0
в том числе:											
занятые в экономике	566527.0	745.0	81449.0	10471.0	189316.0	111673.0	104990.0	57103.0	9906.0	276.0	598.0
из них:											
учащиеся	20266.0	33.0	1285.0	3421.0	7231.0	1953.0	5649.0	650.0	42.0	1.0	1.0
безработные	126150.0	73.0	4585.0	1584.0	28221.0	28848.0	29992.0	27420.0	5190.0	147.0	90.0
из них:											
учащиеся	4725.0	1.0	39.0	507.0	636.0	330.0	1888.0	1151.0	173.0	-	-
Экономически неактивные	369355.0	124.0	12524.0	5024.0	59212.0	53245.0	74008.0	121444.0	39589.0	3778.0	407.0
Республика Саха (Якутия)											
Городское и сельское  население	658753.0	1518.0	97618.0	22057.0	200162.0	78974.0	162051.0	76539.0	14827.0	1801.0	3206.0
Экономически активные	464075.0	1376.0	88178.0	15004.0	167285.0	62789.0	100972.0	24115.0	3562.0	214.0	580.0
в том числе:											
занятые в экономике	418585.0	1340.0	85182.0	13451.0	155506.0	55506.0	85085.0	19052.0	2805.0	172.0	486.0
из них:											
учащиеся	27426.0	138.0	2477.0	6079.0	8985.0	2004.0	7167.0	545.0	29.0	1.0	1.0
безработные	45490.0	36.0	2996.0	1553.0	11779.0	7283.0	15887.0	5063.0	757.0	42.0	94.0
из них:											
учащиеся	5531.0	-	102.0	900.0	726.0	298.0	2752.0	674.0	79.0	-	-
Экономически неактивные	187272.0	136.0	9124.0	6834.0	31948.0	15874.0	59651.0	50672.0	10869.0	1552.0	612.0
Городское население	444734.0	1363.0	77446.0	16884.0	145238.0	46660.0	102032.0	45122.0	6592.0	572.0	2825.0
Экономически активные	325186.0	1242.0	69855.0	11278.0	122975.0	38416.0	63557.0	15547.0	1835.0	76.0	405.0
в том числе:											
занятые в экономике	298377.0	1212.0	67470.0	10124.0	115013.0	34844.0	55244.0	12581.0	1482.0	72.0	335.0
из них:											
учащиеся	19850.0	119.0	1971.0	4499.0	6087.0	1360.0	5330.0	461.0	22.0	-	1.0
безработные	26809.0	30.0	2385.0	1154.0	7962.0	3572.0	8313.0	2966.0	353.0	4.0	70.0
из них:											
учащиеся	3961.0	-	85.0	701.0	575.0	189.0	1952.0	426.0	33.0	-	-
Экономически неактивные	114035.0	116.0	7316.0	5416.0	21536.0	8096.0	37474.0	28567.0	4564.0	475.0	475.0
Сельское население	214019.0	155.0	20172.0	5173.0	54924.0	32314.0	60019.0	31417.0	8235.0	1229.0	381.0
Экономически активные	138889.0	134.0	18323.0	3726.0	44310.0	24373.0	37415.0	8568.0	1727.0	138.0	175.0
в том числе:											
занятые в экономике	120208.0	128.0	17712.0	3327.0	40493.0	20662.0	29841.0	6471.0	1323.0	100.0	151.0
из них:											
учащиеся	7576.0	19.0	506.0	1580.0	2898.0	644.0	1837.0	84.0	7.0	1.0	-
безработные	18681.0	6.0	611.0	399.0	3817.0	3711.0	7574.0	2097.0	404.0	38.0	24.0
из них:											
учащиеся	1570.0	-	17.0	199.0	151.0	109.0	800.0	248.0	46.0	-	-
Экономически неактивные	73237.0	20.0	1808.0	1418.0	10412.0	7778.0	22177.0	22105.0	6305.0	1077.0	137.0
Приморский край											
Городское и сельское  население	1468907.0	3588.0	253678.0	49449.0	468565.0	192530.0	257064.0	183317.0	36230.0	2205.0	22281.0
Экономически активные	998462.0	3104.0	218183.0	29865.0	372688.0	144255.0	150011.0	67500.0	10120.0	315.0	2421.0
в том числе:											
занятые в экономике	868386.0	2965.0	206018.0	25096.0	335010.0	121381.0	120750.0	48074.0	7045.0	262.0	1785.0
из них:											
учащиеся	30721.0	186.0	2197.0	7686.0	8141.0	2178.0	9317.0	966.0	42.0	-	8.0
безработные	130076.0	139.0	12165.0	4769.0	37678.0	22874.0	29261.0	19426.0	3075.0	53.0	636.0
из них:											
учащиеся	11993.0	8.0	250.0	2649.0	1085.0	474.0	5481.0	1881.0	153.0	-	12.0
Экономически неактивные	438451.0	460.0	34440.0	18930.0	93237.0	47090.0	104197.0	111146.0	24843.0	1814.0	2294.0
Городское население	1170974.0	3237.0	224204.0	45060.0	391210.0	133966.0	205869.0	124348.0	20001.0	1133.0	21946.0
Экономически активные	807640.0	2810.0	193411.0	27022.0	313072.0	102553.0	117681.0	42935.0	5655.0	233.0	2268.0
в том числе:											
занятые в экономике	719437.0	2697.0	182931.0	22722.0	284923.0	89707.0	97172.0	33004.0	4397.0	218.0	1666.0
из них:											
учащиеся	27135.0	179.0	1962.0	7123.0	7003.0	1808.0	8224.0	797.0	31.0	-	8.0
безработные	88203.0	113.0	10480.0	4300.0	28149.0	12846.0	20509.0	9931.0	1258.0	15.0	602.0
из них:											
учащиеся	10878.0	8.0	249.0	2528.0	926.0	391.0	5147.0	1513.0	104.0	-	12.0
Экономически неактивные	335082.0	412.0	29907.0	17435.0	75983.0	30661.0	85783.0	78232.0	13617.0	864.0	2188.0
Сельское население	297933.0	351.0	29474.0	4389.0	77355.0	58564.0	51195.0	58969.0	16229.0	1072.0	335.0
Экономически активные	190822.0	294.0	24772.0	2843.0	59616.0	41702.0	32330.0	24565.0	4465.0	82.0	153.0
в том числе:											
занятые в экономике	148949.0	268.0	23087.0	2374.0	50087.0	31674.0	23578.0	15070.0	2648.0	44.0	119.0
из них:											
учащиеся	3586.0	7.0	235.0	563.0	1138.0	370.0	1093.0	169.0	11.0	-	-
безработные	41873.0	26.0	1685.0	469.0	9529.0	10028.0	8752.0	9495.0	1817.0	38.0	34.0
из них:											
учащиеся	1115.0	-	1.0	121.0	159.0	83.0	334.0	368.0	49.0	-	-
Экономически неактивные	103369.0	48.0	4533.0	1495.0	17254.0	16429.0	18414.0	32914.0	11226.0	950.0	106.0
Хабаровский край											
Городское и сельское  население	1022156.0	3000.0	193807.0	36801.0	313117.0	136237.0	177154.0	134268.0	22495.0	1243.0	4034.0
Экономически активные	707953.0	2676.0	169380.0	22813.0	249438.0	102243.0	103272.0	51121.0	6304.0	151.0	555.0
в том числе:											
занятые в экономике	629433.0	2600.0	161919.0	19712.0	227149.0	87603.0	86237.0	38958.0	4647.0	112.0	496.0
из них:											
учащиеся	34770.0	197.0	2954.0	7560.0	10194.0	2874.0	9833.0	1116.0	38.0	1.0	3.0
безработные	78520.0	76.0	7461.0	3101.0	22289.0	14640.0	17035.0	12163.0	1657.0	39.0	59.0
из них:											
учащиеся	10165.0	-	198.0	1871.0	1308.0	554.0	4616.0	1511.0	107.0	-	-
Экономически неактивные	304932.0	314.0	24004.0	13815.0	62588.0	33549.0	72651.0	80972.0	15596.0	1066.0	377.0
Городское население	834681.0	2809.0	174641.0	33687.0	262644.0	102231.0	144632.0	94684.0	14846.0	854.0	3653.0
Экономически активные	583626.0	2517.0	152464.0	20632.0	209586.0	77579.0	82504.0	33967.0	3995.0	112.0	270.0
в том числе:											
занятые в экономике	524468.0	2452.0	145758.0	17785.0	191734.0	67441.0	69347.0	26556.0	3082.0	87.0	226.0
из них:											
учащиеся	31351.0	194.0	2700.0	7123.0	9031.0	2528.0	8787.0	953.0	32.0	1.0	2.0
