													
4. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ОДИН ИСТОЧНИК СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Население, указавшее один источник средств к существованию	в том числе указали источником средств к существованию											
20 – 29	30881.0	19034.0	892.0	259.0	37.0	669.0	634.0	321.0	307.0	29.0	9.0	8449.0	241.0
30 – 49	59938.0	42926.0	4223.0	13.0	962.0	2581.0	591.0	743.0	340.0	90.0	16.0	6735.0	718.0
50 – 54	6904.0	3407.0	425.0	-	1921.0	573.0	16.0	43.0	50.0	11.0	3.0	372.0	83.0
55 – 59	3109.0	435.0	13.0	-	2294.0	286.0	3.0	1.0	31.0	-	-	39.0	7.0
60 – 64	3724.0	104.0	2.0	-	3365.0	221.0	1.0	-	27.0	-	-	1.0	3.0
65 и более	10928.0	25.0	4.0	-	10445.0	399.0	8.0	-	35.0	-	-	10.0	2.0
возраст не указан	5.0	-	1.0	-	-	-	2.0	-	-	-	-	2.0	-
Мужчины	69344.0	34071.0	3912.0	307.0	6523.0	2758.0	2360.0	609.0	714.0	89.0	19.0	17105.0	877.0
из них в возрасте, лет:													
до 15	5580.0	1.0	1.0	2.0	56.0	40.0	1881.0	-	81.0	-	-	3517.0	1.0
15 – 19	6267.0	1013.0	61.0	168.0	53.0	139.0	400.0	54.0	81.0	1.0	2.0	4266.0	29.0
20 – 29	16218.0	9761.0	551.0	130.0	9.0	392.0	15.0	167.0	257.0	21.0	4.0	4724.0	187.0
30 – 49	30336.0	20274.0	2874.0	7.0	256.0	1457.0	46.0	346.0	222.0	59.0	10.0	4214.0	571.0
50 – 54	4217.0	2663.0	408.0	-	295.0	340.0	11.0	41.0	27.0	8.0	3.0	344.0	77.0
55 – 59	1439.0	284.0	12.0	-	940.0	141.0	2.0	1.0	19.0	-	-	33.0	7.0
60 – 64	1544.0	60.0	2.0	-	1374.0	92.0	1.0	-	11.0	-	-	1.0	3.0
65 и более	3741.0	15.0	2.0	-	3540.0	157.0	4.0	-	16.0	-	-	5.0	2.0
возраст не указан	2.0	-	1.0	-	-	-	-	-	-	-	-	1.0	-
Женщины	68819.0	33711.0	1758.0	274.0	12703.0	2262.0	3388.0	595.0	324.0	43.0	11.0	13524.0	226.0
из них в возрасте, лет:													
до 15	5265.0	-	-	-	44.0	31.0	1775.0	-	64.0	-	-	3350.0	1.0
15 – 19	5562.0	837.0	48.0	139.0	49.0	81.0	437.0	42.0	22.0	1.0	-	3888.0	18.0
20 – 29	14663.0	9273.0	341.0	129.0	28.0	277.0	619.0	154.0	50.0	8.0	5.0	3725.0	54.0
30 – 49	29602.0	22652.0	1349.0	6.0	706.0	1124.0	545.0	397.0	118.0	31.0	6.0	2521.0	147.0
50 – 54	2687.0	744.0	17.0	-	1626.0	233.0	5.0	2.0	23.0	3.0	-	28.0	6.0
55 – 59	1670.0	151.0	1.0	-	1354.0	145.0	1.0	-	12.0	-	-	6.0	-
60 – 64	2180.0	44.0	-	-	1991.0	129.0	-	-	16.0	-	-	-	-
65 и более	7187.0	10.0	2.0	-	6905.0	242.0	4.0	-	19.0	-	-	5.0	-
возраст не указан	3.0	-	-	-	-	-	2.0	-	-	-	-	1.0	-
Приморский край													
Городское и сельское население	1494730.0	757284.0	18057.0	5851.0	264547.0	39078.0	11537.0	20089.0	15941.0	2417.0	349.0	337410.0	22170.0
из него в возрасте, лет:													
до 15	149640.0	29.0	4.0	23.0	388.0	402.0	5205.0	-	2889.0	8.0	36.0	140479.0	177.0
15 – 19	125816.0	33113.0	290.0	3941.0	593.0	964.0	1285.0	792.0	2392.0	33.0	32.0	81579.0	802.0
20 – 29	285968.0	200207.0	3048.0	1842.0	337.0	3627.0	2518.0	5161.0	5465.0	556.0	78.0	57800.0	5329.0
30 – 49	525766.0	413451.0	11028.0	44.0	7472.0	13866.0	2159.0	11117.0	4611.0	1492.0	151.0	48001.0	12374.0
50 – 54	119414.0	84167.0	2829.0	-	11534.0	7020.0	257.0	2604.0	332.0	267.0	39.0	7921.0	2444.0
55 – 59	59842.0	21913.0	767.0	-	30358.0	4243.0	55.0	414.0	110.0	57.0	9.0	1179.0	737.0
60 – 64	75324.0	3311.0	51.0	-	68169.0	3346.0	20.0	-	65.0	2.0	1.0	171.0	188.0
65 и более	152763.0	999.0	38.0	-	145685.0	5604.0	36.0	-	61.0	2.0	2.0	233.0	103.0
возраст не указан	197.0	94.0	2.0	1.0	11.0	6.0	2.0	1.0	16.0	-	1.0	47.0	16.0
Мужчины	729655.0	418383.0	10179.0	2792.0	87055.0	21028.0	3842.0	7833.0	12921.0	1496.0	176.0	149561.0	14389.0
из них в возрасте, лет:													
до 15	76595.0	16.0	2.0	15.0	211.0	229.0	2666.0	-	1598.0	6.0	20.0	71743.0	89.0
15 – 19	73709.0	27024.0	153.0	1895.0	288.0	596.0	548.0	283.0	2055.0	17.0	18.0	40371.0	461.0
20 – 29	154919.0	118624.0	1639.0	861.0	101.0	2278.0	161.0	1926.0	4892.0	335.0	35.0	20776.0	3291.0
30 – 49	262396.0	212293.0	6080.0	21.0	5065.0	7844.0	342.0	4289.0	3943.0	924.0	71.0	13470.0	8054.0
50 – 54	55560.0	40935.0	1546.0	-	4545.0	3417.0	66.0	921.0	248.0	158.0	19.0	2108.0	1597.0
55 – 59	29553.0	16717.0	712.0	-	7390.0	2540.0	37.0	414.0	95.0	53.0	9.0	923.0	663.0
60 – 64	28923.0	2114.0	28.0	-	24792.0	1706.0	10.0	-	50.0	2.0	1.0	71.0	149.0
65 и более	47887.0	604.0	18.0	-	44658.0	2417.0	12.0	-	25.0	1.0	2.0	77.0	73.0
возраст не указан	113.0	56.0	1.0	-	5.0	1.0	-	-	15.0	-	1.0	22.0	12.0
Женщины	765075.0	338901.0	7878.0	3059.0	177492.0	18050.0	7695.0	12256.0	3020.0	921.0	173.0	187849.0	7781.0
из них в возрасте, лет:													
до 15	73045.0	13.0	2.0	8.0	177.0	173.0	2539.0	-	1291.0	2.0	16.0	68736.0	88.0
15 – 19	52107.0	6089.0	137.0	2046.0	305.0	368.0	737.0	509.0	337.0	16.0	14.0	41208.0	341.0
20 – 29	131049.0	81583.0	1409.0	981.0	236.0	1349.0	2357.0	3235.0	573.0	221.0	43.0	37024.0	2038.0
30 – 49	263370.0	201158.0	4948.0	23.0	2407.0	6022.0	1817.0	6828.0	668.0	568.0	80.0	34531.0	4320.0
50 – 54	63854.0	43232.0	1283.0	-	6989.0	3603.0	191.0	1683.0	84.0	109.0	20.0	5813.0	847.0
55 – 59	30289.0	5196.0	55.0	-	22968.0	1703.0	18.0	-	15.0	4.0	-	256.0	74.0
60 – 64	46401.0	1197.0	23.0	-	43377.0	1640.0	10.0	-	15.0	-	-	100.0	39.0
65 и более	104876.0	395.0	20.0	-	101027.0	3187.0	24.0	-	36.0	1.0	-	156.0	30.0
возраст не указан	84.0	38.0	1.0	1.0	6.0	5.0	2.0	1.0	1.0	-	-	25.0	4.0
Городское население	1242559.0	645871.0	5291.0	5171.0	216476.0	30151.0	7806.0	11650.0	11640.0	2209.0	307.0	290515.0	15472.0
из него в возрасте, лет:													
до 15	130142.0	29.0	3.0	19.0	229.0	271.0	3115.0	-	2025.0	5.0	30.0	124250.0	166.0
15 – 19	103705.0	24874.0	51.0	3391.0	383.0	579.0	763.0	393.0	2075.0	29.0	23.0	70642.0	502.0
20 – 29	232963.0	166947.0	688.0	1720.0	240.0	2448.0	1942.0	2935.0	3992.0	514.0	70.0	47939.0	3528.0
30 – 49	437977.0	356767.0	3337.0	40.0	5852.0	10471.0	1703.0	6466.0	3212.0	1360.0	139.0	39871.0	8759.0
50 – 54	100185.0	73786.0	946.0	-	9373.0	5489.0	191.0	1638.0	213.0	243.0	36.0	6548.0	1722.0
55 – 59	50111.0	19334.0	217.0	-	25391.0	3379.0	46.0	217.0	63.0	55.0	7.0	878.0	524.0
60 – 64	62346.0	3098.0	25.0	-	56158.0	2719.0	18.0	-	22.0	1.0	1.0	141.0	163.0
65 и более	124975.0	961.0	24.0	-	118840.0	4792.0	26.0	-	28.0	2.0	-	209.0	93.0
возраст не указан	155.0	75.0	-	1.0	10.0	3.0	2.0	1.0	10.0	-	1.0	37.0	15.0
Мужчины	598415.0	351787.0	2840.0	2484.0	70506.0	15647.0	2400.0	4434.0	9526.0	1355.0	152.0	127550.0	9734.0
из них в возрасте, лет:													
до 15	66563.0	16.0	2.0	11.0	130.0	152.0	1580.0	-	1176.0	3.0	17.0	63393.0	83.0
15 – 19	59308.0	19821.0	29.0	1641.0	179.0	342.0	323.0	127.0	1827.0	16.0	11.0	34717.0	275.0
20 – 29	123333.0	96726.0	332.0	811.0	78.0	1490.0	131.0	1106.0	3554.0	303.0	30.0	16698.0	2074.0
30 – 49	216413.0	182617.0	1751.0	21.0	3967.0	5796.0	269.0	2464.0	2717.0	836.0	67.0	10347.0	5561.0
50 – 54	45946.0	35492.0	507.0	-	3811.0	2571.0	50.0	520.0	161.0	144.0	18.0	1597.0	1075.0
55 – 59	24475.0	14529.0	197.0	-	6325.0	1941.0	30.0	217.0	57.0	51.0	7.0	659.0	462.0
60 – 64	23558.0	1956.0	12.0	-	20038.0	1342.0	10.0	-	17.0	1.0	1.0	55.0	126.0
65 и более	38732.0	585.0	10.0	-	35974.0	2013.0	7.0	-	8.0	1.0	-	67.0	67.0
возраст не указан	87.0	45.0	-	-	4.0	-	-	-	9.0	-	1.0	17.0	11.0
Женщины	644144.0	294084.0	2451.0	2687.0	145970.0	14504.0	5406.0	7216.0	2114.0	854.0	155.0	162965.0	5738.0
из них в возрасте, лет:													
до 15	63579.0	13.0	1.0	8.0	99.0	119.0	1535.0	-	849.0	2.0	13.0	60857.0	83.0
15 – 19	44397.0	5053.0	22.0	1750.0	204.0	237.0	440.0	266.0	248.0	13.0	12.0	35925.0	227.0
20 – 29	109630.0	70221.0	356.0	909.0	162.0	958.0	1811.0	1829.0	438.0	211.0	40.0	31241.0	1454.0
30 – 49	221564.0	174150.0	1586.0	19.0	1885.0	4675.0	1434.0	4002.0	495.0	524.0	72.0	29524.0	3198.0
50 – 54	54239.0	38294.0	439.0	-	5562.0	2918.0	141.0	1118.0	52.0	99.0	18.0	4951.0	647.0
55 – 59	25636.0	4805.0	20.0	-	19066.0	1438.0	16.0	-	6.0	4.0	-	219.0	62.0
60 – 64	38788.0	1142.0	13.0	-	36120.0	1377.0	8.0	-	5.0	-	-	86.0	37.0
65 и более	86243.0	376.0	14.0	-	82866.0	2779.0	19.0	-	20.0	1.0	-	142.0	26.0
возраст не указан	68.0	30.0	-	1.0	6.0	3.0	2.0	1.0	1.0	-	-	20.0	4.0
Сельское население	252171.0	111413.0	12766.0	680.0	48071.0	8927.0	3731.0	8439.0	4301.0	208.0	42.0	46895.0	6698.0
из него в возрасте, лет:													
до 15	19498.0	-	1.0	4.0	159.0	131.0	2090.0	-	864.0	3.0	6.0	16229.0	11.0
15 – 19	22111.0	8239.0	239.0	550.0	210.0	385.0	522.0	399.0	317.0	4.0	9.0	10937.0	300.0
20 – 29	53005.0	33260.0	2360.0	122.0	97.0	1179.0	576.0	2226.0	1473.0	42.0	8.0	9861.0	1801.0
30 – 49	87789.0	56684.0	7691.0	4.0	1620.0	3395.0	456.0	4651.0	1399.0	132.0	12.0	8130.0	3615.0
50 – 54	19229.0	10381.0	1883.0	-	2161.0	1531.0	66.0	966.0	119.0	24.0	3.0	1373.0	722.0
55 – 59	9731.0	2579.0	550.0	-	4967.0	864.0	9.0	197.0	47.0	2.0	2.0	301.0	213.0
60 – 64	12978.0	213.0	26.0	-	12011.0	627.0	2.0	-	43.0	1.0	-	30.0	25.0
65 и более	27788.0	38.0	14.0	-	26845.0	812.0	10.0	-	33.0	-	2.0	24.0	10.0
возраст не указан	42.0	19.0	2.0	-	1.0	3.0	-	-	6.0	-	-	10.0	1.0
Мужчины	131240.0	66596.0	7339.0	308.0	16549.0	5381.0	1442.0	3399.0	3395.0	141.0	24.0	22011.0	4655.0
из них в возрасте, лет:													
до 15	10032.0	-	-	4.0	81.0	77.0	1086.0	-	422.0	3.0	3.0	8350.0	6.0
15 – 19	14401.0	7203.0	124.0	254.0	109.0	254.0	225.0	156.0	228.0	1.0	7.0	5654.0	186.0
20 – 29	31586.0	21898.0	1307.0	50.0	23.0	788.0	30.0	820.0	1338.0	32.0	5.0	4078.0	1217.0
30 – 49	45983.0	29676.0	4329.0	-	1098.0	2048.0	73.0	1825.0	1226.0	88.0	4.0	3123.0	2493.0
50 – 54	9614.0	5443.0	1039.0	-	734.0	846.0	16.0	401.0	87.0	14.0	1.0	511.0	522.0
55 – 59	5078.0	2188.0	515.0	-	1065.0	599.0	7.0	197.0	38.0	2.0	2.0	264.0	201.0
60 – 64	5365.0	158.0	16.0	-	4754.0	364.0	-	-	33.0	1.0	-	16.0	23.0
65 и более	9155.0	19.0	8.0	-	8684.0	404.0	5.0	-	17.0	-	2.0	10.0	6.0
возраст не указан	26.0	11.0	1.0	-	1.0	1.0	-	-	6.0	-	-	5.0	1.0
Женщины	120931.0	44817.0	5427.0	372.0	31522.0	3546.0	2289.0	5040.0	906.0	67.0	18.0	24884.0	2043.0
из них в возрасте, лет:													
до 15	9466.0	-	1.0	-	78.0	54.0	1004.0	-	442.0	-	3.0	7879.0	5.0
15 – 19	7710.0	1036.0	115.0	296.0	101.0	131.0	297.0	243.0	89.0	3.0	2.0	5283.0	114.0
20 – 29	21419.0	11362.0	1053.0	72.0	74.0	391.0	546.0	1406.0	135.0	10.0	3.0	5783.0	584.0
30 – 49	41806.0	27008.0	3362.0	4.0	522.0	1347.0	383.0	2826.0	173.0	44.0	8.0	5007.0	1122.0
50 – 54	9615.0	4938.0	844.0	-	1427.0	685.0	50.0	565.0	32.0	10.0	2.0	862.0	200.0
55 – 59	4653.0	391.0	35.0	-	3902.0	265.0	2.0	-	9.0	-	-	37.0	12.0
60 – 64	7613.0	55.0	10.0	-	7257.0	263.0	2.0	-	10.0	-	-	14.0	2.0
65 и более	18633.0	19.0	6.0	-	18161.0	408.0	5.0	-	16.0	-	-	14.0	4.0
возраст не указан	16.0	8.0	1.0	-	-	2.0	-	-	-	-	-	5.0	-
Хабаровский край 													
Городское и сельское население	1048301.0	532874.0	7643.0	6131.0	183588.0	23047.0	12711.0	9561.0	15492.0	1259.0	242.0	231329.0	24424.0
из него в возрасте, лет:													
до 15	105657.0	13.0	1.0	22.0	346.0	308.0	7083.0	-	2881.0	2.0	34.0	94757.0	210.0
15 – 19	97573.0	26880.0	164.0	4352.0	525.0	659.0	1528.0	272.0	1819.0	25.0	21.0	60277.0	1051.0
20 – 29	216602.0	153866.0	1284.0	1710.0	281.0	2393.0	2112.0	2352.0	5289.0	318.0	63.0	40806.0	6128.0
30 – 49	366902.0	290602.0	4798.0	45.0	5693.0	8587.0	1749.0	5796.0	4105.0	787.0	101.0	30701.0	13938.0
50 – 54	76052.0	48461.0	1072.0	-	14589.0	3953.0	144.0	1021.0	366.0	96.0	17.0	3966.0	2367.0
55 – 59	35554.0	10709.0	241.0	-	21065.0	2109.0	26.0	120.0	140.0	23.0	2.0	577.0	542.0
60 – 64	46516.0	1718.0	33.0	-	42750.0	1600.0	28.0	-	174.0	3.0	1.0	96.0	113.0
65 и более	103386.0	592.0	48.0	-	98331.0	3437.0	41.0	-	718.0	5.0	3.0	140.0	71.0
возраст не указан	59.0	33.0	2.0	2.0	8.0	1.0	-	-	-	-	-	9.0	4.0
Мужчины	514005.0	294636.0	4124.0	3059.0	58348.0	12985.0	4728.0	3943.0	11715.0	742.0	120.0	104300.0	15305.0
из них в возрасте, лет:													
до 15	54138.0	7.0	1.0	16.0	178.0	183.0	3587.0	-	1672.0	1.0	22.0	48363.0	108.0
15 – 19	56685.0	22096.0	91.0	2257.0	272.0	431.0	683.0	108.0	1423.0	12.0	12.0	28707.0	593.0
20 – 29	117757.0	90499.0	679.0	768.0	98.0	1459.0	112.0	921.0	4532.0	173.0	34.0	14955.0	3527.0
30 – 49	181631.0	145475.0	2470.0	17.0	3289.0	5053.0	258.0	2286.0	3346.0	478.0	39.0	10136.0	8784.0
50 – 54	37809.0	26852.0	638.0	-	3954.0	2208.0	56.0	508.0	249.0	54.0	11.0	1583.0	1696.0
55 – 59	17296.0	8251.0	204.0	-	6340.0	1316.0	12.0	120.0	100.0	20.0	1.0	455.0	477.0
60 – 64	17821.0	1093.0	16.0	-	15605.0	851.0	8.0	-	108.0	2.0	1.0	53.0	84.0
65 и более	30838.0	346.0	23.0	-	28609.0	1484.0	12.0	-	285.0	2.0	-	44.0	33.0
возраст не указан	30.0	17.0	2.0	1.0	3.0	-	-	-	-	-	-	4.0	3.0
Женщины	534296.0	238238.0	3519.0	3072.0	125240.0	10062.0	7983.0	5618.0	3777.0	517.0	122.0	127029.0	9119.0
из них в возрасте, лет:													
до 15	51519.0	6.0	-	6.0	168.0	125.0	3496.0	-	1209.0	1.0	12.0	46394.0	102.0
15 – 19	40888.0	4784.0	73.0	2095.0	253.0	228.0	845.0	164.0	396.0	13.0	9.0	31570.0	458.0
20 – 29	98845.0	63367.0	605.0	942.0	183.0	934.0	2000.0	1431.0	757.0	145.0	29.0	25851.0	2601.0
30 – 49	185271.0	145127.0	2328.0	28.0	2404.0	3534.0	1491.0	3510.0	759.0	309.0	62.0	20565.0	5154.0
50 – 54	38243.0	21609.0	434.0	-	10635.0	1745.0	88.0	513.0	117.0	42.0	6.0	2383.0	671.0
55 – 59	18258.0	2458.0	37.0	-	14725.0	793.0	14.0	-	40.0	3.0	1.0	122.0	65.0
60 – 64	28695.0	625.0	17.0	-	27145.0	749.0	20.0	-	66.0	1.0	-	43.0	29.0
65 и более	72548.0	246.0	25.0	-	69722.0	1953.0	29.0	-	433.0	3.0	3.0	96.0	38.0
возраст не указан	29.0	16.0	-	1.0	5.0	1.0	-	-	-	-	-	5.0	1.0
Городское население	866226.0	440816.0	3034.0	5551.0	154623.0	18477.0	9078.0	6447.0	12676.0	1129.0	199.0	198177.0	16019.0
из него в возрасте, лет:													
до 15	91243.0	11.0	1.0	22.0	254.0	241.0	4865.0	-	2053.0	2.0	22.0	83581.0	191.0
15 – 19	77964.0	17489.0	58.0	3900.0	367.0	454.0	968.0	149.0	1555.0	24.0	18.0	52340.0	642.0
20 – 29	175047.0	125341.0	409.0	1585.0	219.0	1737.0	1649.0	1549.0	4538.0	290.0	51.0	33627.0	4052.0
30 – 49	301362.0	244608.0	1921.0	44.0	4734.0	6692.0	1402.0	3972.0	3355.0	700.0	89.0	24767.0	9078.0
50 – 54	63420.0	41853.0	492.0	-	11972.0	3197.0	111.0	695.0	263.0	85.0	13.0	3207.0	1532.0
55 – 59	29905.0	9415.0	93.0	-	17600.0	1739.0	22.0	82.0	107.0	20.0	2.0	458.0	367.0
60 – 64	38919.0	1536.0	19.0	-	35671.0	1357.0	25.0	-	138.0	3.0	1.0	76.0	93.0
65 и более	88318.0	535.0	40.0	-	83799.0	3059.0	36.0	-	667.0	5.0	3.0	114.0	60.0
возраст не указан	48.0	28.0	1.0	-	7.0	1.0	-	-	-	-	-	7.0	4.0
Мужчины	415377.0	237005.0	1475.0	2767.0	48168.0	10196.0	3250.0	2606.0	10292.0	652.0	98.0	89297.0	9571.0
из них в возрасте, лет:													
до 15	46675.0	5.0	1.0	16.0	130.0	139.0	2450.0	-	1225.0	1.0	15.0	42595.0	98.0
15 – 19	42902.0	13530.0	28.0	2019.0	168.0	291.0	414.0	48.0	1293.0	12.0	12.0	24737.0	350.0
20 – 29	92906.0	71377.0	176.0	715.0	79.0	1056.0	96.0	592.0	4137.0	158.0	28.0	12321.0	2171.0
30 – 49	147125.0	120950.0	904.0	17.0	2748.0	3899.0	211.0	1559.0	2934.0	413.0	33.0	7978.0	5479.0
50 – 54	30874.0	22647.0	264.0	-	3260.0	1752.0	48.0	325.0	224.0	47.0	8.0	1234.0	1065.0
55 – 59	14406.0	7195.0	70.0	-	5214.0	1057.0	11.0	82.0	93.0	17.0	1.0	351.0	315.0
60 – 64	14543.0	976.0	11.0	-	12627.0	707.0	8.0	-	103.0	2.0	1.0	41.0	67.0
65 и более	25922.0	311.0	20.0	-	23939.0	1295.0	12.0	-	283.0	2.0	-	37.0	23.0
возраст не указан	24.0	14.0	1.0	-	3.0	-	-	-	-	-	-	3.0	3.0
Женщины	450849.0	203811.0	1559.0	2784.0	106455.0	8281.0	5828.0	3841.0	2384.0	477.0	101.0	108880.0	6448.0
из них в возрасте, лет:													
до 15	44568.0	6.0	-	6.0	124.0	102.0	2415.0	-	828.0	1.0	7.0	40986.0	93.0
15 – 19	35062.0	3959.0	30.0	1881.0	199.0	163.0	554.0	101.0	262.0	12.0	6.0	27603.0	292.0
20 – 29	82141.0	53964.0	233.0	870.0	140.0	681.0	1553.0	957.0	401.0	132.0	23.0	21306.0	1881.0
30 – 49	154237.0	123658.0	1017.0	27.0	1986.0	2793.0	1191.0	2413.0	421.0	287.0	56.0	16789.0	3599.0
50 – 54	32546.0	19206.0	228.0	-	8712.0	1445.0	63.0	370.0	39.0	38.0	5.0	1973.0	467.0
55 – 59	15499.0	2220.0	23.0	-	12386.0	682.0	11.0	-	14.0	3.0	1.0	107.0	52.0
60 – 64	24376.0	560.0	8.0	-	23044.0	650.0	17.0	-	35.0	1.0	-	35.0	26.0
65 и более	62396.0	224.0	20.0	-	59860.0	1764.0	24.0	-	384.0	3.0	3.0	77.0	37.0
возраст не указан	24.0	14.0	-	-	4.0	1.0	-	-	-	-	-	4.0	1.0
Сельское население	182075.0	92058.0	4609.0	580.0	28965.0	4570.0	3633.0	3114.0	2816.0	130.0	43.0	33152.0	8405.0
из него в возрасте, лет:													
до 15	14414.0	2.0	-	-	92.0	67.0	2218.0	-	828.0	-	12.0	11176.0	19.0
15 – 19	19609.0	9391.0	106.0	452.0	158.0	205.0	560.0	123.0	264.0	1.0	3.0	7937.0	409.0
20 – 29	41555.0	28525.0	875.0	125.0	62.0	656.0	463.0	803.0	751.0	28.0	12.0	7179.0	2076.0
30 – 49	65540.0	45994.0	2877.0	1.0	959.0	1895.0	347.0	1824.0	750.0	87.0	12.0	5934.0	4860.0
50 – 54	12632.0	6608.0	580.0	-	2617.0	756.0	33.0	326.0	103.0	11.0	4.0	759.0	835.0
55 – 59	5649.0	1294.0	148.0	-	3465.0	370.0	4.0	38.0	33.0	3.0	-	119.0	175.0
60 – 64	7597.0	182.0	14.0	-	7079.0	243.0	3.0	-	36.0	-	-	20.0	20.0
65 и более	15068.0	57.0	8.0	-	14532.0	378.0	5.0	-	51.0	-	-	26.0	11.0
возраст не указан	11.0	5.0	1.0	2.0	1.0	-	-	-	-	-	-	2.0	-
Мужчины	98628.0	57631.0	2649.0	292.0	10180.0	2789.0	1478.0	1337.0	1423.0	90.0	22.0	15003.0	5734.0
из них в возрасте, лет:													
до 15	7463.0	2.0	-	-	48.0	44.0	1137.0	-	447.0	-	7.0	5768.0	10.0
15 – 19	13783.0	8566.0	63.0	238.0	104.0	140.0	269.0	60.0	130.0	-	-	3970.0	243.0
20 – 29	24851.0	19122.0	503.0	53.0	19.0	403.0	16.0	329.0	395.0	15.0	6.0	2634.0	1356.0
30 – 49	34506.0	24525.0	1566.0	-	541.0	1154.0	47.0	727.0	412.0	65.0	6.0	2158.0	3305.0
50 – 54	6935.0	4205.0	374.0	-	694.0	456.0	8.0	183.0	25.0	7.0	3.0	349.0	631.0
55 – 59	2890.0	1056.0	134.0	-	1126.0	259.0	1.0	38.0	7.0	3.0	-	104.0	162.0
60 – 64	3278.0	117.0	5.0	-	2978.0	144.0	-	-	5.0	-	-	12.0	17.0
65 и более	4916.0	35.0	3.0	-	4670.0	189.0	-	-	2.0	-	-	7.0	10.0
возраст не указан	6.0	3.0	1.0	1.0	-	-	-	-	-	-	-	1.0	-
Женщины	83447.0	34427.0	1960.0	288.0	18785.0	1781.0	2155.0	1777.0	1393.0	40.0	21.0	18149.0	2671.0
из них в возрасте, лет:													
до 15	6951.0	-	-	-	44.0	23.0	1081.0	-	381.0	-	5.0	5408.0	9.0
15 – 19	5826.0	825.0	43.0	214.0	54.0	65.0	291.0	63.0	134.0	1.0	3.0	3967.0	166.0
20 – 29	16704.0	9403.0	372.0	72.0	43.0	253.0	447.0	474.0	356.0	13.0	6.0	4545.0	720.0
30 – 49	31034.0	21469.0	1311.0	1.0	418.0	741.0	300.0	1097.0	338.0	22.0	6.0	3776.0	1555.0
50 – 54	5697.0	2403.0	206.0	-	1923.0	300.0	25.0	143.0	78.0	4.0	1.0	410.0	204.0
55 – 59	2759.0	238.0	14.0	-	2339.0	111.0	3.0	-	26.0	-	-	15.0	13.0
60 – 64	4319.0	65.0	9.0	-	4101.0	99.0	3.0	-	31.0	-	-	8.0	3.0
65 и более	10152.0	22.0	5.0	-	9862.0	189.0	5.0	-	49.0	-	-	19.0	1.0
возраст не указан	5.0	2.0	-	1.0	1.0	-	-	-	-	-	-	1.0	-
Амурская область													
Городское и сельское население	604014.0	296242.0	11843.0	2422.0	106425.0	18472.0	6982.0	4953.0	8283.0	381.0	111.0	131972.0	15928.0
из него в возрасте, лет:													
до 15	54797.0	6.0	2.0	12.0	212.0	139.0	3864.0	-	1817.0	1.0	10.0	48624.0	110.0
15 – 19	50373.0	12822.0	158.0	1792.0	382.0	437.0	881.0	197.0	1229.0	4.0	3.0	31891.0	577.0
20 – 29	124248.0	85067.0	2073.0	608.0	217.0	1873.0	1243.0	1262.0	2864.0	101.0	18.0	25175.0	3747.0
30 – 49	214546.0	160521.0	7258.0	10.0	3183.0	6836.0	847.0	2785.0	1869.0	223.0	57.0	21980.0	8977.0
50 – 54	46796.0	29918.0	1846.0	-	5215.0	3434.0	94.0	607.0	155.0	36.0	17.0	3585.0	1889.0
55 – 59	21383.0	6910.0	462.0	-	10875.0	1836.0	19.0	102.0	57.0	13.0	3.0	599.0	507.0
60 – 64	28562.0	794.0	25.0	-	26237.0	1304.0	9.0	-	76.0	3.0	1.0	46.0	67.0
65 и более	63246.0	181.0	19.0	-	60102.0	2612.0	25.0	-	212.0	-	2.0	63.0	30.0
возраст не указан	63.0	23.0	-	-	2.0	1.0	-	-	4.0	-	-	9.0	24.0
Мужчины	295185.0	163095.0	5972.0	1107.0	34704.0	10253.0	2610.0	1492.0	6750.0	246.0	51.0	58798.0	10107.0
из них в возрасте, лет:													
до 15	28282.0	3.0	2.0	7.0	109.0	87.0	1989.0	-	1046.0	1.0	5.0	24975.0	58.0
15 – 19	29116.0	10321.0	74.0	842.0	189.0	298.0	396.0	58.0	1043.0	2.0	2.0	15547.0	344.0
20 – 29	67090.0	50167.0	968.0	255.0	63.0	1204.0	56.0	347.0	2692.0	62.0	6.0	9005.0	2265.0
30 – 49	106130.0	80847.0	3544.0	3.0	2003.0	3943.0	129.0	795.0	1639.0	142.0	28.0	7412.0	5645.0
50 – 54	22543.0	15536.0	934.0	-	1480.0	1695.0	20.0	190.0	122.0	24.0	7.0	1298.0	1237.0
55 – 59	10849.0	5550.0	424.0	-	2561.0	1165.0	11.0	102.0	44.0	12.0	3.0	513.0	464.0
60 – 64	11259.0	554.0	19.0	-	9810.0	734.0	4.0	-	57.0	3.0	-	26.0	52.0
65 и более	19874.0	107.0	7.0	-	18487.0	1126.0	5.0	-	104.0	-	-	18.0	20.0
возраст не указан	42.0	10.0	-	-	2.0	1.0	-	-	3.0	-	-	4.0	22.0
Женщины	308829.0	133147.0	5871.0	1315.0	71721.0	8219.0	4372.0	3461.0	1533.0	135.0	60.0	73174.0	5821.0
из них в возрасте, лет:													
до 15	26515.0	3.0	-	5.0	103.0	52.0	1875.0	-	771.0	-	5.0	23649.0	52.0
