13. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА		
В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ		
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС		
		
	Численность населения	
лица, неточно указавшие или не указавшие  занятия	2.0	0.7
Магаданская область		
Население, занятое в экономике 	18.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3.0	16.7
специалисты высшего уровня квалификации	3.0	16.7
специалисты среднего уровня квалификации	3.0	16.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1.0	5.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	3.0	16.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1.0	5.5
операторы, аппаратчики, машинисты установок и машин	2.0	11.1
неквалифицированные рабочие	2.0	11.1
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
