							
2. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
							
	Мужчины и женщины	Мужчины	Женщины	В процентах к итогу			Женщин на 1000 мужчин
в том числе в возрасте, лет:							
0 – 4	9174.0	4690.0	4484.0	5.8	6.2	5.4	956.0
5 – 9	9977.0	5002.0	4975.0	6.3	6.6	6.0	995.0
10 – 14	15275.0	7781.0	7494.0	9.6	10.3	9.0	963.0
15 – 19	14199.0	7282.0	6917.0	8.9	9.6	8.3	950.0
20 – 24	11113.0	5487.0	5626.0	7.0	7.2	6.7	1025.0
25 – 29	10431.0	5092.0	5339.0	6.5	6.7	6.4	1049.0
30 – 34	9289.0	4611.0	4678.0	5.8	6.1	5.6	1015.0
35 – 39	10349.0	5149.0	5200.0	6.5	6.8	6.2	1010.0
40 – 44	13986.0	6978.0	7008.0	8.8	9.2	8.4	1004.0
45 – 49	13079.0	6434.0	6645.0	8.2	8.5	8.0	1033.0
50 – 54	10590.0	5126.0	5464.0	6.59999990463	6.8	6.5	1066.0
55 – 59	4397.0	2094.0	2303.0	2.8	2.8	2.8	1100.0
60 – 64	7900.0	3371.0	4529.0	5.0	4.40000009537	5.4	1344.0
65 – 69	6670.0	2710.0	3960.0	4.2	3.6	4.7	1461.0
70 – 74	6515.0	2433.0	4082.0	4.1	3.2	4.9	1678.0
75 – 79	6515.0	1043.0	2838.0	2.4	1.4	3.4	2721.0
80 – 84	1431.0	305.0	1126.0	0.9	0.4	1.3	3692.0
85 и более	948.0	137.0	811.0	0.6	0.2	1.0	5920.0
возраст не указан	3.0	-	3.0	0.0	-	0.0	
Медианный возраст	35.1	32.7	37.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	38182.0	19435.0	18747.0	24.0	25.7	22.5	965.0
трудоспособном	91374.0	46291.0	45083.0	57.4	61.1	54.0	974.0
старше трудоспособного	29648.0	9999.0	19649.0	18.6	13.2	23.5	1965.0
0 – 13 лет	30851.0	15622.0	15229.0	19.4	20.6	18.2	975.0
0 – 17 лет	44284.0	22624.0	21660.0	27.8	29.9	25.9	957.0
16 – 29 лет	31987.0	15899.0	16088.0	20.1	21.0	19.3	1012.0
Алтайский край							
Все население	2607426.0	1215086.0	1392340.0	100.0	100.0	100.0	1146.0
в том числе в возрасте, лет:							
0 – 4	120047.0	61153.0	58894.0	4.6	5.0	4.2	963.0
5 – 9	118199.0	60580.0	57619.0	4.5	5.0	4.19999980927	951.0
10 – 14	183477.0	93454.0	90023.0	7.0	7.7	6.5	963.0
15 – 19	237627.0	117435.0	120192.0	9.1	9.7	8.6	1023.0
20 – 24	214088.0	105978.0	108110.0	8.2	8.7	7.8	1020.0
25 – 29	195914.0	97761.0	98153.0	7.5	8.0	7.0	1004.0
30 – 34	166437.0	82397.0	84040.0	6.4	6.8	6.0	1020.0
35 – 39	164244.0	80528.0	83716.0	6.3	6.6	6.0	1040.0
40 – 44	231113.0	112264.0	118849.0	8.9	9.2	8.5	1059.0
45 – 49	223214.0	106923.0	116291.0	8.6	8.8	8.4	1088.0
50 – 54	188791.0	88309.0	100482.0	7.2	7.3	7.2	1138.0
55 – 59	89742.0	40374.0	49368.0	3.5	3.3	3.59999990463	1223.0
60 – 64	137225.0	57112.0	80113.0	5.3	4.7	5.8	1403.0
65 – 69	110285.0	44359.0	65926.0	4.2	3.7	4.7	1486.0
70 – 74	109468.0	39570.0	69898.0	4.2	3.3	5.0	1766.0
75 – 79	70662.0	18172.0	52490.0	2.7	1.5	3.8	2889.0
80 – 84	28387.0	5803.0	22584.0	1.1	0.5	1.6	3892.0
85 и более	18419.0	2875.0	15544.0	0.7	0.2	1.1	5407.0
возраст не указан	87.0	39.0	48.0	0.0	0.0	0.0	1231.0
Медианный возраст	37.2	34.2	39.8				
Из общей численности - население в возрасте:							
моложе трудоспособного	468980.0	239240.0	229740.0	18.0	19.7	16.5	960.0
трудоспособном	1614545.0	807916.0	806629.0	61.9	66.5	57.9	998.0
старше трудоспособного	523814.0	167891.0	355923.0	20.1	13.8	25.6	2120.0
0 – 13 лет	376888.0	192470.0	184418.0	14.5	15.8	13.2	958.0
0 – 17 лет	563370.0	286878.0	276492.0	21.6	23.6	19.9	964.0
16 – 29 лет	600372.0	297121.0	303251.0	23.0	24.5	21.8	1021.0
Городское население	1386765.0	635394.0	751371.0	100.0	100.0	100.0	1183.0
в том числе в возрасте, лет:							
0 – 4	58412.0	29810.0	28602.0	4.2	4.7	3.8	959.0
5 – 9	56198.0	28870.0	27328.0	4.1	4.59999990463	3.6	947.0
10 – 14	87836.0	44623.0	43213.0	6.3	7.0	5.8	968.0
15 – 19	145121.0	69553.0	75568.0	10.5	10.9	10.1	1086.0
20 – 24	130415.0	63724.0	66691.0	9.4	10.0	8.9	1047.0
25 – 29	114653.0	56702.0	57951.0	8.3	8.9	7.7	1022.0
30 – 34	95583.0	47200.0	48383.0	6.9	7.4	6.4	1025.0
35 – 39	88013.0	42567.0	45446.0	6.3	6.7	6.0	1068.0
40 – 44	117034.0	55144.0	61890.0	8.4	8.7	8.2	1122.0
45 – 49	112558.0	51700.0	60858.0	8.1	8.1	8.1	1177.0
50 – 54	99792.0	44711.0	55081.0	7.2	7.0	7.3	1232.0
55 – 59	49991.0	21744.0	28247.0	3.6	3.4	3.8	1299.0
60 – 64	70010.0	28313.0	41697.0	5.09999990463	4.5	5.5	1473.0
65 – 69	52891.0	20038.0	32853.0	3.8	3.2	4.4	1640.0
70 – 74	50696.0	17152.0	33544.0	3.7	2.7	4.5	1956.0
75 – 79	34641.0	9021.0	25620.0	2.5	1.4	3.4	2840.0
80 – 84	14223.0	2986.0	11237.0	1.0	0.5	1.5	3763.0
85 и более	8647.0	1511.0	7136.0	0.6	0.300000011921	1.0	4723.0
возраст не указан	51.0	25.0	26.0	0.0	0.0	0.0	1040.0
Медианный возраст	35.3	32.4	38.2				
Из общей численности - население в возрасте:							
моложе трудоспособного	225785.0	114951.0	110834.0	16.3	18.1	14.8	964.0
трудоспособном	901574.0	441397.0	460177.0	65.0	69.5	61.2	1043.0
старше трудоспособного	259355.0	79021.0	180334.0	18.7	12.4	24.0	2282.0
0 – 13 лет	180960.0	92528.0	88432.0	13.0	14.6	11.8	956.0
0 – 17 лет	280924.0	141550.0	139374.0	20.3	22.3	18.5	985.0
16 – 29 лет	366850.0	178331.0	188519.0	26.5	28.1	25.1	1057.0
Сельское население	1220661.0	579692.0	640969.0	100.0	100.0	100.0	1106.0
в том числе в возрасте, лет:							
0 – 4	61635.0	31343.0	30292.0	5.0	5.4	4.7	966.0
5 – 9	62001.0	31710.0	30291.0	5.1	5.5	4.7	955.0
10 – 14	95641.0	48831.0	46810.0	7.8	8.4	7.3	959.0
15 – 19	92506.0	47882.0	44624.0	7.6	8.3	6.90000009537	932.0
20 – 24	83673.0	42254.0	41419.0	6.9	7.3	6.5	980.0
25 – 29	81261.0	41059.0	40202.0	6.7	7.1	6.3	979.0
30 – 34	70854.0	35197.0	35657.0	5.8	6.1	5.6	1013.0
35 – 39	76231.0	37961.0	38270.0	6.2	6.5	6.0	1008.0
40 – 44	114079.0	57120.0	56959.0	9.3	9.80000019073	8.9	997.0
45 – 49	110656.0	55223.0	55433.0	9.1	9.5	8.6	1004.0
50 – 54	88999.0	43598.0	45401.0	7.3	7.5	7.1	1041.0
55 – 59	39751.0	18630.0	21121.0	3.3	3.2	3.3	1134.0
60 – 64	67215.0	28799.0	38416.0	5.5	5.0	6.0	1334.0
65 – 69	57394.0	24321.0	33073.0	4.7	4.2	5.09999990463	1360.0
70 – 74	58772.0	22418.0	36354.0	4.8	3.9	5.7	1622.0
75 – 79	36021.0	9151.0	26870.0	2.90000009537	1.6	4.2	2936.0
80 – 84	14164.0	2817.0	11347.0	1.2	0.5	1.8	4028.0
85 и более	9772.0	1364.0	8408.0	0.8	0.2	1.3	6164.0
возраст не указан	36.0	14.0	22.0	0.0	0.0	0.0	1571.0
Медианный возраст	39.3	36.7	41.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	243195.0	124289.0	118906.0	19.9	21.4	18.5	957.0
трудоспособном	712971.0	366519.0	346452.0	58.4	63.2	54.1	945.0
старше трудоспособного	264459.0	88870.0	175589.0	21.7	15.4	27.4	1976.0
0 – 13 лет	195928.0	99942.0	95986.0	16.1	17.2	15.0	960.0
0 – 17 лет	282446.0	145328.0	137118.0	23.1	25.1	21.4	944.0
16 – 29 лет	233522.0	118790.0	114732.0	19.1	20.5	17.9	966.0
Красноярский край							
Все население	2966042.0	1396017.0	1570025.0	100.0	100.0	100.0	1125.0
в том числе в возрасте, лет:							
0 – 4	140394.0	71457.0	68937.0	4.7	5.1	4.4	965.0
5 – 9	152298.0	77677.0	74621.0	5.1	5.6	4.69999980927	961.0
10 – 14	230728.0	117883.0	112845.0	7.8	8.5	7.2	957.0
15 – 19	273705.0	137341.0	136364.0	9.2	9.8	8.7	993.0
20 – 24	251562.0	124826.0	126736.0	8.5	8.9	8.1	1015.0
25 – 29	233119.0	115921.0	117198.0	7.80000019073	8.3	7.5	1011.0
30 – 34	204342.0	102660.0	101682.0	6.9	7.4	6.5	990.0
35 – 39	207873.0	102459.0	105414.0	7.0	7.3	6.7	1029.0
40 – 44	260064.0	125890.0	134174.0	8.8	9.0	8.5	1066.0
45 – 49	248758.0	117407.0	131351.0	8.4	8.4	8.4	1119.0
50 – 54	210206.0	96858.0	113348.0	7.1	6.9	7.2	1170.0
55 – 59	100150.0	44301.0	55849.0	3.4	3.2	3.6	1261.0
60 – 64	147711.0	61603.0	86108.0	5.0	4.4	5.5	1398.0
65 – 69	109186.0	42367.0	66819.0	3.7	3.0	4.19999980927	1577.0
70 – 74	94788.0	33037.0	61751.0	3.2	2.4	3.9	1869.0
75 – 79	59839.0	15579.0	44260.0	2.0	1.1	2.8	2841.0
80 – 84	24241.0	5086.0	19155.0	0.8	0.4	1.2	3766.0
85 и более	14643.0	2415.0	12228.0	0.5	0.2	0.8	5063.0
возраст не указан	2435.0	1250.0	1185.0	0.1	0.1	0.1	948.0
Медианный возраст	34.9	32.5	37.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	580158.0	296018.0	284140.0	19.5	21.2	18.1	960.0
трудоспособном	1877192.0	938662.0	938530.0	63.3	67.2	59.8	1000.0
старше трудоспособного	506257.0	160087.0	346170.0	17.1	11.5	22.0	2162.0
0 – 13 лет	469474.0	239731.0	229743.0	15.8	17.2	14.6	958.0
0 – 17 лет	689823.0	351826.0	337997.0	23.3	25.2	21.5	961.0
16 – 29 лет	701648.0	349087.0	352561.0	23.7	25.0	22.5	1010.0
Городское население	2245715.0	1044771.0	1200944.0	100.0	100.0	100.0	1149.0
в том числе в возрасте, лет:							
0 – 4	101965.0	51955.0	50010.0	4.5	5.0	4.2	963.0
5 – 9	109710.0	55948.0	53762.0	4.9	5.30000019073	4.5	961.0
10 – 14	165046.0	84300.0	80746.0	7.3	8.1	6.7	958.0
15 – 19	217110.0	107577.0	109533.0	9.7	10.3	9.1	1018.0
20 – 24	204121.0	99989.0	104132.0	9.1	9.6	8.7	1041.0
25 – 29	187739.0	91991.0	95748.0	8.4	8.8	8.0	1041.0
30 – 34	162900.0	81290.0	81610.0	7.3	7.8	6.8	1004.0
35 – 39	159552.0	77754.0	81798.0	7.1	7.4	6.8	1052.0
40 – 44	195525.0	92576.0	102949.0	8.7	8.9	8.6	1112.0
45 – 49	185373.0	84994.0	100379.0	8.3	8.1	8.4	1181.0
50 – 54	159422.0	71385.0	88037.0	7.1	6.8	7.3	1233.0
55 – 59	77070.0	33189.0	43881.0	3.4	3.2	3.59999990463	1322.0
60 – 64	109281.0	44612.0	64669.0	4.9	4.3	5.4	1450.0
65 – 69	77181.0	29056.0	48125.0	3.4	2.8	4.0	1656.0
70 – 74	63484.0	21209.0	42275.0	2.8	2.0	3.5	1993.0
75 – 79	40835.0	10491.0	30344.0	1.8	1.0	2.5	2892.0
80 – 84	16891.0	3522.0	13369.0	0.699999988079	0.3	1.1	3796.0
85 и более	10165.0	1729.0	8436.0	0.5	0.2	0.7	4879.0
возраст не указан	2345.0	1204.0	1141.0	0.1	0.1	0.1	948.0
Медианный возраст	34.1	31.8	36.7				
Из общей численности - население в возрасте:							
моложе трудоспособного	417879.0	213147.0	204732.0	18.6	20.4	17.0	961.0
трудоспособном	1463773.0	719801.0	743972.0	65.2	68.9	61.9	1034.0
старше трудоспособного	361718.0	110619.0	251099.0	16.1	10.6	21.0	2270.0
0 – 13 лет	338111.0	172746.0	165365.0	15.1	16.5	13.8	957.0
0 – 17 лет	503445.0	255816.0	247629.0	22.4	24.5	20.6	968.0
16 – 29 лет	567812.0	278613.0	289199.0	25.3	26.7	24.1	1038.0
Сельское население	720327.0	351246.0	369081.0	100.0	100.0	100.0	1051.0
в том числе в возрасте, лет:							
0 – 4	38429.0	19502.0	18927.0	5.3	5.5	5.1	971.0
5 – 9	42588.0	21729.0	20859.0	5.9	6.2	5.59999990463	960.0
10 – 14	65682.0	33583.0	32099.0	9.1	9.6	8.7	956.0
15 – 19	56595.0	29764.0	26831.0	7.9	8.5	7.3	901.0
20 – 24	47441.0	24837.0	22604.0	6.6	7.1	6.1	910.0
25 – 29	45380.0	23930.0	21450.0	6.3	6.8	5.8	896.0
30 – 34	41442.0	21370.0	20072.0	5.8	6.1	5.4	939.0
35 – 39	48321.0	24705.0	23616.0	6.7	7.0	6.4	956.0
40 – 44	64539.0	33314.0	31225.0	9.0	9.5	8.5	937.0
45 – 49	63385.0	32413.0	30972.0	8.8	9.2	8.4	956.0
50 – 54	50784.0	25473.0	25311.0	7.0	7.3	6.9	994.0
55 – 59	23080.0	11112.0	11968.0	3.2	3.2	3.2	1077.0
60 – 64	38430.0	16991.0	21439.0	5.3	4.8	5.8	1262.0
65 – 69	32005.0	13311.0	18694.0	4.5	3.8	5.1	1404.0
70 – 74	31304.0	11828.0	19476.0	4.40000009537	3.4	5.3	1647.0
75 – 79	19004.0	5088.0	13916.0	2.6	1.4	3.8	2735.0
80 – 84	7350.0	1564.0	5786.0	1.0	0.4	1.6	3699.0
85 и более	4478.0	686.0	3792.0	0.6	0.2	1.0	5528.0
возраст не указан	90.0	46.0	44.0	0.0	0.0	0.0	957.0
Медианный возраст	37.5	35.2	39.6				
Из общей численности - население в возрасте:							
моложе трудоспособного	162279.0	82871.0	79408.0	22.5	23.6	21.5	958.0
трудоспособном	413419.0	218861.0	194558.0	57.4	62.3	52.7	889.0
старше трудоспособного	144539.0	49468.0	95071.0	20.1	14.1	25.8	1922.0
0 – 13 лет	131363.0	66985.0	64378.0	18.2	19.1	17.4	961.0
0 – 17 лет	186378.0	96010.0	90368.0	25.9	27.3	24.5	941.0
16 – 29 лет	133836.0	70474.0	63362.0	18.6	20.1	17.2	899.0
Таймырский (Долгано-Ненецкий) автономный округ							
Все население	39786.0	19364.0	20422.0	100.0	100.0	100.0	1055.0
в том числе в возрасте, лет:							
0 – 4	2603.0	1298.0	1305.0	6.5	6.7	6.4	1005.0
5 – 9	2744.0	1337.0	1407.0	6.9	6.9	6.9	1052.0
10 – 14	3952.0	2021.0	1931.0	9.9	10.4	9.5	955.0
15 – 19	3500.0	1749.0	1751.0	8.8	9.0	8.6	1001.0
20 – 24	3201.0	1599.0	1602.0	8.0	8.3	7.8	1002.0
25 – 29	3484.0	1782.0	1702.0	8.8	9.2	8.3	955.0
30 – 34	3129.0	1580.0	1549.0	7.9	8.2	7.6	980.0
35 – 39	3055.0	1498.0	1557.0	7.7	7.7	7.6	1039.0
40 – 44	3930.0	1870.0	2060.0	9.9	9.7	10.1	1102.0
45 – 49	3815.0	1841.0	1974.0	9.6	9.5	9.7	1072.0
50 – 54	2992.0	1401.0	1591.0	7.5	7.2	7.8	1136.0
55 – 59	1217.0	606.0	611.0	3.1	3.1	3.0	1008.0
60 – 64	963.0	427.0	536.0	2.4	2.2	2.6	1255.0
65 – 69	505.0	175.0	330.0	1.3	0.9	1.6	1886.0
70 – 74	358.0	93.0	265.0	0.9	0.5	1.3	2849.0
75 – 79	179.0	40.0	139.0	0.4	0.2	0.7	3475.0
80 – 84	83.0	13.0	70.0	0.2	0.1	0.3	5385.0
85 и более	21.0	3.0	18.0	0.1	0.0	0.1	6000.0
возраст не указан	55.0	31.0	24.0	0.1	0.2	0.1	774.0
Медианный возраст	30.6	29.7	31.5				
Из общей численности - население в возрасте:							
моложе трудоспособного	10267.0	5146.0	5121.0	25.8	26.5	25.1	995.0
трудоспособном	26744.0	13436.0	13308.0	67.2	69.4	65.2	990.0
старше трудоспособного	2720.0	751.0	1969.0	6.9	3.9	9.6	2622.0
0 – 13 лет	8386.0	4178.0	4208.0	21.1	21.6	20.6	1007.0
0 – 17 лет	11683.0	5841.0	5842.0	29.4	30.2	28.6	1000.0
16 – 29 лет	9217.0	4640.0	4577.0	23.2	24.0	22.4	986.0
Городское население	26330.0	12562.0	13768.0	100.0	100.0	100.0	1096.0
в том числе в возрасте, лет:							
0 – 4	1465.0	727.0	738.0	5.6	5.8	5.4	1015.0
5 – 9	1546.0	745.0	801.0	5.9	5.9	5.8	1075.0
10 – 14	2274.0	1164.0	1110.0	8.6	9.3	8.1	954.0
15 – 19	2306.0	1136.0	1170.0	8.69999980927	9.0	8.5	1030.0
20 – 24	2181.0	1041.0	1140.0	8.3	8.3	8.3	1095.0
25 – 29	2481.0	1248.0	1233.0	9.4	9.9	8.89999961853	988.0
30 – 34	2142.0	1066.0	1076.0	8.1	8.5	7.8	1009.0
35 – 39	2018.0	997.0	1021.0	7.7	7.9	7.4	1024.0
40 – 44	2726.0	1283.0	1443.0	10.4	10.2	10.5	1125.0
45 – 49	2753.0	1275.0	1478.0	10.5	10.2	10.7	1159.0
50 – 54	2208.0	1008.0	1200.0	8.4	8.0	8.7	1190.0
55 – 59	807.0	405.0	402.0	3.1	3.2	2.9	993.0
60 – 64	618.0	270.0	348.0	2.3	2.20000004768	2.5	1289.0
65 – 69	323.0	91.0	232.0	1.2	0.7	1.7	2549.0
70 – 74	237.0	48.0	189.0	0.9	0.4	1.4	3938.0
75 – 79	131.0	21.0	110.0	0.5	0.2	0.8	5238.0
80 – 84	48.0	5.0	43.0	0.2	0.0	0.3	8600.0
85 и более	11.0	1.0	10.0	0.0	0.0	0.1	10000.0
возраст не указан	55.0	31.0	24.0	0.2	0.300000011921	0.2	774.0
Медианный возраст	31.9	30.9	33.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	5890.0	2947.0	2943.0	22.4	23.4	21.4	999.0
трудоспособном	18615.0	9148.0	9467.0	70.7	72.8	68.7	1035.0
старше трудоспособного	1770.0	436.0	1334.0	6.7	3.5	9.7	3060.0
0 – 13 лет	4732.0	2349.0	2383.0	18.0	18.7	17.3	1014.0
0 – 17 лет	6808.0	3399.0	3409.0	25.9	27.1	24.8	1003.0
16 – 29 лет	6363.0	3114.0	3249.0	24.2	24.8	23.6	1043.0
Сельское население	13456.0	6802.0	6654.0	100.0	100.0	100.0	978.0
в том числе в возрасте, лет:							
0 – 4	1138.0	571.0	567.0	8.5	8.4	8.5	993.0
5 – 9	1198.0	592.0	606.0	8.9	8.7	9.1	1024.0
10 – 14	1678.0	857.0	821.0	12.5	12.6	12.3	958.0
15 – 19	1194.0	613.0	581.0	8.9	9.0	8.7	948.0
20 – 24	1020.0	558.0	462.0	7.6	8.2	7.0	828.0
25 – 29	1003.0	534.0	469.0	7.40000009537	7.80000019073	7.09999990463	878.0
30 – 34	987.0	514.0	473.0	7.3	7.6	7.1	920.0
35 – 39	1037.0	501.0	536.0	7.7	7.4	8.1	1070.0
40 – 44	1204.0	587.0	617.0	8.9	8.6	9.3	1051.0
45 – 49	1062.0	566.0	496.0	7.9	8.3	7.5	876.0
50 – 54	784.0	393.0	391.0	5.8	5.8	5.9	995.0
55 – 59	410.0	201.0	209.0	3.0	3.0	3.1	1040.0
60 – 64	345.0	157.0	188.0	2.6	2.3	2.8	1197.0
65 – 69	182.0	84.0	98.0	1.29999995232	1.2	1.5	1167.0
70 – 74	121.0	45.0	76.0	0.9	0.7	1.1	1689.0
75 – 79	48.0	19.0	29.0	0.4	0.3	0.4	1526.0
80 – 84	35.0	8.0	27.0	0.3	0.1	0.4	3375.0
85 и более	10.0	2.0	8.0	0.1	0.0	0.1	4000.0
возраст не указан	-	-	-	-	-	-	-
Медианный возраст	27.4	26.9	28.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	4377.0	2199.0	2178.0	32.5	32.4	32.7	990.0
трудоспособном	8129.0	4288.0	3841.0	60.4	63.0	57.7	896.0
старше трудоспособного	950.0	315.0	635.0	7.1	4.6	9.6	2016.0
0 – 13 лет	3654.0	1829.0	1825.0	27.2	26.9	27.4	998.0
0 – 17 лет	4875.0	2442.0	2433.0	36.2	35.9	36.6	996.0
16 – 29 лет	2854.0	1526.0	1328.0	21.2	22.4	20.0	870.0
Эвенкийский автономный округ							
Все население	17697.0	8878.0	8819.0	100.0	100.0	100.0	993.0
в том числе в возрасте, лет:							
0 – 4	1228.0	633.0	595.0	6.9	7.1	6.7	940.0
5 – 9	1291.0	669.0	622.0	7.3	7.5	7.1	930.0
10 – 14	1789.0	857.0	932.0	10.1	9.7	10.6	1088.0
15 – 19	1500.0	746.0	754.0	8.5	8.4	8.6	1011.0
20 – 24	1341.0	660.0	681.0	7.6	7.4	7.7	1032.0
25 – 29	1366.0	699.0	667.0	7.7	7.9	7.6	954.0
30 – 34	1181.0	599.0	582.0	6.7	6.80000019073	6.6	972.0
35 – 39	1340.0	674.0	666.0	7.6	7.6	7.6	988.0
40 – 44	1691.0	881.0	810.0	9.5	9.9	9.2	919.0
45 – 49	1747.0	918.0	829.0	9.9	10.3	9.4	903.0
50 – 54	1277.0	667.0	610.0	7.2	7.5	6.9	915.0
55 – 59	580.0	286.0	294.0	3.3	3.2	3.3	1028.0
60 – 64	596.0	298.0	298.0	3.4	3.4	3.4	1000.0
65 – 69	345.0	146.0	199.0	1.9	1.70000004768	2.3	1363.0
70 – 74	213.0	88.0	125.0	1.2	1.0	1.4	1420.0
75 – 79	109.0	34.0	75.0	0.6	0.4	0.8	2206.0
80 – 84	47.0	10.0	37.0	0.3	0.1	0.4	3700.0
85 и более	33.0	3.0	30.0	0.2	0.0	0.3	10000.0
возраст не указан	23.0	10.0	13.0	0.1	0.1	0.1	1300.0
Медианный возраст	31.4	31.5	31.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	4757.0	2378.0	2379.0	26.9	26.8	27.0	1000.0
трудоспособном	11280.0	5911.0	5369.0	63.7	66.6	60.9	908.0
старше трудоспособного	1637.0	579.0	1058.0	9.3	6.5	12.0	1827.0
0 – 13 лет	3876.0	1938.0	1938.0	21.9	21.8	22.0	1000.0
0 – 17 лет	5372.0	2708.0	2664.0	30.4	30.5	30.2	984.0
16 – 29 лет	3758.0	1886.0	1872.0	21.2	21.2	21.2	993.0
Городское население	5836.0	2813.0	3023.0	100.0	100.0	100.0	1075.0
в том числе в возрасте, лет:							
0 – 4	373.0	181.0	192.0	6.4	6.4	6.30000019073	1061.0
5 – 9	406.0	232.0	174.0	7.0	8.2	5.69999980927	750.0
10 – 14	581.0	265.0	316.0	10.0	9.4	10.5	1192.0
15 – 19	553.0	270.0	283.0	9.5	9.6	9.4	1048.0
20 – 24	492.0	230.0	262.0	8.4	8.2	8.7	1139.0
25 – 29	513.0	241.0	272.0	8.8	8.6	9.0	1129.0
30 – 34	409.0	202.0	207.0	7.0	7.2	6.8	1025.0
35 – 39	461.0	205.0	256.0	7.9	7.3	8.5	1249.0
40 – 44	559.0	286.0	273.0	9.6	10.2	9.0	955.0
45 – 49	561.0	283.0	278.0	9.6	10.0	9.2	982.0
50 – 54	434.0	216.0	218.0	7.4	7.7	7.2	1009.0
55 – 59	166.0	75.0	91.0	2.8	2.7	3.0	1213.0
60 – 64	168.0	76.0	92.0	2.9	2.7	3.0	1211.0
65 – 69	69.0	28.0	41.0	1.2	1.0	1.4	1464.0
70 – 74	39.0	12.0	27.0	0.7	0.4	0.9	2250.0
75 – 79	24.0	1.0	23.0	0.4	0.0	0.8	23000.0
80 – 84	7.0	2.0	5.0	0.1	0.1	0.2	2500.0
85 и более	3.0	-	3.0	0.0	-	0.1	
возраст не указан	18.0	8.0	10.0	0.3	0.3	0.3	1250.0
Медианный возраст	30.0	29.6	30.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	1521.0	753.0	768.0	26.1	26.8	25.4	1020.0
трудоспособном	3896.0	1933.0	1963.0	66.7	68.7	64.9	1016.0
старше трудоспособного	401.0	119.0	282.0	6.9	4.2	9.4	2370.0
0 – 13 лет	1217.0	615.0	602.0	20.9	21.9	19.9	979.0
0 – 17 лет	1738.0	873.0	865.0	29.8	31.0	28.6	991.0
16 – 29 лет	1397.0	666.0	731.0	23.9	23.7	24.2	1098.0
Сельское население	11861.0	6065.0	5796.0	100.0	100.0	100.0	956.0
в том числе в возрасте, лет:							
0 – 4	855.0	452.0	403.0	7.2	7.5	7.0	892.0
5 – 9	885.0	437.0	448.0	7.5	7.2	7.7	1025.0
10 – 14	1208.0	592.0	616.0	10.2	9.8	10.6	1041.0
15 – 19	947.0	476.0	471.0	8.0	7.90000009537	8.1	989.0
20 – 24	849.0	430.0	419.0	7.2	7.1	7.2	974.0
25 – 29	853.0	458.0	395.0	7.2	7.6	6.8	862.0
30 – 34	772.0	397.0	375.0	6.5	6.5	6.5	945.0
35 – 39	879.0	469.0	410.0	7.4	7.7	7.1	874.0
40 – 44	1132.0	595.0	537.0	9.5	9.8	9.3	903.0
45 – 49	1186.0	635.0	551.0	10.0	10.5	9.5	868.0
50 – 54	843.0	451.0	392.0	7.1	7.4	6.8	869.0
55 – 59	414.0	211.0	203.0	3.5	3.5	3.5	962.0
60 – 64	428.0	222.0	206.0	3.6	3.7	3.6	928.0
65 – 69	276.0	118.0	158.0	2.3	1.9	2.7	1339.0
70 – 74	174.0	76.0	98.0	1.5	1.3	1.7	1289.0
75 – 79	85.0	33.0	52.0	0.7	0.5	0.9	1576.0
80 – 84	40.0	8.0	32.0	0.3	0.1	0.5	4000.0
85 и более	30.0	3.0	27.0	0.3	0.0	0.5	9000.0
возраст не указан	5.0	2.0	3.0	0.0	0.0	0.0	1500.0
Медианный возраст	32.2	32.4	31.9				
Из общей численности - население в возрасте:							
моложе трудоспособного	3236.0	1625.0	1611.0	27.3	26.8	27.8	991.0
трудоспособном	7384.0	3978.0	3406.0	62.3	65.6	58.8	856.0
старше трудоспособного	1236.0	460.0	776.0	10.4	7.6	13.4	1687.0
0 – 13 лет	2659.0	1323.0	1336.0	22.4	21.8	23.0	1010.0
0 – 17 лет	3634.0	1835.0	1799.0	30.6	30.3	31.0	980.0
16 – 29 лет	2361.0	1220.0	1141.0	19.9	20.1	19.7	935.0
Иркутская область							
Все население	2581705.0	1209195.0	1372510.0	100.0	100.0	100.0	1135.0
в том числе в возрасте, лет:							
0 – 4	133886.0	68606.0	65280.0	5.2	5.7	4.8	952.0
5 – 9	142267.0	72847.0	69420.0	5.5	6.0	5.1	953.0
10 – 14	215986.0	109889.0	106097.0	8.4	9.1	7.7	965.0
15 – 19	242594.0	121251.0	121343.0	9.4	10.0	8.8	1001.0
20 – 24	219707.0	109057.0	110650.0	8.5	9.0	8.1	1015.0
25 – 29	203095.0	101175.0	101920.0	7.9	8.4	7.4	1007.0
30 – 34	175849.0	87553.0	88296.0	6.8	7.2	6.4	1008.0
35 – 39	173190.0	84885.0	88305.0	6.7	7.0	6.4	1040.0
40 – 44	215042.0	102968.0	112074.0	8.3	8.5	8.2	1088.0
45 – 49	204750.0	95399.0	109351.0	7.9	7.9	8.0	1146.0
