5. ОБЕСПЕЧЕННОСТЬ РАЗЛИЧНЫМИ ВИДАМИ БЛАГОУСТРОЙСТВА ЖИЛОГО ПОМЕЩЕНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ,
ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
	Всего домохозяйств	число домохозяйств, проживающих в помещениях, оборудованных														Число домохозяйств, не указавших виды благоустройства
в коммунальных квартирах	229.0	225.0	45.0	-	118.0	8.0	11.0	208.0	24.0	17.0	15.0	-	2.0	2.0	-	4.0
Республика Бурятия																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	293591.0	291757.0	185687.0	163.0	8468.0	135065.0	14072.0	151252.0	138635.0	132402.0	126192.0	109723.0	2244.0	102615.0	32.0	519.0
в том числе:																
в индивидуальных домах	102016.0	101020.0	40881.0	51.0	5053.0	2664.0	7679.0	95975.0	4808.0	2733.0	2063.0	1071.0	425.0	1108.0	17.0	185.0
в отдельных квартирах	189560.0	188748.0	143749.0	111.0	3403.0	131294.0	6365.0	54418.0	132866.0	128755.0	123439.0	107941.0	1808.0	101023.0	14.0	316.0
в коммунальных квартирах	2015.0	1989.0	1057.0	1.0	12.0	1107.0	28.0	859.0	961.0	914.0	690.0	711.0	11.0	484.0	1.0	18.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	174765.0	174207.0	134849.0	110.0	2023.0	122828.0	5377.0	47993.0	125511.0	120852.0	115709.0	105072.0	1501.0	98505.0	10.0	277.0
в том числе:																
в индивидуальных домах	29706.0	29494.0	14609.0	18.0	1160.0	2016.0	3210.0	25994.0	3650.0	2137.0	1656.0	978.0	296.0	975.0	5.0	48.0
в отдельных квартирах	143327.0	143005.0	119265.0	91.0	860.0	119753.0	2149.0	21372.0	120949.0	117845.0	113405.0	103423.0	1194.0	97073.0	4.0	211.0
в коммунальных квартирах	1732.0	1708.0	975.0	1.0	3.0	1059.0	18.0	627.0	912.0	870.0	648.0	671.0	11.0	457.0	1.0	18.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	118826.0	117550.0	50838.0	53.0	6445.0	12237.0	8695.0	103259.0	13124.0	11550.0	10483.0	4651.0	743.0	4110.0	22.0	242.0
в том числе:																
в индивидуальных домах	72310.0	71526.0	26272.0	33.0	3893.0	648.0	4469.0	69981.0	1158.0	596.0	407.0	93.0	129.0	133.0	12.0	137.0
в отдельных квартирах	46233.0	45743.0	24484.0	20.0	2543.0	11541.0	4216.0	33046.0	11917.0	10910.0	10034.0	4518.0	614.0	3950.0	10.0	105.0
в коммунальных квартирах	283.0	281.0	82.0	-	9.0	48.0	10.0	232.0	49.0	44.0	42.0	40.0	-	27.0	-	-
Республика Тыва																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	72052.0	71034.0	21923.0	2256.0	18840.0	22238.0	1552.0	48254.0	22773.0	21906.0	21077.0	20505.0	147.0	18692.0	11.0	226.0
в том числе:																
в индивидуальных домах	23902.0	23131.0	2593.0	68.0	6456.0	317.0	580.0	23171.0	595.0	211.0	167.0	142.0	20.0	93.0	11.0	83.0
в отдельных квартирах	47931.0	47686.0	19193.0	2185.0	12348.0	21799.0	964.0	25004.0	22041.0	21572.0	20794.0	20235.0	125.0	18491.0	-	141.0
в коммунальных квартирах	219.0	217.0	137.0	3.0	36.0	122.0	8.0	79.0	137.0	123.0	116.0	128.0	2.0	108.0	-	2.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	39228.0	39075.0	20049.0	2218.0	10223.0	21591.0	589.0	17159.0	22229.0	21551.0	20773.0	20147.0	124.0	18523.0	3.0	85.0
в том числе:																
в индивидуальных домах	10020.0	9951.0	2038.0	47.0	4160.0	178.0	346.0	9725.0	503.0	168.0	135.0	101.0	19.0	81.0	3.0	25.0
в отдельных квартирах	29026.0	28942.0	17885.0	2168.0	6041.0	21293.0	241.0	7382.0	21593.0	21264.0	20524.0	19920.0	105.0	18336.0	-	60.0
в коммунальных квартирах	182.0	182.0	126.0	3.0	22.0	120.0	2.0	52.0	133.0	119.0	114.0	126.0	-	106.0	-	-
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	32824.0	31959.0	1874.0	38.0	8617.0	647.0	963.0	31095.0	544.0	355.0	304.0	358.0	23.0	169.0	8.0	141.0
в том числе:																
в индивидуальных домах	13882.0	13180.0	555.0	21.0	2296.0	139.0	234.0	13446.0	92.0	43.0	32.0	41.0	1.0	12.0	8.0	58.0
в отдельных квартирах	18905.0	18744.0	1308.0	17.0	6307.0	506.0	723.0	17622.0	448.0	308.0	270.0	315.0	20.0	155.0	-	81.0
в коммунальных квартирах	37.0	35.0	11.0	-	14.0	2.0	6.0	27.0	4.0	4.0	2.0	2.0	2.0	2.0	-	2.0
Республика Хакасия																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	180397.0	179660.0	83354.0	3539.0	77183.0	95892.0	5069.0	80483.0	104701.0	99525.0	95321.0	88689.0	1708.0	86401.0	27.0	288.0
в том числе:																
в индивидуальных домах	46256.0	45950.0	10313.0	75.0	26343.0	1398.0	2730.0	43013.0	5550.0	3390.0	2242.0	801.0	911.0	1234.0	15.0	77.0
в отдельных квартирах	132609.0	132199.0	71857.0	3449.0	50633.0	93255.0	2325.0	37217.0	97861.0	94867.0	91874.0	86667.0	796.0	84025.0	12.0	190.0
в коммунальных квартирах	1532.0	1511.0	1184.0	15.0	207.0	1239.0	14.0	253.0	1290.0	1268.0	1205.0	1221.0	1.0	1142.0	-	21.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	126775.0	126367.0	71629.0	3159.0	44643.0	90288.0	3099.0	33466.0	96256.0	93041.0	89823.0	85453.0	1390.0	83222.0	18.0	196.0
в том числе:																
в индивидуальных домах	24931.0	24818.0	6365.0	50.0	14539.0	1047.0	2104.0	22447.0	4702.0	2831.0	1891.0	675.0	808.0	1064.0	8.0	40.0
в отдельных квартирах	100406.0	100130.0	64099.0	3094.0	29947.0	88016.0	983.0	10843.0	90293.0	88966.0	86746.0	83567.0	581.0	81025.0	10.0	137.0
в коммунальных квартирах	1438.0	1419.0	1165.0	15.0	157.0	1225.0	12.0	176.0	1261.0	1244.0	1186.0	1211.0	1.0	1133.0	-	19.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	53622.0	53293.0	11725.0	380.0	32540.0	5604.0	1970.0	47017.0	8445.0	6484.0	5498.0	3236.0	318.0	3179.0	9.0	92.0
в том числе:																
в индивидуальных домах	21325.0	21132.0	3948.0	25.0	11804.0	351.0	626.0	20566.0	848.0	559.0	351.0	126.0	103.0	170.0	7.0	37.0
в отдельных квартирах	32203.0	32069.0	7758.0	355.0	20686.0	5239.0	1342.0	26374.0	7568.0	5901.0	5128.0	3100.0	215.0	3000.0	2.0	53.0
в коммунальных квартирах	94.0	92.0	19.0	-	50.0	14.0	2.0	77.0	29.0	24.0	19.0	10.0	-	9.0	-	2.0
Алтайский край																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	900102.0	896331.0	301950.0	59497.0	526069.0	409140.0	174919.0	314898.0	623764.0	525774.0	416521.0	330080.0	21355.0	336638.0	74.0	1226.0
в том числе:																
в индивидуальных домах	329999.0	328046.0	51073.0	2190.0	270644.0	17851.0	100928.0	212206.0	133899.0	79566.0	28084.0	4702.0	8891.0	10354.0	60.0	426.0
в отдельных квартирах	564967.0	563217.0	249350.0	55807.0	253872.0	387536.0	73686.0	101704.0	485517.0	442269.0	385430.0	322109.0	12376.0	323759.0	14.0	738.0
в коммунальных квартирах	5136.0	5068.0	1527.0	1500.0	1553.0	3753.0	305.0	988.0	4348.0	3939.0	3007.0	3269.0	88.0	2525.0	-	62.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	465198.0	463926.0	233519.0	52201.0	166918.0	355709.0	16493.0	91880.0	402121.0	368445.0	341339.0	323705.0	6308.0	317595.0	22.0	660.0
в том числе:																
в индивидуальных домах	84037.0	83624.0	13467.0	745.0	66132.0	8549.0	12065.0	64048.0	39550.0	18341.0	6673.0	3779.0	2411.0	4111.0	18.0	118.0
в отдельных квартирах	376782.0	375981.0	218650.0	49998.0	99775.0	343621.0	4315.0	27185.0	358675.0	346499.0	331861.0	316720.0	3845.0	311043.0	4.0	484.0
в коммунальных квартирах	4379.0	4321.0	1402.0	1458.0	1011.0	3539.0	113.0	647.0	3896.0	3605.0	2805.0	3206.0	52.0	2441.0	-	58.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	434904.0	432405.0	68431.0	7296.0	359151.0	53431.0	158426.0	223018.0	221643.0	157329.0	75182.0	6375.0	15047.0	19043.0	52.0	566.0
в том числе:																
в индивидуальных домах	245962.0	244422.0	37606.0	1445.0	204512.0	9302.0	88863.0	148158.0	94349.0	61225.0	21411.0	923.0	6480.0	6243.0	42.0	308.0
в отдельных квартирах	188185.0	187236.0	30700.0	5809.0	154097.0	43915.0	69371.0	74519.0	126842.0	95770.0	53569.0	5389.0	8531.0	12716.0	10.0	254.0
в коммунальных квартирах	757.0	747.0	125.0	42.0	542.0	214.0	192.0	341.0	452.0	334.0	202.0	63.0	36.0	84.0	-	4.0
Красноярский край																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	988050.0	983346.0	597929.0	10969.0	263051.0	650845.0	28716.0	311028.0	694431.0	656283.0	630512.0	599628.0	7138.0	577089.0	66.0	2438.0
в том числе:																
в индивидуальных домах	176368.0	174714.0	40421.0	362.0	80015.0	6871.0	12083.0	160315.0	22476.0	10755.0	6755.0	3104.0	1770.0	3569.0	40.0	464.0
в отдельных квартирах	806323.0	803339.0	554304.0	10547.0	181793.0	639430.0	16564.0	150024.0	667303.0	641038.0	619670.0	592318.0	5327.0	569963.0	26.0	1929.0
в коммунальных квартирах	5359.0	5293.0	3204.0	60.0	1243.0	4544.0	69.0	689.0	4652.0	4490.0	4087.0	4206.0	41.0	3557.0	-	45.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	738279.0	735608.0	531691.0	10170.0	141465.0	612518.0	12875.0	110504.0	632443.0	616073.0	598410.0	582101.0	5121.0	561221.0	33.0	1815.0
в том числе:																
в индивидуальных домах	75381.0	74950.0	22510.0	216.0	30825.0	4610.0	7231.0	65106.0	14008.0	7059.0	4561.0	2433.0	1299.0	2791.0	18.0	201.0
в отдельных квартирах	657903.0	655720.0	506072.0	9899.0	109543.0	603502.0	5589.0	44920.0	613898.0	604586.0	589816.0	575502.0	3783.0	554888.0	15.0	1576.0
в коммунальных квартирах	4995.0	4938.0	3109.0	55.0	1097.0	4406.0	55.0	478.0	4537.0	4428.0	4033.0	4166.0	39.0	3542.0	-	38.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	249771.0	247738.0	66238.0	799.0	121586.0	38327.0	15841.0	200524.0	61988.0	40210.0	32102.0	17527.0	2017.0	15868.0	33.0	623.0
в том числе:																
в индивидуальных домах	100987.0	99764.0	17911.0	146.0	49190.0	2261.0	4852.0	95209.0	8468.0	3696.0	2194.0	671.0	471.0	778.0	22.0	263.0
в отдельных квартирах	148420.0	147619.0	48232.0	648.0	72250.0	35928.0	10975.0	105104.0	53405.0	36452.0	29854.0	16816.0	1544.0	15075.0	11.0	353.0
в коммунальных квартирах	364.0	355.0	95.0	5.0	146.0	138.0	14.0	211.0	115.0	62.0	54.0	40.0	2.0	15.0	-	7.0
Таймырский (Долгано-Ненецкий) автономный округ																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	12443.0	12349.0	9312.0	10.0	3.0	10288.0	155.0	1985.0	10152.0	10032.0	9837.0	9859.0	5.0	8645.0	-	57.0
в том числе:																
в индивидуальных домах	96.0	91.0	19.0	-	-	9.0	4.0	85.0	6.0	5.0	5.0	5.0	-	4.0	-	-
в отдельных квартирах	12316.0	12227.0	9280.0	10.0	3.0	10251.0	151.0	1897.0	10126.0	10014.0	9820.0	9834.0	5.0	8633.0	-	57.0
в коммунальных квартирах	31.0	31.0	13.0	-	-	28.0	-	3.0	20.0	13.0	12.0	20.0	-	8.0	-	-
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	8781.0	8739.0	7811.0	10.0	1.0	8701.0	4.0	5.0	8743.0	8731.0	8630.0	8510.0	5.0	7528.0	-	36.0
в том числе:																
в индивидуальных домах	5.0	5.0	5.0	-	-	4.0	-	1.0	4.0	4.0	4.0	4.0	-	4.0	-	-
в отдельных квартирах	8759.0	8717.0	7793.0	10.0	1.0	8680.0	4.0	4.0	8722.0	8715.0	8614.0	8489.0	5.0	7516.0	-	36.0
в коммунальных квартирах	17.0	17.0	13.0	-	-	17.0	-	-	17.0	12.0	12.0	17.0	-	8.0	-	-
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	3662.0	3610.0	1501.0	-	2.0	1587.0	151.0	1980.0	1409.0	1301.0	1207.0	1349.0	-	1117.0	-	21.0
в том числе:																
в индивидуальных домах	91.0	86.0	14.0	-	-	5.0	4.0	84.0	2.0	1.0	1.0	1.0	-	-	-	-
в отдельных квартирах	3557.0	3510.0	1487.0	-	2.0	1571.0	147.0	1893.0	1404.0	1299.0	1206.0	1345.0	-	1117.0	-	21.0
в коммунальных квартирах	14.0	14.0	-	-	-	11.0	-	3.0	3.0	1.0	-	3.0	-	-	-	-
Эвенкийский автономный округ																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	5469.0	5443.0	3737.0	2.0	19.0	2653.0	209.0	2620.0	1219.0	1108.0	1008.0	620.0	90.0	543.0	-	16.0
в том числе:																
в индивидуальных домах	1114.0	1103.0	696.0	-	11.0	167.0	120.0	841.0	87.0	82.0	73.0	20.0	10.0	25.0	-	2.0
в отдельных квартирах	4350.0	4335.0	3039.0	2.0	8.0	2484.0	89.0	1776.0	1130.0	1024.0	933.0	598.0	80.0	516.0	-	14.0
в коммунальных квартирах	5.0	5.0	2.0	-	-	2.0	-	3.0	2.0	2.0	2.0	2.0	-	2.0	-	-
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	1968.0	1959.0	1314.0	-	1.0	1301.0	7.0	647.0	430.0	346.0	321.0	159.0	78.0	147.0	-	8.0
в том числе:																
в индивидуальных домах	126.0	126.0	93.0	-	-	59.0	2.0	65.0	25.0	24.0	21.0	4.0	1.0	3.0	-	-
в отдельных квартирах	1840.0	1831.0	1219.0	-	1.0	1240.0	5.0	582.0	403.0	320.0	298.0	153.0	77.0	142.0	-	8.0
в коммунальных квартирах	2.0	2.0	2.0	-	-	2.0	-	-	2.0	2.0	2.0	2.0	-	2.0	-	-
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	3501.0	3484.0	2423.0	2.0	18.0	1352.0	202.0	1973.0	789.0	762.0	687.0	461.0	12.0	396.0	-	8.0
в том числе:																
в индивидуальных домах	988.0	977.0	603.0	-	11.0	108.0	118.0	776.0	62.0	58.0	52.0	16.0	9.0	22.0	-	2.0
в отдельных квартирах	2510.0	2504.0	1820.0	2.0	7.0	1244.0	84.0	1194.0	727.0	704.0	635.0	445.0	3.0	374.0	-	6.0
в коммунальных квартирах	3.0	3.0	-	-	-	-	-	3.0	-	-	-	-	-	-	-	-
Иркутская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	838280.0	831270.0	558164.0	97103.0	78892.0	536694.0	28722.0	275957.0	557357.0	538837.0	524366.0	496593.0	6810.0	480850.0	87.0	4401.0
в том числе:																
в индивидуальных домах	174872.0	172655.0	82635.0	450.0	39528.0	7315.0	13171.0	159699.0	15299.0	7206.0	5916.0	3791.0	1374.0	3661.0	52.0	835.0
в отдельных квартирах	657942.0	653298.0	472792.0	96027.0	38000.0	525173.0	15374.0	115374.0	537695.0	527393.0	514784.0	488988.0	5372.0	473941.0	35.0	3436.0
в коммунальных квартирах	5466.0	5317.0	2737.0	626.0	1364.0	4206.0	177.0	884.0	4363.0	4238.0	3666.0	3814.0	64.0	3248.0	-	130.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	669267.0	664500.0	470738.0	96681.0	43323.0	523223.0	13521.0	127705.0	539042.0	526456.0	513488.0	491113.0	5444.0	475284.0	62.0	3617.0
в том числе:																
в индивидуальных домах	89226.0	88369.0	43802.0	327.0	20300.0	6122.0	6623.0	78224.0	12193.0	5745.0	4781.0	3320.0	1021.0	3081.0	36.0	457.0
в отдельных квартирах	574860.0	571092.0	424380.0	95728.0	21692.0	512924.0	6746.0	48832.0	522533.0	516512.0	505075.0	483999.0	4366.0	468976.0	26.0	3031.0
в коммунальных квартирах	5181.0	5039.0	2556.0	626.0	1331.0	4177.0	152.0	649.0	4316.0	4199.0	3632.0	3794.0	57.0	3227.0	-	129.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	169013.0	166770.0	87426.0	422.0	35569.0	13471.0	15201.0	148252.0	18315.0	12381.0	10878.0	5480.0	1366.0	5566.0	25.0	784.0
в том числе:																
в индивидуальных домах	85646.0	84286.0	38833.0	123.0	19228.0	1193.0	6548.0	81475.0	3106.0	1461.0	1135.0	471.0	353.0	580.0	16.0	378.0
в отдельных квартирах	83082.0	82206.0	48412.0	299.0	16308.0	12249.0	8628.0	66542.0	15162.0	10881.0	9709.0	4989.0	1006.0	4965.0	9.0	405.0
в коммунальных квартирах	285.0	278.0	181.0	-	33.0	29.0	25.0	235.0	47.0	39.0	34.0	20.0	7.0	21.0	-	1.0
Усть-Ордынский Бурятский автономный округ																
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	39330.0	39072.0	21975.0	61.0	14480.0	1709.0	4835.0	35390.0	2195.0	1519.0	1224.0	449.0	59.0	330.0	1.0	154.0
в том числе:																
в индивидуальных домах	21966.0	21805.0	11144.0	42.0	7780.0	141.0	2117.0	21076.0	391.0	171.0	121.0	24.0	21.0	21.0	1.0	85.0
в отдельных квартирах	17343.0	17247.0	10818.0	19.0	6693.0	1568.0	2716.0	14297.0	1800.0	1345.0	1100.0	425.0	37.0	309.0	-	69.0
в коммунальных квартирах	21.0	20.0	13.0	-	7.0	-	2.0	17.0	4.0	3.0	3.0	-	1.0	-	-	-
Кемеровская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	1020296.0	1014376.0	539667.0	18473.0	87966.0	637311.0	17897.0	362094.0	862060.0	698135.0	638931.0	597062.0	6531.0	505543.0	84.0	3214.0
в том числе:																
в индивидуальных домах	280783.0	277742.0	29149.0	370.0	46207.0	5493.0	10391.0	266670.0	155473.0	41880.0	9689.0	3114.0	3082.0	3175.0	63.0	1096.0
в отдельных квартирах	733011.0	730239.0	507569.0	18059.0	41446.0	626644.0	7478.0	94286.0	700555.0	650813.0	624693.0	589198.0	3374.0	499592.0	19.0	2021.0
в коммунальных квартирах	6502.0	6395.0	2949.0	44.0	313.0	5174.0	28.0	1138.0	6032.0	5442.0	4549.0	4750.0	75.0	2776.0	2.0	97.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	888961.0	884357.0	521005.0	17704.0	47369.0	618889.0	13097.0	254358.0	784397.0	667079.0	618182.0	585212.0	6006.0	495374.0	64.0	2844.0
в том числе:																
в индивидуальных домах	209988.0	207922.0	23395.0	313.0	27870.0	4018.0	8534.0	199413.0	124175.0	34805.0	7215.0	2319.0	2840.0	2387.0	48.0	913.0
в отдельных квартирах	672646.0	670211.0	494686.0	17354.0	19219.0	609733.0	4538.0	53938.0	654300.0	626893.0	606449.0	578169.0	3091.0	490235.0	14.0	1837.0
в коммунальных квартирах	6327.0	6224.0	2924.0	37.0	280.0	5138.0	25.0	1007.0	5922.0	5381.0	4518.0	4724.0	75.0	2752.0	2.0	94.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	131335.0	130019.0	18662.0	769.0	40597.0	18422.0	4800.0	107736.0	77663.0	31056.0	20749.0	11850.0	525.0	10169.0	20.0	370.0
в том числе:																
в индивидуальных домах	70795.0	69820.0	5754.0	57.0	18337.0	1475.0	1857.0	67257.0	31298.0	7075.0	2474.0	795.0	242.0	788.0	15.0	183.0
в отдельных квартирах	60365.0	60028.0	12883.0	705.0	22227.0	16911.0	2940.0	40348.0	46255.0	23920.0	18244.0	11029.0	283.0	9357.0	5.0	184.0
в коммунальных квартирах	175.0	171.0	25.0	7.0	33.0	36.0	3.0	131.0	110.0	61.0	31.0	26.0	-	24.0	-	3.0
Новосибирская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	908072.0	903328.0	529113.0	41560.0	278414.0	574098.0	31607.0	296131.0	683260.0	615321.0	566505.0	506905.0	9133.0	495181.0	93.0	2899.0
в том числе:																
в индивидуальных домах	208279.0	206566.0	30242.0	4938.0	139110.0	10549.0	16051.0	180381.0	61596.0	25196.0	10356.0	1978.0	2896.0	2977.0	63.0	651.0
в отдельных квартирах	685405.0	682715.0	490069.0	35257.0	137627.0	552118.0	15218.0	113640.0	608844.0	578184.0	546226.0	495083.0	6019.0	483783.0	25.0	1925.0
в коммунальных квартирах	14388.0	14047.0	8802.0	1365.0	1677.0	11431.0	338.0	2110.0	12820.0	11941.0	9923.0	9844.0	218.0	8421.0	5.0	323.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	674363.0	671319.0	487467.0	40084.0	107366.0	533591.0	16340.0	117716.0	584176.0	549826.0	523447.0	493818.0	6608.0	480553.0	63.0	2163.0
в том числе:																
в индивидуальных домах	106787.0	105925.0	17596.0	4683.0	65587.0	6314.0	10262.0	88691.0	37961.0	14211.0	5719.0	1489.0	2283.0	2091.0	40.0	343.0
в отдельных квартирах	553929.0	552073.0	461337.0	34037.0	40456.0	516204.0	5770.0	27241.0	533854.0	524058.0	508086.0	482604.0	4131.0	470179.0	18.0	1509.0
в коммунальных квартирах	13647.0	13321.0	8534.0	1364.0	1323.0	11073.0	308.0	1784.0	12361.0	11557.0	9642.0	9725.0	194.0	8283.0	5.0	311.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	233709.0	232009.0	41646.0	1476.0	171048.0	40507.0	15267.0	178415.0	99084.0	65495.0	43058.0	13087.0	2525.0	14628.0	30.0	736.0
в том числе:																
в индивидуальных домах	101492.0	100641.0	12646.0	255.0	73523.0	4235.0	5789.0	91690.0	23635.0	10985.0	4637.0	489.0	613.0	886.0	23.0	308.0
в отдельных квартирах	131476.0	130642.0	28732.0	1220.0	97171.0	35914.0	9448.0	86399.0	74990.0	54126.0	38140.0	12479.0	1888.0	13604.0	7.0	416.0
в коммунальных квартирах	741.0	726.0	268.0	1.0	354.0	358.0	30.0	326.0	459.0	384.0	281.0	119.0	24.0	138.0	-	12.0
Омская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	684419.0	681629.0	30362.0	112375.0	526533.0	412478.0	85026.0	183297.0	440254.0	411604.0	385549.0	338495.0	5000.0	334320.0	56.0	989.0
в том числе:																
в индивидуальных домах	180035.0	178804.0	3040.0	5488.0	162482.0	15664.0	49750.0	113873.0	33292.0	18982.0	10320.0	1978.0	1849.0	2498.0	37.0	373.0
в отдельных квартирах	497996.0	496508.0	26259.0	106433.0	359270.0	392057.0	34769.0	68389.0	402162.0	388000.0	371433.0	332693.0	3109.0	328314.0	19.0	558.0
в коммунальных квартирах	6388.0	6317.0	1063.0	454.0	4781.0	4757.0	507.0	1035.0	4800.0	4622.0	3796.0	3824.0	42.0	3508.0	-	58.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	472550.0	471246.0	26979.0	98872.0	342890.0	369313.0	33003.0	67743.0	380885.0	368609.0	353777.0	329729.0	3647.0	324970.0	35.0	550.0
в том числе:																
в индивидуальных домах	80720.0	80252.0	1833.0	3062.0	73660.0	7690.0	23053.0	49587.0	15680.0	8510.0	4199.0	1458.0	1147.0	1540.0	27.0	181.0
в отдельных квартирах	386133.0	385361.0	24252.0	95421.0	264857.0	357307.0	9523.0	17275.0	360799.0	355829.0	346075.0	324663.0	2458.0	320127.0	8.0	316.0
в коммунальных квартирах	5697.0	5633.0	894.0	389.0	4373.0	4316.0	427.0	881.0	4406.0	4270.0	3503.0	3608.0	42.0	3303.0	-	53.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	211869.0	210383.0	3383.0	13503.0	183643.0	43165.0	52023.0	115554.0	59369.0	42995.0	31772.0	8766.0	1353.0	9350.0	21.0	439.0
в том числе:																
в индивидуальных домах	99315.0	98552.0	1207.0	2426.0	88822.0	7974.0	26697.0	64286.0	17612.0	10472.0	6121.0	520.0	702.0	958.0	10.0	192.0
в отдельных квартирах	111863.0	111147.0	2007.0	11012.0	94413.0	34750.0	25246.0	51114.0	41363.0	32171.0	25358.0	8030.0	651.0	8187.0	11.0	242.0
в коммунальных квартирах	691.0	684.0	169.0	65.0	408.0	441.0	80.0	154.0	394.0	352.0	293.0	216.0	-	205.0	-	5.0
Томская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	339472.0	336961.0	203738.0	23671.0	61727.0	222495.0	9535.0	103871.0	249921.0	224227.0	205255.0	193430.0	2709.0	182233.0	73.0	1201.0
в том числе:																
в индивидуальных домах	57991.0	57230.0	13335.0	1371.0	23623.0	4494.0	3348.0	49668.0	14708.0	4949.0	2259.0	1498.0	654.0	1112.0	26.0	200.0
в отдельных квартирах	278751.0	277043.0	188488.0	22123.0	37825.0	215591.0	6169.0	53969.0	232729.0	216946.0	200951.0	189823.0	2006.0	179294.0	47.0	963.0
в коммунальных квартирах	2730.0	2688.0	1915.0	177.0	279.0	2410.0	18.0	234.0	2484.0	2332.0	2045.0	2109.0	49.0	1827.0	-	38.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	220472.0	219311.0	168502.0	19809.0	16252.0	192597.0	1957.0	23451.0	200959.0	192119.0	182135.0	179452.0	1677.0	168542.0	47.0	807.0
в том числе:																
в индивидуальных домах	16531.0	16394.0	5819.0	197.0	6288.0	2648.0	716.0	13058.0	5216.0	2084.0	1163.0	1281.0	424.0	810.0	17.0	61.0
в отдельных квартирах	201445.0	200461.0	160835.0	19435.0	9776.0	187648.0	1226.0	10274.0	193386.0	187774.0	178969.0	176096.0	1206.0	165939.0	30.0	708.0
в коммунальных квартирах	2496.0	2456.0	1848.0	177.0	188.0	2301.0	15.0	119.0	2357.0	2261.0	2003.0	2075.0	47.0	1793.0	-	38.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	119000.0	117650.0	35236.0	3862.0	45475.0	29898.0	7578.0	80420.0	48962.0	32108.0	23120.0	13978.0	1032.0	13691.0	26.0	394.0
в том числе:																
в индивидуальных домах	41460.0	40836.0	7516.0	1174.0	17335.0	1846.0	2632.0	36610.0	9492.0	2865.0	1096.0	217.0	230.0	302.0	9.0	139.0
в отдельных квартирах	77306.0	76582.0	27653.0	2688.0	28049.0	27943.0	4943.0	43695.0	39343.0	29172.0	21982.0	13727.0	800.0	13355.0	17.0	255.0
