5. ГРУППИРОВКА ГОРОДОВ И ПОСЕЛКОВ ГОРОДСКОГО ТИПА ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                          ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	в том числе городские поселения с числом жителей1)  								
женщины	373187.0	1588.0	-	-	51974.0	-	57946.0	261679.0	-	-
Число поселков городского типа	1.0	-	1.0	-	-	-	-	-	-	-
численность населения	8221.0	-	8221.0	-	-	-	-	-	-	-
мужчины	3951.0	-	3951.0	-	-	-	-	-	-	-
женщины	4270.0	-	4270.0	-	-	-	-	-	-	-
Читинская область										
Число городских поселений	54.0	28.0	11.0	11.0	2.0	1.0	-	1.0	-	-
численность населения	738545.0	73097.0	95415.0	144846.0	52624.0	55920.0	-	316643.0	-	-
мужчины	352081.0	35033.0	47532.0	68648.0	25550.0	26441.0	-	148877.0	-	-
женщины	386464.0	38064.0	47883.0	76198.0	27074.0	29479.0	-	167766.0	-	-
Число городов	10.0	-	1.0	5.0	2.0	1.0	-	1.0	-	-
численность населения	503106.0	-	8192.0	69727.0	52624.0	55920.0	-	316643.0	-	-
мужчины	237891.0	-	3825.0	33198.0	25550.0	26441.0	-	148877.0	-	-
женщины	265215.0	-	4367.0	36529.0	27074.0	29479.0	-	167766.0	-	-
Число поселков городского типа	44.0	28.0	10.0	6.0	-	-	-	-	-	-
численность населения	235439.0	73097.0	87223.0	75119.0	-	-	-	-	-	-
мужчины	114190.0	35033.0	43707.0	35450.0	-	-	-	-	-	-
женщины	121249.0	38064.0	43516.0	39669.0	-	-	-	-	-	-
Агинский Бурятский автономный округ										
Число городских поселений	4.0	2.0	1.0	1.0	-	-	-	-	-	-
численность населения	25510.0	5207.0	8586.0	11717.0	-	-	-	-	-	-
мужчины	12018.0	2526.0	3977.0	5515.0	-	-	-	-	-	-
женщины	13492.0	2681.0	4609.0	6202.0	-	-	-	-	-	-
Число городов	-	-	-	-	-	-	-	-	-	-
Число поселков городского типа	4.0	2.0	1.0	1.0	-	-	-	-	-	-
численность населения	25510.0	5207.0	8586.0	11717.0	-	-	-	-	-	-
мужчины	12018.0	2526.0	3977.0	5515.0	-	-	-	-	-	-
женщины	13492.0	2681.0	4609.0	6202.0	-	-	-	-	-	-
Дальневосточный федеральный округ										
Число городских поселений	306.0	176.0	52.0	39.0	22.0	8.0	6.0	1.0	2.0	-
численность населения	5081575.0	349017.0	365618.0	526284.0	719326.0	552961.0	1109561.0	281035.0	1177773.0	-
мужчины	2440462.0	176472.0	181181.0	258441.0	349902.0	259555.0	530206.0	132468.0	552237.0	-
женщины	2641113.0	172545.0	184437.0	267843.0	369424.0	293406.0	579355.0	148567.0	625536.0	-
Число городов	70.0	6.0	10.0	16.0	21.0	8.0	6.0	1.0	2.0	-
численность населения	4122974.0	18401.0	71845.0	214437.0	696961.0	552961.0	1109561.0	281035.0	1177773.0	-
мужчины	1963236.0	9020.0	35609.0	104921.0	339220.0	259555.0	530206.0	132468.0	552237.0	-
женщины	2159738.0	9381.0	36236.0	109516.0	357741.0	293406.0	579355.0	148567.0	625536.0	-
Число поселков городского типа	236.0	170.0	42.0	23.0	1.0	-	-	-	-	-
численность населения	958601.0	330616.0	293773.0	311847.0	22365.0	-	-	-	-	-
мужчины	477226.0	167452.0	145572.0	153520.0	10682.0	-	-	-	-	-
женщины	481375.0	163164.0	148201.0	158327.0	11683.0	-	-	-	-	-
Республика Саха (Якутия)										
Число городских поселений	68.0	47.0	9.0	7.0	3.0	1.0	1.0	-	-	-
численность населения	609999.0	90041.0	69086.0	84707.0	89254.0	66269.0	210642.0	-	-	-
мужчины	296155.0	45569.0	34530.0	42168.0	44543.0	31713.0	97632.0	-	-	-
женщины	313844.0	44472.0	34556.0	42539.0	44711.0	34556.0	113010.0	-	-	-
Число городов	13.0	2.0	2.0	4.0	3.0	1.0	1.0	-	-	-
численность населения	436096.0	5021.0	18808.0	46102.0	89254.0	66269.0	210642.0	-	-	-
мужчины	207400.0	2365.0	8858.0	22289.0	44543.0	31713.0	97632.0	-	-	-
женщины	228696.0	2656.0	9950.0	23813.0	44711.0	34556.0	113010.0	-	-	-
Число поселков городского типа	55.0	45.0	7.0	3.0	-	-	-	-	-	-
численность населения	173903.0	85020.0	50278.0	38605.0	-	-	-	-	-	-
мужчины	88755.0	43204.0	25672.0	19879.0	-	-	-	-	-	-
женщины	85148.0	41816.0	24606.0	18726.0	-	-	-	-	-	-
Приморский край										
Число городских поселений	58.0	20.0	16.0	9.0	7.0	3.0	2.0	-	1.0	-
численность населения	1621977.0	49296.0	119351.0	130080.0	243232.0	178732.0	306585.0	-	594701.0	-
мужчины	776824.0	25037.0	57835.0	64337.0	117318.0	83132.0	149597.0	-	279568.0	-
женщины	845153.0	24259.0	61516.0	65743.0	125914.0	95600.0	156988.0	-	315133.0	-
Число городов	12.0	-	-	-	6.0	3.0	2.0	-	1.0	-
численность населения	1300885.0	-	-	-	220867.0	178732.0	306585.0	-	594701.0	-
мужчины	618933.0	-	-	-	106636.0	83132.0	149597.0	-	279568.0	-
женщины	681952.0	-	-	-	114231.0	95600.0	156988.0	-	315133.0	-
Число поселков городского типа	46.0	20.0	16.0	9.0	1.0	-	-	-	-	-
численность населения	321092.0	49296.0	119351.0	130080.0	22365.0	-	-	-	-	-
мужчины	157891.0	25037.0	57835.0	64337.0	10682.0	-	-	-	-	-
женщины	163201.0	24259.0	61516.0	65743.0	11683.0	-	-	-	-	-
Хабаровский край										
Число городских поселений	31.0	13.0	5.0	8.0	3.0	-	-	1.0	1.0	-
численность населения	1157326.0	32187.0	34788.0	119513.0	106731.0	-	-	281035.0	583072.0	-
мужчины	549151.0	15795.0	17178.0	59495.0	51546.0	-	-	132468.0	272669.0	-
женщины	608175.0	16392.0	17610.0	60018.0	55185.0	-	-	148567.0	310403.0	-
Число городов	7.0	-	-	2.0	3.0	-	-	1.0	1.0	-
численность населения	1006239.0	-	-	35401.0	106731.0	-	-	281035.0	583072.0	-
мужчины	475300.0	-	-	18617.0	51546.0	-	-	132468.0	272669.0	-
женщины	530939.0	-	-	16784.0	55185.0	-	-	148567.0	310403.0	-
Число поселков городского типа	24.0	13.0	5.0	6.0	-	-	-	-	-	-
численность населения	151087.0	32187.0	34788.0	84112.0	-	-	-	-	-	-
мужчины	73851.0	15795.0	17178.0	40878.0	-	-	-	-	-	-
женщины	77236.0	16392.0	17610.0	43234.0	-	-	-	-	-	-
Амурская область										
Число городских поселений	30.0	12.0	5.0	6.0	4.0	2.0	1.0	-	-	-
численность населения	594386.0	24355.0	31710.0	73135.0	114654.0	131311.0	219221.0	-	-	-
мужчины	281230.0	11899.0	15531.0	35264.0	54449.0	62947.0	101140.0	-	-	-
женщины	313156.0	12456.0	16179.0	37871.0	60205.0	68364.0	118081.0	-	-	-
Число городов	9.0	-	-	2.0	4.0	2.0	1.0	-	-	-
численность населения	490000.0	-	-	24814.0	114654.0	131311.0	219221.0	-	-	-
мужчины	230594.0	-	-	12058.0	54449.0	62947.0	101140.0	-	-	-
женщины	259406.0	-	-	12756.0	60205.0	68364.0	118081.0	-	-	-
Число поселков городского типа	21.0	12.0	5.0	4.0	-	-	-	-	-	-
численность населения	104386.0	24355.0	31710.0	48321.0	-	-	-	-	-	-
мужчины	50636.0	11899.0	15531.0	23206.0	-	-	-	-	-	-
женщины	53750.0	12456.0	16179.0	25115.0	-	-	-	-	-	-
Камчатская область										
Число городских поселений	11.0	6.0	2.0	-	2.0	-	1.0	-	-	-
численность населения	290811.0	14780.0	12304.0	-	65699.0	-	198028.0	-	-	-
мужчины	147927.0	7455.0	6443.0	-	34390.0	-	99639.0	-	-	-
женщины	142884.0	7325.0	5861.0	-	31309.0	-	98389.0	-	-	-
Число городов	4.0	-	1.0	-	2.0	-	1.0	-	-	-
численность населения	270800.0	-	7073.0	-	65699.0	-	198028.0	-	-	-
мужчины	137802.0	-	3773.0	-	34390.0	-	99639.0	-	-	-
женщины	132998.0	-	3300.0	-	31309.0	-	98389.0	-	-	-
Число поселков городского типа	7.0	6.0	1.0	-	-	-	-	-	-	-
численность населения	20011.0	14780.0	5231.0	-	-	-	-	-	-	-
мужчины	10125.0	7455.0	2670.0	-	-	-	-	-	-	-
женщины	9886.0	7325.0	2561.0	-	-	-	-	-	-	-
Корякский автономный округ										
Число городских поселений	2.0	2.0	-	-	-	-	-	-	-	-
численность населения	6517.0	6517.0	-	-	-	-	-	-	-	-
мужчины	3105.0	3105.0	-	-	-	-	-	-	-	-
женщины	3412.0	3412.0	-	-	-	-	-	-	-	-
Число городов	-	-	-	-	-	-	-	-	-	-
Число поселков городского типа	2.0	2.0	-	-	-	-	-	-	-	-
численность населения	6517.0	6517.0	-	-	-	-	-	-	-	-
мужчины	3105.0	3105.0	-	-	-	-	-	-	-	-
женщины	3412.0	3412.0	-	-	-	-	-	-	-	-
Магаданская область										
Число городских поселений	30.0	26.0	3.0	-	-	1.0	-	-	-	-
численность населения	168725.0	49601.0	19725.0	-	-	99399.0	-	-	-	-
мужчины	82229.0	25556.0	9880.0	-	-	46793.0	-	-	-	-
женщины	86496.0	24045.0	9845.0	-	-	52606.0	-	-	-	-
Число городов	2.0	-	1.0	-	-	1.0	-	-	-	-
численность населения	107232.0	-	7833.0	-	-	99399.0	-	-	-	-
мужчины	50862.0	-	4069.0	-	-	46793.0	-	-	-	-
женщины	56370.0	-	3764.0	-	-	52606.0	-	-	-	-
Число поселков городского типа	28.0	26.0	2.0	-	-	-	-	-	-	-
численность населения	61493.0	49601.0	11892.0	-	-	-	-	-	-	-
мужчины	31367.0	25556.0	5811.0	-	-	-	-	-	-	-
женщины	30126.0	24045.0	6081.0	-	-	-	-	-	-	-
Сахалинская область										
Число городских поселений	48.0	30.0	7.0	7.0	3.0	-	1.0	-	-	-
численность населения	474123.0	53952.0	48588.0	96742.0	99756.0	-	175085.0	-	-	-
мужчины	227442.0	26428.0	24953.0	46207.0	47656.0	-	82198.0	-	-	-
женщины	246681.0	27524.0	23635.0	50535.0	52100.0	-	92887.0	-	-	-
Число городов	18.0	4.0	4.0	6.0	3.0	-	1.0	-	-	-
численность населения	400978.0	13380.0	26744.0	86013.0	99756.0	-	175085.0	-	-	-
мужчины	190468.0	6655.0	12972.0	40987.0	47656.0	-	82198.0	-	-	-
женщины	210510.0	6725.0	13772.0	45026.0	52100.0	-	92887.0	-	-	-
Число поселков городского типа	30.0	26.0	3.0	1.0	-	-	-	-	-	-
численность населения	73145.0	40572.0	21844.0	10729.0	-	-	-	-	-	-
мужчины	36974.0	19773.0	11981.0	5220.0	-	-	-	-	-	-
женщины	36171.0	20799.0	9863.0	5509.0	-	-	-	-	-	-
Еврейская автономная область										
Число городских поселений	14.0	9.0	3.0	1.0	-	1.0	-	-	-	-
численность населения	128359.0	21361.0	18679.0	11069.0	-	77250.0	-	-	-	-
мужчины	60317.0	10871.0	8894.0	5582.0	-	34970.0	-	-	-	-
женщины	68042.0	10490.0	9785.0	5487.0	-	42280.0	-	-	-	-
Число городов	2.0	-	-	1.0	-	1.0	-	-	-	-
численность населения	88319.0	-	-	11069.0	-	77250.0	-	-	-	-
мужчины	40552.0	-	-	5582.0	-	34970.0	-	-	-	-
женщины	47767.0	-	-	5487.0	-	42280.0	-	-	-	-
Число поселков городского типа	12.0	9.0	3.0	-	-	-	-	-	-	-
численность населения	40040.0	21361.0	18679.0	-	-	-	-	-	-	-
мужчины	19765.0	10871.0	8894.0	-	-	-	-	-	-	-
женщины	20275.0	10490.0	9785.0	-	-	-	-	-	-	-
Чукотский автономный округ										
Число городских поселений	16.0	13.0	2.0	1.0	-	-	-	-	-	-
численность населения	35869.0	13444.0	11387.0	11038.0	-	-	-	-	-	-
мужчины	19187.0	7862.0	5937.0	5388.0	-	-	-	-	-	-
женщины	16682.0	5582.0	5450.0	5650.0	-	-	-	-	-	-
Число городов	3.0	-	2.0	1.0	-	-	-	-	-	-
численность населения	22425.0	-	11387.0	11038.0	-	-	-	-	-	-
мужчины	11325.0	-	5937.0	5388.0	-	-	-	-	-	-
женщины	11100.0	-	5450.0	5650.0	-	-	-	-	-	-
Число поселков городского типа	13.0	13.0	-	-	-	-	-	-	-	-
численность населения	13444.0	13444.0	-	-	-	-	-	-	-	-
мужчины	7862.0	7862.0	-	-	-	-	-	-	-	-
женщины	5582.0	5582.0	-	-	-	-	-	-	-	-
1) Без учета населенных пунктов, подчиненных администрации города, поселка городского типа.										
