			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
стипендию	2.0	2.0	-
пенсию (кроме пенсии по инвалидности)	242.0	80.0	162.0
пенсию по инвалидности	35.0	12.0	23.0
пособие (кроме пособия по безработице)	3.0	1.0	2.0
пособие по безработице	1.0	-	1.0
другой вид государственного обеспечения	4.0	4.0	-
сбережения	6.0	4.0	2.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	7.0	4.0	3.0
иной источник	5.0	-	5.0
личное подсобное хозяйство и			
стипендию	1.0	1.0	-
пенсию (кроме пенсии по инвалидности)	140.0	21.0	119.0
пенсию по инвалидности	17.0	2.0	15.0
пособие (кроме пособия по безработице)	2.0	-	2.0
пособие по безработице	39.0	-	39.0
другой вид государственного обеспечения	-	-	-
сбережения	9.0	3.0	6.0
доход от сдачи внаем или в аренду имущества	2.0	1.0	1.0
на иждивении отдельных лиц	45.0	10.0	35.0
иной источник	5.0	1.0	4.0
стипендию и			
пенсию	-	-	-
пособие (кроме пособия по безработице)	1.0	1.0	-
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	76.0	30.0	46.0
иной источник	-	-	-
пенсию и			
пособие	10.0	1.0	9.0
сбережения	2.0	2.0	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	90.0	19.0	71.0
иной источник	1.0	1.0	-
пособие и			
сбережения	1.0	1.0	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	1484.0	425.0	1059.0
иной источник	4.0	1.0	3.0
другие сочетания источников средств к существованию	99.0	34.0	65.0
Женщины, указавшие два источника средств к существованию	3505.0	1013.0	2492.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	785.0	156.0	629.0
стипендию	11.0	6.0	5.0
пенсию (кроме пенсии по инвалидности)	447.0	177.0	270.0
пенсию по инвалидности	27.0	12.0	15.0
пособие (кроме пособия по безработице)	88.0	36.0	52.0
пособие по безработице	-	-	-
другой вид государственного обеспечения	2.0	2.0	-
сбережения	3.0	1.0	2.0
доход от сдачи внаем или в аренду имущества	2.0	-	2.0
на иждивении отдельных лиц	3.0	3.0	-
иной источник	2.0	2.0	-
личное подсобное хозяйство и			
стипендию	3.0	-	3.0
пенсию (кроме пенсии по инвалидности)	213.0	32.0	181.0
пенсию по инвалидности	13.0	4.0	9.0
пособие (кроме пособия по безработице)	10.0	1.0	9.0
пособие по безработице	17.0	-	17.0
другой вид государственного обеспечения	-	-	-
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	44.0	14.0	30.0
иной источник	-	-	-
стипендию и			
пенсию	5.0	3.0	2.0
пособие (кроме пособия по безработице)	2.0	1.0	1.0
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	81.0	45.0	36.0
иной источник	-	-	-
пенсию и			
пособие	10.0	2.0	8.0
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	2.0	1.0	1.0
на иждивении отдельных лиц	88.0	27.0	61.0
иной источник	-	-	-
пособие и			
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	2.0	1.0	1.0
на иждивении отдельных лиц	1573.0	451.0	1122.0
иной источник	3.0	-	3.0
другие сочетания источников средств к существованию	69.0	36.0	33.0
Иркутская область			
Все население, указавшее два источника средств к существованию	709183.0	447618.0	261565.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	155794.0	81996.0	73798.0
стипендию	1936.0	1873.0	63.0
пенсию (кроме пенсии по инвалидности)	66612.0	61940.0	4672.0
пенсию по инвалидности	6255.0	5318.0	937.0
пособие (кроме пособия по безработице)	8008.0	7130.0	878.0
пособие по безработице	198.0	164.0	34.0
другой вид государственного обеспечения	14549.0	10647.0	3902.0
сбережения	687.0	617.0	70.0
доход от сдачи внаем или в аренду имущества	581.0	554.0	27.0
на иждивении отдельных лиц	5729.0	5399.0	330.0
иной источник	4933.0	4329.0	604.0
личное подсобное хозяйство и			
стипендию	310.0	208.0	102.0
пенсию (кроме пенсии по инвалидности)	83251.0	43471.0	39780.0
пенсию по инвалидности	9118.0	3673.0	5445.0
пособие (кроме пособия по безработице)	2328.0	767.0	1561.0
пособие по безработице	3983.0	1705.0	2278.0
другой вид государственного обеспечения	243.0	110.0	133.0
сбережения	185.0	115.0	70.0
доход от сдачи внаем или в аренду имущества	158.0	49.0	109.0
на иждивении отдельных лиц	28716.0	13031.0	15685.0
иной источник	5987.0	2016.0	3971.0
стипендию и			
пенсию	1119.0	948.0	171.0
пособие (кроме пособия по безработице)	436.0	383.0	53.0
сбережения	15.0	13.0	2.0
доход от сдачи внаем или в аренду имущества	17.0	17.0	-
на иждивении отдельных лиц	31958.0	29453.0	2505.0
иной источник	155.0	152.0	3.0
пенсию и			
пособие	4676.0	2650.0	2026.0
сбережения	778.0	489.0	289.0
доход от сдачи внаем или в аренду имущества	444.0	410.0	34.0
на иждивении отдельных лиц	18986.0	14440.0	4546.0
иной источник	988.0	821.0	167.0
пособие и			
сбережения	36.0	32.0	4.0
доход от сдачи внаем или в аренду имущества	261.0	177.0	84.0
на иждивении отдельных лиц	226724.0	134966.0	91758.0
иной источник	1045.0	751.0	294.0
другие сочетания источников средств к существованию	21984.0	16804.0	5180.0
Мужчины, указавшие два источника средств к существованию	335804.0	207640.0	128164.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	83469.0	43207.0	40262.0
стипендию	1006.0	979.0	27.0
пенсию (кроме пенсии по инвалидности)	26502.0	24796.0	1706.0
пенсию по инвалидности	3583.0	2987.0	596.0
пособие (кроме пособия по безработице)	615.0	557.0	58.0
пособие по безработице	48.0	42.0	6.0
другой вид государственного обеспечения	13416.0	9904.0	3512.0
сбережения	371.0	339.0	32.0
доход от сдачи внаем или в аренду имущества	265.0	251.0	14.0
на иждивении отдельных лиц	2357.0	2222.0	135.0
иной источник	2913.0	2453.0	460.0
личное подсобное хозяйство и			
стипендию	147.0	99.0	48.0
пенсию (кроме пенсии по инвалидности)	29894.0	15400.0	14494.0
пенсию по инвалидности	5323.0	2063.0	3260.0
пособие (кроме пособия по безработице)	401.0	140.0	261.0
пособие по безработице	1430.0	650.0	780.0
другой вид государственного обеспечения	51.0	24.0	27.0
сбережения	100.0	66.0	34.0
доход от сдачи внаем или в аренду имущества	75.0	26.0	49.0
на иждивении отдельных лиц	11011.0	4658.0	6353.0
иной источник	3958.0	1258.0	2700.0
стипендию и			
пенсию	459.0	374.0	85.0
пособие (кроме пособия по безработице)	170.0	150.0	20.0
сбережения	10.0	8.0	2.0
доход от сдачи внаем или в аренду имущества	8.0	8.0	-
на иждивении отдельных лиц	15167.0	13956.0	1211.0
иной источник	70.0	68.0	2.0
пенсию и			
пособие	2019.0	1020.0	999.0
сбережения	339.0	187.0	152.0
доход от сдачи внаем или в аренду имущества	113.0	99.0	14.0
на иждивении отдельных лиц	8955.0	6599.0	2356.0
иной источник	451.0	352.0	99.0
пособие и			
сбережения	8.0	7.0	1.0
доход от сдачи внаем или в аренду имущества	115.0	78.0	37.0
на иждивении отдельных лиц	109508.0	64048.0	45460.0
иной источник	313.0	221.0	92.0
другие сочетания источников средств к существованию	11164.0	8344.0	2820.0
Женщины, указавшие два источника средств к существованию	373379.0	239978.0	133401.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	72325.0	38789.0	33536.0
стипендию	930.0	894.0	36.0
пенсию (кроме пенсии по инвалидности)	40110.0	37144.0	2966.0
пенсию по инвалидности	2672.0	2331.0	341.0
пособие (кроме пособия по безработице)	7393.0	6573.0	820.0
пособие по безработице	150.0	122.0	28.0
другой вид государственного обеспечения	1133.0	743.0	390.0
сбережения	316.0	278.0	38.0
доход от сдачи внаем или в аренду имущества	316.0	303.0	13.0
на иждивении отдельных лиц	3372.0	3177.0	195.0
иной источник	2020.0	1876.0	144.0
личное подсобное хозяйство и			
стипендию	163.0	109.0	54.0
пенсию (кроме пенсии по инвалидности)	53357.0	28071.0	25286.0
пенсию по инвалидности	3795.0	1610.0	2185.0
пособие (кроме пособия по безработице)	1927.0	627.0	1300.0
пособие по безработице	2553.0	1055.0	1498.0
другой вид государственного обеспечения	192.0	86.0	106.0
сбережения	85.0	49.0	36.0
доход от сдачи внаем или в аренду имущества	83.0	23.0	60.0
на иждивении отдельных лиц	17705.0	8373.0	9332.0
иной источник	2029.0	758.0	1271.0
стипендию и			
пенсию	660.0	574.0	86.0
пособие (кроме пособия по безработице)	266.0	233.0	33.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	9.0	9.0	-
на иждивении отдельных лиц	16791.0	15497.0	1294.0
иной источник	85.0	84.0	1.0
пенсию и			
пособие	2657.0	1630.0	1027.0
сбережения	439.0	302.0	137.0
доход от сдачи внаем или в аренду имущества	331.0	311.0	20.0
на иждивении отдельных лиц	10031.0	7841.0	2190.0
иной источник	537.0	469.0	68.0
пособие и			
сбережения	28.0	25.0	3.0
доход от сдачи внаем или в аренду имущества	146.0	99.0	47.0
на иждивении отдельных лиц	117216.0	70918.0	46298.0
иной источник	732.0	530.0	202.0
другие сочетания источников средств к существованию	10820.0	8460.0	2360.0
Усть-Ордынский Бурятский автономный округ			
Все население, указавшее два источника средств к существованию	84303.0	-	84303.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	26161.0	-	26161.0
стипендию	10.0	-	10.0
пенсию (кроме пенсии по инвалидности)	844.0	-	844.0
пенсию по инвалидности	211.0	-	211.0
пособие (кроме пособия по безработице)	172.0	-	172.0
пособие по безработице	3.0	-	3.0
другой вид государственного обеспечения	30.0	-	30.0
сбережения	39.0	-	39.0
доход от сдачи внаем или в аренду имущества	11.0	-	11.0
на иждивении отдельных лиц	60.0	-	60.0
иной источник	66.0	-	66.0
личное подсобное хозяйство и			
стипендию	60.0	-	60.0
пенсию (кроме пенсии по инвалидности)	11348.0	-	11348.0
пенсию по инвалидности	2100.0	-	2100.0
пособие (кроме пособия по безработице)	641.0	-	641.0
пособие по безработице	646.0	-	646.0
другой вид государственного обеспечения	40.0	-	40.0
сбережения	24.0	-	24.0
доход от сдачи внаем или в аренду имущества	66.0	-	66.0
на иждивении отдельных лиц	5905.0	-	5905.0
иной источник	991.0	-	991.0
стипендию и			
пенсию	25.0	-	25.0
пособие (кроме пособия по безработице)	10.0	-	10.0
сбережения	1.0	-	1.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	681.0	-	681.0
иной источник	-	-	-
пенсию и			
пособие	444.0	-	444.0
сбережения	244.0	-	244.0
доход от сдачи внаем или в аренду имущества	17.0	-	17.0
на иждивении отдельных лиц	1240.0	-	1240.0
иной источник	28.0	-	28.0
пособие и			
сбережения	2.0	-	2.0
доход от сдачи внаем или в аренду имущества	13.0	-	13.0
на иждивении отдельных лиц	31090.0	-	31090.0
иной источник	35.0	-	35.0
другие сочетания источников средств к существованию	1045.0	-	1045.0
Мужчины, указавшие два источника средств к существованию	40697.0	-	40697.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	13706.0	-	13706.0
стипендию	5.0	-	5.0
пенсию (кроме пенсии по инвалидности)	281.0	-	281.0
пенсию по инвалидности	107.0	-	107.0
пособие (кроме пособия по безработице)	9.0	-	9.0
пособие по безработице	1.0	-	1.0
другой вид государственного обеспечения	12.0	-	12.0
сбережения	16.0	-	16.0
доход от сдачи внаем или в аренду имущества	7.0	-	7.0
на иждивении отдельных лиц	26.0	-	26.0
иной источник	43.0	-	43.0
личное подсобное хозяйство и			
стипендию	26.0	-	26.0
пенсию (кроме пенсии по инвалидности)	4025.0	-	4025.0
пенсию по инвалидности	1205.0	-	1205.0
пособие (кроме пособия по безработице)	104.0	-	104.0
пособие по безработице	246.0	-	246.0
другой вид государственного обеспечения	4.0	-	4.0
сбережения	13.0	-	13.0
доход от сдачи внаем или в аренду имущества	30.0	-	30.0
на иждивении отдельных лиц	2783.0	-	2783.0
иной источник	664.0	-	664.0
стипендию и			
пенсию	9.0	-	9.0
пособие (кроме пособия по безработице)	3.0	-	3.0
сбережения	1.0	-	1.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	309.0	-	309.0
иной источник	-	-	-
пенсию и			
пособие	224.0	-	224.0
сбережения	138.0	-	138.0
доход от сдачи внаем или в аренду имущества	7.0	-	7.0
на иждивении отдельных лиц	613.0	-	613.0
иной источник	14.0	-	14.0
пособие и			
сбережения	1.0	-	1.0
доход от сдачи внаем или в аренду имущества	8.0	-	8.0
на иждивении отдельных лиц	15481.0	-	15481.0
иной источник	8.0	-	8.0
другие сочетания источников средств к существованию	568.0	-	568.0
Женщины, указавшие два источника средств к существованию	43606.0	-	43606.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	12455.0	-	12455.0
стипендию	5.0	-	5.0
пенсию (кроме пенсии по инвалидности)	563.0	-	563.0
пенсию по инвалидности	104.0	-	104.0
пособие (кроме пособия по безработице)	163.0	-	163.0
пособие по безработице	2.0	-	2.0
другой вид государственного обеспечения	18.0	-	18.0
сбережения	23.0	-	23.0
доход от сдачи внаем или в аренду имущества	4.0	-	4.0
на иждивении отдельных лиц	34.0	-	34.0
иной источник	23.0	-	23.0
личное подсобное хозяйство и			
стипендию	34.0	-	34.0
пенсию (кроме пенсии по инвалидности)	7323.0	-	7323.0
пенсию по инвалидности	895.0	-	895.0
пособие (кроме пособия по безработице)	537.0	-	537.0
пособие по безработице	400.0	-	400.0
другой вид государственного обеспечения	36.0	-	36.0
сбережения	11.0	-	11.0
доход от сдачи внаем или в аренду имущества	36.0	-	36.0
на иждивении отдельных лиц	3122.0	-	3122.0
иной источник	327.0	-	327.0
стипендию и			
пенсию	16.0	-	16.0
пособие (кроме пособия по безработице)	7.0	-	7.0
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	372.0	-	372.0
иной источник	-	-	-
пенсию и			
пособие	220.0	-	220.0
сбережения	106.0	-	106.0
доход от сдачи внаем или в аренду имущества	10.0	-	10.0
на иждивении отдельных лиц	627.0	-	627.0
иной источник	14.0	-	14.0
пособие и			
сбережения	1.0	-	1.0
доход от сдачи внаем или в аренду имущества	5.0	-	5.0
на иждивении отдельных лиц	15609.0	-	15609.0
иной источник	27.0	-	27.0
другие сочетания источников средств к существованию	477.0	-	477.0
Кемеровская область			
Все население, указавшее два источника средств к существованию	762293.0	571384.0	190909.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	168846.0	109006.0	59840.0
стипендию	1674.0	1648.0	26.0
пенсию (кроме пенсии по инвалидности)	72142.0	69824.0	2318.0
пенсию по инвалидности	5656.0	5196.0	460.0
пособие (кроме пособия по безработице)	7296.0	6723.0	573.0
пособие по безработице	232.0	212.0	20.0
другой вид государственного обеспечения	13236.0	10648.0	2588.0
сбережения	485.0	462.0	23.0
доход от сдачи внаем или в аренду имущества	372.0	353.0	19.0
на иждивении отдельных лиц	3948.0	3764.0	184.0
иной источник	3101.0	2836.0	265.0
личное подсобное хозяйство и			
стипендию	373.0	273.0	100.0
пенсию (кроме пенсии по инвалидности)	106726.0	72095.0	34631.0
пенсию по инвалидности	8810.0	5190.0	3620.0
пособие (кроме пособия по безработице)	2086.0	1033.0	1053.0
пособие по безработице	5078.0	2758.0	2320.0
другой вид государственного обеспечения	236.0	160.0	76.0
сбережения	262.0	186.0	76.0
доход от сдачи внаем или в аренду имущества	78.0	34.0	44.0
на иждивении отдельных лиц	35690.0	21481.0	14209.0
иной источник	5544.0	3339.0	2205.0
стипендию и			
пенсию	844.0	753.0	91.0
пособие (кроме пособия по безработице)	475.0	434.0	41.0
сбережения	19.0	19.0	-
доход от сдачи внаем или в аренду имущества	7.0	6.0	1.0
на иждивении отдельных лиц	38734.0	35953.0	2781.0
иной источник	150.0	138.0	12.0
пенсию и			
пособие	3380.0	2544.0	836.0
сбережения	464.0	357.0	107.0
доход от сдачи внаем или в аренду имущества	209.0	202.0	7.0
на иждивении отдельных лиц	15026.0	13017.0	2009.0
иной источник	928.0	851.0	77.0
пособие и			
сбережения	61.0	54.0	7.0
доход от сдачи внаем или в аренду имущества	147.0	115.0	32.0
на иждивении отдельных лиц	238139.0	181751.0	56388.0
иной источник	886.0	729.0	157.0
другие сочетания источников средств к существованию	20953.0	17240.0	3713.0
Мужчины, указавшие два источника средств к существованию	360103.0	266626.0	93477.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	88886.0	55854.0	33032.0
стипендию	850.0	835.0	15.0
пенсию (кроме пенсии по инвалидности)	32161.0	31343.0	818.0
пенсию по инвалидности	3356.0	3044.0	312.0
пособие (кроме пособия по безработице)	526.0	479.0	47.0
пособие по безработице	85.0	79.0	6.0
другой вид государственного обеспечения	11334.0	9067.0	2267.0
сбережения	272.0	261.0	11.0
доход от сдачи внаем или в аренду имущества	194.0	184.0	10.0
на иждивении отдельных лиц	1494.0	1415.0	79.0
иной источник	1792.0	1590.0	202.0
личное подсобное хозяйство и			
стипендию	167.0	126.0	41.0
пенсию (кроме пенсии по инвалидности)	40527.0	27443.0	13084.0
пенсию по инвалидности	5341.0	3055.0	2286.0
пособие (кроме пособия по безработице)	365.0	195.0	170.0
пособие по безработице	1977.0	1153.0	824.0
другой вид государственного обеспечения	53.0	37.0	16.0
сбережения	154.0	111.0	43.0
доход от сдачи внаем или в аренду имущества	30.0	12.0	18.0
на иждивении отдельных лиц	13359.0	7655.0	5704.0
иной источник	3515.0	2060.0	1455.0
стипендию и			
пенсию	378.0	337.0	41.0
пособие (кроме пособия по безработице)	196.0	177.0	19.0
сбережения	9.0	9.0	-
доход от сдачи внаем или в аренду имущества	3.0	3.0	-
на иждивении отдельных лиц	17499.0	16172.0	1327.0
иной источник	63.0	58.0	5.0
пенсию и			
пособие	1467.0	1044.0	423.0
сбережения	169.0	134.0	35.0
доход от сдачи внаем или в аренду имущества	63.0	61.0	2.0
на иждивении отдельных лиц	7320.0	6307.0	1013.0
иной источник	485.0	439.0	46.0
пособие и			
сбережения	20.0	17.0	3.0
доход от сдачи внаем или в аренду имущества	65.0	50.0	15.0
на иждивении отдельных лиц	114333.0	86566.0	27767.0
иной источник	284.0	237.0	47.0
другие сочетания источников средств к существованию	11311.0	9017.0	2294.0
Женщины, указавшие два источника средств к существованию	402190.0	304758.0	97432.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	79960.0	53152.0	26808.0
стипендию	824.0	813.0	11.0
пенсию (кроме пенсии по инвалидности)	39981.0	38481.0	1500.0
пенсию по инвалидности	2300.0	2152.0	148.0
пособие (кроме пособия по безработице)	6770.0	6244.0	526.0
пособие по безработице	147.0	133.0	14.0
другой вид государственного обеспечения	1902.0	1581.0	321.0
сбережения	213.0	201.0	12.0
доход от сдачи внаем или в аренду имущества	178.0	169.0	9.0
на иждивении отдельных лиц	2454.0	2349.0	105.0
иной источник	1309.0	1246.0	63.0
личное подсобное хозяйство и			
стипендию	206.0	147.0	59.0
пенсию (кроме пенсии по инвалидности)	66199.0	44652.0	21547.0
пенсию по инвалидности	3469.0	2135.0	1334.0
пособие (кроме пособия по безработице)	1721.0	838.0	883.0
пособие по безработице	3101.0	1605.0	1496.0
другой вид государственного обеспечения	183.0	123.0	60.0
сбережения	108.0	75.0	33.0
доход от сдачи внаем или в аренду имущества	48.0	22.0	26.0
на иждивении отдельных лиц	22331.0	13826.0	8505.0
иной источник	2029.0	1279.0	750.0
стипендию и			
пенсию	466.0	416.0	50.0
пособие (кроме пособия по безработице)	279.0	257.0	22.0
сбережения	10.0	10.0	-
доход от сдачи внаем или в аренду имущества	4.0	3.0	1.0
на иждивении отдельных лиц	21235.0	19781.0	1454.0
иной источник	87.0	80.0	7.0
пенсию и			
пособие	1913.0	1500.0	413.0
сбережения	295.0	223.0	72.0
доход от сдачи внаем или в аренду имущества	146.0	141.0	5.0
на иждивении отдельных лиц	7706.0	6710.0	996.0
иной источник	443.0	412.0	31.0
пособие и			
сбережения	41.0	37.0	4.0
доход от сдачи внаем или в аренду имущества	82.0	65.0	17.0
на иждивении отдельных лиц	123806.0	95185.0	28621.0
иной источник	602.0	492.0	110.0
другие сочетания источников средств к существованию	9642.0	8223.0	1419.0
Новосибирская область			
Все население, указавшее два источника средств к существованию	847397.0	457811.0	389586.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	230922.0	89209.0	141713.0
стипендию	3051.0	3004.0	47.0
пенсию (кроме пенсии по инвалидности)	57772.0	54488.0	3284.0
пенсию по инвалидности	5442.0	4633.0	809.0
пособие (кроме пособия по безработице)	8692.0	7480.0	1212.0
пособие по безработице	132.0	117.0	15.0
другой вид государственного обеспечения	7270.0	6656.0	614.0
сбережения	662.0	631.0	31.0
доход от сдачи внаем или в аренду имущества	1091.0	651.0	440.0
на иждивении отдельных лиц	8526.0	7697.0	829.0
иной источник	2639.0	2201.0	438.0
личное подсобное хозяйство и			
стипендию	197.0	105.0	92.0
пенсию (кроме пенсии по инвалидности)	124511.0	49655.0	74856.0
пенсию по инвалидности	11484.0	3842.0	7642.0
пособие (кроме пособия по безработице)	2390.0	586.0	1804.0
пособие по безработице	1889.0	900.0	989.0
другой вид государственного обеспечения	211.0	76.0	135.0
сбережения	426.0	220.0	206.0
доход от сдачи внаем или в аренду имущества	294.0	92.0	202.0
на иждивении отдельных лиц	40459.0	15859.0	24600.0
иной источник	3568.0	987.0	2581.0
стипендию и			
пенсию	726.0	617.0	109.0
пособие (кроме пособия по безработице)	341.0	299.0	42.0
сбережения	17.0	17.0	-
доход от сдачи внаем или в аренду имущества	27.0	26.0	1.0
на иждивении отдельных лиц	43771.0	40143.0	3628.0
иной источник	102.0	95.0	7.0
пенсию и			
пособие	2220.0	1322.0	898.0
сбережения	482.0	432.0	50.0
доход от сдачи внаем или в аренду имущества	1155.0	561.0	594.0
на иждивении отдельных лиц	16698.0	12079.0	4619.0
иной источник	707.0	636.0	71.0
пособие и			
сбережения	89.0	87.0	2.0
доход от сдачи внаем или в аренду имущества	215.0	100.0	115.0
на иждивении отдельных лиц	251758.0	138410.0	113348.0
иной источник	469.0	315.0	154.0
другие сочетания источников средств к существованию	16992.0	13583.0	3409.0
Мужчины, указавшие два источника средств к существованию	398110.0	209234.0	188876.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	125931.0	46280.0	79651.0
стипендию	1646.0	1622.0	24.0
пенсию (кроме пенсии по инвалидности)	25920.0	24681.0	1239.0
пенсию по инвалидности	3292.0	2742.0	550.0
пособие (кроме пособия по безработице)	648.0	557.0	91.0
пособие по безработице	30.0	27.0	3.0
другой вид государственного обеспечения	6070.0	5505.0	565.0
сбережения	393.0	375.0	18.0
доход от сдачи внаем или в аренду имущества	445.0	308.0	137.0
на иждивении отдельных лиц	3675.0	3253.0	422.0
иной источник	1621.0	1323.0	298.0
личное подсобное хозяйство и			
стипендию	102.0	52.0	50.0
пенсию (кроме пенсии по инвалидности)	45175.0	17376.0	27799.0
пенсию по инвалидности	7016.0	2233.0	4783.0
пособие (кроме пособия по безработице)	234.0	77.0	157.0
пособие по безработице	617.0	306.0	311.0
другой вид государственного обеспечения	39.0	16.0	23.0
сбережения	254.0	125.0	129.0
доход от сдачи внаем или в аренду имущества	140.0	43.0	97.0
на иждивении отдельных лиц	13952.0	5805.0	8147.0
иной источник	2292.0	608.0	1684.0
стипендию и			
пенсию	288.0	246.0	42.0
пособие (кроме пособия по безработице)	122.0	102.0	20.0
сбережения	7.0	7.0	-
доход от сдачи внаем или в аренду имущества	11.0	11.0	-
на иждивении отдельных лиц	19621.0	17729.0	1892.0
иной источник	50.0	49.0	1.0
пенсию и			
пособие	846.0	426.0	420.0
сбережения	188.0	173.0	15.0
доход от сдачи внаем или в аренду имущества	239.0	114.0	125.0
на иждивении отдельных лиц	6699.0	4730.0	1969.0
иной источник	315.0	270.0	45.0
пособие и			
сбережения	28.0	27.0	1.0
доход от сдачи внаем или в аренду имущества	90.0	40.0	50.0
на иждивении отдельных лиц	121322.0	65135.0	56187.0
иной источник	176.0	111.0	65.0
другие сочетания источников средств к существованию	8616.0	6750.0	1866.0
Женщины, указавшие два источника средств к существованию	449287.0	248577.0	200710.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	104991.0	42929.0	62062.0
стипендию	1405.0	1382.0	23.0
пенсию (кроме пенсии по инвалидности)	31852.0	29807.0	2045.0
пенсию по инвалидности	2150.0	1891.0	259.0
пособие (кроме пособия по безработице)	8044.0	6923.0	1121.0
пособие по безработице	102.0	90.0	12.0
другой вид государственного обеспечения	1200.0	1151.0	49.0
сбережения	269.0	256.0	13.0
доход от сдачи внаем или в аренду имущества	646.0	343.0	303.0
на иждивении отдельных лиц	4851.0	4444.0	407.0
иной источник	1018.0	878.0	140.0
личное подсобное хозяйство и			
стипендию	95.0	53.0	42.0
пенсию (кроме пенсии по инвалидности)	79336.0	32279.0	47057.0
пенсию по инвалидности	4468.0	1609.0	2859.0
пособие (кроме пособия по безработице)	2156.0	509.0	1647.0
пособие по безработице	1272.0	594.0	678.0
другой вид государственного обеспечения	172.0	60.0	112.0
сбережения	172.0	95.0	77.0
доход от сдачи внаем или в аренду имущества	154.0	49.0	105.0
на иждивении отдельных лиц	26507.0	10054.0	16453.0
иной источник	1276.0	379.0	897.0
стипендию и			
пенсию	438.0	371.0	67.0
пособие (кроме пособия по безработице)	219.0	197.0	22.0
сбережения	10.0	10.0	-
доход от сдачи внаем или в аренду имущества	16.0	15.0	1.0
на иждивении отдельных лиц	24150.0	22414.0	1736.0
иной источник	52.0	46.0	6.0
пенсию и			
пособие	1374.0	896.0	478.0
сбережения	294.0	259.0	35.0
доход от сдачи внаем или в аренду имущества	916.0	447.0	469.0
на иждивении отдельных лиц	9999.0	7349.0	2650.0
иной источник	392.0	366.0	26.0
пособие и			
сбережения	61.0	60.0	1.0
доход от сдачи внаем или в аренду имущества	125.0	60.0	65.0
на иждивении отдельных лиц	130436.0	73275.0	57161.0
иной источник	293.0	204.0	89.0
другие сочетания источников средств к существованию	8376.0	6833.0	1543.0
Омская область			
Все население, указавшее два источника средств к существованию	665098.0	321597.0	343501.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	154900.0	48097.0	106803.0
стипендию	1480.0	1412.0	68.0
пенсию (кроме пенсии по инвалидности)	33492.0	30504.0	2988.0
пенсию по инвалидности	4506.0	3574.0	932.0
пособие (кроме пособия по безработице)	5479.0	4253.0	1226.0
пособие по безработице	83.0	61.0	22.0
другой вид государственного обеспечения	4443.0	4346.0	97.0
сбережения	395.0	352.0	43.0
доход от сдачи внаем или в аренду имущества	724.0	287.0	437.0
на иждивении отдельных лиц	4199.0	3438.0	761.0
иной источник	2103.0	1669.0	434.0
личное подсобное хозяйство и			
стипендию	239.0	153.0	86.0
пенсию (кроме пенсии по инвалидности)	78170.0	25462.0	52708.0
пенсию по инвалидности	10139.0	2797.0	7342.0
пособие (кроме пособия по безработице)	2116.0	367.0	1749.0
пособие по безработице	3367.0	910.0	2457.0
другой вид государственного обеспечения	207.0	46.0	161.0
сбережения	187.0	95.0	92.0
доход от сдачи внаем или в аренду имущества	513.0	33.0	480.0
на иждивении отдельных лиц	32295.0	9528.0	22767.0
иной источник	3255.0	751.0	2504.0
