9. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, СОСТОЯЩИХ ИЗ ОДНОГО ЧЕЛОВЕКА, ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ				
				
	Всего	в том числе в возрасте		
пособие по безработице	501.0	-	501.0	-
другой вид государственного обеспечения	63.0	7.0	45.0	11.0
сбережения	357.0	-	353.0	3.0
доход от сдачи внаем или в аренду имущества	75.0	1.0	68.0	6.0
на иждивении отдельных лиц	8406.0	98.0	8259.0	48.0
иной источник	3111.0	-	3085.0	24.0
Указавшие два источника средств к существованию	26639.0	144.0	11167.0	15328.0
Указавшие три и более источника средств к существованию	1860.0	60.0	1033.0	767.0
Томская область				
Население частных домохозяйств, состоящих из одного человека	74936.0	104.0	34690.0	40139.0
из них указали один источник средств к существованию	56825.0	59.0	27845.0	28920.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	19558.0	-	19153.0	404.0
личное подсобное хозяйство	991.0	-	979.0	12.0
стипендию	144.0	4.0	140.0	-
пенсию (кроме пенсии по инвалидности)	28904.0	3.0	1255.0	27646.0
пенсию по инвалидности	1994.0	-	1190.0	804.0
пособие (кроме пособия по безработице)	74.0	1.0	67.0	6.0
пособие по безработице	727.0	-	727.0	-
другой вид государственного обеспечения	19.0	2.0	16.0	1.0
сбережения	194.0	-	191.0	3.0
доход от сдачи внаем или в аренду имущества	41.0	-	41.0	-
на иждивении отдельных лиц	3302.0	49.0	3220.0	33.0
иной источник	877.0	-	866.0	11.0
Указавшие два источника средств к существованию	17126.0	43.0	6352.0	10731.0
Указавшие три и более источника средств к существованию	979.0	2.0	489.0	488.0
Читинская область				
Население частных домохозяйств, состоящих из одного человека	67527.0	186.0	30344.0	36949.0
из них указали один источник средств к существованию	51494.0	47.0	24329.0	27108.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	16124.0	1.0	15738.0	382.0
личное подсобное хозяйство	1146.0	-	1134.0	11.0
стипендию	117.0	2.0	115.0	-
пенсию (кроме пенсии по инвалидности)	26640.0	5.0	1092.0	25541.0
пенсию по инвалидности	2499.0	1.0	1419.0	1079.0
пособие (кроме пособия по безработице)	101.0	7.0	68.0	26.0
пособие по безработице	658.0	-	658.0	-
другой вид государственного обеспечения	37.0	3.0	28.0	6.0
сбережения	83.0	-	81.0	2.0
доход от сдачи внаем или в аренду имущества	13.0	-	12.0	1.0
на иждивении отдельных лиц	1858.0	26.0	1814.0	17.0
иной источник	2218.0	2.0	2170.0	43.0
Указавшие два источника средств к существованию	14751.0	75.0	5322.0	9352.0
Указавшие три и более источника средств к существованию	903.0	62.0	420.0	421.0
Агинский Бурятский автономный округ				
Население частных домохозяйств, состоящих из одного человека	2403.0	60.0	1263.0	1080.0
из них указали один источник средств к существованию	1007.0	1.0	611.0	395.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	302.0	-	300.0	2.0
личное подсобное хозяйство	227.0	-	224.0	3.0
стипендию	-	-	-	-
пенсию (кроме пенсии по инвалидности)	390.0	-	15.0	375.0
пенсию по инвалидности	39.0	-	26.0	13.0
пособие (кроме пособия по безработице)	2.0	-	1.0	1.0
пособие по безработице	19.0	-	19.0	-
другой вид государственного обеспечения	-	-	-	-
сбережения	1.0	-	1.0	-
доход от сдачи внаем или в аренду имущества	-	-	-	-
на иждивении отдельных лиц	15.0	1.0	13.0	1.0
иной источник	12.0	-	12.0	-
Указавшие два источника средств к существованию	1177.0	6.0	515.0	656.0
Указавшие три и более источника средств к существованию	218.0	53.0	136.0	29.0
Дальневосточный федеральный округ				
Население частных домохозяйств, состоящих из одного человека	538949.0	1356.0	295174.0	241368.0
из них указали один источник средств к существованию	423965.0	737.0	243468.0	179654.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	176007.0	12.0	172106.0	3847.0
личное подсобное хозяйство	4458.0	-	4388.0	69.0
стипендию	1162.0	34.0	1128.0	-
пенсию (кроме пенсии по инвалидности)	184398.0	25.0	15225.0	169130.0
пенсию по инвалидности	15513.0	6.0	9461.0	6040.0
пособие (кроме пособия по безработице)	699.0	36.0	582.0	81.0
пособие по безработице	5256.0	-	5256.0	-
другой вид государственного обеспечения	549.0	39.0	483.0	27.0
сбережения	1984.0	1.0	1971.0	12.0
доход от сдачи внаем или в аренду имущества	182.0	-	171.0	11.0
на иждивении отдельных лиц	18834.0	570.0	18053.0	201.0
иной источник	14923.0	14.0	14644.0	236.0
Указавшие два источника средств к существованию	97459.0	469.0	40440.0	56541.0
Указавшие три и более источника средств к существованию	5776.0	56.0	2492.0	3228.0
Республика Саха (Якутия)				
Население частных домохозяйств, состоящих из одного человека	53602.0	137.0	36055.0	17399.0
из них указали один источник средств к существованию	41569.0	66.0	29401.0	12099.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	22965.0	1.0	22546.0	416.0
личное подсобное хозяйство	382.0	-	381.0	-
стипендию	209.0	3.0	206.0	-
пенсию (кроме пенсии по инвалидности)	13130.0	2.0	1872.0	11256.0
пенсию по инвалидности	1444.0	2.0	1063.0	379.0
пособие (кроме пособия по безработице)	61.0	3.0	44.0	14.0
пособие по безработице	307.0	-	307.0	-
другой вид государственного обеспечения	21.0	-	20.0	1.0
сбережения	385.0	1.0	384.0	-
доход от сдачи внаем или в аренду имущества	21.0	-	20.0	1.0
на иждивении отдельных лиц	1619.0	53.0	1550.0	16.0
иной источник	1025.0	1.0	1008.0	16.0
Указавшие два источника средств к существованию	10791.0	65.0	5850.0	4875.0
Указавшие три и более источника средств к существованию	751.0	4.0	408.0	339.0
Приморский край				
Население частных домохозяйств, состоящих из одного человека	177719.0	472.0	90193.0	86733.0
из них указали один источник средств к существованию	141731.0	246.0	76337.0	65125.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	59667.0	4.0	58118.0	1537.0
личное подсобное хозяйство	1570.0	-	1546.0	24.0
стипендию	348.0	9.0	339.0	-
пенсию (кроме пенсии по инвалидности)	63890.0	12.0	2977.0	60897.0
пенсию по инвалидности	5535.0	1.0	3066.0	2466.0
пособие (кроме пособия по безработице)	209.0	8.0	183.0	18.0
пособие по безработице	1774.0	-	1774.0	-
другой вид государственного обеспечения	100.0	4.0	87.0	9.0
сбережения	500.0	-	500.0	-
доход от сдачи внаем или в аренду имущества	55.0	-	54.0	1.0
на иждивении отдельных лиц	4617.0	203.0	4323.0	84.0
иной источник	3466.0	5.0	3370.0	89.0
Указавшие два источника средств к существованию	29735.0	170.0	9773.0	19790.0
Указавшие три и более источника средств к существованию	1448.0	15.0	531.0	902.0
Хабаровский край				
Население частных домохозяйств, состоящих из одного человека	115556.0	303.0	60527.0	54691.0
из них указали один источник средств к существованию	91926.0	170.0	49993.0	41759.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	33501.0	2.0	32735.0	763.0
личное подсобное хозяйство	663.0	-	642.0	21.0
стипендию	318.0	9.0	309.0	-
пенсию (кроме пенсии по инвалидности)	42812.0	5.0	3249.0	39557.0
пенсию по инвалидности	3257.0	3.0	1960.0	1293.0
пособие (кроме пособия по безработице)	175.0	17.0	136.0	22.0
пособие по безработице	918.0	-	918.0	-
другой вид государственного обеспечения	186.0	17.0	164.0	5.0
сбережения	252.0	-	247.0	5.0
доход от сдачи внаем или в аренду имущества	32.0	-	30.0	2.0
на иждивении отдельных лиц	6306.0	116.0	6149.0	40.0
иной источник	3506.0	1.0	3454.0	51.0
Указавшие два источника средств к существованию	21189.0	110.0	9213.0	11866.0
Указавшие три и более источника средств к существованию	1557.0	15.0	661.0	881.0
Амурская область				
Население частных домохозяйств, состоящих из одного человека	66488.0	134.0	32236.0	34063.0
из них указали один источник средств к существованию	52886.0	78.0	26683.0	26122.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	18381.0	1.0	18006.0	372.0
личное подсобное хозяйство	805.0	-	793.0	12.0
стипендию	120.0	2.0	118.0	-
пенсию (кроме пенсии по инвалидности)	25763.0	4.0	1159.0	24600.0
пенсию по инвалидности	2506.0	-	1418.0	1087.0
пособие (кроме пособия по безработице)	83.0	5.0	69.0	9.0
пособие по безработице	384.0	-	384.0	-
другой вид государственного обеспечения	28.0	4.0	22.0	2.0
сбережения	78.0	-	76.0	2.0
доход от сдачи внаем или в аренду имущества	22.0	-	20.0	2.0
на иждивении отдельных лиц	2324.0	61.0	2249.0	14.0
иной источник	2392.0	1.0	2369.0	22.0
Указавшие два источника средств к существованию	12736.0	45.0	5134.0	7557.0
Указавшие три и более источника средств к существованию	645.0	11.0	280.0	354.0
Камчатская область				
Население частных домохозяйств, состоящих из одного человека	34978.0	115.0	23044.0	11679.0
из них указали один источник средств к существованию	25152.0	64.0	17451.0	7633.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	11839.0	3.0	11640.0	195.0
личное подсобное хозяйство	168.0	-	165.0	3.0
стипендию	27.0	2.0	25.0	-
пенсию (кроме пенсии по инвалидности)	8952.0	-	1768.0	7183.0
пенсию по инвалидности	613.0	-	410.0	203.0
пособие (кроме пособия по безработице)	41.0	-	35.0	6.0
пособие по безработице	634.0	-	634.0	-
другой вид государственного обеспечения	96.0	2.0	85.0	9.0
сбережения	233.0	-	231.0	2.0
доход от сдачи внаем или в аренду имущества	36.0	-	31.0	5.0
на иждивении отдельных лиц	1001.0	55.0	935.0	11.0
иной источник	1512.0	2.0	1492.0	16.0
Указавшие два источника средств к существованию	6002.0	20.0	2820.0	3162.0
Указавшие три и более источника средств к существованию	610.0	1.0	219.0	390.0
Корякский автономный округ				
Население частных домохозяйств, состоящих из одного человека	2610.0	2.0	1864.0	742.0
из них указали один источник средств к существованию	1816.0	1.0	1397.0	418.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	893.0	-	876.0	17.0
личное подсобное хозяйство	31.0	-	31.0	-
стипендию	-	-	-	-
пенсию (кроме пенсии по инвалидности)	520.0	-	127.0	393.0
пенсию по инвалидности	62.0	-	54.0	8.0
пособие (кроме пособия по безработице)	5.0	-	5.0	-
пособие по безработице	155.0	-	155.0	-
другой вид государственного обеспечения	-	-	-	-
сбережения	5.0	-	5.0	-
доход от сдачи внаем или в аренду имущества	-	-	-	-
на иждивении отдельных лиц	27.0	1.0	26.0	-
иной источник	118.0	-	118.0	-
Указавшие два источника средств к существованию	660.0	1.0	397.0	262.0
Указавшие три и более источника средств к существованию	90.0	-	38.0	52.0
Магаданская область				
Население частных домохозяйств, состоящих из одного человека	22635.0	74.0	15396.0	7118.0
из них указали один источник средств к существованию	17113.0	41.0	12217.0	4842.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	8136.0	-	7997.0	130.0
личное подсобное хозяйство	153.0	-	150.0	3.0
стипендию	80.0	5.0	75.0	-
пенсию (кроме пенсии по инвалидности)	5740.0	2.0	1180.0	4556.0
пенсию по инвалидности	447.0	-	338.0	109.0
пособие (кроме пособия по безработице)	54.0	1.0	49.0	4.0
пособие по безработице	500.0	-	500.0	-
другой вид государственного обеспечения	34.0	-	34.0	-
сбережения	248.0	-	246.0	2.0
доход от сдачи внаем или в аренду имущества	2.0	-	2.0	-
на иждивении отдельных лиц	1097.0	31.0	1046.0	19.0
иной источник	622.0	2.0	600.0	19.0
Указавшие два источника средств к существованию	4631.0	23.0	2503.0	2105.0
Указавшие три и более источника средств к существованию	281.0	3.0	180.0	98.0
Сахалинская область				
Население частных домохозяйств, состоящих из одного человека	46759.0	78.0	25397.0	20869.0
из них указали один источник средств к существованию	37856.0	51.0	21545.0	16210.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	14366.0	1.0	14028.0	322.0
личное подсобное хозяйство	229.0	-	227.0	2.0
стипендию	26.0	1.0	25.0	-
пенсию (кроме пенсии по инвалидности)	18067.0	-	2514.0	15544.0
пенсию по инвалидности	1141.0	-	839.0	300.0
пособие (кроме пособия по безработице)	50.0	1.0	41.0	8.0
пособие по безработице	545.0	-	545.0	-
другой вид государственного обеспечения	63.0	9.0	53.0	1.0
сбережения	193.0	-	193.0	-
доход от сдачи внаем или в аренду имущества	8.0	-	8.0	-
на иждивении отдельных лиц	1321.0	38.0	1270.0	12.0
иной источник	1847.0	1.0	1802.0	21.0
Указавшие два источника средств к существованию	7570.0	23.0	3152.0	4390.0
Указавшие три и более источника средств к существованию	321.0	1.0	149.0	171.0
Еврейская автономная область				
Население частных домохозяйств, состоящих из одного человека	14536.0	24.0	6943.0	7554.0
из них указали один источник средств к существованию	10796.0	11.0	5570.0	5210.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	3739.0	-	3670.0	66.0
личное подсобное хозяйство	469.0	-	465.0	4.0
стипендию	10.0	2.0	8.0	-
пенсию (кроме пенсии по инвалидности)	5150.0	-	197.0	4952.0
пенсию по инвалидности	440.0	-	259.0	181.0
пособие (кроме пособия по безработице)	10.0	-	10.0	-
пособие по безработице	87.0	-	87.0	-
другой вид государственного обеспечения	9.0	1.0	8.0	-
сбережения	31.0	-	30.0	1.0
доход от сдачи внаем или в аренду имущества	4.0	-	4.0	-
на иждивении отдельных лиц	433.0	8.0	421.0	4.0
иной источник	414.0	-	411.0	2.0
Указавшие два источника средств к существованию	3500.0	9.0	1252.0	2239.0
Указавшие три и более источника средств к существованию	137.0	4.0	50.0	83.0
Чукотский автономный округ				
Население частных домохозяйств, состоящих из одного человека	6676.0	19.0	5383.0	1262.0
из них указали один источник средств к существованию	4936.0	10.0	4271.0	654.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	3413.0	-	3366.0	46.0
личное подсобное хозяйство	19.0	-	19.0	-
стипендию	24.0	1.0	23.0	-
пенсию (кроме пенсии по инвалидности)	894.0	-	309.0	585.0
пенсию по инвалидности	130.0	-	108.0	22.0
пособие (кроме пособия по безработице)	16.0	1.0	15.0	-
пособие по безработице	107.0	-	107.0	-
другой вид государственного обеспечения	12.0	2.0	10.0	-
сбережения	64.0	-	64.0	-
доход от сдачи внаем или в аренду имущества	2.0	-	2.0	-
на иждивении отдельных лиц	116.0	5.0	110.0	1.0
иной источник	139.0	1.0	138.0	-
Указавшие два источника средств к существованию	1305.0	4.0	743.0	557.0
Указавшие три и более источника средств к существованию	26.0	2.0	14.0	10.0
