4. ДЕТИ В ВОЗРАСТЕ 3-9 ЛЕТ ПО ОБУЧЕНИЮ В ДОШКОЛЬНЫХ И ОБЩЕОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
					
	Всего	в том числе дети		На 1000 детей     соответствующего  возраста	
9.0	8764.0	8722.0	15.0	995.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	32492.0	22633.0	9545.0	697.0	294.0
в том числе в возрасте, лет:					
3.0	4123.0	1225.0	2837.0	297.0	688.0
4.0	4163.0	1347.0	2775.0	323.0	667.0
5.0	4274.0	1520.0	2685.0	356.0	628.0
6.0	4530.0	3348.0	1115.0	739.0	246.0
7.0	4806.0	4703.0	80.0	978.0	17.0
8.0	5190.0	5130.0	37.0	989.0	7.0
9.0	5406.0	5360.0	16.0	992.0	3.0
Пермская область					
Все население					
Дети в возрасте 3-9 лет	190876.0	169577.0	19148.0	889.0	100.0
в том числе в возрасте, лет:					
3.0	26140.0	19905.0	5746.0	761.0	220.0
4.0	27083.0	21804.0	4939.0	805.0	182.0
5.0	26011.0	21187.0	4481.0	815.0	172.0
6.0	26462.0	22510.0	3475.0	851.0	131.0
7.0	27442.0	26920.0	327.0	981.0	12.0
8.0	28438.0	28163.0	112.0	990.0	4.0
9.0	29300.0	29088.0	68.0	993.0	2.0
Городское население					
Дети в возрасте 3-9 лет	133817.0	122374.0	9624.0	915.0	72.0
в том числе в возрасте, лет:					
3.0	18348.0	14883.0	3059.0	811.0	167.0
4.0	19117.0	16424.0	2395.0	859.0	125.0
5.0	18121.0	15729.0	2099.0	868.0	116.0
6.0	18566.0	16392.0	1778.0	883.0	96.0
7.0	19273.0	18906.0	198.0	981.0	10.0
8.0	20020.0	19811.0	63.0	990.0	3.0
9.0	20372.0	20229.0	32.0	993.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	57059.0	47203.0	9524.0	827.0	167.0
в том числе в возрасте, лет:					
3.0	7792.0	5022.0	2687.0	644.0	345.0
4.0	7966.0	5380.0	2544.0	676.0	319.0
5.0	7890.0	5458.0	2382.0	692.0	302.0
6.0	7896.0	6118.0	1697.0	775.0	215.0
7.0	8169.0	8014.0	129.0	981.0	16.0
8.0	8418.0	8352.0	49.0	992.0	6.0
9.0	8928.0	8859.0	36.0	992.0	4.0
Коми-Пермяцкий автономный округ					
Все население					
Дети в возрасте 3-9 лет	11552.0	9926.0	1577.0	860.0	136.0
в том числе в возрасте, лет:					
3.0	1582.0	1113.0	457.0	703.0	289.0
4.0	1546.0	1142.0	393.0	739.0	254.0
5.0	1605.0	1213.0	388.0	756.0	242.0
6.0	1606.0	1281.0	312.0	798.0	194.0
7.0	1593.0	1578.0	13.0	991.0	8.0
8.0	1758.0	1747.0	10.0	994.0	6.0
9.0	1862.0	1852.0	4.0	995.0	2.0
Городское население					
Дети в возрасте 3-9 лет	2542.0	2371.0	162.0	933.0	64.0
в том числе в возрасте, лет:					
3.0	361.0	296.0	64.0	820.0	177.0
4.0	322.0	288.0	32.0	895.0	99.0
5.0	332.0	298.0	34.0	898.0	102.0
6.0	329.0	298.0	29.0	906.0	88.0
7.0	365.0	362.0	2.0	992.0	5.0
8.0	432.0	431.0	-	998.0	-
9.0	401.0	398.0	1.0	992.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	9010.0	7555.0	1415.0	839.0	157.0
в том числе в возрасте, лет:					
3.0	1221.0	817.0	393.0	669.0	322.0
4.0	1224.0	854.0	361.0	698.0	295.0
5.0	1273.0	915.0	354.0	719.0	278.0
6.0	1277.0	983.0	283.0	769.0	222.0
7.0	1228.0	1216.0	11.0	990.0	9.0
8.0	1326.0	1316.0	10.0	992.0	8.0
9.0	1461.0	1454.0	3.0	995.0	2.0
Самарская область					
Все население					
Дети в возрасте 3-9 лет	194590.0	168925.0	22135.0	868.0	114.0
в том числе в возрасте, лет:					
3.0	24542.0	16770.0	6981.0	683.0	285.0
4.0	25192.0	18994.0	5617.0	754.0	223.0
5.0	25859.0	20020.0	5167.0	774.0	200.0
6.0	26775.0	22434.0	3711.0	838.0	139.0
7.0	29201.0	28470.0	432.0	975.0	15.0
8.0	31217.0	30808.0	132.0	987.0	4.0
9.0	31804.0	31429.0	95.0	988.0	3.0
Городское население					
Дети в возрасте 3-9 лет	150411.0	133161.0	14189.0	886.0	94.0
в том числе в возрасте, лет:					
3.0	19214.0	13802.0	4726.0	718.0	246.0
4.0	19594.0	15607.0	3477.0	797.0	177.0
5.0	20096.0	16361.0	3169.0	814.0	158.0
6.0	20676.0	17777.0	2358.0	860.0	114.0
7.0	22600.0	22036.0	299.0	975.0	13.0
8.0	23904.0	23560.0	95.0	986.0	4.0
9.0	24327.0	24018.0	65.0	987.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	44179.0	35764.0	7946.0	810.0	180.0
в том числе в возрасте, лет:					
3.0	5328.0	2968.0	2255.0	557.0	423.0
4.0	5598.0	3387.0	2140.0	605.0	382.0
5.0	5763.0	3659.0	1998.0	635.0	347.0
6.0	6099.0	4657.0	1353.0	763.0	222.0
7.0	6601.0	6434.0	133.0	975.0	20.0
8.0	7313.0	7248.0	37.0	991.0	5.0
9.0	7477.0	7411.0	30.0	991.0	4.0
Саратовская область					
Все население					
Дети в возрасте 3-9 лет	164589.0	134034.0	28287.0	814.0	172.0
в том числе в возрасте, лет:					
3.0	21359.0	12264.0	8602.0	574.0	403.0
4.0	21849.0	13854.0	7640.0	634.0	350.0
5.0	21784.0	14316.0	7044.0	657.0	323.0
6.0	22792.0	17906.0	4487.0	786.0	197.0
7.0	24746.0	24200.0	339.0	978.0	14.0
8.0	25881.0	25596.0	104.0	989.0	4.0
9.0	26178.0	25898.0	71.0	989.0	3.0
Городское население					
Дети в возрасте 3-9 лет	111108.0	93324.0	16082.0	840.0	145.0
в том числе в возрасте, лет:					
3.0	14587.0	9078.0	5154.0	622.0	353.0
4.0	14808.0	10303.0	4239.0	696.0	286.0
5.0	14784.0	10700.0	3767.0	724.0	255.0
6.0	15448.0	12540.0	2618.0	812.0	169.0
7.0	16692.0	16306.0	209.0	977.0	12.0
8.0	17384.0	17188.0	58.0	989.0	3.0
9.0	17405.0	17209.0	37.0	989.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	53481.0	40710.0	12205.0	761.0	228.0
в том числе в возрасте, лет:					
3.0	6772.0	3186.0	3448.0	471.0	509.0
4.0	7041.0	3551.0	3401.0	504.0	483.0
5.0	7000.0	3616.0	3277.0	517.0	468.0
6.0	7344.0	5366.0	1869.0	730.0	255.0
7.0	8054.0	7894.0	130.0	980.0	16.0
8.0	8497.0	8408.0	46.0	990.0	5.0
9.0	8773.0	8689.0	34.0	990.0	4.0
Ульяновская область					
Все население					
Дети в возрасте 3-9 лет	85248.0	70480.0	14102.0	827.0	165.0
в том числе в возрасте, лет:					
3.0	10670.0	6428.0	4095.0	602.0	384.0
4.0	11057.0	7181.0	3789.0	649.0	343.0
5.0	10959.0	7257.0	3596.0	662.0	328.0
6.0	11769.0	9326.0	2328.0	792.0	198.0
7.0	12773.0	12535.0	184.0	982.0	14.0
8.0	13849.0	13701.0	72.0	989.0	5.0
9.0	14171.0	14052.0	38.0	991.0	3.0
Городское население					
Дети в возрасте 3-9 лет	59554.0	52400.0	6728.0	880.0	113.0
в том числе в возрасте, лет:					
3.0	7482.0	5356.0	2027.0	716.0	271.0
4.0	7745.0	5974.0	1711.0	771.0	221.0
5.0	7683.0	6024.0	1589.0	784.0	207.0
6.0	8248.0	6965.0	1193.0	844.0	145.0
7.0	8974.0	8815.0	123.0	982.0	14.0
8.0	9633.0	9541.0	58.0	991.0	6.0
9.0	9789.0	9725.0	27.0	993.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	25694.0	18080.0	7374.0	704.0	287.0
в том числе в возрасте, лет:					
3.0	3188.0	1072.0	2068.0	336.0	649.0
4.0	3312.0	1207.0	2078.0	365.0	627.0
5.0	3276.0	1233.0	2007.0	376.0	613.0
6.0	3521.0	2361.0	1135.0	671.0	322.0
7.0	3799.0	3720.0	61.0	979.0	16.0
8.0	4216.0	4160.0	14.0	987.0	3.0
9.0	4382.0	4327.0	11.0	987.0	3.0
Уральский федеральный округ					
Все население					
Дети в возрасте 3-9 лет	828906.0	707787.0	104835.0	854.0	126.0
в том числе в возрасте, лет:					
3.0	112038.0	76579.0	31334.0	684.0	280.0
4.0	115726.0	84523.0	27782.0	730.0	240.0
5.0	111585.0	83302.0	24889.0	747.0	223.0
6.0	114468.0	93860.0	17752.0	820.0	155.0
7.0	120584.0	117552.0	2112.0	975.0	18.0
8.0	126650.0	125297.0	583.0	989.0	5.0
9.0	127855.0	126674.0	383.0	991.0	3.0
Городское население					
Дети в возрасте 3-9 лет	644131.0	567534.0	63090.0	881.0	98.0
в том числе в возрасте, лет:					
3.0	87239.0	64323.0	19508.0	737.0	224.0
4.0	90162.0	71063.0	16300.0	788.0	181.0
5.0	87280.0	70042.0	14446.0	802.0	166.0
6.0	89140.0	75907.0	10834.0	852.0	122.0
7.0	93905.0	91746.0	1382.0	977.0	15.0
8.0	98162.0	97131.0	382.0	989.0	4.0
9.0	98243.0	97322.0	238.0	991.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	184775.0	140253.0	41745.0	759.0	226.0
в том числе в возрасте, лет:					
3.0	24799.0	12256.0	11826.0	494.0	477.0
4.0	25564.0	13460.0	11482.0	527.0	449.0
5.0	24305.0	13260.0	10443.0	546.0	430.0
6.0	25328.0	17953.0	6918.0	709.0	273.0
7.0	26679.0	25806.0	730.0	967.0	27.0
8.0	28488.0	28166.0	201.0	989.0	7.0
9.0	29612.0	29352.0	145.0	991.0	5.0
Курганская область					
Все население					
Дети в возрасте 3-9 лет	66350.0	53237.0	12709.0	803.0	191.0
в том числе в возрасте, лет:					
3.0	9297.0	5321.0	3888.0	572.0	418.0
4.0	9115.0	5647.0	3399.0	619.0	373.0
5.0	8607.0	5544.0	2997.0	644.0	348.0
6.0	8952.0	6754.0	2112.0	754.0	236.0
7.0	9617.0	9384.0	201.0	976.0	21.0
8.0	10279.0	10171.0	74.0	990.0	7.0
9.0	10483.0	10416.0	38.0	993.0	4.0
Городское население					
Дети в возрасте 3-9 лет	34149.0	30326.0	3618.0	888.0	106.0
в том числе в возрасте, лет:					
3.0	4726.0	3582.0	1093.0	758.0	231.0
4.0	4672.0	3719.0	920.0	796.0	197.0
5.0	4419.0	3625.0	765.0	820.0	173.0
6.0	4712.0	3964.0	704.0	841.0	150.0
7.0	5069.0	4962.0	92.0	979.0	18.0
8.0	5292.0	5245.0	32.0	991.0	6.0
9.0	5259.0	5229.0	12.0	994.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	32201.0	22911.0	9091.0	712.0	282.0
в том числе в возрасте, лет:					
3.0	4571.0	1739.0	2795.0	380.0	612.0
4.0	4443.0	1928.0	2479.0	434.0	558.0
5.0	4188.0	1919.0	2232.0	458.0	533.0
6.0	4240.0	2790.0	1408.0	658.0	332.0
7.0	4548.0	4422.0	109.0	972.0	24.0
8.0	4987.0	4926.0	42.0	988.0	8.0
9.0	5224.0	5187.0	26.0	993.0	5.0
Свердловская область					
Все население					
Дети в возрасте 3-9 лет	274889.0	236095.0	32435.0	859.0	118.0
в том числе в возрасте, лет:					
3.0	36753.0	25654.0	9561.0	698.0	260.0
4.0	38013.0	28105.0	8534.0	739.0	225.0
5.0	37124.0	27941.0	7827.0	753.0	211.0
6.0	38065.0	31289.0	5615.0	822.0	148.0
7.0	40385.0	39427.0	631.0	976.0	16.0
8.0	42069.0	41612.0	154.0	989.0	4.0
9.0	42480.0	42067.0	113.0	990.0	3.0
Городское население					
Дети в возрасте 3-9 лет	236124.0	206322.0	24121.0	874.0	102.0
в том числе в возрасте, лет:					
3.0	31567.0	22914.0	7279.0	726.0	231.0
4.0	32657.0	25187.0	6253.0	771.0	192.0
5.0	31995.0	25041.0	5757.0	783.0	180.0
6.0	32795.0	27583.0	4169.0	841.0	127.0
7.0	34800.0	34029.0	468.0	978.0	13.0
8.0	36131.0	35728.0	120.0	989.0	3.0
9.0	36179.0	35840.0	75.0	991.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	38765.0	29773.0	8314.0	768.0	214.0
в том числе в возрасте, лет:					
3.0	5186.0	2740.0	2282.0	528.0	440.0
4.0	5356.0	2918.0	2281.0	545.0	426.0
5.0	5129.0	2900.0	2070.0	565.0	404.0
6.0	5270.0	3706.0	1446.0	703.0	274.0
7.0	5585.0	5398.0	163.0	967.0	29.0
8.0	5938.0	5884.0	34.0	991.0	6.0
9.0	6301.0	6227.0	38.0	988.0	6.0
Тюменская область					
Все население					
Дети в возрасте 3-9 лет	256063.0	214542.0	33896.0	838.0	132.0
в том числе в возрасте, лет:					
3.0	34992.0	22770.0	10233.0	651.0	292.0
4.0	36214.0	25560.0	8982.0	706.0	248.0
5.0	34792.0	25096.0	8061.0	721.0	232.0
6.0	35376.0	28435.0	5640.0	804.0	159.0
7.0	36984.0	35905.0	668.0	971.0	18.0
8.0	38658.0	38173.0	187.0	987.0	5.0
9.0	39047.0	38603.0	125.0	989.0	3.0
Городское население					
Дети в возрасте 3-9 лет	193969.0	167617.0	20329.0	864.0	105.0
в том числе в возрасте, лет:					
3.0	26659.0	18596.0	6516.0	698.0	244.0
4.0	27507.0	20948.0	5265.0	762.0	191.0
5.0	26499.0	20613.0	4595.0	778.0	173.0
6.0	26729.0	22317.0	3368.0	835.0	126.0
7.0	28118.0	27379.0	400.0	974.0	14.0
8.0	29150.0	28798.0	113.0	988.0	4.0
9.0	29307.0	28966.0	72.0	988.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	62094.0	46925.0	13567.0	756.0	218.0
в том числе в возрасте, лет:					
3.0	8333.0	4174.0	3717.0	501.0	446.0
4.0	8707.0	4612.0	3717.0	530.0	427.0
5.0	8293.0	4483.0	3466.0	541.0	418.0
6.0	8647.0	6118.0	2272.0	707.0	263.0
7.0	8866.0	8526.0	268.0	962.0	30.0
8.0	9508.0	9375.0	74.0	986.0	8.0
9.0	9740.0	9637.0	53.0	989.0	6.0
Ханты-Мансийский автономный округ – Югра					
Все население					
Дети в возрасте 3-9 лет	118595.0	101327.0	13956.0	854.0	118.0
в том числе в возрасте, лет:					
3.0	16377.0	11074.0	4451.0	676.0	272.0
4.0	16779.0	12466.0	3600.0	743.0	215.0
5.0	16255.0	12287.0	3222.0	756.0	198.0
6.0	16239.0	13309.0	2335.0	820.0	144.0
7.0	17014.0	16600.0	250.0	976.0	15.0
8.0	17989.0	17823.0	57.0	991.0	3.0
9.0	17942.0	17768.0	41.0	991.0	2.0
Городское население					
Дети в возрасте 3-9 лет	106764.0	91436.0	12246.0	856.0	115.0
в том числе в возрасте, лет:					
3.0	14715.0	10003.0	3927.0	680.0	267.0
4.0	15117.0	11298.0	3160.0	747.0	209.0
5.0	14659.0	11130.0	2839.0	759.0	194.0
6.0	14642.0	12043.0	2035.0	822.0	139.0
7.0	15279.0	14917.0	207.0	976.0	14.0
8.0	16218.0	16069.0	47.0	991.0	3.0
9.0	16134.0	15976.0	31.0	990.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	11831.0	9891.0	1710.0	836.0	145.0
в том числе в возрасте, лет:					
3.0	1662.0	1071.0	524.0	645.0	315.0
4.0	1662.0	1168.0	440.0	703.0	265.0
5.0	1596.0	1157.0	383.0	725.0	240.0
6.0	1597.0	1266.0	300.0	793.0	188.0
7.0	1735.0	1683.0	43.0	970.0	25.0
8.0	1771.0	1754.0	10.0	990.0	6.0
9.0	1808.0	1792.0	10.0	992.0	5.0
Ямало-Ненецкий автономный округ					
Все население					
Дети в возрасте 3-9 лет	48090.0	41890.0	4691.0	871.0	98.0
в том числе в возрасте, лет:					
3.0	6456.0	4689.0	1398.0	726.0	217.0
4.0	6675.0	5181.0	1187.0	776.0	178.0
5.0	6537.0	5200.0	1036.0	795.0	159.0
6.0	6784.0	5655.0	856.0	834.0	126.0
7.0	7082.0	6819.0	156.0	963.0	22.0
8.0	7317.0	7202.0	37.0	984.0	5.0
9.0	7239.0	7144.0	21.0	987.0	3.0
Городское население					
Дети в возрасте 3-9 лет	37682.0	34242.0	2321.0	909.0	61.0
в том числе в возрасте, лет:					
3.0	5011.0	3964.0	783.0	791.0	156.0
4.0	5249.0	4400.0	612.0	838.0	117.0
5.0	5140.0	4425.0	484.0	861.0	94.0
6.0	5223.0	4666.0	360.0	893.0	69.0
7.0	5622.0	5493.0	54.0	977.0	10.0
8.0	5696.0	5617.0	20.0	986.0	4.0
9.0	5741.0	5677.0	8.0	989.0	1.0
Сельское население					
Дети в возрасте 3-9 лет	10408.0	7648.0	2370.0	735.0	228.0
в том числе в возрасте, лет:					
3.0	1445.0	725.0	615.0	502.0	425.0
4.0	1426.0	781.0	575.0	548.0	403.0
5.0	1397.0	775.0	552.0	555.0	395.0
6.0	1561.0	989.0	496.0	633.0	318.0
7.0	1460.0	1326.0	102.0	908.0	70.0
8.0	1621.0	1585.0	17.0	978.0	10.0
9.0	1498.0	1467.0	13.0	979.0	9.0
Челябинская область					
Все население					
Дети в возрасте 3-9 лет	231604.0	203913.0	25795.0	881.0	111.0
в том числе в возрасте, лет:					
3.0	30996.0	22834.0	7652.0	737.0	247.0
4.0	32384.0	25211.0	6867.0	779.0	212.0
5.0	31062.0	24721.0	6004.0	796.0	193.0
6.0	32075.0	27382.0	4385.0	854.0	137.0
7.0	33598.0	32836.0	612.0	978.0	18.0
8.0	35644.0	35341.0	168.0	991.0	5.0
9.0	35845.0	35588.0	107.0	993.0	3.0
Городское население					
Дети в возрасте 3-9 лет	179889.0	163269.0	15022.0	908.0	83.0
в том числе в возрасте, лет:					
3.0	24287.0	19231.0	4620.0	792.0	190.0
4.0	25326.0	21209.0	3862.0	837.0	153.0
5.0	24367.0	20763.0	3329.0	852.0	137.0
6.0	24904.0	22043.0	2593.0	885.0	104.0
7.0	25918.0	25376.0	422.0	979.0	16.0
8.0	27589.0	27360.0	117.0	992.0	4.0
9.0	27498.0	27287.0	79.0	992.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	51715.0	40644.0	10773.0	786.0	208.0
в том числе в возрасте, лет:					
3.0	6709.0	3603.0	3032.0	537.0	452.0
4.0	7058.0	4002.0	3005.0	567.0	426.0
5.0	6695.0	3958.0	2675.0	591.0	400.0
6.0	7171.0	5339.0	1792.0	745.0	250.0
7.0	7680.0	7460.0	190.0	971.0	25.0
8.0	8055.0	7981.0	51.0	991.0	6.0
9.0	8347.0	8301.0	28.0	995.0	3.0
Сибирский федеральный округ					
Все население					
Дети в возрасте 3-9 лет	1394917.0	1108729.0	270561.0	795.0	194.0
в том числе в возрасте, лет:					
3.0	186917.0	106313.0	76859.0	569.0	411.0
4.0	190358.0	115192.0	72490.0	605.0	381.0
5.0	188926.0	118337.0	67539.0	626.0	357.0
6.0	195027.0	145401.0	46841.0	746.0	240.0
7.0	205754.0	200164.0	4459.0	973.0	22.0
8.0	211557.0	209247.0	1330.0	989.0	6.0
9.0	216378.0	214075.0	1043.0	989.0	5.0
Городское население					
Дети в возрасте 3-9 лет	915536.0	771377.0	132745.0	843.0	145.0
в том числе в возрасте, лет:					
3.0	122518.0	81399.0	38255.0	664.0	312.0
4.0	124186.0	88122.0	34049.0	710.0	274.0
5.0	123688.0	89901.0	31643.0	727.0	256.0
6.0	127869.0	101253.0	24626.0	792.0	193.0
7.0	136539.0	132932.0	2762.0	974.0	20.0
8.0	139460.0	137944.0	819.0	989.0	6.0
9.0	141276.0	139826.0	591.0	990.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	479381.0	337352.0	137816.0	704.0	287.0
в том числе в возрасте, лет:					
3.0	64399.0	24914.0	38604.0	387.0	599.0
4.0	66172.0	27070.0	38441.0	409.0	581.0
5.0	65238.0	28436.0	35896.0	436.0	550.0
6.0	67158.0	44148.0	22215.0	657.0	331.0
7.0	69215.0	67232.0	1697.0	971.0	25.0
8.0	72097.0	71303.0	511.0	989.0	7.0
9.0	75102.0	74249.0	452.0	989.0	6.0
Республика Алтай					
Все население					
Дети в возрасте 3-9 лет	19288.0	14552.0	4585.0	754.0	238.0
в том числе в возрасте, лет:					
3.0	2730.0	1275.0	1413.0	467.0	518.0
4.0	2799.0	1390.0	1394.0	497.0	498.0
5.0	2642.0	1450.0	1149.0	549.0	435.0
6.0	2633.0	2067.0	541.0	785.0	205.0
7.0	2771.0	2703.0	57.0	975.0	21.0
8.0	2814.0	2790.0	18.0	991.0	7.0
9.0	2899.0	2877.0	13.0	993.0	4.0
Городское население					
Дети в возрасте 3-9 лет	3794.0	3241.0	519.0	854.0	137.0
в том числе в возрасте, лет:					
3.0	541.0	347.0	179.0	641.0	331.0
4.0	545.0	386.0	155.0	708.0	285.0
5.0	522.0	392.0	122.0	751.0	234.0
6.0	492.0	432.0	57.0	878.0	116.0
7.0	568.0	563.0	3.0	991.0	5.0
8.0	554.0	553.0	-	998.0	-
9.0	572.0	568.0	3.0	993.0	5.0
Сельское население					
Дети в возрасте 3-9 лет	15494.0	11311.0	4066.0	730.0	262.0
в том числе в возрасте, лет:					
3.0	2189.0	928.0	1234.0	424.0	564.0
4.0	2254.0	1004.0	1239.0	445.0	550.0
5.0	2120.0	1058.0	1027.0	499.0	484.0
6.0	2141.0	1635.0	484.0	764.0	226.0
7.0	2203.0	2140.0	54.0	971.0	25.0
8.0	2260.0	2237.0	18.0	990.0	8.0
9.0	2327.0	2309.0	10.0	992.0	4.0
Республика Бурятия					
Все население					
Дети в возрасте 3-9 лет	79672.0	60698.0	18272.0	762.0	229.0
в том числе в возрасте, лет:					
3.0	11312.0	5549.0	5598.0	490.0	495.0
4.0	11164.0	5817.0	5237.0	521.0	469.0
5.0	10971.0	5973.0	4818.0	545.0	439.0
6.0	11513.0	9115.0	2300.0	791.0	200.0
7.0	11600.0	11353.0	198.0	979.0	17.0
8.0	11558.0	11440.0	72.0	990.0	6.0
9.0	11554.0	11451.0	49.0	991.0	4.0
Городское население					
Дети в возрасте 3-9 лет	44056.0	35345.0	8292.0	803.0	188.0
в том числе в возрасте, лет:					
3.0	6097.0	3613.0	2368.0	593.0	388.0
4.0	6087.0	3816.0	2204.0	627.0	362.0
5.0	6066.0	3853.0	2128.0	635.0	351.0
6.0	6270.0	4812.0	1400.0	768.0	223.0
7.0	6686.0	6533.0	121.0	977.0	18.0
8.0	6545.0	6475.0	45.0	989.0	7.0
9.0	6305.0	6243.0	26.0	990.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	35616.0	25353.0	9980.0	712.0	280.0
в том числе в возрасте, лет:					
3.0	5215.0	1936.0	3230.0	371.0	619.0
4.0	5077.0	2001.0	3033.0	394.0	597.0
5.0	4905.0	2120.0	2690.0	432.0	549.0
6.0	5243.0	4303.0	900.0	820.0	172.0
7.0	4914.0	4820.0	77.0	981.0	16.0
8.0	5013.0	4965.0	27.0	990.0	6.0
9.0	5249.0	5208.0	23.0	992.0	4.0
Республика Тыва					
Все население					
Дети в возрасте 3-9 лет	37765.0	30315.0	7228.0	803.0	191.0
в том числе в возрасте, лет:					
3.0	4916.0	2851.0	2008.0	580.0	408.0
4.0	4866.0	2946.0	1887.0	605.0	388.0
5.0	4759.0	2931.0	1793.0	616.0	377.0
6.0	5517.0	4123.0	1358.0	747.0	246.0
7.0	5820.0	5689.0	113.0	978.0	19.0
8.0	6003.0	5946.0	39.0	991.0	6.0
9.0	5884.0	5829.0	30.0	991.0	5.0
Городское население					
Дети в возрасте 3-9 лет	17113.0	14387.0	2645.0	841.0	154.0
в том числе в возрасте, лет:					
3.0	2152.0	1371.0	761.0	637.0	354.0
4.0	2164.0	1522.0	633.0	703.0	293.0
5.0	2128.0	1469.0	648.0	690.0	305.0
6.0	2497.0	1964.0	517.0	786.0	207.0
7.0	2721.0	2657.0	53.0	977.0	19.0
8.0	2706.0	2680.0	21.0	990.0	8.0
9.0	2745.0	2724.0	12.0	993.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	20652.0	15928.0	4583.0	771.0	222.0
в том числе в возрасте, лет:					
3.0	2764.0	1480.0	1247.0	536.0	451.0
4.0	2702.0	1424.0	1254.0	527.0	464.0
5.0	2631.0	1462.0	1145.0	556.0	435.0
6.0	3020.0	2159.0	841.0	715.0	278.0
7.0	3099.0	3032.0	60.0	979.0	19.0
8.0	3297.0	3266.0	18.0	991.0	5.0
9.0	3139.0	3105.0	18.0	989.0	6.0
Республика Хакасия					
Все население					
Дети в возрасте 3-9 лет	39745.0	31091.0	8316.0	782.0	209.0
в том числе в возрасте, лет:					
3.0	5379.0	2969.0	2330.0	552.0	433.0
4.0	5320.0	3063.0	2197.0	576.0	413.0
5.0	5309.0	3185.0	2062.0	600.0	388.0
6.0	5585.0	3994.0	1516.0	715.0	272.0
7.0	5792.0	5628.0	142.0	971.0	25.0
8.0	6148.0	6083.0	48.0	989.0	8.0
9.0	6212.0	6169.0	21.0	993.0	3.0
Городское население					
Дети в возрасте 3-9 лет	26069.0	22239.0	3591.0	853.0	138.0
в том числе в возрасте, лет:					
3.0	3534.0	2436.0	1043.0	689.0	295.0
4.0	3466.0	2487.0	935.0	717.0	270.0
5.0	3474.0	2573.0	852.0	741.0	245.0
6.0	3632.0	2910.0	675.0	801.0	186.0
7.0	3815.0	3744.0	56.0	981.0	15.0
8.0	4088.0	4050.0	25.0	991.0	6.0
9.0	4060.0	4039.0	5.0	995.0	1.0
Сельское население					
Дети в возрасте 3-9 лет	13676.0	8852.0	4725.0	648.0	345.0
в том числе в возрасте, лет:					
3.0	1845.0	533.0	1287.0	289.0	698.0
4.0	1854.0	576.0	1262.0	311.0	681.0
5.0	1835.0	612.0	1210.0	334.0	659.0
6.0	1953.0	1084.0	841.0	555.0	431.0
7.0	1977.0	1884.0	86.0	953.0	43.0
8.0	2060.0	2033.0	23.0	987.0	11.0
9.0	2152.0	2130.0	16.0	990.0	7.0
Алтайский край					
Все население					
Дети в возрасте 3-9 лет	164079.0	128571.0	34687.0	784.0	211.0
в том числе в возрасте, лет:					
3.0	23115.0	12558.0	10348.0	543.0	448.0
4.0	22765.0	13270.0	9374.0	583.0	412.0
5.0	22502.0	13830.0	8543.0	614.0	380.0
6.0	22496.0	16582.0	5764.0	737.0	256.0
7.0	23393.0	22924.0	409.0	980.0	17.0
8.0	24720.0	24524.0	133.0	992.0	5.0
9.0	25088.0	24883.0	116.0	992.0	5.0
Городское население					
Дети в возрасте 3-9 лет	78126.0	67496.0	10263.0	864.0	131.0
в том числе в возрасте, лет:					
3.0	11253.0	7845.0	3296.0	697.0	293.0
4.0	10675.0	8082.0	2551.0	757.0	239.0
5.0	10690.0	8330.0	2303.0	779.0	216.0
6.0	10709.0	8815.0	1825.0	823.0	170.0
7.0	11101.0	10893.0	175.0	981.0	16.0
8.0	11921.0	11829.0	67.0	992.0	6.0
9.0	11777.0	11702.0	46.0	994.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	85953.0	61075.0	24424.0	711.0	284.0
в том числе в возрасте, лет:					
3.0	11862.0	4713.0	7052.0	397.0	595.0
4.0	12090.0	5188.0	6823.0	429.0	564.0
5.0	11812.0	5500.0	6240.0	466.0	528.0
6.0	11787.0	7767.0	3939.0	659.0	334.0
7.0	12292.0	12031.0	234.0	979.0	19.0
8.0	12799.0	12695.0	66.0	992.0	5.0
9.0	13311.0	13181.0	70.0	991.0	5.0
Красноярский край					
Все население					
Дети в возрасте 3-9 лет	207607.0	170068.0	34699.0	819.0	167.0
в том числе в возрасте, лет:					
3.0	27078.0	16787.0	9645.0	620.0	356.0
4.0	28231.0	18516.0	9221.0	656.0	327.0
5.0	27878.0	18695.0	8659.0	670.0	311.0
