3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ		
		
		
	Численность лиц соответствующей национальности	из них владеют русским языком
Кабардинцы 	268.0	267.0
Казахи 	2613.0	2585.0
Калмыки 	322.0	320.0
Камчадалы 	2.0	2.0
Караимы 	3.0	3.0
Каракалпаки 	32.0	31.0
Карачаевцы 	123.0	117.0
Карелы 	132.0	132.0
Кереки 	2.0	2.0
Кеты 	1189.0	1186.0
Юги 	3.0	3.0
Киргизы 	3876.0	3666.0
Китайцы 	665.0	483.0
Коми 	353.0	353.0
Коми-ижемцы 	8.0	8.0
Коми-пермяки	648.0	648.0
Корейцы 	1207.0	1190.0
Коряки 	13.0	13.0
Кубинцы	8.0	8.0
Кумандинцы 	11.0	11.0
Кумыки 	567.0	561.0
Курды 	51.0	50.0
Лакцы 	345.0	336.0
Латыши 	3747.0	3743.0
Латгальцы 	807.0	807.0
Лезгины 	2199.0	2158.0
Литовцы 	2029.0	2029.0
Манси 	16.0	16.0
Марийцы 	5104.0	5101.0
Горные марийцы 	29.0	29.0
Лугово-восточные марийцы 	68.0	68.0
Молдаване 	3803.0	3798.0
Монголы 	33.0	30.0
Мордва 	7526.0	7524.0
Мордва-мокша 	54.0	54.0
Мордва-эрзя	21.0	21.0
Нагайбаки 	17.0	17.0
Нанайцы 	15.0	15.0
Нганасаны 	811.0	803.0
Негидальцы 	2.0	2.0
Немцы 	36850.0	36799.0
Ненцы 	3188.0	2895.0
Нивхи	5.0	5.0
Ногайцы	380.0	370.0
Осетины 	1754.0	1743.0
Осетины-дигорцы 	5.0	5.0
Осетины-иронцы 	2.0	2.0
Персы 	25.0	25.0
Поляки 	2519.0	2519.0
Пуштуны	5.0	5.0
Румыны 	102.0	102.0
Русины 	4.0	4.0
Русские 	2638281.0	2636447.0
Казаки 	288.0	288.0
Поморы 	1.0	1.0
Рутульцы 	52.0	50.0
Саамы 	1.0	1.0
Селькупы 	412.0	412.0
Сербы	52.0	52.0
Словаки	8.0	8.0
Табасараны 	221.0	214.0
Таджики 	3507.0	3333.0
Талыши 	122.0	118.0
Татары 	44382.0	44044.0
Астраханские татары 	1.0	1.0
Кряшены 	54.0	53.0
Татары сибирские 	7.0	7.0
Татары крымские 	6.0	6.0
Таты 	7.0	7.0
Телеуты 	1.0	1.0
Тофалары 	12.0	12.0
Тувинцы 	1492.0	1484.0
Тувинцы-тоджинцы 	1.0	1.0
Турки 	61.0	58.0
Туркмены 	280.0	278.0
Удины 	20.0	19.0
Удмурты 	3250.0	3247.0
Удэгейцы 	5.0	5.0
Узбеки 	2778.0	2712.0
Уйгуры	108.0	107.0
Украинцы 	68662.0	68556.0
Ульчи 	5.0	5.0
Финны 	635.0	635.0
Французы	6.0	6.0
Хакасы 	4489.0	4483.0
Ханты 	19.0	19.0
Хемшилы 	1.0	1.0
Цахуры 	24.0	24.0
Цыгане 	1992.0	1950.0
Цыгане среднеазиатские 	3.0	3.0
Черкесы 	67.0	66.0
Чехи 	26.0	26.0
Чеченцы 	999.0	983.0
Чеченцы-аккинцы 	2.0	2.0
Чуваши 	16859.0	16831.0
Чукчи 	8.0	8.0
Чулымцы 	159.0	159.0
Шорцы 	201.0	201.0
Эвенки 	4632.0	4598.0
Эвены 	17.0	17.0
Энцы 	213.0	207.0
Эскимосы 	5.0	5.0
Эстонцы 	4104.0	4093.0
Эстонцы-сету 	7.0	7.0
Якуты 	1368.0	1310.0
Японцы 	20.0	20.0
Лица других национальностей (не перечисленных выше)	747.0	735.0
Лица, не указавшие национальность в переписном листе 	15822.0	3279.0
Таймырский (Долгано-Ненецкий) автономный округ	39786.0	38306.0
Абазины 	1.0	1.0
Абхазы 	1.0	1.0
Аварцы 	12.0	12.0
Адыгейцы 	4.0	4.0
Азербайджанцы 	239.0	231.0
Арабы 	1.0	1.0
Армяне 	53.0	52.0
Башкиры 	104.0	102.0
Белорусы 	294.0	293.0
Болгары	35.0	35.0
Буряты 	50.0	50.0
Венгры 	1.0	1.0
Вьетнамцы 	8.0	6.0
Гагаузы	6.0	6.0
Греки 	13.0	13.0
Грузины 	29.0	29.0
Мегрелы 	1.0	1.0
Даргинцы 	15.0	15.0
Долганы 	5517.0	5265.0
Евреи 	28.0	28.0
Ингуши 	18.0	18.0
Испанцы	2.0	2.0
Кабардинцы 	4.0	4.0
Казахи 	57.0	56.0
Калмыки 	4.0	4.0
Каракалпаки 	1.0	1.0
Карачаевцы 	1.0	1.0
Карелы 	5.0	5.0
Кеты 	16.0	16.0
Юги 	1.0	1.0
Киргизы 	181.0	178.0
Коми 	10.0	10.0
Коми-пермяки	13.0	13.0
Корейцы 	35.0	35.0
Кумыки 	15.0	15.0
Лакцы 	6.0	6.0
Латыши 	22.0	22.0
Лезгины 	14.0	14.0
Литовцы 	22.0	22.0
Марийцы 	54.0	54.0
Молдаване 	152.0	152.0
Монголы 	2.0	2.0
Мордва 	87.0	87.0
Нагайбаки 	1.0	1.0
Нанайцы 	7.0	7.0
Нганасаны 	766.0	758.0
Немцы 	587.0	587.0
Ненцы 	3054.0	2761.0
Нивхи	1.0	1.0
Ногайцы	7.0	7.0
Осетины 	30.0	30.0
Поляки 	28.0	28.0
Пуштуны	3.0	3.0
Румыны 	8.0	8.0
Русские 	23318.0	23284.0
Казаки 	5.0	5.0
Саамы 	1.0	1.0
Селькупы 	9.0	9.0
Табасараны 	2.0	2.0
Таджики 	15.0	15.0
Талыши 	1.0	1.0
Татары 	425.0	425.0
Кряшены 	1.0	1.0
Тувинцы 	16.0	16.0
Турки 	2.0	2.0
Туркмены 	1.0	1.0
Удмурты 	22.0	22.0
Узбеки 	50.0	49.0
Украинцы 	2423.0	2421.0
Финны 	12.0	12.0
Хакасы 	121.0	121.0
Цыгане 	1.0	1.0
Черкесы 	6.0	6.0
Чеченцы 	20.0	19.0
Чуваши 	131.0	131.0
Чукчи 	1.0	1.0
Шорцы 	4.0	4.0
Эвенки 	305.0	303.0
Энцы 	197.0	191.0
Эскимосы 	1.0	1.0
Эстонцы 	8.0	8.0
Якуты 	45.0	45.0
Лица других национальностей (не перечисленных выше)	7.0	7.0
Лица, не указавшие национальность в переписном листе 	1018.0	155.0
Эвенкийский автономный округ	17697.0	17603.0
Аварцы 	6.0	6.0
Андийцы 	4.0	4.0
Тиндалы 	1.0	1.0
Азербайджанцы 	29.0	29.0
Алеуты 	2.0	2.0
Алтайцы 	1.0	1.0
Армяне 	12.0	12.0
Башкиры 	48.0	48.0
Белорусы 	108.0	108.0
Болгары	5.0	5.0
Буряты 	13.0	13.0
Венгры 	4.0	4.0
Вепсы 	2.0	2.0
Вьетнамцы 	1.0	1.0
Гагаузы	12.0	12.0
Греки 	14.0	14.0
Грузины 	8.0	8.0
Долганы 	30.0	29.0
Евреи 	3.0	3.0
Ингуши 	10.0	10.0
Казахи 	35.0	35.0
Калмыки 	3.0	3.0
Карелы 	3.0	3.0
Кеты 	211.0	210.0
Киргизы 	6.0	6.0
Китайцы 	1.0	1.0
Коми 	10.0	10.0
Коми-пермяки	4.0	4.0
Корейцы 	6.0	6.0
Кумыки 	4.0	4.0
Лакцы 	4.0	4.0
Латыши 	9.0	9.0
Латгальцы 	2.0	2.0
Лезгины 	6.0	6.0
Литовцы 	3.0	3.0
Марийцы 	36.0	36.0
Молдаване 	27.0	27.0
Мордва 	24.0	24.0
Нганасаны 	7.0	7.0
Немцы 	127.0	127.0
Ненцы 	12.0	12.0
Нивхи	1.0	1.0
Ногайцы	1.0	1.0
Осетины 	1.0	1.0
Персы 	2.0	2.0
Поляки 	2.0	2.0
Русские 	10958.0	10957.0
Казаки 	2.0	2.0
Таджики 	58.0	57.0
Талыши 	1.0	1.0
Татары 	162.0	162.0
Тувинцы 	7.0	7.0
Удины 	1.0	1.0
Удмурты 	13.0	13.0
Узбеки 	17.0	17.0
Украинцы 	550.0	550.0
Финны 	5.0	5.0
Хакасы 	152.0	152.0
Ханты 	1.0	1.0
Цыгане 	1.0	1.0
Черкесы 	1.0	1.0
Чеченцы 	6.0	6.0
Чуваши 	85.0	84.0
Шорцы 	4.0	4.0
Эвенки 	3802.0	3771.0
Эвены 	8.0	8.0
Эстонцы 	8.0	8.0
Якуты 	991.0	933.0
Лица других национальностей (не перечисленных выше)	11.0	11.0
Лица, не указавшие национальность в переписном листе 	2.0	2.0
Иркутская область	2581705.0	2569278.0
Абазины 	30.0	30.0
Абхазы 	21.0	21.0
Аварцы 	254.0	252.0
Арчинцы 	1.0	1.0
Бежтинцы 	1.0	1.0
Годоберинцы 	1.0	1.0
Каратинцы 	1.0	1.0
Агулы 	6.0	6.0
Адыгейцы 	39.0	39.0
Азербайджанцы 	6125.0	5828.0
Алеуты 	1.0	1.0
Алтайцы 	127.0	127.0
Американцы	24.0	22.0
Англичане	2.0	2.0
Арабы 	40.0	40.0
Арабы среднеазиатские 	4.0	4.0
Армяне 	6849.0	6722.0
Ассирийцы 	21.0	20.0
Балкарцы 	19.0	19.0
Башкиры 	2451.0	2443.0
Белорусы 	14185.0	14169.0
Болгары	291.0	291.0
Буряты 	80565.0	78903.0
Венгры 	78.0	78.0
Вепсы 	17.0	17.0
Водь 	1.0	1.0
Вьетнамцы 	237.0	154.0
Гагаузы	257.0	255.0
Греки 	243.0	242.0
Греки-урумы 	1.0	1.0
Грузины 	1633.0	1614.0
Ингилойцы 	1.0	1.0
Мегрелы 	4.0	4.0
Сваны	2.0	2.0
Даргинцы 	176.0	170.0
Долганы 	1.0	1.0
Дунгане 	12.0	12.0
Евреи 	2475.0	2469.0
Евреи горские 	12.0	12.0
Езиды 	303.0	280.0
Ингуши 	332.0	322.0
Индийцы хиндиязычные 	20.0	19.0
Испанцы	5.0	5.0
Итальянцы	2.0	2.0
Ительмены 	7.0	7.0
Кабардинцы 	100.0	100.0
Казахи 	1138.0	1128.0
Калмыки 	66.0	66.0
Камчадалы 	6.0	6.0
Караимы 	1.0	1.0
Каракалпаки 	6.0	6.0
Карачаевцы 	96.0	96.0
Карелы 	109.0	109.0
Кеты 	9.0	9.0
Киргизы 	1322.0	1276.0
Китайцы 	1409.0	1102.0
Коми 	231.0	231.0
Коми-пермяки	579.0	577.0
Корейцы 	1570.0	1525.0
Коряки 	10.0	10.0
Крымчаки 	1.0	1.0
Кубинцы	4.0	4.0
Кумандинцы 	13.0	13.0
Кумыки 	91.0	91.0
Курды 	22.0	20.0
Лакцы 	36.0	35.0
Латыши 	384.0	384.0
Латгальцы 	10.0	10.0
Лезгины 	630.0	626.0
Литовцы 	1669.0	1668.0
Манси 	9.0	9.0
Марийцы 	1439.0	1436.0
Горные марийцы 	23.0	23.0
Лугово-восточные марийцы 	31.0	31.0
Молдаване 	2064.0	2060.0
Монголы 	472.0	439.0
Мордва 	3879.0	3875.0
Мордва-мокша 	17.0	17.0
Мордва-эрзя	7.0	7.0
Нагайбаки 	4.0	4.0
Нанайцы 	18.0	18.0
Негидальцы 	1.0	1.0
Немцы 	6298.0	6290.0
Ненцы 	30.0	30.0
Нивхи	3.0	3.0
Ногайцы	40.0	40.0
Орочи 	1.0	1.0
Осетины 	610.0	609.0
Персы 	31.0	31.0
Поляки 	2298.0	2291.0
Пуштуны	53.0	48.0
Румыны 	89.0	87.0
Русины 	2.0	2.0
Русские 	2320493.0	2316422.0
Казаки 	154.0	154.0
Рутульцы 	17.0	17.0
Саамы 	1.0	1.0
Селькупы 	4.0	4.0
Сербы	50.0	49.0
Словаки	19.0	18.0
Сойоты 	13.0	13.0
Табасараны 	41.0	41.0
Таджики 	2576.0	2446.0
Тазы 	1.0	1.0
Талыши 	64.0	64.0
Татары 	31068.0	30967.0
Кряшены 	2.0	2.0
Татары сибирские 	15.0	15.0
Татары крымские 	14.0	14.0
Таты 	1.0	1.0
Тофалары 	723.0	723.0
Тубалары 	12.0	12.0
Тувинцы 	513.0	505.0
Турки 	71.0	68.0
Туркмены 	127.0	126.0
Удины 	8.0	8.0
Удмурты 	1895.0	1893.0
Удэгейцы 	5.0	5.0
Узбеки 	1904.0	1858.0
Уйгуры	43.0	43.0
Украинцы 	53631.0	53552.0
Ульчи 	5.0	5.0
Финны 	245.0	244.0
Французы	16.0	14.0
Хакасы 	397.0	396.0
Ханты 	26.0	26.0
Цахуры 	15.0	15.0
Цыгане 	1639.0	1602.0
Цыгане среднеазиатские 	2.0	2.0
Черкесы 	39.0	39.0
Чехи 	42.0	42.0
Чеченцы 	712.0	701.0
Чуванцы 	3.0	2.0
Чуваши 	7295.0	7283.0
Чукчи 	12.0	12.0
Шорцы 	43.0	42.0
Эвенки 	1431.0	1425.0
Эвены 	23.0	23.0
Эскимосы 	1.0	1.0
Эстонцы 	327.0	327.0
Юкагиры 	6.0	6.0
Якуты 	922.0	921.0
Японцы 	13.0	13.0
Лица других национальностей (не перечисленных выше)	454.0	441.0
Лица, не указавшие национальность в переписном листе 	11035.0	5888.0
Усть-Ордынский Бурятский автономный округ	135327.0	133118.0
Аварцы 	1.0	1.0
Азербайджанцы 	83.0	82.0
Алтайцы 	8.0	8.0
Арабы среднеазиатские 	1.0	1.0
Армяне 	363.0	351.0
Башкиры 	73.0	73.0
Белорусы 	388.0	385.0
Болгары	4.0	4.0
Буряты 	53649.0	52156.0
Венгры 	5.0	5.0
Вепсы 	4.0	4.0
Греки 	2.0	2.0
Грузины 	14.0	14.0
Даргинцы 	4.0	3.0
Евреи 	5.0	5.0
Евреи горские 	1.0	1.0
Ингуши 	1.0	1.0
Кабардинцы 	2.0	2.0
Казахи 	49.0	48.0
Калмыки 	5.0	5.0
Каракалпаки 	1.0	1.0
Карачаевцы 	4.0	4.0
Карелы 	1.0	1.0
Кеты 	1.0	1.0
Киргизы 	30.0	29.0
Китайцы 	31.0	30.0
Коми 	7.0	7.0
Коми-пермяки	10.0	10.0
Корейцы 	25.0	25.0
Кумандинцы 	2.0	2.0
Кумыки 	8.0	8.0
Латыши 	5.0	5.0
Лезгины 	18.0	18.0
Литовцы 	93.0	93.0
Марийцы 	24.0	24.0
Горные марийцы 	1.0	1.0
Лугово-восточные марийцы 	2.0	2.0
Молдаване 	46.0	46.0
Монголы 	8.0	8.0
Мордва 	67.0	67.0
Немцы 	64.0	64.0
Ненцы 	3.0	3.0
Нивхи	1.0	1.0
Ногайцы	13.0	13.0
Осетины 	65.0	65.0
Поляки 	435.0	430.0
Румыны 	1.0	1.0
Русины 	1.0	1.0
Русские 	73646.0	73041.0
Рутульцы 	1.0	1.0
Сойоты 	9.0	9.0
Таджики 	38.0	38.0
Татары 	4102.0	4047.0
Тофалары 	1.0	1.0
Тувинцы 	33.0	31.0
Туркмены 	8.0	8.0
Удины 	1.0	1.0
Удмурты 	38.0	37.0
Удэгейцы 	2.0	2.0
Узбеки 	74.0	73.0
Уйгуры	1.0	1.0
Украинцы 	1300.0	1297.0
Финны 	2.0	2.0
Хакасы 	9.0	9.0
Ханты 	1.0	1.0
Цыгане 	24.0	24.0
Черкесы 	7.0	7.0
Чеченцы 	22.0	21.0
Чуваши 	211.0	210.0
Чукчи 	2.0	2.0
Шорцы 	2.0	2.0
Эвенки 	64.0	62.0
Эвены 	3.0	3.0
Эстонцы 	5.0	5.0
Якуты 	52.0	52.0
Лица других национальностей (не перечисленных выше)	5.0	5.0
Лица, не указавшие национальность в переписном листе 	38.0	18.0
Кемеровская область	2899142.0	2895500.0
Абазины 	21.0	21.0
Абхазы 	38.0	37.0
Аварцы 	316.0	311.0
Ахвахцы 	1.0	1.0
Гунзибцы 	1.0	1.0
Агулы 	5.0	5.0
Адыгейцы 	26.0	26.0
Азербайджанцы 	7250.0	6901.0
Алтайцы 	528.0	527.0
Американцы	10.0	10.0
Англичане	1.0	1.0
Арабы 	12.0	11.0
Армяне 	10104.0	9867.0
Ассирийцы 	9.0	9.0
Балкарцы 	13.0	13.0
Башкиры 	3161.0	3153.0
Белорусы 	10715.0	10704.0
Болгары	709.0	709.0
Буряты 	223.0	223.0
Венгры 	42.0	42.0
Вепсы 	83.0	83.0
Водь 	1.0	1.0
Вьетнамцы 	113.0	109.0
Гагаузы	81.0	81.0
Греки 	412.0	412.0
Греки-урумы 	1.0	1.0
Грузины 	1347.0	1341.0
Лазы 	1.0	1.0
Мегрелы 	1.0	1.0
Сваны	2.0	2.0
Даргинцы 	67.0	66.0
Долганы 	2.0	2.0
Дунгане 	20.0	20.0
Евреи 	1477.0	1475.0
Евреи горские 	9.0	9.0
Евреи среднеазиатские 	2.0	2.0
Езиды 	106.0	102.0
Ижорцы 	1.0	1.0
Ингуши 	867.0	843.0
Индийцы хиндиязычные 	1.0	1.0
Испанцы	3.0	3.0
Итальянцы	9.0	9.0
Ительмены 	4.0	4.0
Кабардинцы 	60.0	60.0
Казахи 	1919.0	1916.0
Калмыки 	75.0	75.0
Камчадалы 	3.0	3.0
Караимы 	1.0	1.0
Каракалпаки 	27.0	23.0
Карачаевцы 	75.0	75.0
Карелы 	276.0	276.0
Кеты 	6.0	6.0
Киргизы 	1281.0	1249.0
Китайцы 	152.0	95.0
Коми 	232.0	231.0
Коми-пермяки	501.0	500.0
Корейцы 	901.0	861.0
Коряки 	4.0	4.0
Кубинцы	7.0	7.0
Кумандинцы 	294.0	294.0
Кумыки 	54.0	54.0
Курды 	56.0	52.0
Лакцы 	45.0	44.0
Латыши 	678.0	678.0
Латгальцы 	129.0	129.0
Лезгины 	379.0	376.0
Литовцы 	547.0	547.0
Манси 	14.0	14.0
Марийцы 	1548.0	1544.0
Горные марийцы 	45.0	45.0
Лугово-восточные марийцы 	43.0	43.0
Молдаване 	1491.0	1487.0
Монголы 	113.0	101.0
Мордва 	7221.0	7217.0
Мордва-мокша 	15.0	15.0
Мордва-эрзя	18.0	18.0
Нагайбаки 	6.0	6.0
Нанайцы 	3.0	3.0
Нганасаны 	1.0	1.0
Немцы 	35965.0	35916.0
Ненцы 	6.0	6.0
Нивхи	1.0	1.0
Ногайцы	18.0	18.0
Орочи 	2.0	2.0
Осетины 	320.0	320.0
Осетины-дигорцы 	1.0	1.0
Персы 	17.0	17.0
Поляки 	1389.0	1389.0
Пуштуны	11.0	11.0
Румыны 	84.0	82.0
Русины 	1.0	1.0
Русские 	2664816.0	2663266.0
Казаки 	12.0	12.0
Поморы 	2.0	2.0
Рутульцы 	9.0	9.0
Селькупы 	4.0	4.0
Сербы	43.0	43.0
Словаки	5.0	5.0
Табасараны 	62.0	62.0
Таджики 	4474.0	4317.0
Талыши 	53.0	53.0
Татары 	51030.0	50850.0
Кряшены 	8.0	8.0
Татары сибирские 	21.0	21.0
Татары крымские 	23.0	23.0
Таты 	5.0	5.0
Телеуты 	2534.0	2530.0
Тубалары 	1.0	1.0
Тувинцы 	261.0	256.0
Турки 	143.0	139.0
Турки-месхетинцы	1.0	1.0
Туркмены 	183.0	183.0
Удины 	13.0	13.0
Удмурты 	2665.0	2663.0
Удэгейцы 	1.0	1.0
Узбеки 	3017.0	2937.0
Уйгуры	125.0	125.0
Украинцы 	37622.0	37588.0
Ульчи 	4.0	4.0
Финны 	307.0	307.0
Финны-ингерманландцы 	2.0	2.0
Французы	10.0	10.0
Хакасы 	503.0	503.0
Ханты 	7.0	7.0
Цахуры 	27.0	26.0
Цыгане 	2503.0	2447.0
Цыгане среднеазиатские 	1.0	1.0
Черкесы 	28.0	28.0
Чехи 	30.0	30.0
Чеченцы 	1480.0	1455.0
Чуваши 	15480.0	15458.0
Чукчи 	13.0	13.0
Чулымцы 	1.0	1.0
Шорцы 	11554.0	11521.0
Эвенки 	22.0	22.0
Эвены 	2.0	2.0
Эскимосы 	3.0	3.0
Эстонцы 	858.0	858.0
Юкагиры 	2.0	2.0
Якуты 	86.0	86.0
Японцы 	4.0	4.0
Лица других национальностей (не перечисленных выше)	314.0	314.0
Лица, не указавшие национальность в переписном листе 	5241.0	4627.0
Новосибирская область	2692251.0	2689283.0
Абазины 	13.0	13.0
Абхазы 	34.0	34.0
Аварцы 	317.0	313.0
Гунзибцы 	2.0	2.0
Агулы 	11.0	11.0
Адыгейцы 	24.0	24.0
Азербайджанцы 	7366.0	7056.0
Алеуты 	1.0	1.0
Алтайцы 	434.0	434.0
Американцы	69.0	43.0
Англичане	7.0	6.0
Арабы 	38.0	37.0
Армяне 	7850.0	7677.0
Ассирийцы 	29.0	28.0
Балкарцы 	28.0	28.0
Башкиры 	1104.0	1103.0
Белорусы 	8380.0	8375.0
Бесермяне 	2.0	2.0
Болгары	247.0	247.0
Буряты 	940.0	939.0
Венгры 	29.0	29.0
Вепсы 	10.0	10.0
Водь 	1.0	1.0
Вьетнамцы 	166.0	45.0
Гагаузы	48.0	48.0
Греки 	354.0	353.0
Грузины 	1417.0	1409.0
Аджарцы 	5.0	5.0
Мегрелы 	5.0	5.0
Даргинцы 	115.0	113.0
Долганы 	7.0	7.0
Дунгане 	5.0	5.0
Евреи 	3322.0	3322.0
Евреи горские 	6.0	6.0
Евреи среднеазиатские 	1.0	1.0
Езиды 	1987.0	1883.0
Ингуши 	774.0	759.0
Индийцы хиндиязычные 	20.0	17.0
Испанцы	10.0	10.0
Итальянцы	9.0	8.0
Ительмены 	3.0	3.0
Кабардинцы 	106.0	105.0
Казахи 	11691.0	11630.0
Калмыки 	225.0	225.0
Караимы 	4.0	4.0
Каракалпаки 	5.0	5.0
Карачаевцы 	67.0	66.0
Карелы 	41.0	41.0
Кеты 	11.0	11.0
Киргизы 	1423.0	1372.0
Китайцы 	415.0	284.0
Коми 	206.0	206.0
Коми-пермяки	222.0	222.0
Корейцы 	2154.0	1993.0
Коряки 	7.0	7.0
Крымчаки 	1.0	1.0
Кубинцы	11.0	11.0
Кумандинцы 	18.0	18.0
Кумыки 	102.0	102.0
Курды 	112.0	110.0
Лакцы 	92.0	92.0
Латыши 	808.0	804.0
Латгальцы 	250.0	249.0
Лезгины 	453.0	451.0
Литовцы 	531.0	531.0
Манси 	19.0	19.0
Марийцы 	1661.0	1661.0
Горные марийцы 	5.0	5.0
Лугово-восточные марийцы 	28.0	28.0
Молдаване 	1144.0	1117.0
Монголы 	55.0	51.0
Мордва 	2608.0	2607.0
Мордва-мокша 	10.0	10.0
Мордва-эрзя	7.0	7.0
Нагайбаки 	6.0	6.0
Нанайцы 	15.0	15.0
Негидальцы 	1.0	1.0
Немцы 	47275.0	47219.0
Ненцы 	6.0	6.0
Нивхи	2.0	2.0
Ногайцы	32.0	32.0
Орочи 	1.0	1.0
Осетины 	408.0	407.0
Персы 	30.0	30.0
Поляки 	1288.0	1288.0
Пуштуны	10.0	10.0
Румыны 	131.0	127.0
Русины 	1.0	1.0
Русские 	2504147.0	2503041.0
Казаки 	10.0	10.0
Рутульцы 	12.0	12.0
Саамы 	2.0	2.0
Селькупы 	15.0	15.0
Сербы	24.0	24.0
Словаки	7.0	7.0
Табасараны 	74.0	74.0
Таджики 	2784.0	2695.0
Талыши 	28.0	28.0
Татары 	27874.0	27611.0
Астраханские татары 	1.0	1.0
Кряшены 	3.0	3.0
Татары сибирские 	2.0	2.0
Татары крымские 	6.0	6.0
Таты 	2.0	2.0
Телеуты 	14.0	14.0
Тофалары 	1.0	1.0
Тубалары 	1.0	1.0
Тувинцы 	526.0	523.0
Турки 	93.0	90.0
Туркмены 	233.0	231.0
Удины 	11.0	11.0
Удмурты 	964.0	964.0
Удэгейцы 	3.0	3.0
Узбеки 	2047.0	2015.0
Уйгуры	143.0	141.0
Украинцы 	33793.0	33765.0
Ульчи 	7.0	7.0
Финны 	191.0	191.0
Французы	15.0	15.0
Хакасы 	279.0	279.0
Ханты 	26.0	26.0
Хемшилы 	1.0	1.0
Цахуры 	36.0	34.0
Цыгане 	2835.0	2713.0
Челканцы 	5.0	5.0
Черкесы 	24.0	23.0
Чехи 	39.0	39.0
Чеченцы 	459.0	454.0
Чеченцы-аккинцы 	1.0	1.0
Чуваши 	4147.0	4143.0
Чукчи 	11.0	11.0
Чулымцы 	1.0	1.0
Шорцы 	75.0	75.0
Эвенки 	22.0	22.0
Эвены 	9.0	9.0
Эскимосы 	5.0	5.0
Эстонцы 	1399.0	1396.0
Юкагиры 	1.0	1.0
Якуты 	473.0	470.0
Японцы 	24.0	24.0
Лица других национальностей (не перечисленных выше)	391.0	379.0
Лица, не указавшие национальность в переписном листе 	396.0	393.0
Омская область	2079220.0	2073939.0
Абазины 	12.0	12.0
Абхазы 	101.0	101.0
Аварцы 	247.0	245.0
Андийцы 	1.0	1.0
Арчинцы 	1.0	1.0
Багулалы 	1.0	1.0
Годоберинцы 	1.0	1.0
Дидойцы 	1.0	1.0
Хваршины 	2.0	2.0
Чамалалы 	1.0	1.0
Агулы 	2.0	2.0
Адыгейцы 	11.0	11.0
Азербайджанцы 	4260.0	3994.0
Алеуты 	1.0	1.0
Алтайцы 	49.0	49.0
Американцы	17.0	9.0
Англичане	1.0	1.0
Арабы 	5.0	5.0
Армяне 	6644.0	6529.0
Ассирийцы 	40.0	40.0
Балкарцы 	21.0	21.0
Башкиры 	1101.0	1100.0
Белорусы 	9075.0	9069.0
Болгары	294.0	293.0
Буряты 	139.0	138.0
Венгры 	23.0	23.0
Вепсы 	2.0	2.0
Водь 	2.0	2.0
Вьетнамцы 	121.0	95.0
Гагаузы	55.0	55.0
Греки 	515.0	511.0
Грузины 	1521.0	1516.0
Ингилойцы 	4.0	4.0
Лазы 	3.0	3.0
Мегрелы 	3.0	3.0
Даргинцы 	78.0	78.0
Долганы 	6.0	6.0
Дунгане 	6.0	6.0
Евреи 	2393.0	2389.0
Евреи горские 	3.0	3.0
Евреи среднеазиатские 	1.0	1.0
Езиды 	160.0	156.0
Ингуши 	187.0	185.0
Индийцы хиндиязычные 	4.0	3.0
Испанцы	9.0	8.0
Итальянцы	1.0	1.0
Ительмены 	1.0	1.0
Кабардинцы 	76.0	76.0
Казахи 	81618.0	80364.0
Калмыки 	148.0	148.0
Камчадалы 	1.0	1.0
Караимы 	1.0	1.0
Каракалпаки 	11.0	11.0
Карачаевцы 	30.0	30.0
Карелы 	83.0	83.0
Кеты 	3.0	3.0
Киргизы 	644.0	617.0
Китайцы 	306.0	232.0
Коми 	708.0	708.0
Коми-пермяки	504.0	504.0
Корейцы 	741.0	737.0
Коряки 	9.0	9.0
Кубинцы	6.0	5.0
Кумандинцы 	14.0	14.0
Кумыки 	72.0	71.0
Курды 	97.0	95.0
Лакцы 	19.0	19.0
Латыши 	2235.0	2234.0
Латгальцы 	29.0	29.0
Лезгины 	324.0	322.0
Литовцы 	470.0	469.0
Манси 	16.0	16.0
Марийцы 	729.0	726.0
Горные марийцы 	18.0	18.0
Лугово-восточные марийцы 	26.0	26.0
Молдаване 	1473.0	1472.0
Монголы 	10.0	9.0
Мордва 	1966.0	1964.0
Мордва-мокша 	19.0	19.0
Мордва-эрзя	2.0	2.0
Нагайбаки 	1.0	1.0
Нанайцы 	9.0	9.0
Негидальцы 	1.0	1.0
Немцы 	76334.0	76020.0
Ненцы 	25.0	25.0
Нивхи	4.0	4.0
Ногайцы	9.0	9.0
Орочи 	2.0	2.0
Осетины 	365.0	361.0
Осетины-иронцы 	1.0	1.0
Персы 	20.0	19.0
Поляки 	2842.0	2840.0
Пуштуны	2.0	2.0
Румыны 	169.0	156.0
Русины 	3.0	3.0
Русские 	1735512.0	1733763.0
Казаки 	12.0	12.0
Поморы 	1.0	1.0
Рутульцы 	30.0	28.0
Саамы 	2.0	2.0
Селькупы 	8.0	8.0
Сербы	96.0	94.0
Словаки	5.0	5.0
Табасараны 	52.0	52.0
Таджики 	880.0	865.0
Талыши 	10.0	10.0
Татары 	47796.0	46967.0
Кряшены 	4.0	4.0
Татары сибирские 	315.0	300.0
Татары крымские 	6.0	5.0
Таты 	4.0	4.0
