3. ОБЩАЯ ПЛОЩАДЬ, В СРЕДНЕМ ПРИХОДЯЩАЯСЯ НА ОДНОГО ЧЛЕНА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
(кв. м на одного человека)						
						
	Средний размер общей площади, приходящейся на одного человека, проживающего	в частных домохозяйствах, состоящих из				
в индивидуальных домах	17.0	51.0	30.0	22.0	17.0	13.0
в отдельных квартирах	15.0	37.0	22.0	16.0	13.0	10.0
в коммунальных квартирах	13.0	20.0	15.0	13.0	11.0	9.0
Приморский край						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	39.0	23.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	19.0	43.0	24.0	18.0	14.0	10.0
в отдельных квартирах	18.0	38.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	21.0	12.0	10.0	9.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	38.0	23.0	16.0	13.0	10.0
в том числе:						
в индивидуальных домах	20.0	44.0	24.0	18.0	14.0	11.0
в отдельных квартирах	18.0	38.0	22.0	16.0	13.0	10.0
в коммунальных квартирах	11.0	21.0	12.0	10.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	24.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	19.0	42.0	23.0	17.0	14.0	10.0
в отдельных квартирах	18.0	42.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	21.0	14.0	10.0	9.0	8.0
Хабаровский край						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	42.0	24.0	17.0	14.0	10.0
в отдельных квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	16.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	43.0	24.0	17.0	14.0	10.0
в отдельных квартирах	19.0	42.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	16.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	41.0	24.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	18.0	41.0	23.0	17.0	14.0	10.0
в отдельных квартирах	17.0	42.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	12.0	24.0	19.0	10.0	8.0	6.0
Амурская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	17.0	40.0	22.0	16.0	12.0	9.0
в отдельных квартирах	19.0	43.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	17.0	39.0	22.0	16.0	12.0	9.0
в отдельных квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	14.0	11.0	10.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	24.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	17.0	40.0	22.0	16.0	12.0	9.0
в отдельных квартирах	18.0	44.0	26.0	18.0	14.0	10.0
в коммунальных квартирах	14.0	22.0	18.0	11.0	12.0	12.0
Камчатская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	44.0	26.0	19.0	15.0	12.0
в отдельных квартирах	19.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	15.0	25.0	15.0	13.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	23.0	17.0	13.0	11.0
в том числе:						
в индивидуальных домах	20.0	44.0	26.0	19.0	15.0	11.0
в отдельных квартирах	19.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	16.0	25.0	15.0	13.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	21.0	44.0	26.0	19.0	16.0	12.0
в отдельных квартирах	19.0	41.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	14.0	24.0	16.0	9.0	6.0	5.0
Корякский автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	40.0	24.0	17.0	13.0	9.0
в том числе:						
в индивидуальных домах	15.0	32.0	18.0	15.0	11.0	7.0
в отдельных квартирах	18.0	41.0	24.0	17.0	13.0	9.0
в коммунальных квартирах	15.0	25.0	16.0	11.0	-	-
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	25.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	19.0	36.0	21.0	19.0	11.0	13.0
в отдельных квартирах	19.0	41.0	25.0	17.0	13.0	10.0
в коммунальных квартирах	-	-	-	-	-	-
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	40.0	23.0	17.0	13.0	9.0
в том числе:						
в индивидуальных домах	15.0	32.0	18.0	15.0	11.0	7.0
в отдельных квартирах	18.0	41.0	24.0	17.0	13.0	9.0
в коммунальных квартирах	15.0	25.0	16.0	11.0	-	-
Магаданская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	43.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	22.0	46.0	27.0	20.0	16.0	12.0
в отдельных квартирах	22.0	43.0	25.0	18.0	15.0	12.0
в коммунальных квартирах	20.0	32.0	20.0	18.0	14.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	43.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	48.0	29.0	21.0	17.0	12.0
в отдельных квартирах	22.0	43.0	25.0	18.0	15.0	12.0
в коммунальных квартирах	20.0	33.0	20.0	18.0	14.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	41.0	25.0	17.0	13.0	9.0
в том числе:						
в индивидуальных домах	18.0	36.0	22.0	16.0	13.0	9.0
в отдельных квартирах	20.0	42.0	25.0	17.0	13.0	10.0
в коммунальных квартирах	14.0	20.0	14.0	13.0	10.0	-
Сахалинская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	48.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	41.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	12.0	19.0	13.0	10.0	10.0	6.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	50.0	28.0	20.0	17.0	13.0
в отдельных квартирах	19.0	41.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	11.0	19.0	13.0	9.0	10.0	6.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	20.0	42.0	24.0	17.0	14.0	11.0
в отдельных квартирах	19.0	42.0	25.0	17.0	14.0	10.0
в коммунальных квартирах	16.0	19.0	16.0	15.0	14.0	9.0
Еврейская автономная область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	40.0	23.0	17.0	13.0	10.0
в том числе:						
в индивидуальных домах	17.0	40.0	22.0	16.0	12.0	9.0
в отдельных квартирах	18.0	41.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	12.0	21.0	14.0	8.0	7.0	5.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	39.0	22.0	16.0	13.0	10.0
в том числе:						
в индивидуальных домах	17.0	39.0	21.0	15.0	12.0	9.0
в отдельных квартирах	18.0	39.0	22.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	21.0	13.0	8.0	7.0	5.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	44.0	26.0	18.0	14.0	10.0
в том числе:						
в индивидуальных домах	18.0	42.0	24.0	18.0	13.0	10.0
в отдельных квартирах	18.0	45.0	26.0	18.0	14.0	10.0
в коммунальных квартирах	15.0	20.0	16.0	8.0	-	-
Чукотский автономный округ						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	41.0	24.0	17.0	14.0	9.0
в том числе:						
в индивидуальных домах	15.0	33.0	21.0	15.0	12.0	8.0
в отдельных квартирах	20.0	42.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	14.0	21.0	18.0	13.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	42.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	22.0	43.0	29.0	17.0	18.0	13.0
в отдельных квартирах	22.0	43.0	25.0	18.0	15.0	12.0
в коммунальных квартирах	16.0	21.0	19.0	14.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	15.0	37.0	22.0	15.0	12.0	8.0
в том числе:						
в индивидуальных домах	14.0	32.0	20.0	14.0	12.0	8.0
в отдельных квартирах	15.0	38.0	22.0	15.0	12.0	9.0
в коммунальных квартирах	9.0	21.0	13.0	8.0	6.0	7.0
1] Без снимающих жилые помещения у отдельных граждан.						
