7. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
									
	Городское и сельское			Городское население			Сельское население		
25 - 29	811.0	489.0	322.0	629.0	373.0	256.0	182.0	116.0	66.0
30 - 34	812.0	460.0	352.0	646.0	363.0	283.0	166.0	97.0	69.0
35 - 39	1144.0	647.0	497.0	956.0	544.0	412.0	188.0	103.0	85.0
40 - 44	1652.0	877.0	775.0	1351.0	711.0	640.0	301.0	166.0	135.0
45 - 49	1635.0	811.0	824.0	1351.0	666.0	685.0	284.0	145.0	139.0
50 - 54	1539.0	716.0	823.0	1294.0	593.0	701.0	245.0	123.0	122.0
55 - 59	887.0	400.0	487.0	746.0	332.0	414.0	141.0	68.0	73.0
60 - 64	1147.0	506.0	641.0	982.0	436.0	546.0	165.0	70.0	95.0
65 - 69	842.0	334.0	508.0	722.0	281.0	441.0	120.0	53.0	67.0
70 и более	1199.0	413.0	786.0	1054.0	353.0	701.0	145.0	60.0	85.0
возраст не указан	1.0	-	1.0	1.0	-	1.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	958.0	520.0	438.0	740.0	390.0	350.0	218.0	130.0	88.0
трудоспособном	9915.0	5855.0	4060.0	7929.0	4575.0	3354.0	1986.0	1280.0	706.0
старше трудоспособного	3675.0	1253.0	2422.0	3172.0	1070.0	2102.0	503.0	183.0	320.0
Медианный возраст	   44,9	   41,5	   48,7	   45,8	   42,6	   49,2	   40,9	   34,3	   45,8
Белорусы	11627.0	5777.0	5850.0	8678.0	4326.0	4352.0	2949.0	1451.0	1498.0
 в том числе в возрасте, лет:									
0 - 4	93.0	48.0	45.0	62.0	30.0	32.0	31.0	18.0	13.0
5 - 9	143.0	70.0	73.0	100.0	48.0	52.0	43.0	22.0	21.0
10 - 14	287.0	159.0	128.0	198.0	114.0	84.0	89.0	45.0	44.0
15 - 17	232.0	137.0	95.0	176.0	101.0	75.0	56.0	36.0	20.0
18 - 19	130.0	79.0	51.0	105.0	61.0	44.0	25.0	18.0	7.0
20 - 24	395.0	216.0	179.0	283.0	152.0	131.0	112.0	64.0	48.0
25 - 29	565.0	320.0	245.0	405.0	225.0	180.0	160.0	95.0	65.0
30 - 34	773.0	443.0	330.0	586.0	336.0	250.0	187.0	107.0	80.0
35 - 39	1122.0	636.0	486.0	869.0	491.0	378.0	253.0	145.0	108.0
40 - 44	1352.0	737.0	615.0	1007.0	546.0	461.0	345.0	191.0	154.0
45 - 49	1215.0	615.0	600.0	917.0	460.0	457.0	298.0	155.0	143.0
50 - 54	1203.0	567.0	636.0	909.0	431.0	478.0	294.0	136.0	158.0
55 - 59	775.0	380.0	395.0	584.0	287.0	297.0	191.0	93.0	98.0
60 - 64	1173.0	569.0	604.0	913.0	458.0	455.0	260.0	111.0	149.0
65 - 69	865.0	385.0	480.0	610.0	269.0	341.0	255.0	116.0	139.0
70 и более	1303.0	415.0	888.0	953.0	316.0	637.0	350.0	99.0	251.0
возраст не указан	1.0	1.0	-	1.0	1.0	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	610.0	326.0	284.0	427.0	229.0	198.0	183.0	97.0	86.0
трудоспособном	7280.0	4081.0	3199.0	5477.0	3053.0	2424.0	1803.0	1028.0	775.0
старше трудоспособного	3736.0	1369.0	2367.0	2773.0	1043.0	1730.0	963.0	326.0	637.0
Медианный возраст	   47,9	   45,3	   50,7	   47,9	   45,5	   50,4	   47,9	   44,7	   51,3
Мордва	4307.0	1931.0	2376.0	3006.0	1369.0	1637.0	1301.0	562.0	739.0
 в том числе в возрасте, лет:									
0 - 4	14.0	10.0	4.0	7.0	5.0	2.0	7.0	5.0	2.0
5 - 9	28.0	16.0	12.0	16.0	12.0	4.0	12.0	4.0	8.0
10 - 14	28.0	11.0	17.0	20.0	9.0	11.0	8.0	2.0	6.0
15 - 17	30.0	17.0	13.0	23.0	13.0	10.0	7.0	4.0	3.0
18 - 19	88.0	73.0	15.0	70.0	58.0	12.0	18.0	15.0	3.0
20 - 24	114.0	89.0	25.0	84.0	64.0	20.0	30.0	25.0	5.0
25 - 29	107.0	66.0	41.0	68.0	41.0	27.0	39.0	25.0	14.0
30 - 34	135.0	81.0	54.0	100.0	64.0	36.0	35.0	17.0	18.0
35 - 39	227.0	123.0	104.0	158.0	90.0	68.0	69.0	33.0	36.0
40 - 44	384.0	206.0	178.0	265.0	147.0	118.0	119.0	59.0	60.0
45 - 49	497.0	271.0	226.0	368.0	197.0	171.0	129.0	74.0	55.0
50 - 54	470.0	215.0	255.0	325.0	151.0	174.0	145.0	64.0	81.0
55 - 59	262.0	132.0	130.0	191.0	98.0	93.0	71.0	34.0	37.0
60 - 64	463.0	209.0	254.0	319.0	141.0	178.0	144.0	68.0	76.0
65 - 69	396.0	140.0	256.0	265.0	89.0	176.0	131.0	51.0	80.0
70 и более	1064.0	272.0	792.0	727.0	190.0	537.0	337.0	82.0	255.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	79.0	43.0	36.0	49.0	31.0	18.0	30.0	12.0	18.0
трудоспособном	2175.0	1267.0	908.0	1553.0	918.0	635.0	622.0	349.0	273.0
старше трудоспособного	2053.0	621.0	1432.0	1404.0	420.0	984.0	649.0	201.0	448.0
Медианный возраст	   55,3	   50,1	   62,4	   55,0	   49,5	   62,2	   56,8	   51,2	   62,7
Удэгейцы	918.0	473.0	445.0	178.0	74.0	104.0	740.0	399.0	341.0
 в том числе в возрасте, лет:									
0 - 4	71.0	42.0	29.0	4.0	3.0	1.0	67.0	39.0	28.0
5 - 9	73.0	38.0	35.0	13.0	5.0	8.0	60.0	33.0	27.0
10 - 14	103.0	58.0	45.0	15.0	11.0	4.0	88.0	47.0	41.0
15 - 17	60.0	30.0	30.0	16.0	6.0	10.0	44.0	24.0	20.0
18 - 19	38.0	17.0	21.0	15.0	3.0	12.0	23.0	14.0	9.0
20 - 24	63.0	29.0	34.0	18.0	7.0	11.0	45.0	22.0	23.0
25 - 29	64.0	39.0	25.0	13.0	7.0	6.0	51.0	32.0	19.0
30 - 34	77.0	39.0	38.0	14.0	8.0	6.0	63.0	31.0	32.0
35 - 39	80.0	37.0	43.0	24.0	7.0	17.0	56.0	30.0	26.0
40 - 44	96.0	52.0	44.0	15.0	5.0	10.0	81.0	47.0	34.0
45 - 49	58.0	30.0	28.0	8.0	3.0	5.0	50.0	27.0	23.0
50 - 54	35.0	17.0	18.0	13.0	5.0	8.0	22.0	12.0	10.0
55 - 59	25.0	15.0	10.0	3.0	2.0	1.0	22.0	13.0	9.0
60 - 64	18.0	6.0	12.0	1.0	-	1.0	17.0	6.0	11.0
65 - 69	28.0	12.0	16.0	2.0	1.0	1.0	26.0	11.0	15.0
70 и более	29.0	12.0	17.0	4.0	1.0	3.0	25.0	11.0	14.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	269.0	146.0	123.0	35.0	21.0	14.0	234.0	125.0	109.0
трудоспособном	564.0	297.0	267.0	135.0	51.0	84.0	429.0	246.0	183.0
старше трудоспособного	85.0	30.0	55.0	8.0	2.0	6.0	77.0	28.0	49.0
Медианный возраст	   29,0	   27,6	   30,3	   28,3	   26,3	   30,0	   29,3	   27,9	   30,4
Нанайцы	417.0	196.0	221.0	142.0	65.0	77.0	275.0	131.0	144.0
 в том числе в возрасте, лет:									
0 - 4	22.0	14.0	8.0	5.0	4.0	1.0	17.0	10.0	7.0
5 - 9	18.0	10.0	8.0	3.0	1.0	2.0	15.0	9.0	6.0
10 - 14	40.0	19.0	21.0	8.0	4.0	4.0	32.0	15.0	17.0
15 - 17	29.0	19.0	10.0	9.0	5.0	4.0	20.0	14.0	6.0
18 - 19	14.0	8.0	6.0	7.0	2.0	5.0	7.0	6.0	1.0
20 - 24	44.0	23.0	21.0	15.0	8.0	7.0	29.0	15.0	14.0
25 - 29	33.0	14.0	19.0	19.0	8.0	11.0	14.0	6.0	8.0
30 - 34	22.0	6.0	16.0	11.0	2.0	9.0	11.0	4.0	7.0
35 - 39	29.0	10.0	19.0	7.0	4.0	3.0	22.0	6.0	16.0
40 - 44	36.0	13.0	23.0	10.0	4.0	6.0	26.0	9.0	17.0
45 - 49	35.0	18.0	17.0	16.0	9.0	7.0	19.0	9.0	10.0
50 - 54	28.0	13.0	15.0	10.0	2.0	8.0	18.0	11.0	7.0
55 - 59	19.0	9.0	10.0	8.0	5.0	3.0	11.0	4.0	7.0
60 - 64	13.0	4.0	9.0	4.0	1.0	3.0	9.0	3.0	6.0
65 - 69	17.0	7.0	10.0	3.0	2.0	1.0	14.0	5.0	9.0
70 и более	17.0	9.0	8.0	6.0	4.0	2.0	11.0	5.0	6.0
возраст не указан	1.0	-	1.0	1.0	-	1.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	88.0	46.0	42.0	19.0	10.0	9.0	69.0	36.0	33.0
трудоспособном	271.0	130.0	141.0	106.0	48.0	58.0	165.0	82.0	83.0
старше трудоспособного	57.0	20.0	37.0	16.0	7.0	9.0	41.0	13.0	28.0
Медианный возраст	   31,5	   26,3	   35,3	   31,6	   31,5	   31,6	   31,3	   23,2	   36,5
Тазы	256.0	122.0	134.0	90.0	44.0	46.0	166.0	78.0	88.0
 в том числе в возрасте, лет:									
0 - 4	14.0	5.0	9.0	4.0	2.0	2.0	10.0	3.0	7.0
5 - 9	10.0	7.0	3.0	2.0	1.0	1.0	8.0	6.0	2.0
10 - 14	17.0	10.0	7.0	5.0	2.0	3.0	12.0	8.0	4.0
15 - 17	20.0	6.0	14.0	6.0	2.0	4.0	14.0	4.0	10.0
18 - 19	8.0	5.0	3.0	3.0	2.0	1.0	5.0	3.0	2.0
20 - 24	18.0	11.0	7.0	10.0	8.0	2.0	8.0	3.0	5.0
25 - 29	27.0	14.0	13.0	11.0	6.0	5.0	16.0	8.0	8.0
30 - 34	17.0	9.0	8.0	9.0	4.0	5.0	8.0	5.0	3.0
35 - 39	14.0	7.0	7.0	3.0	2.0	1.0	11.0	5.0	6.0
40 - 44	23.0	12.0	11.0	6.0	2.0	4.0	17.0	10.0	7.0
45 - 49	27.0	18.0	9.0	8.0	6.0	2.0	19.0	12.0	7.0
50 - 54	18.0	7.0	11.0	6.0	2.0	4.0	12.0	5.0	7.0
55 - 59	6.0	2.0	4.0	3.0	2.0	1.0	3.0	-	3.0
60 - 64	9.0	2.0	7.0	5.0	1.0	4.0	4.0	1.0	3.0
65 - 69	11.0	3.0	8.0	3.0	1.0	2.0	8.0	2.0	6.0
70 и более	17.0	4.0	13.0	6.0	1.0	5.0	11.0	3.0	8.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	53.0	24.0	29.0	12.0	6.0	6.0	41.0	18.0	23.0
трудоспособном	162.0	89.0	73.0	63.0	35.0	28.0	99.0	54.0	45.0
старше трудоспособного	41.0	9.0	32.0	15.0	3.0	12.0	26.0	6.0	20.0
Медианный возраст	   34,3	   32,0	   38,3	   32,5	   29,5	   38,0	   36,3	   33,5	   38,5
Хабаровский край									
Русские	1290264.0	617777.0	672487.0	1055932.0	496710.0	559222.0	234332.0	121067.0	113265.0
 в том числе в возрасте, лет:									
0 - 4	58200.0	29884.0	28316.0	45142.0	23111.0	22031.0	13058.0	6773.0	6285.0
5 - 9	62119.0	31485.0	30634.0	48183.0	24454.0	23729.0	13936.0	7031.0	6905.0
10 - 14	97993.0	49873.0	48120.0	77200.0	39296.0	37904.0	20793.0	10577.0	10216.0
15 - 17	72272.0	36729.0	35543.0	59179.0	29909.0	29270.0	13093.0	6820.0	6273.0
18 - 19	61382.0	36531.0	24851.0	48689.0	27114.0	21575.0	12693.0	9417.0	3276.0
20 - 24	122859.0	66177.0	56682.0	98993.0	51758.0	47235.0	23866.0	14419.0	9447.0
25 - 29	106049.0	53206.0	52843.0	87097.0	43290.0	43807.0	18952.0	9916.0	9036.0
30 - 34	92627.0	45742.0	46885.0	77204.0	37775.0	39429.0	15423.0	7967.0	7456.0
35 - 39	85525.0	41541.0	43984.0	70701.0	34041.0	36660.0	14824.0	7500.0	7324.0
40 - 44	98897.0	47553.0	51344.0	80241.0	38075.0	42166.0	18656.0	9478.0	9178.0
45 - 49	99932.0	46426.0	53506.0	81207.0	37108.0	44099.0	18725.0	9318.0	9407.0
50 - 54	96391.0	43857.0	52534.0	80676.0	36036.0	44640.0	15715.0	7821.0	7894.0
55 - 59	55194.0	24738.0	30456.0	47159.0	20887.0	26272.0	8035.0	3851.0	4184.0
60 - 64	66494.0	27359.0	39135.0	56418.0	22863.0	33555.0	10076.0	4496.0	5580.0
65 - 69	44068.0	16676.0	27392.0	37197.0	13906.0	23291.0	6871.0	2770.0	4101.0
70 и более	70182.0	19964.0	50218.0	60579.0	17058.0	43521.0	9603.0	2906.0	6697.0
возраст не указан	80.0	36.0	44.0	67.0	29.0	38.0	13.0	7.0	6.0
Из общей численности - население в возрасте:									
моложе трудоспособного	242758.0	123789.0	118969.0	189836.0	96751.0	93085.0	52922.0	27038.0	25884.0
трудоспособном	836226.0	429953.0	406273.0	685563.0	346103.0	339460.0	150663.0	83850.0	66813.0
старше трудоспособного	211200.0	63999.0	147201.0	180466.0	53827.0	126639.0	30734.0	10172.0	20562.0
Медианный возраст	   33,3	   30,5	   36,5	   34,0	   31,1	   37,1	   30,2	   27,6	   33,3
Украинцы	48622.0	23596.0	25026.0	36262.0	17358.0	18904.0	12360.0	6238.0	6122.0
 в том числе в возрасте, лет:									
0 - 4	369.0	209.0	160.0	244.0	138.0	106.0	125.0	71.0	54.0
5 - 9	570.0	294.0	276.0	385.0	191.0	194.0	185.0	103.0	82.0
10 - 14	1264.0	665.0	599.0	865.0	460.0	405.0	399.0	205.0	194.0
15 - 17	899.0	430.0	469.0	625.0	292.0	333.0	274.0	138.0	136.0
18 - 19	623.0	335.0	288.0	453.0	233.0	220.0	170.0	102.0	68.0
20 - 24	2028.0	1086.0	942.0	1469.0	750.0	719.0	559.0	336.0	223.0
25 - 29	2652.0	1280.0	1372.0	1921.0	916.0	1005.0	731.0	364.0	367.0
30 - 34	3203.0	1666.0	1537.0	2392.0	1244.0	1148.0	811.0	422.0	389.0
35 - 39	4543.0	2495.0	2048.0	3414.0	1886.0	1528.0	1129.0	609.0	520.0
40 - 44	5500.0	3102.0	2398.0	3986.0	2241.0	1745.0	1514.0	861.0	653.0
45 - 49	5121.0	2687.0	2434.0	3641.0	1867.0	1774.0	1480.0	820.0	660.0
50 - 54	5180.0	2663.0	2517.0	3866.0	1925.0	1941.0	1314.0	738.0	576.0
55 - 59	3319.0	1626.0	1693.0	2583.0	1246.0	1337.0	736.0	380.0	356.0
60 - 64	4227.0	1966.0	2261.0	3341.0	1548.0	1793.0	886.0	418.0	468.0
65 - 69	3049.0	1301.0	1748.0	2310.0	1002.0	1308.0	739.0	299.0	440.0
70 и более	6073.0	1791.0	4282.0	4767.0	1419.0	3348.0	1306.0	372.0	934.0
возраст не указан	2.0	-	2.0	-	-	-	2.0	-	2.0
Из общей численности - население в возрасте:									
моложе трудоспособного	2511.0	1311.0	1200.0	1701.0	884.0	817.0	810.0	427.0	383.0
трудоспособном	31067.0	17227.0	13840.0	22806.0	12505.0	10301.0	8261.0	4722.0	3539.0
старше трудоспособного	15042.0	5058.0	9984.0	11755.0	3969.0	7786.0	3287.0	1089.0	2198.0
Медианный возраст	   47,6	   45,5	   50,0	   48,3	   45,9	   50,7	   45,9	   44,5	   47,6
Нанайцы	10993.0	5083.0	5910.0	3002.0	1287.0	1715.0	7991.0	3796.0	4195.0
 в том числе в возрасте, лет:									
0 - 4	699.0	369.0	330.0	126.0	61.0	65.0	573.0	308.0	265.0
5 - 9	796.0	385.0	411.0	157.0	71.0	86.0	639.0	314.0	325.0
10 - 14	1216.0	577.0	639.0	265.0	137.0	128.0	951.0	440.0	511.0
15 - 17	882.0	422.0	460.0	280.0	114.0	166.0	602.0	308.0	294.0
18 - 19	450.0	207.0	243.0	169.0	66.0	103.0	281.0	141.0	140.0
20 - 24	1095.0	510.0	585.0	336.0	149.0	187.0	759.0	361.0	398.0
25 - 29	866.0	409.0	457.0	238.0	112.0	126.0	628.0	297.0	331.0
30 - 34	764.0	358.0	406.0	208.0	96.0	112.0	556.0	262.0	294.0
35 - 39	876.0	394.0	482.0	246.0	98.0	148.0	630.0	296.0	334.0
40 - 44	969.0	478.0	491.0	262.0	110.0	152.0	707.0	368.0	339.0
45 - 49	787.0	330.0	457.0	223.0	73.0	150.0	564.0	257.0	307.0
50 - 54	557.0	232.0	325.0	174.0	69.0	105.0	383.0	163.0	220.0
55 - 59	237.0	107.0	130.0	85.0	36.0	49.0	152.0	71.0	81.0
60 - 64	307.0	136.0	171.0	95.0	46.0	49.0	212.0	90.0	122.0
65 - 69	218.0	88.0	130.0	63.0	29.0	34.0	155.0	59.0	96.0
70 и более	274.0	81.0	193.0	75.0	20.0	55.0	199.0	61.0	138.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	3024.0	1472.0	1552.0	625.0	298.0	327.0	2399.0	1174.0	1225.0
трудоспособном	7040.0	3306.0	3734.0	2095.0	894.0	1201.0	4945.0	2412.0	2533.0
старше трудоспособного	929.0	305.0	624.0	282.0	95.0	187.0	647.0	210.0	437.0
Медианный возраст	   27,0	   25,8	   28,1	   28,2	   26,4	   29,8	   26,5	   25,4	   27,4
Татары	10972.0	5739.0	5233.0	8683.0	4360.0	4323.0	2289.0	1379.0	910.0
 в том числе в возрасте, лет:									
0 - 4	133.0	71.0	62.0	103.0	57.0	46.0	30.0	14.0	16.0
5 - 9	165.0	86.0	79.0	132.0	69.0	63.0	33.0	17.0	16.0
10 - 14	313.0	158.0	155.0	226.0	110.0	116.0	87.0	48.0	39.0
15 - 17	271.0	143.0	128.0	220.0	112.0	108.0	51.0	31.0	20.0
18 - 19	671.0	590.0	81.0	401.0	333.0	68.0	270.0	257.0	13.0
20 - 24	899.0	676.0	223.0	621.0	442.0	179.0	278.0	234.0	44.0
25 - 29	598.0	354.0	244.0	479.0	278.0	201.0	119.0	76.0	43.0
30 - 34	599.0	324.0	275.0	485.0	256.0	229.0	114.0	68.0	46.0
35 - 39	837.0	440.0	397.0	669.0	352.0	317.0	168.0	88.0	80.0
40 - 44	1100.0	574.0	526.0	874.0	458.0	416.0	226.0	116.0	110.0
45 - 49	1262.0	606.0	656.0	1048.0	498.0	550.0	214.0	108.0	106.0
50 - 54	1122.0	548.0	574.0	928.0	439.0	489.0	194.0	109.0	85.0
55 - 59	628.0	293.0	335.0	524.0	237.0	287.0	104.0	56.0	48.0
60 - 64	813.0	335.0	478.0	665.0	273.0	392.0	148.0	62.0	86.0
65 - 69	571.0	240.0	331.0	473.0	194.0	279.0	98.0	46.0	52.0
70 и более	990.0	301.0	689.0	835.0	252.0	583.0	155.0	49.0	106.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	701.0	365.0	336.0	529.0	274.0	255.0	172.0	91.0	81.0
трудоспособном	7562.0	4498.0	3064.0	5894.0	3367.0	2527.0	1668.0	1131.0	537.0
старше трудоспособного	2709.0	876.0	1833.0	2260.0	719.0	1541.0	449.0	157.0	292.0
Медианный возраст	   44,6	   40,3	   48,5	   45,7	   42,0	   48,9	   39,8	   31,0	   46,3
Корейцы	9519.0	5092.0	4427.0	7813.0	3923.0	3890.0	1706.0	1169.0	537.0
 в том числе в возрасте, лет:									
0 - 4	331.0	177.0	154.0	298.0	159.0	139.0	33.0	18.0	15.0
5 - 9	335.0	162.0	173.0	286.0	141.0	145.0	49.0	21.0	28.0
10 - 14	573.0	320.0	253.0	491.0	274.0	217.0	82.0	46.0	36.0
15 - 17	493.0	251.0	242.0	426.0	222.0	204.0	67.0	29.0	38.0
18 - 19	432.0	222.0	210.0	385.0	189.0	196.0	47.0	33.0	14.0
20 - 24	898.0	460.0	438.0	810.0	401.0	409.0	88.0	59.0	29.0
25 - 29	681.0	351.0	330.0	599.0	296.0	303.0	82.0	55.0	27.0
30 - 34	612.0	336.0	276.0	510.0	266.0	244.0	102.0	70.0	32.0
35 - 39	778.0	501.0	277.0	527.0	285.0	242.0	251.0	216.0	35.0
40 - 44	977.0	563.0	414.0	679.0	339.0	340.0	298.0	224.0	74.0
45 - 49	1063.0	606.0	457.0	809.0	414.0	395.0	254.0	192.0	62.0
50 - 54	882.0	444.0	438.0	723.0	343.0	380.0	159.0	101.0	58.0
55 - 59	449.0	216.0	233.0	392.0	182.0	210.0	57.0	34.0	23.0
60 - 64	313.0	145.0	168.0	285.0	130.0	155.0	28.0	15.0	13.0
65 - 69	231.0	97.0	134.0	196.0	83.0	113.0	35.0	14.0	21.0
70 и более	471.0	241.0	230.0	397.0	199.0	198.0	74.0	42.0	32.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	1393.0	734.0	659.0	1202.0	640.0	562.0	191.0	94.0	97.0
трудоспособном	6878.0	3875.0	3003.0	5523.0	2871.0	2652.0	1355.0	1004.0	351.0
старше трудоспособного	1248.0	483.0	765.0	1088.0	412.0	676.0	160.0	71.0	89.0
Медианный возраст	   37,7	   37,7	   37,7	   36,0	   35,3	   36,9	   40,7	   40,6	   41,2
Белорусы	8840.0	4316.0	4524.0	6814.0	3247.0	3567.0	2026.0	1069.0	957.0
 в том числе в возрасте, лет:									
0 - 4	66.0	41.0	25.0	40.0	27.0	13.0	26.0	14.0	12.0
5 - 9	75.0	40.0	35.0	51.0	24.0	27.0	24.0	16.0	8.0
10 - 14	203.0	109.0	94.0	145.0	75.0	70.0	58.0	34.0	24.0
15 - 17	166.0	76.0	90.0	123.0	60.0	63.0	43.0	16.0	27.0
18 - 19	101.0	59.0	42.0	82.0	44.0	38.0	19.0	15.0	4.0
20 - 24	323.0	192.0	131.0	246.0	143.0	103.0	77.0	49.0	28.0
25 - 29	451.0	222.0	229.0	334.0	163.0	171.0	117.0	59.0	58.0
30 - 34	550.0	258.0	292.0	404.0	180.0	224.0	146.0	78.0	68.0
35 - 39	829.0	469.0	360.0	642.0	356.0	286.0	187.0	113.0	74.0
40 - 44	1140.0	645.0	495.0	848.0	472.0	376.0	292.0	173.0	119.0
45 - 49	915.0	465.0	450.0	688.0	336.0	352.0	227.0	129.0	98.0
50 - 54	923.0	461.0	462.0	706.0	340.0	366.0	217.0	121.0	96.0
55 - 59	545.0	269.0	276.0	448.0	213.0	235.0	97.0	56.0	41.0
60 - 64	862.0	435.0	427.0	697.0	347.0	350.0	165.0	88.0	77.0
65 - 69	640.0	235.0	405.0	514.0	188.0	326.0	126.0	47.0	79.0
70 и более	1051.0	340.0	711.0	846.0	279.0	567.0	205.0	61.0	144.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	406.0	213.0	193.0	278.0	144.0	134.0	128.0	69.0	59.0
трудоспособном	5605.0	3093.0	2512.0	4244.0	2289.0	1955.0	1361.0	804.0	557.0
старше трудоспособного	2829.0	1010.0	1819.0	2292.0	814.0	1478.0	537.0	196.0	341.0
Медианный возраст	   47,9	   45,4	   50,2	   48,7	   46,1	   50,8	   45,4	   44,1	   48,1
Эвенки	4533.0	1987.0	2546.0	699.0	226.0	473.0	3834.0	1761.0	2073.0
 в том числе в возрасте, лет:									
0 - 4	320.0	154.0	166.0	26.0	10.0	16.0	294.0	144.0	150.0
5 - 9	418.0	207.0	211.0	50.0	25.0	25.0	368.0	182.0	186.0
10 - 14	601.0	284.0	317.0	55.0	22.0	33.0	546.0	262.0	284.0
15 - 17	343.0	162.0	181.0	62.0	16.0	46.0	281.0	146.0	135.0
18 - 19	207.0	111.0	96.0	70.0	23.0	47.0	137.0	88.0	49.0
20 - 24	386.0	175.0	211.0	97.0	33.0	64.0	289.0	142.0	147.0
25 - 29	345.0	155.0	190.0	53.0	19.0	34.0	292.0	136.0	156.0
30 - 34	345.0	147.0	198.0	55.0	16.0	39.0	290.0	131.0	159.0
35 - 39	388.0	160.0	228.0	56.0	17.0	39.0	332.0	143.0	189.0
40 - 44	369.0	143.0	226.0	48.0	16.0	32.0	321.0	127.0	194.0
45 - 49	276.0	102.0	174.0	47.0	8.0	39.0	229.0	94.0	135.0
50 - 54	185.0	75.0	110.0	33.0	7.0	26.0	152.0	68.0	84.0
55 - 59	97.0	31.0	66.0	20.0	4.0	16.0	77.0	27.0	50.0
60 - 64	98.0	34.0	64.0	8.0	2.0	6.0	90.0	32.0	58.0
65 - 69	86.0	30.0	56.0	9.0	4.0	5.0	77.0	26.0	51.0
70 и более	69.0	17.0	52.0	10.0	4.0	6.0	59.0	13.0	46.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	1463.0	706.0	757.0	141.0	58.0	83.0	1322.0	648.0	674.0
трудоспособном	2751.0	1200.0	1551.0	515.0	158.0	357.0	2236.0	1042.0	1194.0
старше трудоспособного	319.0	81.0	238.0	43.0	10.0	33.0	276.0	71.0	205.0
Медианный возраст	   24,9	   21,9	   27,5	   24,2	   22,3	   25,8	   25,0	   21,8	   27,7
Китайцы	3815.0	2511.0	1304.0	3635.0	2378.0	1257.0	180.0	133.0	47.0
 в том числе в возрасте, лет:									
0 - 4	33.0	21.0	12.0	26.0	15.0	11.0	7.0	6.0	1.0
5 - 9	24.0	10.0	14.0	23.0	10.0	13.0	1.0	-	1.0
10 - 14	19.0	10.0	9.0	16.0	8.0	8.0	3.0	2.0	1.0
15 - 17	41.0	26.0	15.0	38.0	25.0	13.0	3.0	1.0	2.0
18 - 19	211.0	137.0	74.0	206.0	133.0	73.0	5.0	4.0	1.0
20 - 24	516.0	341.0	175.0	506.0	334.0	172.0	10.0	7.0	3.0
25 - 29	564.0	384.0	180.0	553.0	377.0	176.0	11.0	7.0	4.0
30 - 34	675.0	445.0	230.0	655.0	427.0	228.0	20.0	18.0	2.0
35 - 39	550.0	383.0	167.0	533.0	369.0	164.0	17.0	14.0	3.0
40 - 44	378.0	252.0	126.0	361.0	238.0	123.0	17.0	14.0	3.0
45 - 49	353.0	230.0	123.0	337.0	214.0	123.0	16.0	16.0	-
50 - 54	192.0	129.0	63.0	174.0	116.0	58.0	18.0	13.0	5.0
55 - 59	76.0	43.0	33.0	60.0	36.0	24.0	16.0	7.0	9.0
60 - 64	60.0	33.0	27.0	48.0	28.0	20.0	12.0	5.0	7.0
65 - 69	60.0	27.0	33.0	53.0	21.0	32.0	7.0	6.0	1.0
70 и более	57.0	38.0	19.0	40.0	25.0	15.0	17.0	13.0	4.0
возраст не указан	6.0	2.0	4.0	6.0	2.0	4.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	86.0	48.0	38.0	73.0	39.0	34.0	13.0	9.0	4.0
трудоспособном	3513.0	2363.0	1150.0	3391.0	2263.0	1128.0	122.0	100.0	22.0
старше трудоспособного	210.0	98.0	112.0	165.0	74.0	91.0	45.0	24.0	21.0
Медианный возраст	   33,6	   33,7	   33,5	   33,3	   33,4	   33,2	   44,0	   42,1	   50,8
Ульчи	2718.0	1273.0	1445.0	413.0	164.0	249.0	2305.0	1109.0	1196.0
 в том числе в возрасте, лет:									
0 - 4	201.0	94.0	107.0	16.0	8.0	8.0	185.0	86.0	99.0
5 - 9	212.0	117.0	95.0	13.0	8.0	5.0	199.0	109.0	90.0
10 - 14	321.0	171.0	150.0	32.0	18.0	14.0	289.0	153.0	136.0
