11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Численность членов частных домохозяйств	из них проживающие в домохозяйствах, состоящих из				
55 – 64	4053.0	390.0	1300.0	875.0	605.0	883.0
65 и более	5268.0	750.0	1817.0	987.0	608.0	1106.0
возраст не указан	1.0	-	-	1.0	-	-
Дальневосточный федеральный округ						
Все население	6489345.0	538949.0	1384724.0	1887081.0	1577248.0	1101343.0
в том числе в возрасте, лет:						
 0 – 3	257901.0	95.0	11503.0	81958.0	82629.0	81716.0
 4 – 5	127592.0	56.0	8353.0	39611.0	42858.0	36714.0
 6 – 9	282127.0	135.0	21053.0	82920.0	100169.0	77850.0
10 – 14 	510480.0	503.0	44183.0	147736.0	187749.0	130309.0
15 – 17 	358118.0	6081.0	38642.0	105386.0	121028.0	86981.0
18 – 24	742915.0	42791.0	132159.0	226475.0	187670.0	153820.0
25 – 34 	999526.0	62967.0	162017.0	366299.0	251606.0	156637.0
35 – 44 	1018229.0	68550.0	170964.0	319874.0	301987.0	156854.0
45 – 54	1041157.0	100643.0	310551.0	309939.0	193435.0	126589.0
55 – 64	597812.0	103875.0	257766.0	124322.0	61430.0	50419.0
65 и более	550154.0	152202.0	226853.0	81805.0	46221.0	43073.0
возраст не указан	3334.0	1051.0	680.0	756.0	466.0	381.0
Республика Саха (Якутия)						
Все население	937954.0	53602.0	139054.0	218883.0	234652.0	291763.0
в том числе в возрасте, лет:						
 0 – 3	51790.0	6.0	1693.0	11312.0	15205.0	23574.0
 4 – 5	26737.0	7.0	1217.0	5419.0	8430.0	11664.0
 6 – 9	58680.0	16.0	2964.0	10955.0	18715.0	26030.0
10 – 14 	91986.0	52.0	5472.0	18269.0	28841.0	39352.0
15 – 17 	58509.0	559.0	4480.0	12565.0	16778.0	24127.0
18 – 24	108588.0	4089.0	14652.0	26948.0	25439.0	37460.0
25 – 34 	140301.0	7430.0	18156.0	40101.0	37912.0	36702.0
35 – 44 	157894.0	9471.0	20454.0	37737.0	44617.0	45615.0
45 – 54	136621.0	12902.0	34251.0	35332.0	25775.0	28361.0
55 – 64	56840.0	9125.0	20032.0	11654.0	6848.0	9181.0
65 и более	49852.0	9934.0	15664.0	8546.0	6046.0	9662.0
возраст не указан	156.0	11.0	19.0	45.0	46.0	35.0
Приморский край						
Все население	1998474.0	177719.0	454502.0	593130.0	486220.0	286903.0
в том числе в возрасте, лет:						
 0 – 3	69925.0	38.0	3345.0	23578.0	22957.0	20007.0
 4 – 5	34006.0	16.0	2458.0	11420.0	11696.0	8416.0
 6 – 9	78360.0	52.0	6437.0	25134.0	28500.0	18237.0
10 – 14 	147032.0	188.0	13781.0	45277.0	56259.0	31527.0
15 – 17 	104547.0	1298.0	12191.0	32090.0	37555.0	21413.0
18 – 24	223814.0	11689.0	41773.0	70360.0	59521.0	40471.0
25 – 34 	305496.0	20781.0	52345.0	113704.0	75909.0	42757.0
35 – 44 	309356.0	22086.0	53803.0	100766.0	93238.0	39463.0
45 – 54	316014.0	29931.0	92815.0	96519.0	62130.0	34619.0
55 – 64	209680.0	35341.0	90670.0	44944.0	22176.0	16549.0
65 и более	199132.0	55978.0	84655.0	29072.0	16134.0	13293.0
возраст не указан	1112.0	321.0	229.0	266.0	145.0	151.0
Хабаровский край						
Все население	1383332.0	115556.0	304606.0	414684.0	338976.0	209510.0
в том числе в возрасте, лет:						
 0 – 3	48912.0	19.0	2284.0	16660.0	15569.0	14380.0
 4 – 5	24071.0	14.0	1625.0	8049.0	8024.0	6359.0
 6 – 9	54059.0	33.0	4339.0	17241.0	19395.0	13051.0
10 – 14 	102916.0	108.0	9613.0	31432.0	38871.0	22892.0
15 – 17 	75930.0	2107.0	8570.0	23420.0	26369.0	15464.0
18 – 24	166603.0	12197.0	30929.0	50725.0	42865.0	29887.0
25 – 34 	213739.0	12000.0	36364.0	80879.0	52605.0	31891.0
35 – 44 	209481.0	12379.0	35193.0	68670.0	64570.0	28669.0
45 – 54	220145.0	19081.0	62953.0	67740.0	44201.0	26170.0
55 – 64	136258.0	22091.0	58427.0	29527.0	15044.0	11169.0
65 и более	130957.0	35492.0	54237.0	20280.0	11412.0	9536.0
возраст не указан	261.0	35.0	72.0	61.0	51.0	42.0
Амурская область						
Все население	876241.0	66488.0	194498.0	259836.0	217556.0	137863.0
в том числе в возрасте, лет:						
 0 – 3	36283.0	5.0	1345.0	12117.0	12343.0	10473.0
 4 – 5	17528.0	3.0	1020.0	5713.0	6255.0	4537.0
 6 – 9	38013.0	13.0	2620.0	11355.0	14769.0	9256.0
10 – 14 	70378.0	46.0	5452.0	20564.0	27479.0	16837.0
15 – 17 	49476.0	997.0	4771.0	14765.0	17045.0	11898.0
18 – 24	100959.0	5355.0	17594.0	32218.0	25247.0	20545.0
25 – 34 	133387.0	6535.0	19171.0	50954.0	36868.0	19859.0
35 – 44 	132111.0	6646.0	22491.0	43674.0	41079.0	18221.0
45 – 54	137215.0	11276.0	45404.0	41722.0	23524.0	15289.0
55 – 64	77953.0	12640.0	37363.0	15181.0	6925.0	5844.0
65 и более	82650.0	22917.0	37208.0	11491.0	5963.0	5071.0
возраст не указан	288.0	55.0	59.0	82.0	59.0	33.0
Камчатская область						
Все население	345283.0	34978.0	74796.0	108606.0	83208.0	43695.0
в том числе в возрасте, лет:						
 0 – 3	13867.0	9.0	825.0	5044.0	4652.0	3337.0
 4 – 5	7030.0	9.0	595.0	2520.0	2459.0	1447.0
 6 – 9	14075.0	11.0	1328.0	5006.0	5073.0	2657.0
10 – 14 	25412.0	40.0	2569.0	8347.0	9902.0	4554.0
15 – 17 	18068.0	279.0	2143.0	5824.0	6409.0	3413.0
18 – 24	38324.0	2775.0	7566.0	12338.0	9474.0	6171.0
25 – 34 	59399.0	5538.0	10783.0	22950.0	13466.0	6662.0
35 – 44 	59216.0	5831.0	10473.0	19326.0	17016.0	6570.0
45 – 54	58402.0	7451.0	17764.0	17511.0	10185.0	5491.0
55 – 64	32554.0	6980.0	13548.0	6854.0	3032.0	2140.0
65 и более	18633.0	5915.0	7158.0	2833.0	1495.0	1232.0
возраст не указан	303.0	140.0	44.0	53.0	45.0	21.0
Корякский автономный округ						
Все население	24869.0	2610.0	5430.0	6402.0	5504.0	4923.0
в том числе в возрасте, лет:						
 0 – 3	1183.0	-	60.0	299.0	389.0	435.0
 4 – 5	684.0	-	46.0	174.0	225.0	239.0
 6 – 9	1338.0	1.0	109.0	334.0	459.0	435.0
10 – 14 	2290.0	1.0	217.0	672.0	751.0	649.0
15 – 17 	1377.0	5.0	134.0	379.0	371.0	488.0
18 – 24	2167.0	136.0	347.0	597.0	480.0	607.0
25 – 34 	3869.0	359.0	677.0	1180.0	1014.0	639.0
35 – 44 	4434.0	508.0	876.0	1219.0	1065.0	766.0
45 – 54	4385.0	703.0	1664.0	1068.0	540.0	410.0
55 – 64	2097.0	564.0	922.0	354.0	121.0	136.0
65 и более	1034.0	331.0	377.0	124.0	86.0	116.0
возраст не указан	11.0	2.0	1.0	2.0	3.0	3.0
Магаданская область						
Все население	179351.0	22635.0	44748.0	57396.0	37256.0	17316.0
в том числе в возрасте, лет:						
 0 – 3	7054.0	1.0	491.0	2769.0	2339.0	1454.0
 4 – 5	3441.0	1.0	338.0	1342.0	1157.0	603.0
 6 – 9	7090.0	5.0	774.0	2624.0	2452.0	1235.0
10 – 14 	13255.0	26.0	1683.0	4860.0	4588.0	2098.0
15 – 17 	9476.0	419.0	1457.0	3366.0	2816.0	1418.0
18 – 24	19869.0	2113.0	4435.0	6750.0	4192.0	2379.0
25 – 34 	28424.0	2905.0	5813.0	11244.0	6075.0	2387.0
35 – 44 	30822.0	3527.0	6910.0	10449.0	7366.0	2570.0
45 – 54	35850.0	5644.0	13325.0	10259.0	4558.0	2064.0
55 – 64	15628.0	4544.0	6641.0	2650.0	1116.0	677.0
65 и более	8280.0	3403.0	2827.0	1042.0	584.0	424.0
возраст не указан	162.0	47.0	54.0	41.0	13.0	7.0
Сахалинская область						
Все население	532921.0	46759.0	120976.0	166797.0	125688.0	72701.0
в том числе в возрасте, лет:						
 0 – 3	20038.0	13.0	1022.0	7102.0	6490.0	5411.0
 4 – 5	9805.0	4.0	760.0	3614.0	3212.0	2215.0
 6 – 9	20681.0	4.0	1723.0	7324.0	7441.0	4189.0
10 – 14 	39379.0	33.0	3807.0	13217.0	14831.0	7491.0
15 – 17 	28033.0	229.0	3348.0	9370.0	9659.0	5427.0
18 – 24	57931.0	2826.0	10234.0	18724.0	14892.0	11255.0
25 – 34 	82758.0	5183.0	13565.0	33128.0	19926.0	10956.0
35 – 44 	83113.0	5784.0	15337.0	28192.0	24021.0	9779.0
45 – 54	98765.0	10010.0	31709.0	30062.0	17138.0	9846.0
55 – 64	48702.0	9131.0	21844.0	9762.0	4621.0	3344.0
65 и более	42758.0	13127.0	17442.0	6123.0	3357.0	2709.0
возраст не указан	958.0	415.0	185.0	179.0	100.0	79.0
Еврейская автономная область						
Все население	182963.0	14536.0	39970.0	52902.0	43612.0	31943.0
в том числе в возрасте, лет:						
 0 – 3	7495.0	1.0	345.0	2582.0	2360.0	2207.0
 4 – 5	3657.0	-	237.0	1157.0	1200.0	1063.0
 6 – 9	8463.0	1.0	630.0	2499.0	2988.0	2345.0
10 – 14 	15483.0	3.0	1279.0	4258.0	5579.0	4364.0
15 – 17 	11036.0	133.0	1243.0	2964.0	3637.0	3059.0
18 – 24	21742.0	1188.0	3918.0	6913.0	5086.0	4637.0
25 – 34 	27417.0	1471.0	4177.0	10520.0	7130.0	4119.0
35 – 44 	26269.0	1388.0	4204.0	8126.0	8157.0	4394.0
45 – 54	27978.0	2439.0	8678.0	8401.0	4875.0	3585.0
55 – 64	16509.0	2879.0	7867.0	3184.0	1428.0	1151.0
65 и более	16858.0	5018.0	7383.0	2279.0	1166.0	1012.0
возраст не указан	56.0	15.0	9.0	19.0	6.0	7.0
Чукотский автономный округ						
Все население	52826.0	6676.0	11574.0	14847.0	10080.0	9649.0
в том числе в возрасте, лет:						
 0 – 3	2537.0	3.0	153.0	794.0	714.0	873.0
 4 – 5	1317.0	2.0	103.0	377.0	425.0	410.0
 6 – 9	2706.0	-	238.0	782.0	836.0	850.0
10 – 14 	4639.0	7.0	527.0	1512.0	1399.0	1194.0
15 – 17 	3043.0	60.0	439.0	1022.0	760.0	762.0
18 – 24	5085.0	559.0	1058.0	1499.0	954.0	1015.0
25 – 34 	8605.0	1124.0	1643.0	2819.0	1715.0	1304.0
35 – 44 	9967.0	1438.0	2099.0	2934.0	1923.0	1573.0
45 – 54	10167.0	1909.0	3652.0	2393.0	1049.0	1164.0
55 – 64	3688.0	1144.0	1374.0	566.0	240.0	364.0
65 и более	1034.0	418.0	279.0	139.0	64.0	134.0
возраст не указан	38.0	12.0	9.0	10.0	1.0	6.0
