4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩЕЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ПЕРИОДУ ПОСТРОЙКИ ДОМА И МАТЕРИАЛУ НАРУЖНЫХ СТЕН 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	из них проживают в домах, где материал наружных стен 						Не указали материал наружных стен
в 1946-1956 гг.	10234.0	4735.0	106.0	3278.0	952.0	927.0	142.0	94.0
в 1957-1970 гг.	11138.0	5610.0	2281.0	1381.0	442.0	1051.0	189.0	184.0
в 1971-1995 гг.	9731.0	1954.0	6793.0	657.0	39.0	168.0	10.0	110.0
после 1995 г.	827.0	80.0	667.0	44.0	-	-	26.0	10.0
не указавшие период постройки дома	601.0	202.0	63.0	65.0	41.0	31.0	-	199.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	626982.0	168821.0	55584.0	64054.0	271174.0	47613.0	14350.0	5386.0
в том числе построенных:								
в 1920 г. и ранее	22230.0	953.0	9.0	19.0	20077.0	882.0	205.0	85.0
в 1921-1945 гг.	30234.0	1729.0	33.0	369.0	24364.0	2389.0	1136.0	214.0
в 1946-1956 гг.	75211.0	6052.0	340.0	3032.0	52620.0	9011.0	3550.0	606.0
в 1957-1970 гг.	180416.0	45524.0	5456.0	19526.0	85446.0	16508.0	6336.0	1620.0
в 1971-1995 гг.	286594.0	106313.0	46695.0	38963.0	73688.0	16059.0	2698.0	2178.0
после 1995 г.	28733.0	7257.0	2818.0	1834.0	13656.0	2537.0	377.0	254.0
не указавшие период постройки дома	3564.0	993.0	233.0	311.0	1323.0	227.0	48.0	429.0
Проживающие в индивидуальных домах	308678.0	30786.0	3344.0	8835.0	225237.0	28229.0	9736.0	2511.0
в том числе построенных:								
в 1920 г. и ранее	18282.0	391.0	3.0	11.0	16930.0	699.0	179.0	69.0
в 1921-1945 гг.	23646.0	607.0	22.0	127.0	20204.0	1682.0	838.0	166.0
в 1946-1956 гг.	57125.0	1771.0	53.0	811.0	44717.0	6558.0	2780.0	435.0
в 1957-1970 гг.	96211.0	5983.0	313.0	2941.0	71391.0	10028.0	4722.0	833.0
в 1971-1995 гг.	90292.0	16940.0	2518.0	4239.0	57971.0	7026.0	923.0	675.0
после 1995 г.	21546.0	4934.0	412.0	663.0	13010.0	2094.0	268.0	165.0
не указавшие период постройки дома	1576.0	160.0	23.0	43.0	1014.0	142.0	26.0	168.0
Проживающие в отдельных квартирах	316974.0	137461.0	52029.0	55075.0	45669.0	19271.0	4609.0	2860.0
в том числе построенных:								
в 1920 г. и ранее	3932.0	562.0	6.0	8.0	3131.0	183.0	26.0	16.0
в 1921-1945 гг.	6539.0	1116.0	11.0	239.0	4121.0	707.0	297.0	48.0
в 1946-1956 гг.	17855.0	4164.0	287.0	2197.0	7835.0	2431.0	770.0	171.0
в 1957-1970 гг.	83870.0	39391.0	5134.0	16550.0	13962.0	6444.0	1610.0	779.0
в 1971-1995 гг.	195656.0	89092.0	43997.0	34645.0	15672.0	8978.0	1775.0	1497.0
после 1995 г.	7140.0	2308.0	2384.0	1168.0	639.0	443.0	109.0	89.0
не указавшие период постройки дома	1982.0	828.0	210.0	268.0	309.0	85.0	22.0	260.0
Проживающие в коммунальных квартирах	1330.0	574.0	211.0	144.0	268.0	113.0	5.0	15.0
в том числе построенных:								
в 1920 г. и ранее	16.0	-	-	-	16.0	-	-	-
в 1921-1945 гг.	49.0	6.0	-	3.0	39.0	-	1.0	-
в 1946-1956 гг.	231.0	117.0	-	24.0	68.0	22.0	-	-
в 1957-1970 гг.	335.0	150.0	9.0	35.0	93.0	36.0	4.0	8.0
в 1971-1995 гг.	646.0	281.0	180.0	79.0	45.0	55.0	-	6.0
после 1995 г.	47.0	15.0	22.0	3.0	7.0	-	-	-
не указавшие период постройки дома	6.0	5.0	-	-	-	-	-	1.0
Сибирский федеральный округ								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	18166584.0	4351174.0	5943421.0	622250.0	6011644.0	726920.0	321181.0	189994.0
в том числе построенных:								
в 1920 г. и ранее	257717.0	11963.0	108.0	303.0	236658.0	5153.0	1492.0	2040.0
в 1921-1945 гг.	602823.0	84481.0	1156.0	7112.0	459726.0	31974.0	12515.0	5859.0
в 1946-1956 гг.	1734383.0	279490.0	11038.0	76312.0	1137931.0	147099.0	63228.0	19285.0
в 1957-1970 гг.	5079145.0	1434196.0	1071830.0	157980.0	2005006.0	246992.0	113909.0	49232.0
в 1971-1995 гг.	9572665.0	2249605.0	4607611.0	354019.0	1905141.0	255331.0	115360.0	85598.0
после 1995 г.	777969.0	257184.0	215604.0	22025.0	227187.0	35651.0	13110.0	7208.0
не указавшие период постройки дома	141882.0	34255.0	36074.0	4499.0	39995.0	4720.0	1567.0	20772.0
Проживающие в индивидуальных домах	4844179.0	422770.0	25145.0	89659.0	3627920.0	430858.0	192018.0	55809.0
в том числе построенных:								
в 1920 г. и ранее	158994.0	915.0	9.0	140.0	152764.0	2768.0	1177.0	1221.0
в 1921-1945 гг.	341883.0	3824.0	89.0	1513.0	303269.0	20949.0	9014.0	3225.0
в 1946-1956 гг.	1064503.0	41231.0	555.0	14493.0	854512.0	95406.0	46465.0	11841.0
в 1957-1970 гг.	1666039.0	101683.0	2101.0	26949.0	1269057.0	165917.0	81687.0	18645.0
в 1971-1995 гг.	1265280.0	201642.0	18882.0	36904.0	831145.0	116458.0	46778.0	13471.0
после 1995 г.	314647.0	70288.0	3214.0	9012.0	196243.0	26721.0	5911.0	3258.0
не указавшие период постройки дома	32833.0	3187.0	295.0	648.0	20930.0	2639.0	986.0	4148.0
Проживающие в отдельных квартирах	13205936.0	3881594.0	5894496.0	525290.0	2355608.0	289366.0	127329.0	132253.0
в том числе построенных:								
в 1920 г. и ранее	95893.0	10391.0	99.0	155.0	81855.0	2311.0	289.0	793.0
в 1921-1945 гг.	244671.0	74009.0	1054.0	4884.0	148686.0	10220.0	3331.0	2487.0
в 1946-1956 гг.	648465.0	231385.0	10314.0	58227.0	276215.0	49108.0	16082.0	7134.0
в 1957-1970 гг.	3375876.0	1311463.0	1065999.0	129016.0	728998.0	78888.0	31565.0	29947.0
в 1971-1995 гг.	8272501.0	2037727.0	4569492.0	316307.0	1070868.0	138008.0	68354.0	71745.0
после 1995 г.	461300.0	186109.0	212021.0	12894.0	30346.0	8823.0	7166.0	3941.0
не указавшие период постройки дома	107230.0	30510.0	35517.0	3807.0	18640.0	2008.0	542.0	16206.0
Проживающие в коммунальных квартирах	116469.0	46810.0	23780.0	7301.0	28116.0	6696.0	1834.0	1932.0
в том числе построенных:								
в 1920 г. и ранее	2830.0	657.0	-	8.0	2039.0	74.0	26.0	26.0
в 1921-1945 гг.	16269.0	6648.0	13.0	715.0	7771.0	805.0	170.0	147.0
в 1946-1956 гг.	21415.0	6874.0	169.0	3592.0	7204.0	2585.0	681.0	310.0
в 1957-1970 гг.	37230.0	21050.0	3730.0	2015.0	6951.0	2187.0	657.0	640.0
в 1971-1995 гг.	34884.0	10236.0	19237.0	808.0	3128.0	865.0	228.0	382.0
после 1995 г.	2022.0	787.0	369.0	119.0	598.0	107.0	33.0	9.0
не указавшие период постройки дома	1819.0	558.0	262.0	44.0	425.0	73.0	39.0	418.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	12652215.0	3476336.0	5605223.0	346717.0	2548529.0	387506.0	156244.0	131660.0
в том числе построенных:								
в 1920 г. и ранее	123438.0	11516.0	106.0	222.0	105595.0	4213.0	715.0	1071.0
в 1921-1945 гг.	375947.0	82022.0	1044.0	6601.0	248275.0	25824.0	8206.0	3975.0
в 1946-1956 гг.	1147998.0	261391.0	10201.0	71303.0	643347.0	110072.0	38043.0	13641.0
в 1957-1970 гг.	3504759.0	1247287.0	1043233.0	119561.0	866049.0	141832.0	53739.0	33058.0
в 1971-1995 гг.	6837194.0	1629877.0	4311752.0	134103.0	575062.0	82699.0	45775.0	57926.0
после 1995 г.	556232.0	215735.0	204977.0	12131.0	89368.0	19990.0	8952.0	5079.0
не указавшие период постройки дома	106647.0	28508.0	33910.0	2796.0	20833.0	2876.0	814.0	16910.0
Проживающие в индивидуальных домах	2197922.0	232282.0	10738.0	53211.0	1533663.0	246726.0	91390.0	29912.0
в том числе построенных:								
в 1920 г. и ранее	39684.0	739.0	9.0	79.0	36114.0	1950.0	428.0	365.0
в 1921-1945 гг.	149018.0	3207.0	64.0	1282.0	121836.0	15699.0	5197.0	1733.0
в 1946-1956 гг.	602960.0	36339.0	323.0	12986.0	452781.0	67009.0	25673.0	7849.0
в 1957-1970 гг.	795012.0	71757.0	1246.0	21009.0	552044.0	98820.0	39804.0	10332.0
в 1971-1995 гг.	449255.0	76323.0	6917.0	12820.0	283430.0	47346.0	16898.0	5521.0
после 1995 г.	144821.0	41898.0	2010.0	4604.0	77549.0	14242.0	2860.0	1658.0
не указавшие период постройки дома	17172.0	2019.0	169.0	431.0	9909.0	1660.0	530.0	2454.0
Проживающие в отдельных квартирах	10347337.0	3198978.0	5571936.0	286780.0	991739.0	134628.0	63333.0	99943.0
в том числе построенных:								
в 1920 г. и ранее	81108.0	10120.0	97.0	135.0	67613.0	2193.0	270.0	680.0
в 1921-1945 гг.	210939.0	72180.0	967.0	4606.0	118926.0	9323.0	2842.0	2095.0
в 1946-1956 гг.	524687.0	218273.0	9712.0	54734.0	184139.0	40562.0	11741.0	5526.0
в 1957-1970 гг.	2675305.0	1154918.0	1038359.0	96674.0	308832.0	40974.0	13429.0	22119.0
в 1971-1995 гг.	6357598.0	1544397.0	4286683.0	120815.0	290153.0	34751.0	28741.0	52058.0
после 1995 г.	409944.0	173120.0	202634.0	7491.0	11548.0	5678.0	6059.0	3414.0
не указавшие период постройки дома	87756.0	25970.0	33484.0	2325.0	10528.0	1147.0	251.0	14051.0
Проживающие в коммунальных квартирах	106956.0	45076.0	22549.0	6726.0	23127.0	6152.0	1521.0	1805.0
в том числе построенных:								
в 1920 г. и ранее	2646.0	657.0	-	8.0	1868.0	70.0	17.0	26.0
в 1921-1945 гг.	15990.0	6635.0	13.0	713.0	7513.0	802.0	167.0	147.0
в 1946-1956 гг.	20351.0	6779.0	166.0	3583.0	6427.0	2501.0	629.0	266.0
в 1957-1970 гг.	34442.0	20612.0	3628.0	1878.0	5173.0	2038.0	506.0	607.0
в 1971-1995 гг.	30341.0	9157.0	18152.0	468.0	1479.0	602.0	136.0	347.0
после 1995 г.	1467.0	717.0	333.0	36.0	271.0	70.0	33.0	7.0
не указавшие период постройки дома	1719.0	519.0	257.0	40.0	396.0	69.0	33.0	405.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	5514369.0	874838.0	338198.0	275533.0	3463115.0	339414.0	164937.0	58334.0
в том числе построенных:								
в 1920 г. и ранее	134279.0	447.0	2.0	81.0	131063.0	940.0	777.0	969.0
в 1921-1945 гг.	226876.0	2459.0	112.0	511.0	211451.0	6150.0	4309.0	1884.0
в 1946-1956 гг.	586385.0	18099.0	837.0	5009.0	494584.0	37027.0	25185.0	5644.0
в 1957-1970 гг.	1574386.0	186909.0	28597.0	38419.0	1138957.0	105160.0	60170.0	16174.0
в 1971-1995 гг.	2735471.0	619728.0	295859.0	219916.0	1330079.0	172632.0	69585.0	27672.0
после 1995 г.	221737.0	41449.0	10627.0	9894.0	137819.0	15661.0	4158.0	2129.0
не указавшие период постройки дома	35235.0	5747.0	2164.0	1703.0	19162.0	1844.0	753.0	3862.0
Проживающие в индивидуальных домах	2646257.0	190488.0	14407.0	36448.0	2094257.0	184132.0	100628.0	25897.0
в том числе построенных:								
в 1920 г. и ранее	119310.0	176.0	-	61.0	116650.0	818.0	749.0	856.0
в 1921-1945 гг.	192865.0	617.0	25.0	231.0	181433.0	5250.0	3817.0	1492.0
в 1946-1956 гг.	461543.0	4892.0	232.0	1507.0	401731.0	28397.0	20792.0	3992.0
в 1957-1970 гг.	871027.0	29926.0	855.0	5940.0	717013.0	67097.0	41883.0	8313.0
в 1971-1995 гг.	816025.0	125319.0	11965.0	24084.0	547715.0	69112.0	29880.0	7950.0
после 1995 г.	169826.0	28390.0	1204.0	4408.0	118694.0	12479.0	3051.0	1600.0
не указавшие период постройки дома	15661.0	1168.0	126.0	217.0	11021.0	979.0	456.0	1694.0
Проживающие в отдельных квартирах	2858599.0	682616.0	322560.0	238510.0	1363869.0	154738.0	63996.0	32310.0
в том числе построенных:								
в 1920 г. и ранее	14785.0	271.0	2.0	20.0	14242.0	118.0	19.0	113.0
в 1921-1945 гг.	33732.0	1829.0	87.0	278.0	29760.0	897.0	489.0	392.0
в 1946-1956 гг.	123778.0	13112.0	602.0	3493.0	92076.0	8546.0	4341.0	1608.0
в 1957-1970 гг.	700571.0	156545.0	27640.0	32342.0	420166.0	37914.0	18136.0	7828.0
в 1971-1995 гг.	1914903.0	493330.0	282809.0	195492.0	780715.0	103257.0	39613.0	19687.0
после 1995 г.	51356.0	12989.0	9387.0	5403.0	18798.0	3145.0	1107.0	527.0
не указавшие период постройки дома	19474.0	4540.0	2033.0	1482.0	8112.0	861.0	291.0	2155.0
Проживающие в коммунальных квартирах	9513.0	1734.0	1231.0	575.0	4989.0	544.0	313.0	127.0
в том числе построенных:								
в 1920 г. и ранее	184.0	-	-	-	171.0	4.0	9.0	-
в 1921-1945 гг.	279.0	13.0	-	2.0	258.0	3.0	3.0	-
в 1946-1956 гг.	1064.0	95.0	3.0	9.0	777.0	84.0	52.0	44.0
в 1957-1970 гг.	2788.0	438.0	102.0	137.0	1778.0	149.0	151.0	33.0
в 1971-1995 гг.	4543.0	1079.0	1085.0	340.0	1649.0	263.0	92.0	35.0
после 1995 г.	555.0	70.0	36.0	83.0	327.0	37.0	-	2.0
не указавшие период постройки дома	100.0	39.0	5.0	4.0	29.0	4.0	6.0	13.0
Республика Алтай								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	182856.0	18152.0	6795.0	9750.0	134370.0	9393.0	2646.0	1750.0
в том числе построенных:								
в 1920 г. и ранее	2219.0	5.0	-	3.0	2167.0	39.0	-	5.0
в 1921-1945 гг.	7921.0	380.0	-	9.0	7351.0	113.0	30.0	38.0
в 1946-1956 гг.	16811.0	316.0	9.0	31.0	15885.0	365.0	60.0	145.0
в 1957-1970 гг.	43375.0	3954.0	159.0	502.0	36591.0	1400.0	432.0	337.0
в 1971-1995 гг.	92535.0	11929.0	5978.0	8468.0	57497.0	6048.0	1805.0	810.0
после 1995 г.	18909.0	1439.0	607.0	690.0	14303.0	1378.0	294.0	198.0
не указавшие период постройки дома	1086.0	129.0	42.0	47.0	576.0	50.0	25.0	217.0
Проживающие в индивидуальных домах	101297.0	2237.0	397.0	1367.0	88895.0	5678.0	1722.0	1001.0
в том числе построенных:								
в 1920 г. и ранее	1628.0	-	-	-	1622.0	3.0	-	3.0
в 1921-1945 гг.	5671.0	17.0	-	6.0	5529.0	69.0	28.0	22.0
в 1946-1956 гг.	13627.0	11.0	3.0	14.0	13150.0	275.0	53.0	121.0
в 1957-1970 гг.	25703.0	255.0	2.0	123.0	23799.0	993.0	340.0	191.0
в 1971-1995 гг.	38172.0	1337.0	348.0	838.0	31146.0	3109.0	1025.0	369.0
после 1995 г.	15995.0	594.0	37.0	384.0	13320.0	1214.0	259.0	187.0
не указавшие период постройки дома	501.0	23.0	7.0	2.0	329.0	15.0	17.0	108.0
Проживающие в отдельных квартирах	80410.0	15718.0	6375.0	8339.0	44758.0	3594.0	901.0	725.0
в том числе построенных:								
в 1920 г. и ранее	572.0	5.0	-	3.0	526.0	36.0	-	2.0
в 1921-1945 гг.	2107.0	272.0	-	3.0	1784.0	30.0	2.0	16.0
в 1946-1956 гг.	3040.0	278.0	6.0	17.0	2631.0	83.0	7.0	18.0
в 1957-1970 гг.	17376.0	3663.0	157.0	369.0	12580.0	394.0	72.0	141.0
в 1971-1995 гг.	53965.0	10561.0	5607.0	7603.0	26108.0	2868.0	777.0	441.0
после 1995 г.	2781.0	833.0	570.0	299.0	885.0	148.0	35.0	11.0
не указавшие период постройки дома	569.0	106.0	35.0	45.0	244.0	35.0	8.0	96.0
Проживающие в коммунальных квартирах	1149.0	197.0	23.0	44.0	717.0	121.0	23.0	24.0
в том числе построенных:								
в 1920 г. и ранее	19.0	-	-	-	19.0	-	-	-
в 1921-1945 гг.	143.0	91.0	-	-	38.0	14.0	-	-
в 1946-1956 гг.	144.0	27.0	-	-	104.0	7.0	-	6.0
в 1957-1970 гг.	296.0	36.0	-	10.0	212.0	13.0	20.0	5.0
в 1971-1995 гг.	398.0	31.0	23.0	27.0	243.0	71.0	3.0	-
после 1995 г.	133.0	12.0	-	7.0	98.0	16.0	-	-
не указавшие период постройки дома	16.0	-	-	-	3.0	-	-	13.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	43045.0	11999.0	4364.0	4394.0	16826.0	3786.0	1182.0	494.0
в том числе построенных:								
в 1920 г. и ранее	282.0	5.0	-	3.0	237.0	36.0	-	1.0
в 1921-1945 гг.	1680.0	347.0	-	9.0	1205.0	86.0	21.0	12.0
в 1946-1956 гг.	3291.0	276.0	5.0	8.0	2681.0	245.0	25.0	51.0
в 1957-1970 гг.	8818.0	2431.0	20.0	246.0	4900.0	849.0	278.0	94.0
в 1971-1995 гг.	23147.0	7751.0	4084.0	3774.0	4874.0	1797.0	684.0	183.0
после 1995 г.	5392.0	1085.0	233.0	340.0	2770.0	741.0	154.0	69.0
не указавшие период постройки дома	435.0	104.0	22.0	14.0	159.0	32.0	20.0	84.0
Проживающие в индивидуальных домах	18612.0	986.0	31.0	511.0	12910.0	2982.0	905.0	287.0
в том числе построенных:								
в 1920 г. и ранее	65.0	-	-	-	65.0	-	-	-
в 1921-1945 гг.	668.0	10.0	-	6.0	588.0	43.0	19.0	2.0
в 1946-1956 гг.	2358.0	7.0	2.0	6.0	2106.0	173.0	18.0	46.0
в 1957-1970 гг.	5020.0	106.0	-	76.0	3838.0	694.0	236.0	70.0
в 1971-1995 гг.	6425.0	559.0	25.0	296.0	3599.0	1385.0	478.0	83.0
после 1995 г.	3892.0	290.0	4.0	125.0	2601.0	675.0	137.0	60.0
не указавшие период постройки дома	184.0	14.0	-	2.0	113.0	12.0	17.0	26.0
Проживающие в отдельных квартирах	23861.0	10842.0	4320.0	3862.0	3669.0	700.0	274.0	194.0
в том числе построенных:								
в 1920 г. и ранее	210.0	5.0	-	3.0	165.0	36.0	-	1.0
в 1921-1945 гг.	877.0	246.0	-	3.0	587.0	29.0	2.0	10.0
в 1946-1956 гг.	837.0	242.0	3.0	2.0	513.0	65.0	7.0	5.0
в 1957-1970 гг.	3690.0	2291.0	20.0	168.0	1003.0	142.0	42.0	24.0
в 1971-1995 гг.	16581.0	7178.0	4046.0	3466.0	1230.0	358.0	203.0	100.0
после 1995 г.	1428.0	790.0	229.0	208.0	125.0	50.0	17.0	9.0
не указавшие период постройки дома	238.0	90.0	22.0	12.0	46.0	20.0	3.0	45.0
Проживающие в коммунальных квартирах	572.0	171.0	13.0	21.0	247.0	104.0	3.0	13.0
в том числе построенных:								
в 1920 г. и ранее	7.0	-	-	-	7.0	-	-	-
в 1921-1945 гг.	135.0	91.0	-	-	30.0	14.0	-	-
в 1946-1956 гг.	96.0	27.0	-	-	62.0	7.0	-	-
в 1957-1970 гг.	108.0	34.0	-	2.0	59.0	13.0	-	-
в 1971-1995 гг.	141.0	14.0	13.0	12.0	45.0	54.0	3.0	-
после 1995 г.	72.0	5.0	-	7.0	44.0	16.0	-	-
не указавшие период постройки дома	13.0	-	-	-	-	-	-	13.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	139811.0	6153.0	2431.0	5356.0	117544.0	5607.0	1464.0	1256.0
в том числе построенных:								
в 1920 г. и ранее	1937.0	-	-	-	1930.0	3.0	-	4.0
в 1921-1945 гг.	6241.0	33.0	-	-	6146.0	27.0	9.0	26.0
в 1946-1956 гг.	13520.0	40.0	4.0	23.0	13204.0	120.0	35.0	94.0
в 1957-1970 гг.	34557.0	1523.0	139.0	256.0	31691.0	551.0	154.0	243.0
в 1971-1995 гг.	69388.0	4178.0	1894.0	4694.0	52623.0	4251.0	1121.0	627.0
после 1995 г.	13517.0	354.0	374.0	350.0	11533.0	637.0	140.0	129.0
не указавшие период постройки дома	651.0	25.0	20.0	33.0	417.0	18.0	5.0	133.0
Проживающие в индивидуальных домах	82685.0	1251.0	366.0	856.0	75985.0	2696.0	817.0	714.0
в том числе построенных:								
в 1920 г. и ранее	1563.0	-	-	-	1557.0	3.0	-	3.0
в 1921-1945 гг.	5003.0	7.0	-	-	4941.0	26.0	9.0	20.0
в 1946-1956 гг.	11269.0	4.0	1.0	8.0	11044.0	102.0	35.0	75.0
в 1957-1970 гг.	20683.0	149.0	2.0	47.0	19961.0	299.0	104.0	121.0
в 1971-1995 гг.	31747.0	778.0	323.0	542.0	27547.0	1724.0	547.0	286.0
после 1995 г.	12103.0	304.0	33.0	259.0	10719.0	539.0	122.0	127.0
не указавшие период постройки дома	317.0	9.0	7.0	-	216.0	3.0	-	82.0
Проживающие в отдельных квартирах	56549.0	4876.0	2055.0	4477.0	41089.0	2894.0	627.0	531.0
в том числе построенных:								
в 1920 г. и ранее	362.0	-	-	-	361.0	-	-	1.0
в 1921-1945 гг.	1230.0	26.0	-	-	1197.0	1.0	-	6.0
в 1946-1956 гг.	2203.0	36.0	3.0	15.0	2118.0	18.0	-	13.0
в 1957-1970 гг.	13686.0	1372.0	137.0	201.0	11577.0	252.0	30.0	117.0
в 1971-1995 гг.	37384.0	3383.0	1561.0	4137.0	24878.0	2510.0	574.0	341.0
после 1995 г.	1353.0	43.0	341.0	91.0	760.0	98.0	18.0	2.0
не указавшие период постройки дома	331.0	16.0	13.0	33.0	198.0	15.0	5.0	51.0
Проживающие в коммунальных квартирах	577.0	26.0	10.0	23.0	470.0	17.0	20.0	11.0
в том числе построенных:								
в 1920 г. и ранее	12.0	-	-	-	12.0	-	-	-
в 1921-1945 гг.	8.0	-	-	-	8.0	-	-	-
в 1946-1956 гг.	48.0	-	-	-	42.0	-	-	6.0
в 1957-1970 гг.	188.0	2.0	-	8.0	153.0	-	20.0	5.0
в 1971-1995 гг.	257.0	17.0	10.0	15.0	198.0	17.0	-	-
после 1995 г.	61.0	7.0	-	-	54.0	-	-	-
не указавшие период постройки дома	3.0	-	-	-	3.0	-	-	-
Республика Бурятия								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	879957.0	189973.0	136968.0	26024.0	485873.0	17302.0	16348.0	7469.0
в том числе построенных:								
в 1920 г. и ранее	27895.0	1304.0	-	24.0	26292.0	71.0	7.0	197.0
в 1921-1945 гг.	43738.0	2530.0	15.0	467.0	39196.0	1097.0	161.0	272.0
в 1946-1956 гг.	82188.0	5673.0	84.0	3158.0	68874.0	2922.0	759.0	718.0
в 1957-1970 гг.	220877.0	50667.0	12971.0	8287.0	138096.0	6304.0	2534.0	2018.0
в 1971-1995 гг.	455844.0	122016.0	119986.0	12930.0	179322.0	5624.0	12575.0	3391.0
после 1995 г.	44484.0	6637.0	3244.0	973.0	31909.0	1177.0	218.0	326.0
не указавшие период постройки дома	4931.0	1146.0	668.0	185.0	2184.0	107.0	94.0	547.0
Проживающие в индивидуальных домах	319069.0	5066.0	829.0	3193.0	293049.0	10068.0	4037.0	2827.0
в том числе построенных:								
в 1920 г. и ранее	21668.0	47.0	-	18.0	21421.0	35.0	2.0	145.0
в 1921-1945 гг.	24425.0	51.0	-	61.0	23575.0	444.0	136.0	158.0
в 1946-1956 гг.	55378.0	696.0	9.0	558.0	51056.0	1927.0	663.0	469.0
в 1957-1970 гг.	96153.0	993.0	30.0	892.0	87524.0	4060.0	1857.0	797.0
в 1971-1995 гг.	87893.0	2043.0	728.0	1375.0	78939.0	2776.0	1195.0	837.0
после 1995 г.	32202.0	1215.0	62.0	272.0	29491.0	779.0	130.0	253.0
не указавшие период постройки дома	1350.0	21.0	-	17.0	1043.0	47.0	54.0	168.0
Проживающие в отдельных квартирах	555687.0	183081.0	135894.0	22663.0	190160.0	7014.0	12270.0	4605.0
в том числе построенных:								
в 1920 г. и ранее	6221.0	1257.0	-	6.0	4865.0	36.0	5.0	52.0
в 1921-1945 гг.	17210.0	2090.0	15.0	324.0	14107.0	541.0	25.0	108.0
в 1946-1956 гг.	26291.0	4861.0	68.0	2569.0	17480.0	974.0	96.0	243.0
в 1957-1970 гг.	123785.0	49264.0	12931.0	7364.0	50145.0	2206.0	662.0	1213.0
в 1971-1995 гг.	366472.0	119093.0	119061.0	11531.0	100087.0	2799.0	11354.0	2547.0
после 1995 г.	12180.0	5409.0	3155.0	701.0	2356.0	398.0	88.0	73.0
не указавшие период постройки дома	3528.0	1107.0	664.0	168.0	1120.0	60.0	40.0	369.0
Проживающие в коммунальных квартирах	5201.0	1826.0	245.0	168.0	2664.0	220.0	41.0	37.0
в том числе построенных:								
в 1920 г. и ранее	6.0	-	-	-	6.0	-	-	-
в 1921-1945 гг.	2103.0	389.0	-	82.0	1514.0	112.0	-	6.0
в 1946-1956 гг.	519.0	116.0	7.0	31.0	338.0	21.0	-	6.0
в 1957-1970 гг.	939.0	410.0	10.0	31.0	427.0	38.0	15.0	8.0
в 1971-1995 гг.	1479.0	880.0	197.0	24.0	296.0	49.0	26.0	7.0
после 1995 г.	102.0	13.0	27.0	-	62.0	-	-	-
не указавшие период постройки дома	53.0	18.0	4.0	-	21.0	-	-	10.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	506291.0	166807.0	127725.0	16272.0	164095.0	12495.0	14714.0	4183.0
в том числе построенных:								
в 1920 г. и ранее	7418.0	1257.0	-	8.0	6039.0	59.0	7.0	48.0
в 1921-1945 гг.	23682.0	2523.0	15.0	451.0	19353.0	1044.0	149.0	147.0
в 1946-1956 гг.	43428.0	5286.0	72.0	2788.0	31520.0	2624.0	707.0	431.0
в 1957-1970 гг.	117219.0	47509.0	12762.0	5352.0	43766.0	4712.0	1997.0	1121.0
в 1971-1995 гг.	288980.0	103197.0	111127.0	6753.0	51291.0	3076.0	11604.0	1932.0
после 1995 г.	22239.0	6005.0	3122.0	781.0	11120.0	893.0	169.0	149.0
не указавшие период постройки дома	3325.0	1030.0	627.0	139.0	1006.0	87.0	81.0	355.0
Проживающие в индивидуальных домах	91247.0	3645.0	389.0	1547.0	73258.0	7914.0	3500.0	994.0
в том числе построенных:								
в 1920 г. и ранее	2287.0	29.0	-	4.0	2219.0	23.0	2.0	10.0
в 1921-1945 гг.	6230.0	46.0	-	47.0	5555.0	399.0	129.0	54.0
в 1946-1956 гг.	22583.0	664.0	9.0	454.0	18866.0	1725.0	617.0	248.0
в 1957-1970 гг.	27589.0	706.0	12.0	474.0	21019.0	3358.0	1694.0	326.0
в 1971-1995 гг.	20276.0	1206.0	330.0	402.0	15457.0	1781.0	909.0	191.0
после 1995 г.	11793.0	985.0	38.0	160.0	9835.0	591.0	95.0	89.0
не указавшие период постройки дома	489.0	9.0	-	6.0	307.0	37.0	54.0	76.0
Проживающие в отдельных квартирах	410392.0	161395.0	127106.0	14584.0	88612.0	4367.0	11173.0	3155.0
в том числе построенных:								
в 1920 г. и ранее	5128.0	1228.0	-	4.0	3817.0	36.0	5.0	38.0
в 1921-1945 гг.	15375.0	2088.0	15.0	322.0	12310.0	533.0	20.0	87.0
в 1946-1956 гг.	20394.0	4513.0	56.0	2303.0	12377.0	878.0	90.0	177.0
