3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
в том числе домохозяйства:								
с 1 ребенком	3073.0	6813.0	2480.0	525.0	62.0	6.0	-	2.21705174097
с 2 детьми	567.0	1785.0		499.0	53.0	14.0	1.0	3.14814814815
с 3 и более детьми	112.0	529.0			64.0	26.0	22.0	4.72321428571
в них детей		374.0			192.0	92.0	90.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	21114.0	68555.0		16654.0	3888.0	441.0	131.0	3.24689779293
из них домохозяйства, имеющие детей моложе 18 лет	15854.0	52116.0		12022.0	3288.0	416.0	128.0	3.28724612085
в том числе домохозяйства:								
с 1 ребенком	13216.0	40930.0		12022.0	1112.0	76.0	6.0	3.09700363196
с 2 детьми	2291.0	9295.0			2176.0	100.0	15.0	4.05718027062
с 3 и более детьми	347.0	1891.0				240.0	107.0	5.44956772334
в них детей		1158.0				720.0	438.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	22908.0	88711.0		9660.0	8824.0	3005.0	1419.0	3.87248995984
из них домохозяйства, имеющие детей моложе 18 лет	16651.0	67645.0		5302.0	7253.0	2728.0	1368.0	4.06251876764
в том числе домохозяйства:								
с 1 ребенком	11461.0	42259.0		5114.0	5097.0	1033.0	217.0	3.6872000698
с 2 детьми	4015.0	18126.0		188.0	2105.0	1308.0	414.0	4.51457036115
с 3 и более детьми	1175.0	7260.0			51.0	387.0	737.0	6.17872340426
в них детей		3968.0			153.0	1175.0	2640.0	
Прочие домохозяйства	43588.0	100081.0	34813.0	6152.0	1832.0	476.0	315.0	2.29606772506
из них домохозяйства, имеющие детей моложе 18 лет	7102.0	18906.0	4196.0	1801.0	754.0	211.0	140.0	2.66206702337
в том числе домохозяйства:								
с 1 ребенком	5404.0	12932.0	3837.0	1157.0	322.0	59.0	29.0	2.39304219097
с 2 детьми	1146.0	3490.0	359.0	496.0	207.0	60.0	24.0	3.04537521815
с 3 и более детьми	552.0	2484.0		148.0	225.0	92.0	87.0	4.5
в них детей		2047.0		444.0	765.0	364.0	474.0	
Омская область								
Все домохозяйства	596013.0	1898008.0	205318.0	185517.0	134956.0	45644.0	24578.0	3.18450772047
из них домохозяйства, имеющие детей моложе 18 лет	318555.0	1205113.0	29064.0	114535.0	110009.0	41334.0	23613.0	3.78306100987
в том числе домохозяйства:								
с 1 ребенком	204843.0	684514.0	28708.0	106123.0	47845.0	16973.0	5194.0	3.34165189926
с 2 детьми	92666.0	396498.0	356.0	8284.0	60860.0	14731.0	8435.0	4.27878617832
с 3 и более детьми	21046.0	124101.0		128.0	1304.0	9630.0	9984.0	5.89665494631
в них детей		71306.0		384.0	3969.0	29205.0	37748.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	426986.0	1402139.0	116655.0	143125.0	118156.0	35116.0	13934.0	3.28380555803
из них домохозяйства, имеющие детей моложе 18 лет	231005.0	904068.0		86855.0	98287.0	32355.0	13508.0	3.91362957512
в том числе домохозяйства:								
с 1 ребенком	141376.0	493577.0		86855.0	42035.0	10486.0	2000.0	3.49123613626
с 2 детьми	73600.0	316845.0			56252.0	13353.0	3995.0	4.30495923913
с 3 и более детьми	16029.0	93646.0				8516.0	7513.0	5.84228585688
в них детей		53987.0				25548.0	28439.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	16910.0	94845.0			2365.0	6538.0	8007.0	5.60881135423
из них домохозяйства, имеющие детей моложе 18 лет	13119.0	77854.0				5439.0	7680.0	5.93444622304
в том числе домохозяйства:								
с 1 ребенком	8219.0	44457.0				5439.0	2780.0	5.40905219613
с 2 детьми	3809.0	24477.0					3809.0	6.42609608821
с 3 и более детьми	1091.0	8920.0					1091.0	8.17598533456
в них детей		3708.0					3708.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	468.0	4067.0					468.0	8.69017094017
из них домохозяйства, имеющие детей моложе 18 лет	416.0	3723.0					416.0	8.94951923077
в том числе домохозяйства:								
с 1 ребенком	132.0	974.0					132.0	7.37878787879
с 2 детьми	142.0	1193.0					142.0	8.4014084507
с 3 и более детьми	142.0	1556.0					142.0	10.9577464789
в них детей		554.0					554.0	
Домохозяйства, состоящие из матери с детьми	78274.0	182233.0	57454.0	17259.0	2701.0	580.0	280.0	2.32814216726
из них домохозяйства, имеющие детей моложе 18 лет	39445.0	98791.0	23893.0	12433.0	2317.0	534.0	268.0	2.50452528838
в том числе домохозяйства:								
с 1 ребенком	29790.0	66241.0	23893.0	5236.0	583.0	57.0	21.0	2.22359852299
с 2 детьми	8101.0	25406.0		7197.0	749.0	126.0	29.0	3.13615603012
с 3 и более детьми	1554.0	7144.0			985.0	351.0	218.0	4.59716859717
в них детей		5190.0			2955.0	1261.0	974.0	
Домохозяйства, состоящие из отца с детьми	7053.0	16244.0	5363.0	1375.0	223.0	62.0	30.0	2.3031334184
из них домохозяйства, имеющие детей моложе 18 лет	2622.0	6650.0	1579.0	794.0	173.0	49.0	27.0	2.53623188406
в том числе домохозяйства:								
с 1 ребенком	2023.0	4575.0	1579.0	372.0	62.0	7.0	3.0	2.26149283243
с 2 детьми	487.0	1557.0		422.0	43.0	16.0	6.0	3.19712525667
с 3 и более детьми	112.0	518.0			68.0	26.0	18.0	4.625
в них детей		366.0			204.0	91.0	71.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	15233.0	50111.0		11551.0	3102.0	479.0	101.0	3.28963434648
из них домохозяйства, имеющие детей моложе 18 лет	11827.0	39431.0		8588.0	2678.0	460.0	101.0	3.3339815676
в том числе домохозяйства:								
с 1 ребенком	9548.0	29709.0		8588.0	866.0	84.0	10.0	3.11154168412
с 2 детьми	1953.0	7967.0			1812.0	127.0	14.0	4.07936507937
с 3 и более детьми	326.0	1755.0				249.0	77.0	5.38343558282
в них детей		1053.0				747.0	306.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	18254.0	72311.0		7220.0	6990.0	2534.0	1510.0	3.96137832804
из них домохозяйства, имеющие детей моложе 18 лет	13806.0	57280.0		4131.0	5894.0	2323.0	1458.0	4.14892075909
в том числе домохозяйства:								
с 1 ребенком	9067.0	33663.0		3966.0	4027.0	851.0	223.0	3.71269438624
с 2 детьми	3462.0	15706.0		165.0	1816.0	1065.0	416.0	4.53668399769
с 3 и более детьми	1277.0	7911.0			51.0	407.0	819.0	6.19498825372
в них детей		4404.0			153.0	1238.0	3013.0	
Прочие домохозяйства	32835.0	76058.0	25846.0	4987.0	1419.0	335.0	248.0	2.31636972743
из них домохозяйства, имеющие детей моложе 18 лет	6315.0	17316.0	3592.0	1734.0	660.0	174.0	155.0	2.74204275534
в том числе домохозяйства:								
с 1 ребенком	4688.0	11318.0	3236.0	1106.0	272.0	49.0	25.0	2.41424914676
с 2 детьми	1112.0	3347.0	356.0	500.0	188.0	44.0	24.0	3.00989208633
с 3 и более детьми	515.0	2651.0		128.0	200.0	81.0	106.0	5.14757281553
в них детей		2044.0		384.0	657.0	320.0	683.0	
Томская область								
Все домохозяйства	301218.0	954790.0	105967.0	94324.0	66619.0	21224.0	13084.0	3.16976409112
из них домохозяйства, имеющие детей моложе 18 лет	157644.0	585512.0	16304.0	58974.0	53125.0	18567.0	10674.0	3.71414072213
в том числе домохозяйства:								
с 1 ребенком	103751.0	342650.0	15983.0	54409.0	22996.0	7728.0	2635.0	3.30261876994
с 2 детьми	44189.0	187475.0	321.0	4359.0	29136.0	6513.0	3860.0	4.24257168074
с 3 и более детьми	9704.0	55387.0		206.0	993.0	4326.0	4179.0	5.70764633141
в них детей		33263.0		618.0	3223.0	13318.0	16104.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	207244.0	669855.0	58734.0	71362.0	56016.0	15341.0	5791.0	3.23220455116
из них домохозяйства, имеющие детей моложе 18 лет	110678.0	426255.0		44401.0	46585.0	14141.0	5551.0	3.85130739623
в том числе домохозяйства:								
с 1 ребенком	69944.0	242007.0		44401.0	19932.0	4753.0	858.0	3.46001086584
с 2 детьми	34199.0	146580.0			26653.0	5738.0	1808.0	4.28609023656
с 3 и более детьми	6535.0	37668.0				3650.0	2885.0	5.76403978577
в них детей		21648.0				10950.0	10698.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	7586.0	41889.0			1186.0	2987.0	3413.0	5.52188241497
из них домохозяйства, имеющие детей моложе 18 лет	5700.0	33474.0				2437.0	3263.0	5.87263157895
в том числе домохозяйства:								
с 1 ребенком	3714.0	20061.0				2437.0	1277.0	5.401453958
с 2 детьми	1583.0	10141.0					1583.0	6.40619077701
с 3 и более детьми	403.0	3272.0					403.0	8.11910669975
в них детей		1359.0					1359.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	185.0	1506.0					185.0	8.14054054054
из них домохозяйства, имеющие детей моложе 18 лет	159.0	1339.0					159.0	8.4213836478
в том числе домохозяйства:								
с 1 ребенком	64.0	485.0					64.0	7.578125
с 2 детьми	56.0	468.0					56.0	8.35714285714
с 3 и более детьми	39.0	386.0					39.0	9.89743589744
в них детей		127.0					127.0	
Домохозяйства, состоящие из матери с детьми	39559.0	91747.0	29148.0	8789.0	1232.0	254.0	136.0	2.31924467251
из них домохозяйства, имеющие детей моложе 18 лет	21246.0	52653.0	13146.0	6622.0	1100.0	243.0	135.0	2.4782547303
в том числе домохозяйства:								
с 1 ребенком	16332.0	36185.0	13146.0	2880.0	283.0	18.0	5.0	2.21558902768
с 2 детьми	4184.0	13108.0		3742.0	351.0	71.0	20.0	3.13288718929
с 3 и более детьми	730.0	3360.0			466.0	154.0	110.0	4.60273972603
в них детей		2460.0			1398.0	557.0	505.0	
Домохозяйства, состоящие из отца с детьми	4102.0	9277.0	3231.0	721.0	110.0	28.0	12.0	2.26157971721
из них домохозяйства, имеющие детей моложе 18 лет	1603.0	3948.0	1038.0	437.0	91.0	25.0	12.0	2.46288209607
в том числе домохозяйства:								
с 1 ребенком	1289.0	2866.0	1038.0	217.0	32.0	1.0	1.0	2.22342901474
с 2 детьми	260.0	832.0		220.0	30.0	8.0	2.0	3.2
с 3 и более детьми	54.0	250.0			29.0	16.0	9.0	4.62962962963
в них детей		179.0			87.0	53.0	39.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	6645.0	21728.0		5123.0	1305.0	174.0	43.0	3.26982693755
из них домохозяйства, имеющие детей моложе 18 лет	5279.0	17437.0		3934.0	1143.0	160.0	42.0	3.303087706
в том числе домохозяйства:								
с 1 ребенком	4311.0	13340.0		3934.0	350.0	25.0	2.0	3.09440964973
с 2 детьми	843.0	3427.0			793.0	45.0	5.0	4.06524317912
с 3 и более детьми	125.0	670.0				90.0	35.0	5.36
в них детей		407.0				270.0	137.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	9559.0	37542.0		3940.0	3595.0	1290.0	734.0	3.92739826342
из них домохозяйства, имеющие детей моложе 18 лет	7235.0	29669.0		2338.0	3001.0	1198.0	698.0	4.1007601935
в том числе домохозяйства:								
с 1 ребенком	4696.0	17245.0		2250.0	1941.0	384.0	121.0	3.67227427598
с 2 детьми	1940.0	8816.0		88.0	1025.0	596.0	231.0	4.54432989691
с 3 и более детьми	599.0	3608.0			35.0	218.0	346.0	6.02337228715
в них детей		2016.0			105.0	661.0	1250.0	
Прочие домохозяйства	26338.0	81246.0	14854.0	4389.0	3175.0	1150.0	2770.0	3.08474447566
из них домохозяйства, имеющие детей моложе 18 лет	5744.0	20737.0	2120.0	1242.0	1205.0	363.0	814.0	3.61020194986
в том числе домохозяйства:								
с 1 ребенком	3401.0	10461.0	1799.0	727.0	458.0	110.0	307.0	3.07586004116
с 2 детьми	1124.0	4103.0	321.0	309.0	284.0	55.0	155.0	3.65035587189
с 3 и более детьми	1219.0	6173.0		206.0	463.0	198.0	352.0	5.06398687449
в них детей		5067.0		618.0	1633.0	827.0	1989.0	
Читинская область								
Все домохозяйства	322221.0	1049665.0	105756.0	99736.0	72601.0	27537.0	16591.0	3.25759339087
из них домохозяйства, имеющие детей моложе 18 лет	191249.0	731782.0	16743.0	68988.0	63440.0	25924.0	16154.0	3.82633111807
в том числе домохозяйства:								
с 1 ребенком	111240.0	361691.0	16444.0	62499.0	22821.0	7379.0	2097.0	3.25144732111
с 2 детьми	59912.0	253356.0	299.0	6296.0	39167.0	9366.0	4784.0	4.22880224329
с 3 и более детьми	20097.0	116735.0		193.0	1452.0	9179.0	9273.0	5.80857839479
в них детей		68438.0		579.0	4447.0	27926.0	35486.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	232220.0	779689.0	61547.0	76141.0	61877.0	21825.0	10830.0	3.3575445698
из них домохозяйства, имеющие детей моложе 18 лет	138641.0	551276.0		51961.0	55155.0	20869.0	10656.0	3.97628407181
в том числе домохозяйства:								
с 1 ребенком	77302.0	264226.0		51961.0	19583.0	4761.0	997.0	3.41810043725
с 2 детьми	46375.0	199601.0			35572.0	8201.0	2602.0	4.30406469003
с 3 и более детьми	14964.0	87449.0				7907.0	7057.0	5.84395883454
в них детей		50543.0				23721.0	26822.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	6854.0	39519.0			956.0	2366.0	3532.0	5.76583017216
из них домохозяйства, имеющие детей моложе 18 лет	5400.0	33088.0				1970.0	3430.0	6.12740740741
в том числе домохозяйства:								
с 1 ребенком	2880.0	15496.0				1970.0	910.0	5.38055555556
с 2 детьми	1735.0	11132.0					1735.0	6.41613832853
с 3 и более детьми	785.0	6460.0					785.0	8.22929936306
в них детей		2772.0					2772.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	143.0	1274.0					143.0	8.90909090909
из них домохозяйства, имеющие детей моложе 18 лет	130.0	1190.0					130.0	9.15384615385
в том числе домохозяйства:								
с 1 ребенком	35.0	261.0					35.0	7.45714285714
с 2 детьми	41.0	347.0					41.0	8.46341463415
с 3 и более детьми	54.0	582.0					54.0	10.7777777778
в них детей		213.0					213.0	
Домохозяйства, состоящие из матери с детьми	41580.0	101405.0	28012.0	10285.0	2357.0	613.0	313.0	2.43879268879
из них домохозяйства, имеющие детей моложе 18 лет	24490.0	64562.0	13278.0	8187.0	2138.0	580.0	307.0	2.63625969784
в том числе домохозяйства:								
с 1 ребенком	16678.0	37311.0	13278.0	2909.0	438.0	45.0	8.0	2.23713874565
с 2 детьми	6074.0	19198.0		5278.0	650.0	116.0	30.0	3.1606848864
с 3 и более детьми	1738.0	8053.0			1050.0	419.0	269.0	4.6334867664
в них детей		5881.0			3150.0	1515.0	1216.0	
Домохозяйства, состоящие из отца с детьми	4128.0	9843.0	2991.0	829.0	218.0	57.0	33.0	2.38444767442
из них домохозяйства, имеющие детей моложе 18 лет	1802.0	4829.0	976.0	564.0	177.0	52.0	33.0	2.67980022198
в том числе домохозяйства:								
с 1 ребенком	1290.0	2962.0	976.0	255.0	52.0	5.0	2.0	2.29612403101
с 2 детьми	382.0	1244.0		309.0	56.0	11.0	6.0	3.25654450262
с 3 и более детьми	130.0	623.0			69.0	36.0	25.0	4.79230769231
в них детей		450.0			207.0	128.0	115.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	7151.0	24049.0		5131.0	1577.0	355.0	88.0	3.36302615019
из них домохозяйства, имеющие детей моложе 18 лет	6085.0	20722.0		4190.0	1456.0	351.0	88.0	3.40542317173
в том числе домохозяйства:								
с 1 ребенком	4598.0	14255.0		4190.0	362.0	40.0	6.0	3.10026098304
с 2 детьми	1189.0	4859.0			1094.0	87.0	8.0	4.086627418
с 3 и более детьми	298.0	1608.0				224.0	74.0	5.39597315436
в них детей		969.0				672.0	297.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	11495.0	47775.0		3866.0	4296.0	1970.0	1363.0	4.15615484993
из них домохозяйства, имеющие детей моложе 18 лет	9530.0	41053.0		2552.0	3771.0	1880.0	1327.0	4.30776495278
в том числе домохозяйства:								
с 1 ребенком	4982.0	18374.0		2308.0	2072.0	493.0	109.0	3.68807707748
с 2 детьми	3068.0	13711.0		244.0	1587.0	900.0	337.0	4.46903520209
с 3 и более детьми	1480.0	8968.0			112.0	487.0	881.0	6.05945945946
в них детей		5152.0			336.0	1490.0	3326.0	
Прочие домохозяйства	18650.0	46111.0	13206.0	3484.0	1320.0	351.0	289.0	2.47243967828
из них домохозяйства, имеющие детей моложе 18 лет	5171.0	15062.0	2489.0	1534.0	743.0	222.0	183.0	2.91278282731
в том числе домохозяйства:								
с 1 ребенком	3475.0	8806.0	2190.0	876.0	314.0	65.0	30.0	2.53410071942
с 2 детьми	1048.0	3264.0	299.0	465.0	208.0	51.0	25.0	3.11450381679
с 3 и более детьми	648.0	2992.0		193.0	221.0	106.0	128.0	4.61728395062
в них детей		2458.0		579.0	754.0	400.0	725.0	
Агинский Бурятский автономный округ								
Все домохозяйства	18121.0	69365.0	3955.0	4501.0	4532.0	2797.0	2336.0	3.82787925611
из них домохозяйства, имеющие детей моложе 18 лет	12926.0	56113.0	745.0	3152.0	4075.0	2661.0	2293.0	4.3410954665
в том числе домохозяйства:								
с 1 ребенком	5326.0	18187.0	733.0	2692.0	1173.0	502.0	226.0	3.41475779196
с 2 детьми	4587.0	20056.0	12.0	453.0	2722.0	844.0	556.0	4.37235666013
с 3 и более детьми	3013.0	17870.0		7.0	180.0	1315.0	1511.0	5.9309658148
в них детей		10300.0		21.0	543.0	3987.0	5749.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	13116.0	51706.0	2127.0	3225.0	3778.0	2341.0	1645.0	3.94220799024
из них домохозяйства, имеющие детей моложе 18 лет	9522.0	42457.0		2208.0	3438.0	2255.0	1621.0	4.45883217811
в том числе домохозяйства:								
с 1 ребенком	3649.0	13003.0		2208.0	971.0	355.0	115.0	3.56344203891
с 2 детьми	3515.0	15523.0			2467.0	730.0	318.0	4.41621621622
с 3 и более детьми	2358.0	13931.0				1170.0	1188.0	5.90797285835
в них детей		8024.0				3510.0	4514.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	558.0	3609.0			35.0	124.0	399.0	6.46774193548
из них домохозяйства, имеющие детей моложе 18 лет	490.0	3293.0				99.0	391.0	6.72040816327
в том числе домохозяйства:								
с 1 ребенком	189.0	1071.0				99.0	90.0	5.66666666667
с 2 детьми	166.0	1097.0					166.0	6.60843373494
с 3 и более детьми	135.0	1125.0					135.0	8.33333333333
в них детей		480.0					480.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	19.0	192.0					19.0	10.1052631579
из них домохозяйства, имеющие детей моложе 18 лет	18.0	185.0					18.0	10.2777777778
в том числе домохозяйства:								
с 1 ребенком	2.0	17.0					2.0	8.5
с 2 детьми	5.0	43.0					5.0	8.6
с 3 и более детьми	11.0	125.0					11.0	11.3636363636
в них детей		48.0					48.0	
Домохозяйства, состоящие из матери с детьми	2071.0	5560.0	1142.0	605.0	214.0	66.0	44.0	2.68469338484
из них домохозяйства, имеющие детей моложе 18 лет	1305.0	3814.0	541.0	473.0	192.0	58.0	41.0	2.92260536398
в том числе домохозяйства:								
с 1 ребенком	685.0	1553.0	541.0	112.0	28.0	2.0	2.0	2.26715328467
с 2 детьми	415.0	1321.0		361.0	38.0	10.0	6.0	3.18313253012
с 3 и более детьми	205.0	940.0			126.0	46.0	33.0	4.58536585366
в них детей		696.0			378.0	168.0	150.0	
Домохозяйства, состоящие из отца с детьми	216.0	567.0	133.0	49.0	21.0	10.0	3.0	2.625
из них домохозяйства, имеющие детей моложе 18 лет	98.0	294.0	42.0	30.0	15.0	8.0	3.0	3.0
в том числе домохозяйства:								
с 1 ребенком	55.0	128.0	42.0	10.0	2.0	-	1.0	2.32727272727
с 2 детьми	27.0	90.0		20.0	5.0	2.0	-	3.33333333333
с 3 и более детьми	16.0	76.0			8.0	6.0	2.0	4.75
в них детей		55.0			24.0	22.0	9.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	393.0	1383.0		243.0	103.0	42.0	5.0	3.51908396947
из них домохозяйства, имеющие детей моложе 18 лет	345.0	1235.0		199.0	99.0	42.0	5.0	3.57971014493
в том числе домохозяйства:								
с 1 ребенком	222.0	695.0		199.0	19.0	2.0	2.0	3.13063063063
с 2 детьми	89.0	365.0			80.0	9.0	-	4.10112359551
с 3 и более детьми	34.0	175.0				31.0	3.0	5.14705882353
в них детей		106.0				93.0	13.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	958.0	4368.0		230.0	319.0	202.0	207.0	4.55949895616
из них домохозяйства, имеющие детей моложе 18 лет	856.0	4013.0		168.0	288.0	193.0	207.0	4.68808411215
в том числе домохозяйства:								
с 1 ребенком	317.0	1218.0		124.0	137.0	43.0	13.0	3.84227129338
с 2 детьми	317.0	1452.0		44.0	123.0	90.0	60.0	4.58044164038
с 3 и более детьми	222.0	1343.0			28.0	60.0	134.0	6.04954954955
в них детей		782.0			84.0	187.0	511.0	
Прочие домохозяйства	790.0	1980.0	553.0	149.0	62.0	12.0	14.0	2.50632911392
из них домохозяйства, имеющие детей моложе 18 лет	292.0	822.0	162.0	74.0	43.0	6.0	7.0	2.81506849315
в том числе домохозяйства:								
с 1 ребенком	207.0	502.0	150.0	39.0	16.0	1.0	1.0	2.42512077295
с 2 детьми	53.0	165.0	12.0	28.0	9.0	3.0	1.0	3.11320754717
с 3 и более детьми	32.0	155.0		7.0	18.0	2.0	5.0	4.84375
в них детей		109.0		21.0	57.0	7.0	24.0	
Дальневосточный федеральный округ								
Все домохозяйства	1911871.0	5950396.0	692362.0	629027.0	394312.0	125851.0	70319.0	3.11234178457
из них домохозяйства, имеющие детей моложе 18 лет	1052664.0	3842056.0	121023.0	418626.0	330594.0	115698.0	66723.0	3.6498407849
в том числе домохозяйства:								
с 1 ребенком	694082.0	2222169.0	119369.0	383841.0	137303.0	42053.0	11516.0	3.20159433612
с 2 детьми	284575.0	1192144.0	1654.0	33898.0	187177.0	40576.0	21270.0	4.18920846877
с 3 и более детьми	74007.0	427743.0		887.0	6114.0	33069.0	33937.0	5.77976407637
в них детей		251486.0		2661.0	18840.0	100716.0	129269.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	1326883.0	4290431.0	373502.0	477983.0	335582.0	96249.0	43567.0	3.2334659499
из них домохозяйства, имеющие детей моложе 18 лет	734871.0	2823903.0		314814.0	287352.0	90230.0	42475.0	3.84271933441
в том числе домохозяйства:								
с 1 ребенком	464553.0	1581221.0		314814.0	118000.0	26815.0	4924.0	3.40374725812
с 2 детьми	215876.0	924642.0			169352.0	35110.0	11414.0	4.28320887917
с 3 и более детьми	54442.0	318040.0				28305.0	26137.0	5.8418133059
в них детей		184291.0				84915.0	99376.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	35611.0	199554.0			5570.0	13672.0	16369.0	5.60371795232
из них домохозяйства, имеющие детей моложе 18 лет	27319.0	162994.0				11498.0	15821.0	5.96632380395
в том числе домохозяйства:								
с 1 ребенком	16841.0	90635.0				11498.0	5343.0	5.38180630604
с 2 детьми	7699.0	49503.0					7699.0	6.42979607741
с 3 и более детьми	2779.0	22856.0					2779.0	8.22454120187
в них детей		9590.0					9590.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	719.0	6112.0					719.0	8.50069541029
из них домохозяйства, имеющие детей моложе 18 лет	634.0	5561.0					634.0	8.77129337539
в том числе домохозяйства:								
с 1 ребенком	208.0	1554.0					208.0	7.47115384615
с 2 детьми	217.0	1815.0					217.0	8.36405529954
с 3 и более детьми	209.0	2192.0					209.0	10.4880382775
в них детей		758.0					758.0	
Домохозяйства, состоящие из матери с детьми	279151.0	652542.0	202830.0	62845.0	10374.0	2204.0	898.0	2.33759506504
из них домохозяйства, имеющие детей моложе 18 лет	158401.0	393411.0	98255.0	47944.0	9252.0	2077.0	873.0	2.48363962349
в том числе домохозяйства:								
с 1 ребенком	119640.0	263351.0	98255.0	19005.0	2125.0	210.0	45.0	2.20119525242
с 2 детьми	32216.0	100544.0		28939.0	2757.0	441.0	79.0	3.12093369754
с 3 и более детьми	6545.0	29516.0			4370.0	1426.0	749.0	4.50970206264
в них детей		21702.0			13110.0	5162.0	3430.0	
Домохозяйства, состоящие из отца с детьми	30903.0	70572.0	23899.0	5723.0	939.0	240.0	102.0	2.28366178041
из них домохозяйства, имеющие детей моложе 18 лет	13188.0	32576.0	8500.0	3618.0	758.0	216.0	96.0	2.47012435547
в том числе домохозяйства:								
с 1 ребенком	10423.0	23092.0	8500.0	1647.0	238.0	31.0	7.0	2.21548498513
с 2 детьми	2268.0	7176.0		1971.0	238.0	48.0	11.0	3.16402116402
с 3 и более детьми	497.0	2308.0			282.0	137.0	78.0	4.64386317907
в них детей		1646.0			846.0	489.0	311.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	42592.0	139764.0		32634.0	8402.0	1211.0	345.0	3.28146130729
из них домохозяйства, имеющие детей моложе 18 лет	35522.0	117672.0		26411.0	7586.0	1183.0	342.0	3.31265131468
в том числе домохозяйства:								
с 1 ребенком	28564.0	88040.0		26411.0	1980.0	152.0	21.0	3.08220137236
с 2 детьми	5922.0	24053.0			5606.0	270.0	46.0	4.06163458291
с 3 и более детьми	1036.0	5579.0				761.0	275.0	5.38513513514
в них детей		3400.0				2283.0	1117.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	70268.0	277055.0		29142.0	25533.0	9895.0	5698.0	3.94283315307
из них домохозяйства, имеющие детей моложе 18 лет	55012.0	225746.0		18321.0	21951.0	9225.0	5515.0	4.10357740129
в том числе домохозяйства:								
с 1 ребенком	34511.0	125483.0		17381.0	13424.0	2947.0	759.0	3.63602909217
с 2 детьми	15135.0	67751.0		940.0	8192.0	4397.0	1606.0	4.4764453254
с 3 и более детьми	5366.0	32512.0			335.0	1881.0	3150.0	6.05888930302
в них детей		18318.0			1005.0	5717.0	11596.0	
Прочие домохозяйства	125744.0	314366.0	92131.0	20700.0	7912.0	2380.0	2621.0	2.50004771599
из них домохозяйства, имеющие детей моложе 18 лет	27717.0	80193.0	14268.0	7518.0	3695.0	1269.0	967.0	2.89327849334
в том числе домохозяйства:								
с 1 ребенком	19342.0	48793.0	12614.0	4583.0	1536.0	400.0	209.0	2.5226450212
с 2 детьми	5242.0	16660.0	1654.0	2048.0	1032.0	310.0	198.0	3.1781762686
с 3 и более детьми	3133.0	14740.0		887.0	1127.0	559.0	560.0	4.70475582509
в них детей		11781.0		2661.0	3879.0	2150.0	3091.0	
Республика Саха (Якутия)								
