11. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Численность населения соответствующей национальности в возрасте 15 лет и более	в том числе имеют образование								Не имеют начального общего образования	из них неграмотные 	Не указавшие уровень образования
Кеты	842.0	1.0	17.0	11.0	137.0	72.0	209.0	260.0	107.0	28.0	21.0	-
Нганасаны	538.0	-	13.0	3.0	70.0	42.0	168.0	171.0	59.0	12.0	9.0	-
Селькупы	270.0	-	8.0	2.0	28.0	22.0	48.0	99.0	59.0	4.0	3.0	-
Энцы	155.0	-	11.0	1.0	24.0	6.0	35.0	55.0	22.0	1.0	1.0	-
Чулымцы	129.0	-	1.0	1.0	11.0	36.0	9.0	25.0	40.0	6.0	2.0	-
Городское население	1866649.0	4952.0	311251.0	66731.0	553397.0	204754.0	350815.0	245186.0	105472.0	12139.0	6053.0	11952.0
Русские	1657539.0	4435.0	281124.0	61465.0	496255.0	179795.0	308933.0	222583.0	92207.0	9942.0	4842.0	800.0
Украинцы	53221.0	179.0	9999.0	1394.0	18097.0	6859.0	8932.0	4678.0	2758.0	305.0	114.0	20.0
Татары	29334.0	44.0	3781.0	759.0	8587.0	3627.0	5771.0	4100.0	2353.0	306.0	185.0	6.0
Немцы	18738.0	35.0	2505.0	648.0	5296.0	2253.0	3586.0	2342.0	1766.0	301.0	168.0	6.0
Азербайджанцы	11811.0	19.0	1276.0	193.0	2164.0	1486.0	4819.0	1414.0	385.0	37.0	12.0	18.0
Белорусы	13911.0	38.0	2306.0	311.0	4315.0	1720.0	2178.0	1557.0	1357.0	122.0	60.0	7.0
Чуваши	9595.0	11.0	895.0	159.0	2967.0	1605.0	1671.0	1308.0	871.0	99.0	47.0	9.0
Долганы	779.0	2.0	89.0	20.0	167.0	104.0	229.0	138.0	25.0	5.0	4.0	-
Эвенки	1008.0	3.0	167.0	29.0	242.0	77.0	236.0	207.0	42.0	5.0	5.0	-
Хакасы	2754.0	10.0	493.0	115.0	767.0	366.0	575.0	300.0	107.0	21.0	13.0	-
Ненцы	362.0	1.0	37.0	7.0	73.0	40.0	104.0	92.0	6.0	2.0	2.0	-
Кеты	163.0	1.0	5.0	4.0	38.0	18.0	48.0	33.0	12.0	4.0	4.0	-
Нганасаны	105.0	-	4.0	1.0	20.0	20.0	33.0	20.0	4.0	3.0	-	-
Селькупы	52.0	-	5.0	2.0	19.0	4.0	10.0	8.0	2.0	2.0	2.0	-
Энцы	32.0	-	9.0	1.0	5.0	5.0	8.0	3.0	-	1.0	1.0	-
Чулымцы	10.0	-	-	1.0	4.0	1.0	4.0	-	-	-	-	-
Сельское население	573538.0	275.0	34936.0	5999.0	118988.0	93971.0	95961.0	121851.0	88739.0	12735.0	8033.0	83.0
Русские	499285.0	237.0	30870.0	5321.0	105049.0	82439.0	83302.0	107160.0	74680.0	10218.0	6388.0	9.0
Украинцы	10777.0	10.0	1037.0	141.0	2750.0	1896.0	1734.0	1580.0	1447.0	182.0	97.0	-
Татары	9694.0	2.0	481.0	77.0	1813.0	1487.0	1571.0	2119.0	1831.0	313.0	241.0	-
Немцы	14686.0	9.0	696.0	118.0	2833.0	2272.0	2307.0	2464.0	3291.0	696.0	459.0	-
Азербайджанцы	1206.0	-	92.0	15.0	178.0	199.0	467.0	199.0	47.0	9.0	4.0	-
Белорусы	3459.0	2.0	216.0	40.0	727.0	603.0	441.0	546.0	771.0	113.0	69.0	-
Чуваши	6369.0	-	234.0	27.0	981.0	1281.0	843.0	1377.0	1445.0	181.0	104.0	-
Долганы	3178.0	1.0	107.0	27.0	543.0	295.0	788.0	868.0	473.0	76.0	62.0	-
Эвенки	2142.0	-	83.0	28.0	320.0	118.0	497.0	743.0	311.0	42.0	31.0	-
Хакасы	1193.0	3.0	87.0	9.0	260.0	213.0	211.0	243.0	141.0	26.0	17.0	-
Ненцы	1633.0	-	29.0	6.0	113.0	63.0	241.0	709.0	409.0	63.0	53.0	-
Кеты	679.0	-	12.0	7.0	99.0	54.0	161.0	227.0	95.0	24.0	17.0	-
Нганасаны	433.0	-	9.0	2.0	50.0	22.0	135.0	151.0	55.0	9.0	9.0	-
Селькупы	218.0	-	3.0	-	9.0	18.0	38.0	91.0	57.0	2.0	1.0	-
Энцы	123.0	-	2.0	-	19.0	1.0	27.0	52.0	22.0	-	-	-
Чулымцы	119.0	-	1.0	-	7.0	35.0	5.0	25.0	40.0	6.0	2.0	-
Таймырский (Долгано-Ненецкий) автономный округ												
Все население	30432.0	48.0	3995.0	687.0	8450.0	3831.0	6357.0	4406.0	1534.0	220.0	168.0	904.0
Долганы	3712.0	2.0	181.0	37.0	647.0	367.0	944.0	964.0	491.0	79.0	65.0	-
Ненцы	1881.0	-	56.0	11.0	162.0	93.0	315.0	766.0	413.0	65.0	55.0	-
Русские	18316.0	37.0	2903.0	534.0	5912.0	2522.0	3846.0	2021.0	403.0	39.0	23.0	99.0
Украинцы	2151.0	3.0	414.0	53.0	797.0	345.0	383.0	129.0	22.0	5.0	2.0	-
Нганасаны	501.0	-	10.0	3.0	63.0	37.0	160.0	161.0	55.0	12.0	9.0	-
Энцы	142.0	-	11.0	-	23.0	3.0	30.0	53.0	22.0	-	-	-
Городское население	20990.0	44.0	3182.0	572.0	6506.0	2843.0	4329.0	2143.0	469.0	50.0	28.0	852.0
Долганы	567.0	1.0	75.0	11.0	111.0	77.0	161.0	106.0	21.0	4.0	4.0	-
Ненцы	273.0	-	30.0	6.0	55.0	32.0	79.0	65.0	4.0	2.0	2.0	-
Русские	15351.0	35.0	2396.0	467.0	5015.0	2092.0	3231.0	1641.0	349.0	27.0	15.0	98.0
Украинцы	1680.0	3.0	319.0	46.0	625.0	260.0	297.0	104.0	21.0	5.0	2.0	-
Нганасаны	76.0	-	2.0	1.0	14.0	15.0	25.0	13.0	3.0	3.0	-	-
Энцы	20.0	-	9.0	-	4.0	2.0	3.0	2.0	-	-	-	-
Сельское население	9442.0	4.0	813.0	115.0	1944.0	988.0	2028.0	2263.0	1065.0	170.0	140.0	52.0
Долганы	3145.0	1.0	106.0	26.0	536.0	290.0	783.0	858.0	470.0	75.0	61.0	-
Ненцы	1608.0	-	26.0	5.0	107.0	61.0	236.0	701.0	409.0	63.0	53.0	-
Русские	2965.0	2.0	507.0	67.0	897.0	430.0	615.0	380.0	54.0	12.0	8.0	1.0
Украинцы	471.0	-	95.0	7.0	172.0	85.0	86.0	25.0	1.0	-	-	-
Нганасаны	425.0	-	8.0	2.0	49.0	22.0	135.0	148.0	52.0	9.0	9.0	-
Энцы	122.0	-	2.0	-	19.0	1.0	27.0	51.0	22.0	-	-	-
Эвенкийский автономный округ												
Все население	13366.0	23.0	1508.0	326.0	4352.0	1480.0	2565.0	2272.0	751.0	89.0	57.0	-
Эвенки	2513.0	-	170.0	46.0	473.0	152.0	578.0	814.0	248.0	32.0	24.0	-
Русские	8562.0	13.0	1080.0	228.0	3130.0	1080.0	1493.0	1139.0	359.0	40.0	23.0	-
Украинцы	494.0	1.0	82.0	9.0	192.0	79.0	76.0	42.0	12.0	1.0	-	-
Городское население	4458.0	19.0	725.0	187.0	1700.0	386.0	796.0	551.0	88.0	6.0	1.0	-
Эвенки	704.0	-	100.0	21.0	184.0	56.0	158.0	161.0	23.0	1.0	1.0	-
Русские	2955.0	11.0	491.0	142.0	1211.0	250.0	495.0	310.0	42.0	3.0	-	-
Украинцы	190.0	1.0	36.0	8.0	88.0	16.0	21.0	16.0	4.0	-	-	-
Сельское население	8908.0	4.0	783.0	139.0	2652.0	1094.0	1769.0	1721.0	663.0	83.0	56.0	-
Эвенки	1809.0	-	70.0	25.0	289.0	96.0	420.0	653.0	225.0	31.0	23.0	-
Русские	5607.0	2.0	589.0	86.0	1919.0	830.0	998.0	829.0	317.0	37.0	23.0	-
Украинцы	304.0	-	46.0	1.0	104.0	63.0	55.0	26.0	8.0	1.0	-	-
Иркутская область												
Все население	2086746.0	5015.0	296104.0	62019.0	588106.0	245635.0	370544.0	331819.0	160229.0	18501.0	10398.0	8774.0
Русские	1865047.0	4482.0	263525.0	56195.0	533515.0	220650.0	328397.0	300996.0	139775.0	15196.0	8535.0	2316.0
Буряты	60375.0	127.0	11181.0	2228.0	12973.0	5663.0	14194.0	9001.0	4286.0	673.0	428.0	49.0
Украинцы	51393.0	135.0	7824.0	1073.0	15389.0	6429.0	7717.0	6544.0	5510.0	748.0	376.0	24.0
Татары	28074.0	51.0	3056.0	572.0	7669.0	3831.0	4601.0	4476.0	3278.0	517.0	325.0	23.0
Белорусы	13726.0	26.0	1892.0	232.0	3788.0	1733.0	1932.0	1985.0	1947.0	183.0	93.0	8.0
Немцы	5709.0	10.0	755.0	158.0	1607.0	709.0	993.0	829.0	569.0	77.0	47.0	2.0
Эвенки	1073.0	-	83.0	29.0	173.0	84.0	221.0	324.0	135.0	23.0	15.0	1.0
Тофалары	512.0	-	14.0	1.0	32.0	30.0	121.0	212.0	100.0	2.0	2.0	-
Городское население	1678103.0	4845.0	270101.0	57173.0	507654.0	176780.0	306258.0	235929.0	100623.0	10175.0	5012.0	8565.0
Русские	1531573.0	4357.0	246642.0	52814.0	468162.0	161719.0	278566.0	218884.0	89825.0	8422.0	4124.0	2182.0
Буряты	15744.0	91.0	3703.0	1051.0	3639.0	1021.0	4183.0	1463.0	508.0	81.0	30.0	4.0
Украинцы	42281.0	132.0	7259.0	986.0	13503.0	4847.0	6522.0	4954.0	3616.0	441.0	208.0	21.0
Татары	20992.0	51.0	2725.0	517.0	6278.0	2619.0	3567.0	2931.0	2035.0	250.0	143.0	19.0
Белорусы	11245.0	25.0	1756.0	215.0	3336.0	1305.0	1660.0	1509.0	1320.0	114.0	58.0	5.0
Немцы	4805.0	10.0	715.0	150.0	1422.0	563.0	848.0	637.0	407.0	51.0	33.0	2.0
Эвенки	296.0	-	53.0	14.0	78.0	33.0	58.0	41.0	14.0	4.0	3.0	1.0
Тофалары	34.0	-	4.0	1.0	9.0	5.0	9.0	5.0	1.0	-	-	-
Сельское население	408643.0	170.0	26003.0	4846.0	80452.0	68855.0	64286.0	95890.0	59606.0	8326.0	5386.0	209.0
Русские	333474.0	125.0	16883.0	3381.0	65353.0	58931.0	49831.0	82112.0	49950.0	6774.0	4411.0	134.0
Буряты	44631.0	36.0	7478.0	1177.0	9334.0	4642.0	10011.0	7538.0	3778.0	592.0	398.0	45.0
Украинцы	9112.0	3.0	565.0	87.0	1886.0	1582.0	1195.0	1590.0	1894.0	307.0	168.0	3.0
Татары	7082.0	-	331.0	55.0	1391.0	1212.0	1034.0	1545.0	1243.0	267.0	182.0	4.0
Белорусы	2481.0	1.0	136.0	17.0	452.0	428.0	272.0	476.0	627.0	69.0	35.0	3.0
Немцы	904.0	-	40.0	8.0	185.0	146.0	145.0	192.0	162.0	26.0	14.0	-
Эвенки	777.0	-	30.0	15.0	95.0	51.0	163.0	283.0	121.0	19.0	12.0	-
Тофалары	478.0	-	10.0	-	23.0	25.0	112.0	207.0	99.0	2.0	2.0	-
Усть-Ордынский Бурятский автономный округ												
Сельское население	98339.0	45.0	9666.0	1578.0	19758.0	14754.0	18198.0	20904.0	11483.0	1793.0	1197.0	160.0
Буряты	38171.0	32.0	6698.0	964.0	8038.0	3893.0	8655.0	6314.0	3070.0	464.0	311.0	43.0
Русские	53582.0	11.0	2605.0	549.0	10416.0	9699.0	8424.0	13285.0	7373.0	1118.0	762.0	102.0
Кемеровская область												
Все население	2423430.0	4190.0	292719.0	56507.0	702115.0	378783.0	380506.0	357757.0	221865.0	26675.0	14509.0	2313.0
Русские	2213886.0	3849.0	271343.0	52809.0	649593.0	346009.0	347693.0	327799.0	192610.0	21978.0	11839.0	203.0
Татары	46310.0	56.0	4217.0	841.0	12706.0	7544.0	6602.0	7142.0	6329.0	873.0	514.0	-
Украинцы	36316.0	93.0	5151.0	588.0	10047.0	5340.0	4216.0	4573.0	5616.0	692.0	350.0	-
Немцы	32298.0	40.0	3019.0	606.0	8712.0	4954.0	5084.0	4519.0	4697.0	666.0	385.0	1.0
Чуваши	14972.0	4.0	759.0	138.0	3276.0	3166.0	1854.0	2302.0	3038.0	435.0	244.0	-
Шорцы	9143.0	5.0	480.0	111.0	1777.0	2026.0	1606.0	1737.0	1169.0	231.0	140.0	1.0
Белорусы	10462.0	14.0	1193.0	128.0	2806.0	1542.0	1198.0	1488.0	1858.0	235.0	102.0	-
Мордва	7091.0	3.0	379.0	63.0	1442.0	1152.0	751.0	1020.0	1888.0	393.0	228.0	-
Телеуты	2011.0	-	139.0	29.0	424.0	354.0	409.0	372.0	218.0	66.0	44.0	-
Кумандинцы	268.0	-	25.0	3.0	64.0	61.0	26.0	29.0	47.0	13.0	7.0	-
Городское население	2110602.0	4007.0	276165.0	53381.0	638506.0	320557.0	331431.0	292759.0	172475.0	19034.0	9988.0	2287.0
Русские	1933718.0	3684.0	256437.0	49934.0	591813.0	293714.0	303593.0	268721.0	149993.0	15633.0	8090.0	196.0
Татары	41151.0	53.0	3956.0	789.0	11579.0	6647.0	5828.0	6165.0	5479.0	655.0	386.0	-
Украинцы	32361.0	88.0	4849.0	551.0	9184.0	4641.0	3708.0	4012.0	4779.0	549.0	268.0	-
Немцы	25788.0	39.0	2725.0	563.0	7457.0	3860.0	4079.0	3373.0	3294.0	397.0	218.0	1.0
Чуваши	10182.0	3.0	621.0	121.0	2563.0	2089.0	1305.0	1477.0	1763.0	240.0	126.0	-
Шорцы	6835.0	5.0	412.0	103.0	1608.0	1490.0	1232.0	1162.0	703.0	119.0	71.0	1.0
Белорусы	9124.0	14.0	1124.0	122.0	2564.0	1316.0	1062.0	1259.0	1479.0	184.0	79.0	-
Мордва	5601.0	3.0	332.0	57.0	1213.0	920.0	616.0	793.0	1387.0	280.0	164.0	-
Телеуты	842.0	-	69.0	17.0	205.0	155.0	188.0	126.0	54.0	28.0	19.0	-
Кумандинцы	223.0	-	19.0	3.0	56.0	49.0	21.0	25.0	41.0	9.0	5.0	-
Сельское население	312828.0	183.0	16554.0	3126.0	63609.0	58226.0	49075.0	64998.0	49390.0	7641.0	4521.0	26.0
Русские	280168.0	165.0	14906.0	2875.0	57780.0	52295.0	44100.0	59078.0	42617.0	6345.0	3749.0	7.0
Татары	5159.0	3.0	261.0	52.0	1127.0	897.0	774.0	977.0	850.0	218.0	128.0	-
Украинцы	3955.0	5.0	302.0	37.0	863.0	699.0	508.0	561.0	837.0	143.0	82.0	-
Немцы	6510.0	1.0	294.0	43.0	1255.0	1094.0	1005.0	1146.0	1403.0	269.0	167.0	-
Чуваши	4790.0	1.0	138.0	17.0	713.0	1077.0	549.0	825.0	1275.0	195.0	118.0	-
Шорцы	2308.0	-	68.0	8.0	169.0	536.0	374.0	575.0	466.0	112.0	69.0	-
Белорусы	1338.0	-	69.0	6.0	242.0	226.0	136.0	229.0	379.0	51.0	23.0	-
Мордва	1490.0	-	47.0	6.0	229.0	232.0	135.0	227.0	501.0	113.0	64.0	-
Телеуты	1169.0	-	70.0	12.0	219.0	199.0	221.0	246.0	164.0	38.0	25.0	-
Кумандинцы	45.0	-	6.0	-	8.0	12.0	5.0	4.0	6.0	4.0	2.0	-
Новосибирская область												
Все население	2276208.0	7732.0	375778.0	78957.0	612393.0	295444.0	359905.0	324698.0	194388.0	26888.0	14693.0	25.0
Русские	2110330.0	6953.0	349455.0	74348.0	573133.0	274243.0	331777.0	302162.0	175400.0	22840.0	12241.0	19.0
Немцы	42248.0	84.0	3840.0	1077.0	9878.0	6470.0	6681.0	6397.0	6502.0	1319.0	819.0	-
Украинцы	32580.0	212.0	7624.0	844.0	8979.0	3540.0	3886.0	3485.0	3516.0	494.0	218.0	-
Татары	24184.0	73.0	3105.0	560.0	6118.0	3618.0	3756.0	3861.0	2619.0	474.0	313.0	-
Казахи	9232.0	19.0	740.0	222.0	2157.0	1277.0	1936.0	1700.0	946.0	235.0	157.0	-
Белорусы	8126.0	40.0	1772.0	204.0	2088.0	919.0	909.0	984.0	1063.0	147.0	77.0	-
Евреи	3201.0	102.0	1844.0	110.0	566.0	128.0	234.0	136.0	78.0	3.0	2.0	-
Городское население	1733535.0	7413.0	344802.0	72420.0	499774.0	199339.0	278351.0	214438.0	104603.0	12370.0	6186.0	25.0
Русские	1623726.0	6660.0	321120.0	68371.0	471197.0	187634.0	259042.0	202544.0	96489.0	10650.0	5222.0	19.0
Немцы	21528.0	79.0	3065.0	898.0	6200.0	2901.0	3499.0	2570.0	2004.0	312.0	151.0	-
Украинцы	24772.0	206.0	7053.0	745.0	7302.0	2309.0	2842.0	2181.0	1908.0	226.0	85.0	-
Татары	14313.0	68.0	2689.0	471.0	4136.0	1774.0	2314.0	1780.0	946.0	135.0	74.0	-
Казахи	3514.0	18.0	521.0	162.0	961.0	398.0	817.0	451.0	149.0	37.0	21.0	-
Белорусы	6335.0	38.0	1668.0	184.0	1775.0	632.0	693.0	680.0	601.0	64.0	29.0	-
Евреи	3160.0	102.0	1829.0	109.0	560.0	124.0	226.0	131.0	77.0	2.0	2.0	-
Сельское население	542673.0	319.0	30976.0	6537.0	112619.0	96105.0	81554.0	110260.0	89785.0	14518.0	8507.0	-
Русские	486604.0	293.0	28335.0	5977.0	101936.0	86609.0	72735.0	99618.0	78911.0	12190.0	7019.0	-
Немцы	20720.0	5.0	775.0	179.0	3678.0	3569.0	3182.0	3827.0	4498.0	1007.0	668.0	-
Украинцы	7808.0	6.0	571.0	99.0	1677.0	1231.0	1044.0	1304.0	1608.0	268.0	133.0	-
Татары	9871.0	5.0	416.0	89.0	1982.0	1844.0	1442.0	2081.0	1673.0	339.0	239.0	-
Казахи	5718.0	1.0	219.0	60.0	1196.0	879.0	1119.0	1249.0	797.0	198.0	136.0	-
Белорусы	1791.0	2.0	104.0	20.0	313.0	287.0	216.0	304.0	462.0	83.0	48.0	-
Евреи	41.0	-	15.0	1.0	6.0	4.0	8.0	5.0	1.0	1.0	-	-
Омская область												
Все население	1724887.0	3301.0	242110.0	44647.0	472159.0	233713.0	299971.0	251999.0	152589.0	23258.0	13474.0	1140.0
Русские	1437309.0	2923.0	212855.0	39479.0	402988.0	190429.0	246905.0	204922.0	119458.0	17004.0	9484.0	346.0
Казахи	60454.0	27.0	3372.0	948.0	13700.0	9219.0	14042.0	12597.0	5463.0	1078.0	811.0	8.0
Украинцы	73044.0	123.0	9599.0	1107.0	19267.0	11428.0	10117.0	9881.0	10206.0	1315.0	658.0	1.0
Немцы	62387.0	51.0	4510.0	1072.0	14487.0	10289.0	12064.0	10936.0	7478.0	1500.0	979.0	-
Татары	40016.0	43.0	3876.0	725.0	9541.0	6120.0	7208.0	7150.0	4475.0	878.0	634.0	-
Городское население	1210348.0	3151.0	213344.0	40172.0	370400.0	139736.0	213796.0	146245.0	73058.0	9326.0	4924.0	1120.0
Русские	1052428.0	2803.0	189966.0	35926.0	324089.0	120143.0	184392.0	126649.0	61056.0	7066.0	3596.0	338.0
Казахи	28586.0	19.0	2267.0	727.0	8487.0	3920.0	6968.0	4548.0	1425.0	225.0	144.0	-
Украинцы	42606.0	119.0	7804.0	907.0	13284.0	5324.0	5739.0	4669.0	4246.0	513.0	233.0	1.0
Немцы	27464.0	42.0	3079.0	814.0	8322.0	3820.0	5475.0	3498.0	2080.0	334.0	191.0	-
Татары	23024.0	40.0	3240.0	622.0	6854.0	3123.0	4374.0	3043.0	1479.0	249.0	150.0	-
Сельское население	514539.0	150.0	28766.0	4475.0	101759.0	93977.0	86175.0	105754.0	79531.0	13932.0	8550.0	20.0
Русские	384881.0	120.0	22889.0	3553.0	78899.0	70286.0	62513.0	78273.0	58402.0	9938.0	5888.0	8.0
Казахи	31868.0	8.0	1105.0	221.0	5213.0	5299.0	7074.0	8049.0	4038.0	853.0	667.0	8.0
Украинцы	30438.0	4.0	1795.0	200.0	5983.0	6104.0	4378.0	5212.0	5960.0	802.0	425.0	-
Немцы	34923.0	9.0	1431.0	258.0	6165.0	6469.0	6589.0	7438.0	5398.0	1166.0	788.0	-
Татары	16992.0	3.0	636.0	103.0	2687.0	2997.0	2834.0	4107.0	2996.0	629.0	484.0	-
Томская область												
Все население	877139.0	3438.0	142502.0	45186.0	239037.0	104642.0	155906.0	112995.0	63411.0	10003.0	4952.0	19.0
Русские	791699.0	3083.0	129542.0	41407.0	217175.0	93501.0	140364.0	102689.0	55374.0	8548.0	4225.0	16.0
Татары	17792.0	48.0	2544.0	802.0	4763.0	2190.0	3381.0	2255.0	1573.0	235.0	143.0	1.0
Украинцы	15940.0	93.0	3336.0	643.0	4690.0	2038.0	2320.0	1580.0	1064.0	176.0	62.0	-
Немцы	12118.0	37.0	1551.0	562.0	3117.0	1532.0	2048.0	1537.0	1454.0	280.0	145.0	-
Чуваши	5529.0	6.0	393.0	94.0	1416.0	1048.0	789.0	1003.0	700.0	80.0	36.0	-
Белорусы	5142.0	20.0	826.0	150.0	1319.0	708.0	598.0	584.0	789.0	148.0	74.0	-
Селькупы	1433.0	-	64.0	27.0	291.0	305.0	174.0	318.0	212.0	42.0	25.0	-
Ханты	701.0	-	35.0	10.0	174.0	129.0	94.0	154.0	95.0	10.0	6.0	-
Чулымцы	387.0	-	5.0	2.0	46.0	107.0	31.0	112.0	66.0	18.0	6.0	-
Эвенки	83.0	-	3.0	2.0	10.0	10.0	21.0	21.0	12.0	4.0	1.0	-
Городское население	603494.0	3208.0	122000.0	40789.0	168527.0	57274.0	117523.0	62456.0	27952.0	3748.0	1473.0	17.0
Русские	547135.0	2878.0	110884.0	37448.0	153345.0	51300.0	106031.0	57248.0	24818.0	3169.0	1211.0	14.0
Татары	12997.0	42.0	2212.0	710.0	3718.0	1428.0	2608.0	1374.0	802.0	102.0	55.0	1.0
Украинцы	11428.0	86.0	2891.0	583.0	3475.0	1185.0	1697.0	921.0	498.0	92.0	30.0	-
Немцы	6616.0	36.0	1245.0	475.0	1750.0	623.0	1319.0	638.0	449.0	81.0	38.0	-
Чуваши	1913.0	4.0	269.0	54.0	623.0	312.0	308.0	184.0	146.0	13.0	5.0	-
Белорусы	3274.0	18.0	698.0	132.0	934.0	387.0	427.0	319.0	301.0	58.0	28.0	-
Селькупы	279.0	-	32.0	13.0	74.0	47.0	49.0	42.0	20.0	2.0	1.0	-
Ханты	163.0	-	15.0	8.0	56.0	25.0	28.0	26.0	5.0	-	-	-
Чулымцы	30.0	-	2.0	-	10.0	6.0	2.0	5.0	5.0	-	-	-
Эвенки	17.0	-	1.0	1.0	3.0	2.0	7.0	1.0	1.0	1.0	-	-
Сельское население	273645.0	230.0	20502.0	4397.0	70510.0	47368.0	38383.0	50539.0	35459.0	6255.0	3479.0	2.0
Русские	244564.0	205.0	18658.0	3959.0	63830.0	42201.0	34333.0	45441.0	30556.0	5379.0	3014.0	2.0
Татары	4795.0	6.0	332.0	92.0	1045.0	762.0	773.0	881.0	771.0	133.0	88.0	-
Украинцы	4512.0	7.0	445.0	60.0	1215.0	853.0	623.0	659.0	566.0	84.0	32.0	-
Немцы	5502.0	1.0	306.0	87.0	1367.0	909.0	729.0	899.0	1005.0	199.0	107.0	-
Чуваши	3616.0	2.0	124.0	40.0	793.0	736.0	481.0	819.0	554.0	67.0	31.0	-
Белорусы	1868.0	2.0	128.0	18.0	385.0	321.0	171.0	265.0	488.0	90.0	46.0	-
Селькупы	1154.0	-	32.0	14.0	217.0	258.0	125.0	276.0	192.0	40.0	24.0	-
Ханты	538.0	-	20.0	2.0	118.0	104.0	66.0	128.0	90.0	10.0	6.0	-
Чулымцы	357.0	-	3.0	2.0	36.0	101.0	29.0	107.0	61.0	18.0	6.0	-
Эвенки	66.0	-	2.0	1.0	7.0	8.0	14.0	20.0	11.0	3.0	1.0	-
Читинская область												
Все население	915196.0	1369.0	101054.0	19829.0	232450.0	106297.0	181287.0	170554.0	89475.0	10553.0	6625.0	2328.0
Русские	822352.0	1194.0	86657.0	17247.0	211643.0	98037.0	158274.0	157414.0	82145.0	9132.0	5682.0	609.0
Буряты	50965.0	67.0	8218.0	1794.0	9995.0	3759.0	15047.0	7554.0	3651.0	869.0	621.0	11.0
Украинцы	11188.0	40.0	2380.0	260.0	3590.0	1170.0	1584.0	1121.0	934.0	104.0	52.0	5.0
Татары	7649.0	13.0	809.0	94.0	1938.0	1031.0	1287.0	1235.0	1091.0	148.0	94.0	3.0
Белорусы	2802.0	10.0	599.0	57.0	830.0	296.0	367.0	337.0	272.0	34.0	18.0	-
Эвенки	1066.0	1.0	56.0	14.0	140.0	86.0	244.0	338.0	161.0	26.0	22.0	-
Городское население	598124.0	1265.0	82884.0	16746.0	169504.0	63653.0	121416.0	94438.0	41898.0	4237.0	2407.0	2083.0
Русские	549122.0	1116.0	73228.0	15001.0	157036.0	59751.0	110668.0	88960.0	39174.0	3790.0	2163.0	398.0
Буряты	18455.0	55.0	4457.0	1085.0	4107.0	933.0	4996.0	2072.0	623.0	123.0	80.0	4.0
Украинцы	8717.0	36.0	2038.0	225.0	2870.0	821.0	1195.0	808.0	652.0	67.0	28.0	5.0
Татары	5203.0	12.0	653.0	79.0	1493.0	651.0	889.0	751.0	593.0	80.0	48.0	2.0
Белорусы	2051.0	9.0	520.0	45.0	633.0	186.0	271.0	201.0	167.0	19.0	11.0	-
Эвенки	179.0	-	22.0	5.0	47.0	18.0	43.0	26.0	13.0	5.0	2.0	-
Сельское население	317072.0	104.0	18170.0	3083.0	62946.0	42644.0	59871.0	76116.0	47577.0	6316.0	4218.0	245.0
Русские	273230.0	78.0	13429.0	2246.0	54607.0	38286.0	47606.0	68454.0	42971.0	5342.0	3519.0	211.0
Буряты	32510.0	12.0	3761.0	709.0	5888.0	2826.0	10051.0	5482.0	3028.0	746.0	541.0	7.0
Украинцы	2471.0	4.0	342.0	35.0	720.0	349.0	389.0	313.0	282.0	37.0	24.0	-
Татары	2446.0	1.0	156.0	15.0	445.0	380.0	398.0	484.0	498.0	68.0	46.0	1.0
Белорусы	751.0	1.0	79.0	12.0	197.0	110.0	96.0	136.0	105.0	15.0	7.0	-
Эвенки	887.0	1.0	34.0	9.0	93.0	68.0	201.0	312.0	148.0	21.0	20.0	-
Агинский Бурятский автономный округ												
Все население	52015.0	37.0	6525.0	1292.0	10255.0	4292.0	14247.0	10003.0	4500.0	855.0	548.0	9.0
Буряты	31649.0	34.0	5529.0	1035.0	5875.0	2023.0	9790.0	4705.0	2106.0	546.0	368.0	6.0
Русские	18914.0	2.0	883.0	237.0	4068.0	2123.0	4122.0	4998.0	2200.0	278.0	157.0	3.0
Городское население	18696.0	32.0	3234.0	647.0	4473.0	1311.0	4214.0	3400.0	1191.0	189.0	104.0	5.0
Буряты	9641.0	30.0	2699.0	504.0	2124.0	372.0	2306.0	1168.0	360.0	76.0	49.0	2.0
Русские	8446.0	1.0	471.0	130.0	2185.0	889.0	1767.0	2129.0	768.0	103.0	48.0	3.0
Сельское население	33319.0	5.0	3291.0	645.0	5782.0	2981.0	10033.0	6603.0	3309.0	666.0	444.0	4.0
Буряты	22008.0	4.0	2830.0	531.0	3751.0	1651.0	7484.0	3537.0	1746.0	470.0	319.0	4.0
Русские	10468.0	1.0	412.0	107.0	1883.0	1234.0	2355.0	2869.0	1432.0	175.0	109.0	-
Дальневосточный федеральный округ												
Республика Саха (Якутия)												
Все население	718332.0	1670.0	103150.0	22695.0	210709.0	83158.0	167265.0	86552.0	32772.0	6885.0	4482.0	3476.0
Якуты	310182.0	940.0	48936.0	10812.0	76878.0	35727.0	78380.0	35357.0	17530.0	5091.0	3378.0	531.0
Русские	306567.0	538.0	41294.0	9080.0	102222.0	35312.0	64337.0	39981.0	11625.0	1264.0	771.0	914.0
