7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	3874.0	957.0	920.0	37.0			2917.0
из них имеют занятых							
1 человека	1625.0	740.0	740.0				885.0
2 человек	1542.0						1542.0
3 человек	3752.0	2349.0	1982.0	352.0	15.0	45.0	1403.0
из них имеют занятых							
1 человека	1028.0	697.0	387.0	310.0			331.0
2 человек	2106.0	1510.0	1510.0				596.0
3 человек	279.0						279.0
4 человек	2246.0	1520.0	605.0	772.0	143.0	433.0	726.0
из них имеют занятых							
1 человека	521.0	385.0	137.0	123.0	125.0	375.0	136.0
2 человек	1222.0	874.0	251.0	623.0			348.0
3 человек	287.0	181.0	181.0				106.0
4 человек	47.0						47.0
5 и более человек	1373.0	780.0	320.0	226.0	234.0	811.0	593.0
в них членов домохозяйств	8032.0	4521.0	1893.0	1234.0	1394.0		3511.0
из них имеют занятых							
1 человека	262.0	163.0	63.0	35.0	65.0	236.0	99.0
2 человек	540.0	306.0	92.0	87.0	127.0	420.0	234.0
3 человек	256.0	168.0	68.0	79.0	21.0	77.0	88.0
4 человек	103.0	69.0	48.0	11.0	10.0	37.0	34.0
5 и более человек	26.0	5.0	2.0	1.0	2.0	9.0	21.0
в них занятых	155.0	26.0	10.0	5.0	11.0		129.0
Домохозяйства, в которых есть занятые	9844.0	5098.0	3479.0	1269.0	350.0	1154.0	4746.0
в них членов домохозяйств	31651.0	17877.0	10971.0	5070.0	1836.0		13774.0
Домохозяйства, в которых нет занятых	1401.0	508.0	348.0	118.0	42.0	135.0	893.0
в них членов домохозяйств	4369.0	1685.0	1128.0	382.0	175.0		2684.0
Эвенкийский автономный округ							
Все домохозяйства	4991.0	1857.0	1297.0	427.0	133.0	446.0	3134.0
в них членов домохозяйств	16225.0	6837.0	4412.0	1740.0	685.0		9388.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	1651.0	242.0	230.0	12.0			1409.0
из них имеют занятых							
1 человека	684.0	175.0	175.0				509.0
2 человек	643.0						643.0
3 человек	1601.0	718.0	620.0	92.0	6.0	18.0	883.0
из них имеют занятых							
1 человека	452.0	200.0	124.0	76.0			252.0
2 человек	861.0	463.0	463.0				398.0
3 человек	165.0						165.0
4 человек	1040.0	526.0	261.0	234.0	31.0	94.0	514.0
из них имеют занятых							
1 человека	247.0	119.0	78.0	21.0	20.0	60.0	128.0
2 человек	548.0	291.0	89.0	202.0			257.0
3 человек	138.0	71.0	71.0				67.0
4 человек	29.0						29.0
5 и более человек	699.0	371.0	186.0	89.0	96.0	334.0	328.0
в них членов домохозяйств	3960.0	2095.0	1048.0	504.0	543.0		1865.0
из них имеют занятых							
1 человека	181.0	96.0	51.0	23.0	22.0	79.0	85.0
2 человек	250.0	118.0	47.0	27.0	44.0	139.0	132.0
3 человек	109.0	60.0	30.0	24.0	6.0	18.0	49.0
4 человек	54.0	33.0	27.0	4.0	2.0	7.0	21.0
5 и более человек	11.0	3.0	3.0	-	-	-	8.0
в них занятых	56.0	15.0	15.0	-	-		41.0
Домохозяйства, в которых есть занятые	4372.0	1629.0	1158.0	377.0	94.0	303.0	2743.0
в них членов домохозяйств	14314.0	5993.0	3943.0	1558.0	492.0		8321.0
Домохозяйства, в которых нет занятых	619.0	228.0	139.0	50.0	39.0	143.0	391.0
в них членов домохозяйств	1911.0	844.0	469.0	182.0	193.0		1067.0
Иркутская область							
Все домохозяйства	740203.0	342907.0	221977.0	93260.0	27670.0	90698.0	397296.0
в них членов домохозяйств	2351500.0	1238557.0	727209.0	372301.0	139047.0		1112943.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	256971.0	50926.0	48115.0	2811.0			206045.0
из них имеют занятых							
1 человека	102579.0	33643.0	33643.0				68936.0
2 человек	56761.0						56761.0
3 человек	231282.0	125475.0	99963.0	24217.0	1295.0	3885.0	105807.0
из них имеют занятых							
1 человека	85026.0	51780.0	31662.0	20118.0			33246.0
2 человек	101633.0	58058.0	58058.0				43575.0
3 человек	14451.0						14451.0
4 человек	165352.0	107557.0	49923.0	47021.0	10613.0	32359.0	57795.0
из них имеют занятых							
1 человека	48738.0	34916.0	14639.0	11470.0	8807.0	26421.0	13822.0
2 человек	79024.0	52521.0	20151.0	32370.0			26503.0
3 человек	19599.0	11368.0	11368.0				8231.0
4 человек	3161.0						3161.0
5 и более человек	86598.0	58949.0	23976.0	19211.0	15762.0	54454.0	27649.0
в них членов домохозяйств	482304.0	330052.0	131398.0	105944.0	92710.0		152252.0
из них имеют занятых							
1 человека	22425.0	15587.0	5872.0	4081.0	5634.0	20138.0	6838.0
2 человек	30890.0	20933.0	7111.0	7534.0	6288.0	20486.0	9957.0
3 человек	16116.0	11884.0	5556.0	4911.0	1417.0	4768.0	4232.0
4 человек	6173.0	4103.0	2784.0	951.0	368.0	1290.0	2070.0
5 и более человек	1339.0	728.0	409.0	192.0	127.0	455.0	611.0
в них занятых	6983.0	3781.0	2112.0	994.0	675.0		3202.0
Домохозяйства, в которых есть занятые	587915.0	295521.0	191253.0	81627.0	22641.0	73558.0	292394.0
в них членов домохозяйств	1951097.0	1089135.0	639731.0	332892.0	116512.0		861962.0
Домохозяйства, в которых нет занятых	152288.0	47386.0	30724.0	11633.0	5029.0	17140.0	104902.0
в них членов домохозяйств	400403.0	149422.0	87478.0	39409.0	22535.0		250981.0
Усть-Ордынский Бурятский автономный округ							
Все домохозяйства	34874.0	6140.0	4828.0	1064.0	248.0	806.0	28734.0
в них членов домохозяйств	128551.0	26940.0	20064.0	5347.0	1529.0		101611.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	8996.0	609.0	598.0	11.0			8387.0
из них имеют занятых							
1 человека	3008.0	289.0	289.0				2719.0
2 человек	1458.0						1458.0
3 человек	8520.0	1380.0	1262.0	115.0	3.0	9.0	7140.0
из них имеют занятых							
1 человека	3290.0	619.0	551.0	68.0			2671.0
2 человек	2826.0	349.0	349.0				2477.0
3 человек	306.0						306.0
4 человек	8581.0	1695.0	1289.0	377.0	29.0	87.0	6886.0
из них имеют занятых							
1 человека	3007.0	680.0	546.0	114.0	20.0	60.0	2327.0
2 человек	3460.0	530.0	361.0	169.0			2930.0
3 человек	488.0	65.0	65.0				423.0
4 человек	62.0						62.0
5 и более человек	8777.0	2456.0	1679.0	561.0	216.0	710.0	6321.0
в них членов домохозяйств	50675.0	14802.0	9926.0	3472.0	1404.0		35873.0
из них имеют занятых							
1 человека	2809.0	836.0	581.0	169.0	86.0	285.0	1973.0
2 человек	2933.0	686.0	493.0	150.0	43.0	138.0	2247.0
3 человек	882.0	256.0	190.0	59.0	7.0	24.0	626.0
4 человек	245.0	58.0	48.0	8.0	2.0	6.0	187.0
5 и более человек	59.0	18.0	9.0	6.0	3.0	10.0	41.0
в них занятых	325.0	94.0	49.0	30.0	15.0		231.0
Домохозяйства, в которых есть занятые	24833.0	4386.0	3482.0	743.0	161.0	523.0	20447.0
в них членов домохозяйств	96089.0	19697.0	14940.0	3775.0	982.0		76392.0
Домохозяйства, в которых нет занятых	10041.0	1754.0	1346.0	321.0	87.0	283.0	8287.0
в них членов домохозяйств	32462.0	7243.0	5124.0	1572.0	547.0		25219.0
Кемеровская область							
Все домохозяйства	854196.0	364656.0	248777.0	91667.0	24212.0	79173.0	489540.0
в них членов домохозяйств	2601070.0	1285752.0	803049.0	361936.0	120767.0		1315318.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	329571.0	56994.0	54728.0	2266.0			272577.0
из них имеют занятых							
1 человека	123852.0	38005.0	38005.0				85847.0
2 человек	71128.0						71128.0
3 человек	270592.0	140549.0	114443.0	25246.0	860.0	2580.0	130043.0
из них имеют занятых							
1 человека	95687.0	57332.0	36218.0	21114.0			38355.0
2 человек	124448.0	67244.0	67244.0				57204.0
3 человек	19190.0						19190.0
4 человек	178834.0	114337.0	57292.0	47022.0	10023.0	30365.0	64497.0
из них имеют занятых							
1 человека	50657.0	36899.0	16491.0	11808.0	8600.0	25800.0	13758.0
2 человек	86947.0	56021.0	23570.0	32451.0			30926.0
3 человек	24611.0	13661.0	13661.0				10950.0
4 человек	4296.0						4296.0
5 и более человек	75199.0	52776.0	22314.0	17133.0	13329.0	46228.0	22423.0
в них членов домохозяйств	414816.0	292769.0	121096.0	93578.0	78095.0		122047.0
из них имеют занятых							
1 человека	18387.0	13781.0	5131.0	3686.0	4964.0	17941.0	4606.0
2 человек	27418.0	19173.0	6979.0	7018.0	5176.0	16830.0	8245.0
3 человек	15541.0	11109.0	5503.0	4332.0	1274.0	4254.0	4432.0
4 человек	6159.0	3861.0	2783.0	794.0	284.0	994.0	2298.0
5 и более человек	1449.0	622.0	383.0	158.0	81.0	288.0	827.0
в них занятых	8281.0	3333.0	2030.0	856.0	447.0		4948.0
Домохозяйства, в которых есть занятые	669770.0	317708.0	215968.0	81361.0	20379.0	66107.0	352062.0
в них членов домохозяйств	2153396.0	1144645.0	713809.0	327587.0	103249.0		1008751.0
Домохозяйства, в которых нет занятых	184426.0	46948.0	32809.0	10306.0	3833.0	13066.0	137478.0
в них членов домохозяйств	447674.0	141107.0	89240.0	34349.0	17518.0		306567.0
Новосибирская область							
Все домохозяйства	782637.0	309895.0	215757.0	74493.0	19645.0	64224.0	472742.0
в них членов домохозяйств	2417213.0	1108872.0	714002.0	296656.0	98214.0		1308341.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	289586.0	47080.0	44364.0	2716.0			242506.0
из них имеют занятых							
1 человека	108816.0	31750.0	31750.0				77066.0
2 человек	67881.0						67881.0
3 человек	249720.0	116186.0	94439.0	20735.0	1012.0	3036.0	133534.0
из них имеют занятых							
1 человека	87128.0	49093.0	31423.0	17670.0			38035.0
2 человек	115721.0	54531.0	54531.0				61190.0
3 человек	21352.0						21352.0
4 человек	166040.0	95265.0	52733.0	34476.0	8056.0	24555.0	70775.0
из них имеют занятых							
1 человека	45072.0	30366.0	14522.0	9042.0	6802.0	20406.0	14706.0
2 человек	79801.0	45553.0	22156.0	23397.0			34248.0
3 человек	25841.0	13482.0	13482.0				12359.0
4 человек	5602.0						5602.0
5 и более человек	77291.0	51364.0	24221.0	16566.0	10577.0	36633.0	25927.0
в них членов домохозяйств	424721.0	285094.0	131025.0	91115.0	62954.0		139627.0
из них имеют занятых							
1 человека	16416.0	11475.0	4514.0	3122.0	3839.0	13667.0	4941.0
2 человек	28071.0	18401.0	7562.0	6814.0	4025.0	13170.0	9670.0
3 человек	17922.0	12589.0	6808.0	4521.0	1260.0	4239.0	5333.0
4 человек	8213.0	4956.0	3558.0	1047.0	351.0	1234.0	3257.0
5 и более человек	1955.0	944.0	611.0	209.0	124.0	477.0	1011.0
в них занятых	10154.0	4912.0	3138.0	1095.0	679.0		5242.0
Домохозяйства, в которых есть занятые	629791.0	273140.0	190917.0	65822.0	16401.0	53193.0	356651.0
в них членов домохозяйств	2049569.0	1000160.0	646620.0	269201.0	84339.0		1049409.0
Домохозяйства, в которых нет занятых	152846.0	36755.0	24840.0	8671.0	3244.0	11031.0	116091.0
в них членов домохозяйств	367644.0	108712.0	67382.0	27455.0	13875.0		258932.0
Омская область							
Все домохозяйства	596013.0	230078.0	161341.0	53732.0	15005.0	48952.0	365935.0
в них членов домохозяйств	1898008.0	840320.0	549092.0	215359.0	75869.0		1057688.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	205318.0	34286.0	31717.0	2569.0			171032.0
из них имеют занятых							
1 человека	74662.0	20521.0	20521.0				54141.0
2 человек	41270.0						41270.0
3 человек	185517.0	81789.0	65942.0	14893.0	954.0	2862.0	103728.0
из них имеют занятых							
1 человека	69074.0	37724.0	25787.0	11937.0			31350.0
2 человек	79018.0	32063.0	32063.0				46955.0
3 человек	12439.0						12439.0
4 человек	134956.0	71054.0	41653.0	23432.0	5969.0	18180.0	63902.0
из них имеют занятых							
1 человека	41075.0	26278.0	14297.0	7081.0	4900.0	14700.0	14797.0
2 человек	62257.0	30863.0	16555.0	14308.0			31394.0
3 человек	16961.0	7598.0	7598.0				9363.0
4 человек	3341.0						3341.0
5 и более человек	70222.0	42949.0	22029.0	12838.0	8082.0	27910.0	27273.0
в них членов домохозяйств	390997.0	242165.0	121220.0	71814.0	49131.0		148832.0
из них имеют занятых							
1 человека	18040.0	11927.0	5712.0	3143.0	3072.0	10832.0	6113.0
2 человек	25112.0	14791.0	6984.0	5120.0	2687.0	8776.0	10321.0
3 человек	13504.0	8659.0	5093.0	2758.0	808.0	2675.0	4845.0
4 человек	5484.0	2975.0	2193.0	560.0	222.0	785.0	2509.0
5 и более человек	1294.0	586.0	358.0	134.0	94.0	373.0	708.0
в них занятых	6731.0	3056.0	1847.0	703.0	506.0		3675.0
Домохозяйства, в которых есть занятые	463531.0	193985.0	137161.0	45041.0	11783.0	38141.0	269546.0
в них членов домохозяйств	1560364.0	728615.0	480212.0	186887.0	61516.0		831749.0
Домохозяйства, в которых нет занятых	132482.0	36093.0	24180.0	8691.0	3222.0	10811.0	96389.0
в них членов домохозяйств	337644.0	111705.0	68880.0	28472.0	14353.0		225939.0
Томская область							
Все домохозяйства	301218.0	129101.0	87093.0	32002.0	10006.0	35586.0	172117.0
в них членов домохозяйств	954790.0	470470.0	290126.0	128023.0	52321.0		484320.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	105967.0	19721.0	18099.0	1622.0			86246.0
из них имеют занятых							
1 человека	40690.0	12580.0	12580.0				28110.0
2 человек	24611.0						24611.0
3 человек	94324.0	46117.0	37382.0	8026.0	709.0	2127.0	48207.0
из них имеют занятых							
1 человека	32215.0	18590.0	12139.0	6451.0			13625.0
2 человек	42963.0	21461.0	21461.0				21502.0
3 человек	6946.0						6946.0
4 человек	66619.0	39891.0	21304.0	15141.0	3446.0	10679.0	26728.0
из них имеют занятых							
1 человека	17980.0	12216.0	5936.0	3755.0	2525.0	7575.0	5764.0
2 человек	31097.0	19049.0	8792.0	10257.0			12048.0
3 человек	9180.0	4839.0	4839.0				4341.0
4 человек	1747.0						1747.0
5 и более человек	34308.0	23372.0	10308.0	7213.0	5851.0	22780.0	10936.0
в них членов домохозяйств	193408.0	133113.0	56566.0	40137.0	36410.0		60295.0
из них имеют занятых							
1 человека	7225.0	5106.0	2132.0	1368.0	1606.0	5754.0	2119.0
2 человек	10797.0	7532.0	2980.0	2691.0	1861.0	6045.0	3265.0
3 человек	6842.0	5004.0	2536.0	1877.0	591.0	2011.0	1838.0
4 человек	2964.0	1856.0	1270.0	430.0	156.0	541.0	1108.0
5 и более человек	879.0	394.0	236.0	107.0	51.0	181.0	485.0
в них занятых	4783.0	2099.0	1254.0	571.0	274.0		2684.0
Домохозяйства, в которых есть занятые	236136.0	108627.0	74901.0	26936.0	6790.0	22107.0	127509.0
в них членов домохозяйств	776391.0	401177.0	254211.0	111270.0	35696.0		375214.0
Домохозяйства, в которых нет занятых	65082.0	20474.0	12192.0	5066.0	3216.0	13479.0	44608.0
в них членов домохозяйств	178399.0	69293.0	35915.0	16753.0	16625.0		109106.0
Читинская область							
Все домохозяйства	322221.0	124051.0	83891.0	30276.0	9884.0	32555.0	198170.0
в них членов домохозяйств	1049665.0	455728.0	283029.0	122003.0	50696.0		593937.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	105756.0	18018.0	16996.0	1022.0			87738.0
из них имеют занятых							
1 человека	38267.0	10842.0	10842.0				27425.0
2 человек	21406.0						21406.0
3 человек	99736.0	45071.0	35973.0	8653.0	445.0	1335.0	54665.0
из них имеют занятых							
1 человека	37524.0	19710.0	12910.0	6800.0			17814.0
2 человек	39737.0	17930.0	17930.0				21807.0
3 человек	4967.0						4967.0
4 человек	72601.0	36811.0	19717.0	13480.0	3614.0	11030.0	35790.0
из них имеют занятых							
1 человека	24285.0	13991.0	7298.0	3844.0	2849.0	8547.0	10294.0
2 человек	30792.0	15084.0	6950.0	8134.0			15708.0
3 человек	6573.0	3033.0	3033.0				3540.0
4 человек	891.0						891.0
5 и более человек	44128.0	24151.0	11205.0	7121.0	5825.0	20190.0	19977.0
в них членов домохозяйств	248541.0	137235.0	62250.0	40080.0	34905.0		111306.0
из них имеют занятых							
1 человека	13565.0	7729.0	3445.0	2009.0	2275.0	8088.0	5836.0
2 человек	13929.0	7468.0	3236.0	2349.0	1883.0	6150.0	6461.0
3 человек	6082.0	3690.0	1906.0	1338.0	446.0	1502.0	2392.0
4 человек	1941.0	1044.0	718.0	235.0	91.0	319.0	897.0
5 и более человек	425.0	160.0	88.0	49.0	23.0	90.0	265.0
в них занятых	2320.0	823.0	449.0	255.0	119.0		1497.0
Домохозяйства, в которых есть занятые	240384.0	100681.0	68356.0	24758.0	7567.0	24696.0	139703.0
в них членов домохозяйств	817686.0	376713.0	235244.0	101851.0	39618.0		440973.0
Домохозяйства, в которых нет занятых	81837.0	23370.0	15535.0	5518.0	2317.0	7859.0	58467.0
в них членов домохозяйств	231979.0	79015.0	47785.0	20152.0	11078.0		152964.0
Агинский Бурятский автономный округ							
Все домохозяйства	18121.0	1265.0	1023.0	182.0	60.0	197.0	16856.0
в них членов домохозяйств	69365.0	5322.0	4127.0	845.0	350.0		64043.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	3955.0	164.0	161.0	3.0			3791.0
из них имеют занятых							
1 человека	1400.0	101.0	101.0				1299.0
2 человек	631.0						631.0
3 человек	4501.0	352.0	304.0	44.0	4.0	12.0	4149.0
из них имеют занятых							
1 человека	1813.0	181.0	163.0	18.0			1632.0
2 человек	1346.0	68.0	68.0				1278.0
3 человек	138.0						138.0
4 человек	4532.0	296.0	229.0	51.0	16.0	54.0	4236.0
из них имеют занятых							
1 человека	1730.0	135.0	114.0	18.0	3.0	9.0	1595.0
2 человек	1654.0	79.0	58.0	21.0			1575.0
3 человек	202.0	6.0	6.0				196.0
4 человек	22.0						22.0
5 и более человек	5133.0	453.0	329.0	84.0	40.0	131.0	4680.0
в них членов домохозяйств	29824.0	2754.0	1977.0	503.0	274.0		27070.0
из них имеют занятых							
1 человека	1776.0	142.0	105.0	27.0	10.0	31.0	1634.0
2 человек	1660.0	142.0	105.0	20.0	17.0	55.0	1518.0
3 человек	445.0	41.0	37.0	4.0	-	-	404.0
4 человек	118.0	9.0	8.0	1.0	-	-	109.0
5 и более человек	26.0	1.0	-	1.0	-	-	25.0
в них занятых	133.0	5.0	-	5.0	-		128.0
Домохозяйства, в которых есть занятые	12961.0	905.0	765.0	110.0	30.0	95.0	12056.0
в них членов домохозяйств	51726.0	3876.0	3136.0	531.0	209.0		47850.0
Домохозяйства, в которых нет занятых	5160.0	360.0	258.0	72.0	30.0	102.0	4800.0
в них членов домохозяйств	17639.0	1446.0	991.0	314.0	141.0		16193.0
Дальневосточный федеральный округ							
Все домохозяйства	1911871.0	782412.0	546848.0	185182.0	50382.0	164307.0	1129459.0
в них членов домохозяйств	5950396.0	2771444.0	1786940.0	732112.0	252392.0		3178952.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	692362.0	126057.0	119328.0	6729.0			566305.0
из них имеют занятых							
1 человека	283915.0	85945.0	85945.0				197970.0
2 человек	183544.0						183544.0
3 человек	629027.0	304218.0	248281.0	53332.0	2605.0	7815.0	324809.0
из них имеют занятых							
1 человека	216327.0	126125.0	81730.0	44395.0			90202.0
2 человек	294464.0	142571.0	142571.0				151893.0
3 человек	45275.0						45275.0
4 человек	394312.0	229909.0	121916.0	87965.0	20028.0	61053.0	164403.0
из них имеют занятых							
1 человека	110945.0	76436.0	37226.0	22605.0	16605.0	49815.0	34509.0
2 человек	188515.0	108154.0	48685.0	59469.0			80361.0
3 человек	52791.0	27225.0	27225.0				25566.0
4 человек	9531.0						9531.0
5 и более человек	196170.0	122228.0	57323.0	37156.0	27749.0	95439.0	73942.0
в них членов домохозяйств	1101343.0	687040.0	315777.0	206798.0	164465.0		414303.0
из них имеют занятых							
1 человека	47528.0	32205.0	14487.0	8086.0	9632.0	34255.0	15323.0
2 человек	70781.0	42894.0	17709.0	14166.0	11019.0	35710.0	27887.0
3 человек	38408.0	25335.0	13209.0	9446.0	2680.0	9000.0	13073.0
4 человек	15704.0	9023.0	6298.0	1979.0	746.0	2570.0	6681.0
5 и более человек	4889.0	1689.0	1006.0	416.0	267.0	1044.0	3200.0
в них занятых	31979.0	9057.0	5288.0	2234.0	1535.0		22922.0
Домохозяйства, в которых есть занятые	1562617.0	677602.0	476091.0	160562.0	40949.0	132394.0	885015.0
в них членов домохозяйств	5043998.0	2449024.0	1587231.0	651096.0	210697.0		2594974.0
Домохозяйства, в которых нет занятых	349254.0	104810.0	70757.0	24620.0	9433.0	31913.0	244444.0
в них членов домохозяйств	906398.0	322420.0	199709.0	81016.0	41695.0		583978.0
Республика Саха (Якутия)							
Все домохозяйства	251415.0	105125.0	70455.0	26470.0	8200.0	27013.0	146290.0
в них членов домохозяйств	884352.0	406623.0	249974.0	112369.0	44280.0		477729.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	69527.0	13364.0	12825.0	539.0			56163.0
из них имеют занятых							
1 человека	30914.0	9768.0	9768.0				21146.0
2 человек	22512.0						22512.0
3 человек	72961.0	34842.0	28952.0	5658.0	232.0	696.0	38119.0
из них имеют занятых							
1 человека	24833.0	13381.0	8506.0	4875.0			11452.0
2 человек	36186.0	18223.0	18223.0				17963.0
3 человек	5111.0						5111.0
4 человек	58663.0	31112.0	15683.0	13021.0	2408.0	7303.0	27551.0
из них имеют занятых							
1 человека	16382.0	9902.0	5104.0	2671.0	2127.0	6381.0	6480.0
2 человек	30799.0	16008.0	6257.0	9751.0			14791.0
3 человек	6591.0	3301.0	3301.0				3290.0
4 человек	1170.0						1170.0
5 и более человек	50264.0	25807.0	12995.0	7252.0	5560.0	19014.0	24457.0
в них членов домохозяйств	291763.0	150921.0	74736.0	42233.0	33952.0		140842.0
из них имеют занятых							
1 человека	12665.0	7187.0	3880.0	1592.0	1715.0	6150.0	5478.0
2 человек	21439.0	9952.0	4456.0	2905.0	2591.0	8425.0	11487.0
3 человек	8503.0	4806.0	2526.0	1709.0	571.0	1936.0	3697.0
4 человек	3181.0	1666.0	1081.0	404.0	181.0	640.0	1515.0
5 и более человек	1170.0	388.0	215.0	105.0	68.0	242.0	782.0
в них занятых	7944.0	2056.0	1133.0	548.0	375.0		5888.0
Домохозяйства, в которых есть занятые	221456.0	94582.0	63317.0	24012.0	7253.0	23774.0	126874.0
в них членов домохозяйств	797357.0	371516.0	228296.0	103438.0	39782.0		425841.0
Домохозяйства, в которых нет занятых	29959.0	10543.0	7138.0	2458.0	947.0	3239.0	19416.0
в них членов домохозяйств	86995.0	35107.0	21678.0	8931.0	4498.0		51888.0
Приморский край							
Все домохозяйства	598202.0	239743.0	166329.0	57164.0	16250.0	52945.0	358459.0
в них членов домохозяйств	1820755.0	837743.0	535777.0	222067.0	79899.0		983012.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	227251.0	40901.0	38657.0	2244.0			186350.0
из них имеют занятых							
1 человека	91525.0	27857.0	27857.0				63668.0
2 человек	55149.0						55149.0
3 человек	197710.0	93282.0	74177.0	18225.0	880.0	2640.0	104428.0
из них имеют занятых							
1 человека	70084.0	40735.0	25528.0	15207.0			29349.0
2 человек	88171.0	40796.0	40796.0				47375.0
3 человек	14568.0						14568.0
4 человек	121555.0	71079.0	38093.0	25912.0	7074.0	21603.0	50476.0
из них имеют занятых							
1 человека	35118.0	24412.0	11270.0	7338.0	5804.0	17412.0	10706.0
2 человек	55218.0	31915.0	15175.0	16740.0			23303.0
3 человек	17034.0	8768.0	8768.0				8266.0
4 человек	3214.0						3214.0
5 и более человек	51686.0	34481.0	15402.0	10783.0	8296.0	28702.0	17205.0
в них членов домохозяйств	286903.0	191779.0	83560.0	59256.0	48963.0		95124.0
из них имеют занятых							
1 человека	12368.0	8735.0	3492.0	2287.0	2956.0	10510.0	3633.0
2 человек	17370.0	11841.0	4657.0	4077.0	3107.0	10095.0	5529.0
3 человек	10747.0	7506.0	3798.0	2865.0	843.0	2832.0	3241.0
4 человек	4476.0	2683.0	1861.0	590.0	232.0	794.0	1793.0
5 и более человек	1233.0	516.0	302.0	128.0	86.0	361.0	717.0
в них занятых	8111.0	2860.0	1603.0	723.0	534.0		5251.0
Домохозяйства, в которых есть занятые	476275.0	205764.0	143504.0	49232.0	13028.0	42004.0	270511.0
в них членов домохозяйств	1510092.0	734342.0	471889.0	196529.0	65924.0		775750.0
Домохозяйства, в которых нет занятых	121927.0	33979.0	22825.0	7932.0	3222.0	10941.0	87948.0
в них членов домохозяйств	310663.0	103401.0	63888.0	25538.0	13975.0		207262.0
Хабаровский край							
Все домохозяйства	413014.0	166872.0	118851.0	38516.0	9505.0	30900.0	246142.0
в них членов домохозяйств	1267776.0	587259.0	387512.0	152289.0	47458.0		680517.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	152303.0	27150.0	25579.0	1571.0			125153.0
из них имеют занятых							
1 человека	64178.0	18451.0	18451.0				45727.0
2 человек	39863.0						39863.0
3 человек	138228.0	64972.0	53775.0	10593.0	604.0	1812.0	73256.0
из них имеют занятых							
1 человека	46253.0	26601.0	17862.0	8739.0			19652.0
2 человек	66428.0	31054.0	31054.0				35374.0
3 человек	11199.0						11199.0
4 человек	84744.0	49846.0	27616.0	18526.0	3704.0	11279.0	34898.0
из них имеют занятых							
1 человека	22079.0	15622.0	7751.0	4789.0	3082.0	9246.0	6457.0
2 человек	41317.0	24273.0	11675.0	12598.0			17044.0
3 человек	13059.0	6595.0	6595.0				6464.0
4 человек	2652.0						2652.0
5 и более человек	37739.0	24904.0	11881.0	7826.0	5197.0	17809.0	12835.0
в них членов домохозяйств	209510.0	138659.0	64565.0	43264.0	30830.0		70851.0
из них имеют занятых							
1 человека	8203.0	5985.0	2517.0	1627.0	1841.0	6506.0	2218.0
2 человек	13017.0	8699.0	3620.0	3032.0	2047.0	6627.0	4318.0
3 человек	8521.0	5749.0	3144.0	2069.0	536.0	1819.0	2772.0
4 человек	3712.0	2133.0	1543.0	441.0	149.0	512.0	1579.0
5 и более человек	1280.0	379.0	239.0	90.0	50.0	194.0	901.0
в них занятых	7952.0	1970.0	1232.0	465.0	273.0		5982.0
Домохозяйства, в которых есть занятые	341761.0	145541.0	104451.0	33385.0	7705.0	24904.0	196220.0
в них членов домохозяйств	1088467.0	523235.0	347715.0	135866.0	39654.0		565232.0
Домохозяйства, в которых нет занятых	71253.0	21331.0	14400.0	5131.0	1800.0	5996.0	49922.0
в них членов домохозяйств	179309.0	64024.0	39797.0	16423.0	7804.0		115285.0
Амурская область							
Все домохозяйства	263162.0	97205.0	70765.0	20881.0	5559.0	18387.0	165957.0
в них членов домохозяйств	809753.0	344470.0	233924.0	82489.0	28057.0		465283.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	97249.0	15513.0	14676.0	837.0			81736.0
из них имеют занятых							
1 человека	35987.0	9644.0	9644.0				26343.0
2 человек	23829.0						23829.0
3 человек	86612.0	37767.0	31458.0	5999.0	310.0	930.0	48845.0
из них имеют занятых							
1 человека	29938.0	16523.0	11821.0	4702.0			13415.0
2 человек	39368.0	15756.0	15756.0				23612.0
3 человек	5468.0						5468.0
