1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
с 1992-2002 года	2755.0	699.0	1911.0	145.0	-	25.3720508167	69.3647912886	5.26315789474
с 1989-1991 года	677.0	130.0	506.0	41.0	-	19.2023633678	74.741506647	6.05612998523
с 1988 года и ранее	6414.0	90.0	5198.0	1119.0	7.0	1.40318054256	81.0414717805	17.4462114125
год не указан	58.0	25.0	30.0	3.0	-	43.1034482759	51.724137931	5.1724137931
не указавшие непрерывность проживания в месте постоянного жительства	91.0	22.0	60.0	5.0	4.0	24.1758241758	65.9340659341	5.49450549451
Мужчины, проживающие непрерывно в месте постоянного жительства	8775.0	2334.0	5895.0	537.0	9.0	26.5982905983	67.1794871795	6.11965811966
с рождения	3712.0	1837.0	1791.0	80.0	4.0	49.4881465517	48.2489224138	2.15517241379
не с рождения	5014.0	483.0	4073.0	454.0	4.0	9.63302752294	81.2325488632	9.05464698843
в том числе:								
с 1992-2002 года	1433.0	367.0	1030.0	36.0	-	25.6106071179	71.8771807397	2.51221214236
с 1989-1991 года	334.0	60.0	261.0	13.0	-	17.9640718563	78.1437125749	3.89221556886
с 1988 года и ранее	3211.0	41.0	2763.0	403.0	4.0	1.27686079103	86.047960137	12.5506072874
год не указан	36.0	15.0	19.0	2.0	-	41.6666666667	52.7777777778	5.55555555556
не указавшие непрерывность проживания в месте постоянного жительства	49.0	14.0	31.0	3.0	1.0	28.5714285714	63.2653061224	6.12244897959
Женщины, проживающие непрерывно в месте постоянного жительства	8760.0	2343.0	5362.0	1042.0	13.0	26.7465753425	61.2100456621	11.8949771689
с рождения	3828.0	1874.0	1761.0	186.0	7.0	48.9550679206	46.0031347962	4.85893416928
не с рождения	4890.0	461.0	3572.0	854.0	3.0	9.42740286299	73.0470347648	17.4642126789
в том числе:								
с 1992-2002 года	1322.0	332.0	881.0	109.0	-	25.1134644478	66.6414523449	8.24508320726
с 1989-1991 года	343.0	70.0	245.0	28.0	-	20.4081632653	71.4285714286	8.16326530612
с 1988 года и ранее	3203.0	49.0	2435.0	716.0	3.0	1.52981579769	76.022478926	22.3540430846
год не указан	22.0	10.0	11.0	1.0	-	45.4545454545	50.0	4.54545454545
не указавшие непрерывность проживания в месте постоянного жительства	42.0	8.0	29.0	2.0	3.0	19.0476190476	69.0476190476	4.7619047619
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	5773.0	1470.0	3888.0	398.0	17.0	25.4633639356	67.3479993071	6.89416248051
с рождения	2164.0	1131.0	987.0	40.0	6.0	52.2643253235	45.6099815157	1.84842883549
не с рождения	3575.0	334.0	2876.0	358.0	7.0	9.34265734266	80.4475524476	10.013986014
в том числе:								
с 1992-2002 года	1121.0	243.0	839.0	39.0	-	21.677074041	74.8438893845	3.47903657449
с 1989-1991 года	195.0	31.0	155.0	9.0	-	15.8974358974	79.4871794872	4.61538461538
с 1988 года и ранее	2207.0	36.0	1856.0	308.0	7.0	1.63117353874	84.0960579973	13.9555958314
год не указан	52.0	24.0	26.0	2.0	-	46.1538461538	50.0	3.84615384615
не указавшие непрерывность проживания в месте постоянного жительства	34.0	5.0	25.0	-	4.0	14.7058823529	73.5294117647	-
Мужчины, проживающие непрерывно в месте постоянного жительства	2778.0	726.0	1928.0	117.0	7.0	26.1339092873	69.4024478042	4.21166306695
с рождения	1018.0	558.0	454.0	4.0	2.0	54.8133595285	44.5972495088	0.392927308448
не с рождения	1742.0	166.0	1459.0	113.0	4.0	9.52927669346	83.7543053961	6.4867967853
в том числе:								
с 1992-2002 года	567.0	123.0	434.0	10.0	-	21.6931216931	76.5432098765	1.76366843034
с 1989-1991 года	91.0	14.0	74.0	3.0	-	15.3846153846	81.3186813187	3.2967032967
с 1988 года и ранее	1051.0	14.0	934.0	99.0	4.0	1.33206470029	88.8677450048	9.41960038059
год не указан	33.0	15.0	17.0	1.0	-	45.4545454545	51.5151515152	3.0303030303
не указавшие непрерывность проживания в месте постоянного жительства	18.0	2.0	15.0	-	1.0	11.1111111111	83.3333333333	-
Женщины, проживающие непрерывно в месте постоянного жительства	2995.0	744.0	1960.0	281.0	10.0	24.8414023372	65.4424040067	9.38230383973
с рождения	1146.0	573.0	533.0	36.0	4.0	50.0	46.5095986038	3.14136125654
не с рождения	1833.0	168.0	1417.0	245.0	3.0	9.16530278232	77.304964539	13.3660665576
в том числе:								
с 1992-2002 года	554.0	120.0	405.0	29.0	-	21.6606498195	73.1046931408	5.23465703971
с 1989-1991 года	104.0	17.0	81.0	6.0	-	16.3461538462	77.8846153846	5.76923076923
с 1988 года и ранее	1156.0	22.0	922.0	209.0	3.0	1.90311418685	79.7577854671	18.0795847751
год не указан	19.0	9.0	9.0	1.0	-	47.3684210526	47.3684210526	5.26315789474
не указавшие непрерывность проживания в месте постоянного жительства	16.0	3.0	10.0	-	3.0	18.75	62.5	-
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	11762.0	3207.0	7369.0	1181.0	5.0	27.2657711274	62.6509097092	10.0408093862
с рождения	5376.0	2580.0	2565.0	226.0	5.0	47.9910714286	47.7120535714	4.20386904762
не с рождения	6329.0	610.0	4769.0	950.0	-	9.63817348712	75.351556328	15.0102701849
в том числе:								
с 1992-2002 года	1634.0	456.0	1072.0	106.0	-	27.9069767442	65.605875153	6.48714810282
с 1989-1991 года	482.0	99.0	351.0	32.0	-	20.5394190871	72.8215767635	6.63900414938
с 1988 года и ранее	4207.0	54.0	3342.0	811.0	-	1.28357499406	79.4390301878	19.2773948182
год не указан	6.0	1.0	4.0	1.0	-	16.6666666667	66.6666666667	16.6666666667
не указавшие непрерывность проживания в месте постоянного жительства	57.0	17.0	35.0	5.0	-	29.8245614035	61.4035087719	8.77192982456
Мужчины, проживающие непрерывно в месте постоянного жительства	5997.0	1608.0	3967.0	420.0	2.0	26.8134067034	66.1497415374	7.00350175088
с рождения	2694.0	1279.0	1337.0	76.0	2.0	47.4758723088	49.6288047513	2.82108389013
не с рождения	3272.0	317.0	2614.0	341.0	-	9.68826405868	79.8899755501	10.4217603912
в том числе:								
с 1992-2002 года	866.0	244.0	596.0	26.0	-	28.1755196305	68.8221709007	3.00230946882
с 1989-1991 года	243.0	46.0	187.0	10.0	-	18.9300411523	76.9547325103	4.11522633745
с 1988 года и ранее	2160.0	27.0	1829.0	304.0	-	1.25	84.6759259259	14.0740740741
год не указан	3.0	-	2.0	1.0	-	-	66.6666666667	33.3333333333
не указавшие непрерывность проживания в месте постоянного жительства	31.0	12.0	16.0	3.0	-	38.7096774194	51.6129032258	9.67741935484
Женщины, проживающие непрерывно в месте постоянного жительства	5765.0	1599.0	3402.0	761.0	3.0	27.7363399827	59.011274935	13.2003469211
с рождения	2682.0	1301.0	1228.0	150.0	3.0	48.5085756898	45.7867263236	5.59284116331
не с рождения	3057.0	293.0	2155.0	609.0	-	9.58456002617	70.4939483153	19.9214916585
в том числе:								
с 1992-2002 года	768.0	212.0	476.0	80.0	-	27.6041666667	61.9791666667	10.4166666667
с 1989-1991 года	239.0	53.0	164.0	22.0	-	22.1757322176	68.6192468619	9.2050209205
с 1988 года и ранее	2047.0	27.0	1513.0	507.0	-	1.31900341964	73.9130434783	24.7679531021
год не указан	3.0	1.0	2.0	-	-	33.3333333333	66.6666666667	-
не указавшие непрерывность проживания в месте постоянного жительства	26.0	5.0	19.0	2.0	-	19.2307692308	73.0769230769	7.69230769231
Иркутская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2532867.0	536766.0	1559031.0	434331.0	2739.0	21.192032586	61.5520278009	17.1478012861
с рождения	1326009.0	458981.0	759344.0	107229.0	455.0	34.6137167998	57.2653730103	8.08659669731
не с рождения	1190722.0	74492.0	790953.0	325034.0	243.0	6.25603625363	66.4263362901	27.2972196701
в том числе:								
с 1992-2002 года	334957.0	59102.0	242690.0	33070.0	95.0	17.6446528957	72.4540761949	9.87290905997
с 1989-1991 года	73252.0	8869.0	57048.0	7329.0	6.0	12.1075192486	77.8791022771	10.0051875717
с 1988 года и ранее	767361.0	4248.0	482625.0	280376.0	112.0	0.553585600519	62.8941267539	36.5376921684
год не указан	15152.0	2273.0	8590.0	4259.0	30.0	15.0013199578	56.6921858501	28.108500528
не указавшие непрерывность проживания в месте постоянного жительства	16136.0	3293.0	8734.0	2068.0	2041.0	20.4077838374	54.1274169559	12.8160634606
Мужчины, проживающие непрерывно в месте постоянного жительства	1168267.0	273589.0	758985.0	134324.0	1369.0	23.418362412	64.9667413357	11.4977141356
с рождения	644732.0	233900.0	377615.0	32962.0	255.0	36.2786398069	58.5692970102	5.1125118654
не с рождения	515840.0	38012.0	377084.0	100656.0	88.0	7.3689516129	73.1009615385	19.5130272953
в том числе:								
с 1992-2002 года	156010.0	30188.0	116665.0	9111.0	46.0	19.350041664	74.7804627908	5.84001025575
с 1989-1991 года	33765.0	4469.0	27004.0	2292.0	-	13.235598993	79.9763068266	6.78809418036
с 1988 года и ранее	319380.0	2170.0	229217.0	87958.0	35.0	0.679441417747	71.7693656459	27.5402342038
год не указан	6685.0	1185.0	4198.0	1295.0	7.0	17.7262528048	62.7973074046	19.3717277487
не указавшие непрерывность проживания в месте постоянного жительства	7695.0	1677.0	4286.0	706.0	1026.0	21.7933723197	55.6985055231	9.17478882391
Женщины, проживающие непрерывно в месте постоянного жительства	1364600.0	263177.0	800046.0	300007.0	1370.0	19.2860178807	58.6286091162	21.9849772827
с рождения	681277.0	225081.0	381729.0	74267.0	200.0	33.038103444	56.0313939851	10.9011459362
не с рождения	674882.0	36480.0	413869.0	224378.0	155.0	5.40538938659	61.3246463826	33.2469972529
в том числе:								
с 1992-2002 года	178947.0	28914.0	126025.0	23959.0	49.0	16.1578567956	70.4258802886	13.3888805065
с 1989-1991 года	39487.0	4400.0	30044.0	5037.0	6.0	11.1429077924	76.08580039	12.7560969433
с 1988 года и ранее	447981.0	2078.0	253408.0	192418.0	77.0	0.463858958304	56.5666847478	42.9522680649
год не указан	8467.0	1088.0	4392.0	2964.0	23.0	12.8498877997	51.8719735443	35.0064958073
не указавшие непрерывность проживания в месте постоянного жительства	8441.0	1616.0	4448.0	1362.0	1015.0	19.1446511077	52.6951782964	16.1355289658
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2008611.0	399509.0	1261794.0	344802.0	2506.0	19.8898144041	62.8192317975	17.1661909648
с рождения	1027691.0	342663.0	610522.0	74132.0	374.0	33.3429990143	59.4071564313	7.21345229257
не с рождения	968934.0	54632.0	644897.0	269202.0	203.0	5.63836133318	66.5573712967	27.7833165107
в том числе:								
с 1992-2002 года	257977.0	43042.0	190305.0	24546.0	84.0	16.6844331084	73.7682041422	9.51480170713
с 1989-1991 года	54558.0	6430.0	42774.0	5349.0	5.0	11.7856226401	78.4009677774	9.80424502364
с 1988 года и ранее	643516.0	3374.0	404192.0	235865.0	85.0	0.524307087936	62.8099379036	36.6525463236
год не указан	12883.0	1786.0	7626.0	3442.0	29.0	13.863230614	59.1942870449	26.7173794924
не указавшие непрерывность проживания в месте постоянного жительства	11986.0	2214.0	6375.0	1468.0	1929.0	18.4715501418	53.1870515602	12.2476222259
Мужчины, проживающие непрерывно в месте постоянного жительства	913952.0	203425.0	605534.0	103747.0	1246.0	22.2577334477	66.2544641294	11.3514714121
с рождения	494424.0	174575.0	297870.0	21771.0	208.0	35.3087633286	60.2458618514	4.40330566477
не с рождения	413833.0	27732.0	304576.0	81459.0	66.0	6.70125388744	73.5987705185	19.6840271317
в том числе:								
с 1992-2002 года	118289.0	21900.0	90083.0	6263.0	43.0	18.5139784764	76.1550101869	5.2946596894
с 1989-1991 года	25052.0	3213.0	20260.0	1579.0	-	12.8253233275	80.8717866837	6.30288998882
с 1988 года и ранее	264791.0	1704.0	190487.0	72584.0	16.0	0.643526403843	71.9386232916	27.4118078031
год не указан	5701.0	915.0	3746.0	1033.0	7.0	16.0498158218	65.7077705666	18.1196281354
не указавшие непрерывность проживания в месте постоянного жительства	5695.0	1118.0	3088.0	517.0	972.0	19.6312554873	54.2230026339	9.07813871817
Женщины, проживающие непрерывно в месте постоянного жительства	1094659.0	196084.0	656260.0	241055.0	1260.0	17.9127929337	59.9510897914	22.0210129364
с рождения	533267.0	168088.0	312652.0	52361.0	166.0	31.5204203523	58.6295420493	9.81890872677
не с рождения	555101.0	26900.0	340321.0	187743.0	137.0	4.84596496854	61.3079421583	33.8214126799
в том числе:								
с 1992-2002 года	139688.0	21142.0	100222.0	18283.0	41.0	15.1351583529	71.7470362522	13.0884542695
с 1989-1991 года	29506.0	3217.0	22514.0	3770.0	5.0	10.9028672134	76.3031247882	12.7770622924
с 1988 года и ранее	378725.0	1670.0	213705.0	163281.0	69.0	0.440953198231	56.4274869628	43.1133408146
год не указан	7182.0	871.0	3880.0	2409.0	22.0	12.1275410749	54.0239487608	33.5421888053
не указавшие непрерывность проживания в месте постоянного жительства	6291.0	1096.0	3287.0	951.0	957.0	17.4217135591	52.2492449531	15.1168335718
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	524256.0	137257.0	297237.0	89529.0	233.0	26.1812931087	56.6969190624	17.0773438931
с рождения	298318.0	116318.0	148822.0	33097.0	81.0	38.991277764	49.8870333	11.0945367024
не с рождения	221788.0	19860.0	146056.0	55832.0	40.0	8.95449708731	65.8538784785	25.1735891933
в том числе:								
с 1992-2002 года	76980.0	16060.0	52385.0	8524.0	11.0	20.8625617043	68.0501428943	11.0730059756
с 1989-1991 года	18694.0	2439.0	14274.0	1980.0	1.0	13.0469669413	76.3560500695	10.5916336793
с 1988 года и ранее	123845.0	874.0	78433.0	44511.0	27.0	0.705720860753	63.3315838346	35.9408938593
год не указан	2269.0	487.0	964.0	817.0	1.0	21.4631996474	42.4856765095	36.0070515646
не указавшие непрерывность проживания в месте постоянного жительства	4150.0	1079.0	2359.0	600.0	112.0	26.0	56.843373494	14.4578313253
Мужчины, проживающие непрерывно в месте постоянного жительства	254315.0	70164.0	153451.0	30577.0	123.0	27.589406838	60.3389497277	12.023278218
с рождения	150308.0	59325.0	79745.0	11191.0	47.0	39.4689570748	53.0543949756	7.44537882215
не с рождения	102007.0	10280.0	72508.0	19197.0	22.0	10.077739763	71.0813963748	18.8192967149
в том числе:								
с 1992-2002 года	37721.0	8288.0	26582.0	2848.0	3.0	21.9718459214	70.4700299568	7.55017099229
с 1989-1991 года	8713.0	1256.0	6744.0	713.0	-	14.415241593	77.4015838402	8.18317456674
с 1988 года и ранее	54589.0	466.0	38730.0	15374.0	19.0	0.853651834619	70.9483595596	28.1631830589
год не указан	984.0	270.0	452.0	262.0	-	27.4390243902	45.9349593496	26.6260162602
не указавшие непрерывность проживания в месте постоянного жительства	2000.0	559.0	1198.0	189.0	54.0	27.95	59.9	9.45
Женщины, проживающие непрерывно в месте постоянного жительства	269941.0	67093.0	143786.0	58952.0	110.0	24.8546904694	53.2657136189	21.8388462664
с рождения	148010.0	56993.0	69077.0	21906.0	34.0	38.5061820147	46.6704952368	14.8003513276
не с рождения	119781.0	9580.0	73548.0	36635.0	18.0	7.99792955477	61.4020587572	30.5849842629
в том числе:								
с 1992-2002 года	39259.0	7772.0	25803.0	5676.0	8.0	19.7967345067	65.7250566749	14.4578313253
с 1989-1991 года	9981.0	1183.0	7530.0	1267.0	1.0	11.8525197876	75.4433423505	12.6941188258
с 1988 года и ранее	69256.0	408.0	39703.0	29137.0	8.0	0.589118632321	57.3278849486	42.0714450734
год не указан	1285.0	217.0	512.0	555.0	1.0	16.8871595331	39.8443579767	43.1906614786
не указавшие непрерывность проживания в месте постоянного жительства	2150.0	520.0	1161.0	411.0	58.0	24.1860465116	54.0	19.1162790698
Усть-Ордынский Бурятский автономный округ								
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	134352.0	40397.0	74763.0	19154.0	38.0	30.0680302489	55.6471061093	14.2565797309
с рождения	84857.0	35203.0	41327.0	8320.0	7.0	41.4850866752	48.7019338416	9.80473031099
не с рождения	49426.0	5177.0	33408.0	10830.0	11.0	10.4742443248	67.5919556509	21.9115445312
в том числе:								
с 1992-2002 года	18687.0	4303.0	12970.0	1410.0	4.0	23.0267030556	69.4065393054	7.54535238401
с 1989-1991 года	4261.0	617.0	3350.0	293.0	1.0	14.4801689744	78.6200422436	6.87632011265
с 1988 года и ранее	25840.0	182.0	16922.0	8731.0	5.0	0.704334365325	65.4876160991	33.7886996904
год не указан	638.0	75.0	166.0	396.0	1.0	11.7554858934	26.0188087774	62.0689655172
не указавшие непрерывность проживания в месте постоянного жительства	69.0	17.0	28.0	4.0	20.0	24.6376811594	40.5797101449	5.79710144928
Мужчины, проживающие непрерывно в месте постоянного жительства	64495.0	20505.0	37557.0	6414.0	19.0	31.7931622606	58.2324211179	9.94495697341
с рождения	42868.0	17896.0	22078.0	2889.0	5.0	41.7467574881	51.5022860875	6.73929271251
не с рождения	21601.0	2602.0	15469.0	3525.0	5.0	12.0457386232	71.6124253507	16.3186889496
в том числе:								
с 1992-2002 года	8702.0	2151.0	6097.0	452.0	2.0	24.7184555275	70.0643530223	5.19420822799
с 1989-1991 года	1907.0	304.0	1485.0	118.0	-	15.9412690089	77.8710015732	6.18772941793
с 1988 года и ранее	10737.0	108.0	7798.0	2828.0	3.0	1.00586756077	72.6273633231	26.3388283506
год не указан	255.0	39.0	89.0	127.0	-	15.2941176471	34.9019607843	49.8039215686
не указавшие непрерывность проживания в месте постоянного жительства	26.0	7.0	10.0	-	9.0	26.9230769231	38.4615384615	-
Женщины, проживающие непрерывно в месте постоянного жительства	69857.0	19892.0	37206.0	12740.0	19.0	28.4753138554	53.260231616	18.2372561089
с рождения	41989.0	17307.0	19249.0	5431.0	2.0	41.2179380314	45.8429588702	12.9343399462
не с рождения	27825.0	2575.0	17939.0	7305.0	6.0	9.25426774483	64.4707996406	26.2533692722
в том числе:								
с 1992-2002 года	9985.0	2152.0	6873.0	958.0	2.0	21.5523284927	68.8332498748	9.59439158738
с 1989-1991 года	2354.0	313.0	1865.0	175.0	1.0	13.2965165675	79.2268479184	7.43415463042
с 1988 года и ранее	15103.0	74.0	9124.0	5903.0	2.0	0.489968880355	60.4118387075	39.0849500099
год не указан	383.0	36.0	77.0	269.0	1.0	9.39947780679	20.1044386423	70.2349869452
не указавшие непрерывность проживания в месте постоянного жительства	43.0	10.0	18.0	4.0	11.0	23.2558139535	41.8604651163	9.3023255814
Кемеровская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2843718.0	519489.0	1757063.0	566928.0	238.0	18.2679506196	61.7875260486	19.9361540068
с рождения	1628605.0	449396.0	1027335.0	151828.0	46.0	27.593922406	63.080673337	9.32257975384
не с рождения	1212399.0	69735.0	728055.0	414586.0	23.0	5.75181932681	60.0507753636	34.1955082444
в том числе:								
с 1992-2002 года	318934.0	56986.0	225758.0	36180.0	10.0	17.8676465977	70.7851781246	11.3440398327
с 1989-1991 года	69616.0	8270.0	52608.0	8737.0	1.0	11.8794529993	75.5688347506	12.5502757987
с 1988 года и ранее	823134.0	4373.0	449334.0	369415.0	12.0	0.53126222462	54.5881958466	44.8790840859
год не указан	715.0	106.0	355.0	254.0	-	14.8251748252	49.6503496503	35.5244755245
не указавшие непрерывность проживания в месте постоянного жительства	2714.0	358.0	1673.0	514.0	169.0	13.190862196	61.6433308769	18.9388356669
Мужчины, проживающие непрерывно в месте постоянного жительства	1304244.0	264585.0	860777.0	178760.0	122.0	20.2864648026	65.9981567866	13.7060243329
с рождения	783705.0	228879.0	508719.0	46082.0	25.0	29.2047390281	64.9120523666	5.88001862946
не с рождения	519251.0	35531.0	351194.0	132516.0	10.0	6.84274079395	67.6347277136	25.5206056416
в том числе:								
с 1992-2002 года	149413.0	29206.0	110130.0	10074.0	3.0	19.5471612243	73.7084457176	6.74238520075
с 1989-1991 года	31564.0	4060.0	24765.0	2738.0	1.0	12.8627550374	78.4596375618	8.67443923457
с 1988 года и ранее	337967.0	2206.0	216119.0	119636.0	6.0	0.652726449624	63.9467758686	35.3987223605
год не указан	307.0	59.0	180.0	68.0	-	19.2182410423	58.6319218241	22.1498371336
не указавшие непрерывность проживания в месте постоянного жительства	1288.0	175.0	864.0	162.0	87.0	13.5869565217	67.0807453416	12.5776397516
Женщины, проживающие непрерывно в месте постоянного жительства	1539474.0	254904.0	896286.0	388168.0	116.0	16.5578632702	58.2202752369	25.2143264518
с рождения	844900.0	220517.0	518616.0	105746.0	21.0	26.0997751213	61.381938691	12.5158006865
не с рождения	693148.0	34204.0	376861.0	282070.0	13.0	4.93458828418	54.3694853047	40.6940509098
в том числе:								
с 1992-2002 года	169521.0	27780.0	115628.0	26106.0	7.0	16.3873502398	68.2086585143	15.399861964
с 1989-1991 года	38052.0	4210.0	27843.0	5999.0	-	11.0638074214	73.1709239987	15.7652685798
с 1988 года и ранее	485167.0	2167.0	233215.0	249779.0	6.0	0.44665032865	48.0690154112	51.4830975726
год не указан	408.0	47.0	175.0	186.0	-	11.5196078431	42.8921568627	45.5882352941
не указавшие непрерывность проживания в месте постоянного жительства	1426.0	183.0	809.0	352.0	82.0	12.8330995792	56.7321178121	24.6844319776
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2465134.0	439038.0	1536912.0	488959.0	225.0	17.8099040458	62.3459820034	19.8349866579
с рождения	1429991.0	384400.0	920213.0	125338.0	40.0	26.8812880641	64.3509644466	8.76495026892
не с рождения	1032517.0	54294.0	615065.0	363136.0	22.0	5.25841221016	59.5694792434	35.1699778309
в том числе:								
с 1992-2002 года	252274.0	44253.0	181756.0	26255.0	10.0	17.5416412314	72.0470599428	10.4073348819
с 1989-1991 года	52468.0	6385.0	39882.0	6200.0	1.0	12.1693222536	76.0120454372	11.8167263856
с 1988 года и ранее	727188.0	3601.0	393089.0	330487.0	11.0	0.49519519024	54.0560350281	45.4472571055
год не указан	587.0	55.0	338.0	194.0	-	9.36967632027	57.5809199319	33.0494037479
не указавшие непрерывность проживания в месте постоянного жительства	2626.0	344.0	1634.0	485.0	163.0	13.0997715156	62.2239146992	18.4691546078
Мужчины, проживающие непрерывно в месте постоянного жительства	1123412.0	223505.0	747201.0	152591.0	115.0	19.8951942831	66.5117516993	13.5828173457
с рождения	684287.0	195532.0	451504.0	37228.0	23.0	28.5745600896	65.9816714332	5.44040731447
не с рождения	437880.0	27804.0	294855.0	115211.0	10.0	6.34968484516	67.3369416278	26.3110897963
в том числе:								
с 1992-2002 года	117381.0	22843.0	87724.0	6811.0	3.0	19.4605600566	74.7344118724	5.80247229109
с 1989-1991 года	23401.0	3102.0	18486.0	1812.0	1.0	13.2558437674	78.9966240759	7.74325883509
с 1988 года и ранее	296851.0	1832.0	188477.0	106536.0	6.0	0.617144628113	63.4921223105	35.8887118453
год не указан	247.0	27.0	168.0	52.0	-	10.9311740891	68.016194332	21.0526315789
не указавшие непрерывность проживания в месте постоянного жительства	1245.0	169.0	842.0	152.0	82.0	13.5742971888	67.6305220884	12.2088353414
Женщины, проживающие непрерывно в месте постоянного жительства	1341722.0	215533.0	789711.0	336368.0	110.0	16.063908917	58.8580197686	25.0698728947
с рождения	745704.0	188868.0	468709.0	88110.0	17.0	25.3274757813	62.8545642775	11.8156802163
не с рождения	594637.0	26490.0	320210.0	247925.0	12.0	4.45481865407	53.8496595402	41.6935037678
в том числе:								
с 1992-2002 года	134893.0	21410.0	94032.0	19444.0	7.0	15.8718391614	69.7085838405	14.4143876999
с 1989-1991 года	29067.0	3283.0	21396.0	4388.0	-	11.2945952455	73.6092476004	15.0961571542
с 1988 года и ранее	430337.0	1769.0	204612.0	223951.0	5.0	0.41107318218	47.5469225282	52.0408424096
год не указан	340.0	28.0	170.0	142.0	-	8.23529411765	50.0	41.7647058824
не указавшие непрерывность проживания в месте постоянного жительства	1381.0	175.0	792.0	333.0	81.0	12.6719768284	57.3497465605	24.112961622
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	378584.0	80451.0	220151.0	77969.0	13.0	21.2505018701	58.1511632821	20.5949009995
с рождения	198614.0	64996.0	107122.0	26490.0	6.0	32.7247827444	53.9347679418	13.3374283787
не с рождения	179882.0	15441.0	112990.0	51450.0	1.0	8.58396059639	62.8133998955	28.6020835881
в том числе:								
с 1992-2002 года	66660.0	12733.0	44002.0	9925.0	-	19.101410141	66.0096009601	14.8889888989
с 1989-1991 года	17148.0	1885.0	12726.0	2537.0	-	10.9925355727	74.2127361791	14.7947282482
с 1988 года и ранее	95946.0	772.0	56245.0	38928.0	1.0	0.804619265003	58.6215162696	40.5728222125
год не указан	128.0	51.0	17.0	60.0	-	39.84375	13.28125	46.875
не указавшие непрерывность проживания в месте постоянного жительства	88.0	14.0	39.0	29.0	6.0	15.9090909091	44.3181818182	32.9545454545
Мужчины, проживающие непрерывно в месте постоянного жительства	180832.0	41080.0	113576.0	26169.0	7.0	22.7172181915	62.8074677048	14.4714431074
с рождения	99418.0	33347.0	57215.0	8854.0	2.0	33.5422156953	57.5499406546	8.9058319419
не с рождения	81371.0	7727.0	56339.0	17305.0	-	9.49601209276	69.2371975274	21.2667903799
в том числе:								
с 1992-2002 года	32032.0	6363.0	22406.0	3263.0	-	19.8645104895	69.9488011988	10.1866883117
с 1989-1991 года	8163.0	958.0	6279.0	926.0	-	11.7358814161	76.9202499081	11.3438686757
с 1988 года и ранее	41116.0	374.0	27642.0	13100.0	-	0.909621558517	67.2293024613	31.8610759802
год не указан	60.0	32.0	12.0	16.0	-	53.3333333333	20.0	26.6666666667
не указавшие непрерывность проживания в месте постоянного жительства	43.0	6.0	22.0	10.0	5.0	13.9534883721	51.1627906977	23.2558139535
Женщины, проживающие непрерывно в месте постоянного жительства	197752.0	39371.0	106575.0	51800.0	6.0	19.9092803107	53.8932602452	26.1944253408
с рождения	99196.0	31649.0	49907.0	17636.0	4.0	31.9055203839	50.3115044961	17.7789426993
не с рождения	98511.0	7714.0	56651.0	34145.0	1.0	7.83059759824	57.5072834506	34.6611038361
в том числе:								
с 1992-2002 года	34628.0	6370.0	21596.0	6662.0	-	18.3955180779	62.3657156059	19.2387663163
с 1989-1991 года	8985.0	927.0	6447.0	1611.0	-	10.3171953255	71.7529215359	17.9298831386
с 1988 года и ранее	54830.0	398.0	28603.0	25828.0	1.0	0.725879992705	52.1666970637	47.1055991246
год не указан	68.0	19.0	5.0	44.0	-	27.9411764706	7.35294117647	64.7058823529
не указавшие непрерывность проживания в месте постоянного жительства	45.0	8.0	17.0	19.0	1.0	17.7777777778	37.7777777778	42.2222222222
Новосибирская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2641110.0	457797.0	1636521.0	546777.0	15.0	17.3335075025	61.9633790338	20.7025455206
с рождения	1456269.0	386574.0	888581.0	181105.0	9.0	26.5455077324	61.0176416582	12.4362325916
не с рождения	1184717.0	71195.0	747870.0	365647.0	5.0	6.00945204635	63.1264681776	30.8636577343
в том числе:								
с 1992-2002 года	371124.0	59624.0	268674.0	42825.0	1.0	16.0657893319	72.3946713228	11.5392698936
с 1989-1991 года	70606.0	7733.0	54719.0	8154.0	-	10.9523269977	77.4990793984	11.5485936039
с 1988 года и ранее	742586.0	3670.0	424293.0	314619.0	4.0	0.494218851419	57.1372204701	42.3680220203
год не указан	401.0	168.0	184.0	49.0	-	41.8952618454	45.885286783	12.2194513716
